DateTime,Open,High,Low,Close,Volume
09/22/2025,662.2,667.29,662.17,666.84,69452201
09/23/2025,666.72,667.34,661.98,663.21,81708872
09/24/2025,664.51,664.61,659.67,661.1,68082229
09/25/2025,657.94,659.4056,654.405,658.05,89622067
09/26/2025,659.51,662.37,657.88,661.82,69179209
09/29/2025,664.36,665.28,661.86,663.68,73499015
09/30/2025,662.93,666.65,661.61,666.18,86288028
10/01/2025,663.17,669.37,663.06,668.45,72545369
10/02/2025,670.45,670.565,666.78,669.22,56895993
10/03/2025,669.99,672.675,668.16,669.21,70494350
10/06/2025,671.62,672.51,669.455,671.61,54623260
10/07/2025,672.54,672.99,667.67,669.12,72020067
10/08/2025,670.25,673.2056,669.42,673.11,60702241
10/09/2025,673.53,673.94,669.21,671.16,66501941
10/10/2025,672.13,673.95,652.84,653.02,159422589
10/13/2025,660.65,665.13,659.7679,663.04,79560517
10/14/2025,657.17,665.83,653.17,662.23,88779560
10/15/2025,666.82,670.23,658.93,665.17,81702555
10/16/2025,666.82,668.71,657.11,660.64,110563346
10/17/2025,659.5,665.755,658.14,664.39,96500870
10/20/2025,667.32,672.21,667.27,671.3,60493350
10/21/2025,671.44,672.99,669.981,671.29,56249034
10/22/2025,672.0,672.0,663.3,667.8,80564006
10/23/2025,668.12,672.7101,667.8,671.76,65604461
10/24/2025,676.46,678.47,675.65,677.25,74356527
10/27/2025,682.73,685.54,682.115,685.24,63339790
10/28/2025,687.05,688.905,684.83,687.06,61738073
10/29/2025,688.72,689.7,682.87,687.39,85362207
10/30/2025,683.9,685.94,679.83,679.83,76335751
10/31/2025,685.04,685.08,679.24,682.06,87164122
11/03/2025,685.67,685.8,679.94,683.34,57315025
11/04/2025,676.11,679.96,674.58,675.24,78426969
11/05/2025,674.98,680.86,674.17,677.58,74402376
11/06/2025,676.47,677.38,668.72,670.31,85035298
11/07/2025,667.91,671.08,661.205,670.97,100592443
11/10/2025,677.235,682.18,675.03,681.44,75842888
11/11/2025,679.95,683.57,678.73,683.0,58953385
11/12/2025,684.79,684.96,680.945,683.38,62312484
11/13/2025,680.5,680.86,670.52,672.04,103457788
11/14/2025,665.38,675.66,663.265,671.93,96846672
11/17/2025,669.7,673.71,662.17,665.67,90456105
11/18/2025,662.095,665.12,655.86,660.08,114467488
11/19/2025,660.78,667.34,658.745,662.63,94702955
11/20/2025,672.91,675.56,651.89,652.53,165293521
11/21/2025,655.05,664.55,650.85,659.03,123956203
11/24/2025,662.69,670.06,661.59,668.73,80437940
11/25/2025,668.63,676.21,664.48,675.02,81077088
11/26/2025,677.63,681.7,676.72,679.68,71879597
11/28/2025,680.86,683.665,680.5,683.39,49212030
12/01/2025,678.81,682.99,678.74,680.27,61201193
12/02/2025,681.92,683.82,679.3275,681.53,62953844
12/03/2025,680.57,684.91,679.69,683.89,57238481
12/04/2025,685.3,685.37,681.34,684.39,61970336
12/05/2025,685.75,686.14,685.6562,685.9,26054
12/08/2025,686.59,686.64,681.57,683.63,55231462
12/09/2025,683.15,685.385,682.59,683.04,58310055
12/10/2025,682.56,688.97,681.31,687.57,85671334
12/11/2025,685.14,689.25,682.165,689.17,86173678
12/12/2025,688.17,688.88,679.1744,681.76,113160347
12/15/2025,685.74,685.76,679.25,680.73,90810952
12/16/2025,679.23,681.08,674.98,678.87,122030631
12/17/2025,679.89,680.435,671.195,671.4,110625198
12/18/2025,677.6,680.74,674.9,676.47,108650128
12/19/2025,676.59,681.09,676.47,680.59,103599543
12/22/2025,683.94,685.36,680.5868,684.83,69556733
12/23/2025,683.92,688.2,683.87,687.96,64839951
12/24/2025,687.95,690.83,687.8,690.38,39445560
12/26/2025,690.64,691.66,689.27,690.31,41613347
12/29/2025,687.54,689.2,686.07,687.85,62559503
12/30/2025,687.445,688.555,686.58,687.01,47160671
12/31/2025,687.14,687.36,681.71,681.92,74144801
01/02/2026,685.71,686.87,679.82,683.17,89377203
01/05/2026,686.54,689.43,686.375,687.72,71927191
01/06/2026,687.93,692.315,687.78,691.81,69273827
01/07/2026,692.19,693.96,689.32,689.58,75588337
01/08/2026,688.82,690.615,687.49,689.51,64019200
01/09/2026,690.63,695.31,689.18,694.07,80125467
01/12/2026,690.68,696.09,690.63,695.16,63976002
01/13/2026,695.49,696.09,691.35,693.77,78309726
01/14/2026,691.0,691.72,686.04,690.36,94676684
01/15/2026,694.57,695.45,691.25,692.24,77861974
01/16/2026,693.66,694.25,690.1,691.66,79289200
01/20/2026,681.49,684.77,676.57,677.58,111623277
01/21/2026,679.65,688.735,678.13,685.4,127844467
01/22/2026,689.85,691.125,686.92,688.98,77112243
01/23/2026,688.15,690.96,687.16,689.23,63059578
01/26/2026,690.49,694.13,689.92,692.73,60473813
01/27/2026,694.18,696.53,693.57,695.49,55506147
01/28/2026,697.05,697.84,693.94,695.42,61172165
01/29/2026,696.39,697.06,684.83,694.04,97486198
01/30/2026,691.79,694.21,687.12,691.97,101835131
02/02/2026,689.58,696.93,689.425,695.41,79286520
02/03/2026,696.21,696.96,684.03,689.53,107904611
02/04/2026,690.35,691.45,681.76,686.19,105204600
02/05/2026,680.94,683.69,675.79,677.62,113610812
02/06/2026,681.46,692.31,680.85,690.62,89127566
02/09/2026,689.42,695.87,688.34,693.95,73885192
02/10/2026,694.95,696.54,691.66,692.12,65185725
02/11/2026,696.39,697.14,689.18,691.96,76353872
02/12/2026,694.24,695.35,680.37,681.27,118828963
02/13/2026,681.69,686.28,677.52,681.75,96267487
02/17/2026,680.14,684.94,675.78,682.85,81354660
02/18/2026,684.02,689.15,682.83,686.29,73570341
02/19/2026,683.84,686.18,681.5475,684.48,58649363
02/20/2026,682.32,690.06,681.73,689.43,100033986
02/23/2026,687.83,690.0,680.371,682.39,90558087
02/24/2026,681.9,688.35,680.0,687.35,73798727
02/25/2026,690.18,693.68,690.1,693.15,56369479
02/26/2026,693.28,693.3,684.35,689.3,71670990
02/27/2026,683.09,686.86,681.64,685.99,83308868
03/02/2026,678.7,688.62,678.02,686.38,87477198
03/03/2026,675.06,682.61,669.66,680.33,105003113
03/04/2026,681.63,687.09,679.62,685.13,79182244
03/05/2026,682.08,685.53,675.61,681.31,106606464
03/06/2026,673.41,676.11,669.76,672.38,100686951
03/09/2026,666.39,679.92,662.39,678.27,102667711
03/10/2026,677.72,683.36,674.76,677.18,81505315
03/11/2026,677.58,680.08,673.34,676.33,68441672
03/12/2026,671.16,671.65,665.87,666.06,108882246
03/13/2026,669.27,672.335,661.36,662.29,97200242
03/16/2026,668.38,672.07,667.12,669.03,82023130
03/17/2026,672.39,674.44,669.7,670.79,87128044
03/18/2026,668.36,669.72,661.19,661.43,82062576
03/19/2026,656.97,662.98,655.17,659.8,111272539
03/20/2026,656.51,656.69,644.72,648.57,163617522
03/24/2025,570.8,575.15,570.2,574.08,58766795
03/25/2025,575.3,576.41,573.69,575.46,38355735
03/26/2025,575.19,576.33,567.19,568.59,52228898
03/27/2025,567.18,570.9,564.94,567.08,42164248
03/28/2025,565.53,566.2675,555.07,555.66,71662653
03/31/2025,549.83,560.7112,546.87,559.39,95328213
04/01/2025,557.45,562.94,553.68,560.97,54609641
04/02/2025,555.05,567.42,554.81,564.52,76014544
04/03/2025,545.11,547.97,536.7,536.7,125985998
04/04/2025,523.67,525.87,505.06,505.28,217965131
