Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2013-12-10,24.54,25.17,24.41,24.88,18660600
1.0,2013-12-11,25.44,27.2,25.37,25.99,38843400
2.0,2013-12-12,26.2,26.71,25.45,25.45,19981800
3.0,2013-12-13,25.61,26.3,25.52,26.23,12189900
4.0,2013-12-16,26.63,26.77,26.35,26.61,13181300
5.0,2013-12-17,26.47,26.59,25.95,26.1,11413200
6.0,2013-12-18,25.99,26.23,25.55,26.23,9993900
7.0,2013-12-19,26.09,26.49,25.82,26.12,6908800
8.0,2013-12-20,26.16,26.49,26.14,26.33,8527700
9.0,2013-12-23,26.29,26.49,26.05,26.18,5401100
10.0,2013-12-24,26.0,26.26,26.0,26.25,2653000
11.0,2013-12-26,26.12,26.36,25.98,26.13,4216600
12.0,2013-12-27,25.95,26.1,24.91,24.94,13221000
13.0,2013-12-30,24.87,25.25,24.65,24.78,8840800
14.0,2013-12-31,24.74,25.25,24.63,25.25,7166600
15.0,2014-01-02,25.07,25.82,25.06,25.36,8997900
16.0,2014-01-03,25.75,26.75,25.51,26.54,13829600
17.0,2014-01-06,26.62,27.2,26.6,27.03,11271400
18.0,2014-01-07,27.2,27.4,26.67,26.91,11288700
19.0,2014-01-08,26.37,27.68,26.35,27.63,15733900
20.0,2014-01-09,28.24,29.6,28.2,29.42,26049300
21.0,2014-01-10,29.05,29.83,28.75,29.35,12807800
22.0,2014-01-13,29.18,29.53,28.58,28.65,10587800
23.0,2014-01-14,28.75,29.04,28.71,28.87,10600500
24.0,2014-01-15,28.9,29.44,28.7,28.84,11192500
25.0,2014-01-16,28.94,29.39,28.7,29.34,7034200
26.0,2014-01-17,29.3,30.02,29.17,30.02,18276700
27.0,2014-01-21,30.66,30.8,30.2,30.66,10612500
28.0,2014-01-22,30.71,31.24,30.65,31.2,7578800
29.0,2014-01-23,30.65,31.46,30.62,31.35,11394600
30.0,2014-01-24,31.02,31.18,29.91,30.4,13686200
31.0,2014-01-27,30.4,30.87,28.67,30.18,16276300
32.0,2014-01-28,30.32,32.2,30.02,31.96,23937900
33.0,2014-01-29,32.24,33.4,32.1,32.98,22683700
34.0,2014-01-30,33.36,34.2,33.2,33.8,13660500
35.0,2014-01-31,33.44,34.08,33.0,33.55,12791000
36.0,2014-02-03,33.95,34.48,33.05,33.96,21739500
37.0,2014-02-04,34.04,34.38,33.58,34.05,11178900
38.0,2014-02-05,33.82,33.97,33.4,33.8,15465100
39.0,2014-02-06,33.71,34.92,33.7,34.66,13920500
40.0,2014-02-07,34.81,35.7,34.65,35.67,15404700
41.0,2014-02-10,36.1,36.15,35.38,35.58,11107300
42.0,2014-02-11,35.58,35.64,34.39,35.13,11988300
43.0,2014-02-12,34.89,35.0,34.36,34.69,9383300
44.0,2014-02-13,34.07,35.04,34.06,35.03,8409200
45.0,2014-02-14,34.85,35.18,34.22,34.41,7296900
46.0,2014-02-18,34.73,34.95,34.2,34.31,7087200
47.0,2014-02-19,34.25,35.09,34.11,34.59,7258100
48.0,2014-02-20,34.43,35.67,34.43,35.66,9282100
49.0,2014-02-21,35.78,36.45,35.75,36.17,7820900
50.0,2014-02-24,36.2,36.66,36.02,36.65,7018500
51.0,2014-02-25,36.63,37.15,36.51,37.0,8990100
52.0,2014-02-26,37.12,37.28,36.58,36.75,10514100
53.0,2014-02-27,36.88,36.95,36.34,36.56,5657000
54.0,2014-02-28,36.11,36.98,36.07,36.93,7989800
55.0,2014-03-03,36.17,36.4,35.32,36.1,9495500
56.0,2014-03-04,36.57,37.46,36.57,37.34,11739700
57.0,2014-03-05,37.6,38.03,37.51,37.86,8793500
58.0,2014-03-06,38.28,39.33,38.28,38.81,14006200
59.0,2014-03-07,39.22,39.29,38.11,39.02,10536100
60.0,2014-03-10,38.7,39.88,38.55,38.96,11413500
61.0,2014-03-11,38.65,39.26,37.95,38.08,11302500
62.0,2014-03-12,37.97,38.08,37.23,37.56,9412700
63.0,2014-03-13,37.9,37.99,35.75,36.74,11743600
64.0,2014-03-14,36.0,37.18,35.67,36.34,7198600
65.0,2014-03-17,36.62,37.77,36.53,37.7,9235100
66.0,2014-03-18,37.75,38.04,37.09,37.35,5715900
67.0,2014-03-19,37.27,37.63,36.68,37.08,3863100
68.0,2014-03-20,36.61,37.09,36.28,36.56,6952100
69.0,2014-03-21,36.76,36.82,35.91,36.11,14110700
70.0,2014-03-24,36.25,36.86,36.03,36.8,6514000
71.0,2014-03-25,36.88,38.2,36.86,37.9,10418400
72.0,2014-03-26,38.15,38.26,36.64,36.7,7318200
73.0,2014-03-27,36.62,36.77,35.02,35.77,9542200
74.0,2014-03-28,35.77,36.5,35.35,35.39,6792700
75.0,2014-03-31,35.84,36.87,35.75,36.6,8415300
76.0,2014-04-01,36.95,38.19,36.85,37.94,11064900
77.0,2014-04-02,38.24,38.9,37.48,37.71,12511000
78.0,2014-04-03,37.72,38.44,36.96,37.34,7937400
79.0,2014-04-04,37.41,37.72,36.3,36.56,8731000
80.0,2014-04-07,36.78,37.48,35.46,35.78,10569800
81.0,2014-04-08,36.0,36.22,33.62,35.98,17409200
82.0,2014-04-09,36.08,37.0,35.16,36.9,11473300
83.0,2014-04-10,36.7,37.38,34.6,35.29,16311400
