Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2013-09-27,10.44,10.44,10.0,10.1,253300
1.0,2013-09-30,10.0,10.18,9.71,10.0,84900
2.0,2013-10-01,9.95,10.02,9.92,10.0,74500
3.0,2013-10-02,9.99,10.0,9.89,9.97,94000
4.0,2013-10-03,10.0,10.01,9.8,10.0,72400
5.0,2013-10-04,10.1,10.2,9.82,10.2,109800
6.0,2013-10-07,10.4,10.4,10.06,10.18,52700
7.0,2013-10-08,10.2,10.2,10.1,10.12,13900
8.0,2013-10-09,10.14,10.21,10.14,10.15,14800
9.0,2013-10-10,10.5,10.55,10.01,10.2,80300
10.0,2013-10-11,10.31,10.41,10.15,10.18,23700
11.0,2013-10-14,9.51,10.05,9.07,10.0,64400
12.0,2013-10-15,9.78,10.29,9.77,10.18,10200
13.0,2013-10-16,10.28,10.28,10.01,10.25,7100
14.0,2013-10-17,10.09,10.55,10.0,10.44,63100
15.0,2013-10-18,10.49,12.0,10.48,11.01,154200
16.0,2013-10-21,12.98,13.0,11.55,12.9,252600
17.0,2013-10-22,13.0,13.5,12.67,13.13,321200
18.0,2013-10-23,12.99,13.41,12.9,13.11,65000
19.0,2013-10-24,13.1,13.49,12.45,12.61,74700
20.0,2013-10-25,12.45,12.8,12.26,12.36,130200
21.0,2013-10-28,12.25,12.38,11.53,11.87,67800
22.0,2013-10-29,11.91,13.18,11.91,13.06,180100
23.0,2013-10-30,13.05,13.18,11.6,12.55,133500
24.0,2013-10-31,12.65,13.02,12.55,12.68,89300
25.0,2013-11-01,12.87,12.95,12.29,12.76,46400
26.0,2013-11-04,12.85,13.0,12.85,13.0,67700
27.0,2013-11-05,12.85,13.0,12.75,13.0,29200
28.0,2013-11-06,12.5,13.31,12.5,13.12,99900
29.0,2013-11-07,13.0,13.48,12.75,13.0,75100
30.0,2013-11-08,12.9,12.99,12.42,12.8,88200
31.0,2013-11-11,12.8,13.06,12.69,12.9,17200
32.0,2013-11-12,12.92,13.1,12.86,13.0,12200
33.0,2013-11-13,12.88,12.99,12.52,12.62,13500
34.0,2013-11-14,12.51,12.58,12.21,12.39,20900
35.0,2013-11-15,12.39,12.69,12.25,12.66,16500
36.0,2013-11-18,12.52,12.78,12.2,12.21,79900
37.0,2013-11-19,12.34,12.49,12.24,12.43,10400
38.0,2013-11-20,12.49,12.57,12.31,12.5,22000
39.0,2013-11-21,12.5,12.56,12.38,12.56,27200
40.0,2013-11-22,12.58,12.58,12.31,12.57,39300
41.0,2013-11-25,12.57,12.8,12.57,12.57,59600
42.0,2013-11-26,12.64,12.64,12.23,12.63,46600
