,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,18.51567,18.6563,18.3,18.3,181200
1,2000-01-04,18.5,18.5,17.0,17.812,34400
2,2000-01-05,17.062,18.188,16.938,18.0,108000
3,2000-01-06,17.62,18.0625,17.62,18.0312,84200
4,2000-01-07,18.0,18.25,17.562,17.938,66400
5,2000-01-10,18.062,20.5,17.88,20.5,242200
6,2000-01-11,20.12,20.438,19.2,19.812,103200
7,2000-01-12,20.312,20.312,19.312,19.5938,63400
8,2000-01-13,19.25,21.438,19.25,21.0,101600
9,2000-01-14,21.438,22.438,21.38,21.38,120400
10,2000-01-18,22.5,26.0,22.5,26.0,198600
11,2000-01-19,25.8,26.0,23.6562,24.38,104000
12,2000-01-20,23.53125,24.438,23.46875,23.5,43200
13,2000-01-21,23.5,30.125,23.5,29.438,581000
14,2000-01-24,30.125,32.5,29.9375,31.38,554800
15,2000-01-25,31.5,32.25,28.2,29.8,336600
16,2000-01-26,29.88,29.88,28.75,28.88,96200
17,2000-01-27,29.2,29.438,28.5,29.0,112800
18,2000-01-28,29.0,29.5,29.0,29.438,106800
19,2000-01-31,29.312,29.5,23.812,29.2,263800
20,2000-02-01,27.8,29.062,27.8,28.8,84800
21,2000-02-02,28.5312,29.0,25.875,28.12,51600
22,2000-02-03,27.938,27.938,25.0,26.8,168800
23,2000-02-04,26.88,28.5,25.688,27.562,46800
24,2000-02-07,30.491,31.375,28.724,29.86,126523
25,2000-02-08,29.2493,29.563,28.4038,28.44,28741
26,2000-02-09,29.59375,29.688,26.12,27.38,29800
27,2000-02-10,28.9063,30.2188,28.9063,29.438,48800
28,2000-02-11,29.062,29.562,28.438,29.5,38000
29,2000-02-14,29.5,29.938,28.938,29.2,19400
30,2000-02-15,29.2,32.562,29.2,32.5,195600
31,2000-02-16,32.5,37.062,32.2,35.38,240000
32,2000-02-17,35.0312,41.38,34.9375,41.38,368600
33,2000-02-18,40.2812,41.688,38.375,40.8,360200
34,2000-02-22,39.2,40.5,36.188,36.938,206400
35,2000-02-23,36.938,37.0625,35.375,35.54688,122600
36,2000-02-24,35.5,36.38,35.38,35.62,76200
37,2000-02-25,36.438,40.12,36.312,37.62,183200
38,2000-02-28,37.5,37.688,35.62,37.0,214000
39,2000-02-29,37.5,41.0,36.5,36.9688,448200
40,2000-03-01,34.063,34.9688,33.0313,33.625,2718200
41,2000-03-02,34.062,34.125,32.2,32.312,268800
42,2000-03-03,33.38,34.375,32.8,33.75,523600
43,2000-03-06,33.938,34.0625,33.75,34.062,315400
44,2000-03-07,34.0,34.0,32.0,32.12,309800
45,2000-03-08,32.8438,32.88,28.938,29.2,555200
46,2000-03-09,29.75,30.625,29.62,30.62,731000
47,2000-03-10,30.8,32.0,30.75,30.75,275400
48,2000-03-13,31.0,31.0,26.5,28.312,181000
49,2000-03-14,28.938,28.938,25.375,26.3438,349400
50,2000-03-15,26.38,26.62,21.938,24.188,226800
51,2000-03-16,24.812,25.562,22.75,23.0,215000
52,2000-03-17,24.12,27.0,23.5,25.8,206600
53,2000-03-20,25.78125,27.312,23.25,23.312,115200
54,2000-03-21,22.931,24.25,20.92,24.0929,153217
55,2000-03-22,26.62,27.8,24.4688,27.12,216400
56,2000-03-23,27.309,28.0,25.11211,25.426,127217
57,2000-03-24,25.5,25.562,24.0938,24.0938,78200
58,2000-03-27,24.5313,24.5313,22.125,22.563,100600
59,2000-03-28,23.25,25.062,22.312,23.0,85200
60,2000-03-29,23.468,23.625,21.643,22.1465,79280
61,2000-03-30,21.25,21.8,18.7188,19.062,338200
62,2000-03-31,20.125,20.438,18.438,20.2,151200
63,2000-04-03,19.75,20.438,18.5,19.12,201600
64,2000-04-04,19.1562,19.62,15.875,18.688,357000
65,2000-04-05,18.625,18.625,17.375,18.12,158400
66,2000-04-06,18.62,21.75,18.38,20.8,348200
67,2000-04-07,20.8125,21.625,19.5,20.0,44600
68,2000-04-10,20.88,21.25,20.0,20.12,77000
69,2000-04-11,20.188,20.188,18.5,19.438,118800
70,2000-04-12,19.438,19.438,16.438,16.8,114600
71,2000-04-13,17.0,17.3438,15.51567,16.563,165400
72,2000-04-14,16.312,16.312,14.2,15.0,225000
73,2000-04-17,14.625,16.62,12.62,13.9062,160800
74,2000-04-18,15.26567,16.6563,14.0,16.0313,147400
75,2000-04-19,16.0313,17.5313,15.9375,16.8,111600
76,2000-04-20,17.25,17.938,17.0312,17.7188,70600
77,2000-04-24,17.063,17.4688,16.88,16.938,35200
78,2000-04-25,16.6562,17.0,15.875,16.812,72800
79,2000-04-26,17.0,17.688,16.2,17.38,53200
80,2000-04-27,16.688,17.438,16.375,17.0,39200
81,2000-04-28,17.2,19.2188,16.5,18.562,81600
82,2000-05-01,18.0312,18.938,17.3125,17.3438,71200
83,2000-05-02,17.938,17.938,16.938,17.38,114200
84,2000-05-03,17.5,17.88,17.375,17.62,114600
85,2000-05-04,17.62,20.062,17.62,19.62,74200
86,2000-05-05,19.3125,22.5,19.3125,21.438,104000
87,2000-05-08,21.188,22.0,20.5,21.875,59600
88,2000-05-09,21.438,21.9063,20.5,20.63,69400
89,2000-05-10,20.8,20.9922,17.757,20.133,72980
90,2000-05-11,20.0,21.0,19.88,20.1562,56800
91,2000-05-12,20.3,20.8,19.8125,19.813,53800
92,2000-05-15,20.062,20.75,19.812,19.938,26800
93,2000-05-16,20.2188,20.2188,18.63,19.5938,78400
94,2000-05-17,19.5938,19.5938,19.0,19.063,223000
95,2000-05-18,19.63,20.9063,19.563,20.13,53400
96,2000-05-19,19.88,20.5,19.62,19.88,74400
