,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,18.5,18.63,17.06,17.13,315200
1,2000-01-04,17.19,17.19,16.38,16.38,276500
2,2000-01-05,16.5,16.94,16.38,16.56,154900
3,2000-01-06,16.5,16.88,16.31,16.63,100900
4,2000-01-07,16.75,16.75,15.75,16.13,358800
5,2000-01-10,16.38,16.63,16.38,16.5,152300
6,2000-01-11,16.44,16.63,16.31,16.31,367200
7,2000-01-12,16.13,16.56,16.06,16.56,98900
8,2000-01-13,16.63,17.38,16.63,17.31,369900
9,2000-01-14,17.5,18.63,17.5,18.5,795800
10,2000-01-18,18.38,18.44,17.38,17.94,243100
11,2000-01-19,17.81,17.94,17.25,17.56,328000
12,2000-01-20,17.69,17.69,17.06,17.31,295500
13,2000-01-21,17.25,17.5,17.13,17.13,326700
14,2000-01-24,17.06,17.19,15.94,16.31,128100
15,2000-01-25,16.38,16.44,15.75,15.75,200800
16,2000-01-26,15.75,17.38,15.75,17.13,562300
17,2000-01-27,17.13,17.31,16.81,17.06,298400
18,2000-01-28,17.0,17.06,16.19,16.31,263700
19,2000-01-31,16.38,16.5,15.94,16.5,164900
20,2000-02-01,16.19,17.06,16.19,17.06,387400
21,2000-02-02,16.88,16.88,16.31,16.44,606700
22,2000-02-03,16.75,17.19,16.5,17.13,270200
23,2000-02-04,17.06,17.38,16.63,16.75,109600
24,2000-02-07,17.0,17.0,16.25,16.31,330900
25,2000-02-08,16.31,16.63,16.13,16.63,438900
26,2000-02-09,16.5,16.56,15.63,15.69,278500
27,2000-02-10,15.69,15.69,14.69,15.13,375900
28,2000-02-11,15.19,15.19,14.06,14.06,324100
29,2000-02-14,14.38,14.94,14.25,14.25,512500
30,2000-02-15,14.44,14.88,14.44,14.75,400500
31,2000-02-16,15.0,15.0,14.56,14.63,346300
32,2000-02-17,14.63,14.88,14.0,14.06,436400
33,2000-02-18,14.25,14.56,12.63,12.94,438800
34,2000-02-22,12.88,13.13,11.88,11.88,781700
35,2000-02-23,12.25,13.13,12.25,12.88,529500
36,2000-02-24,12.94,13.13,12.25,12.94,326800
37,2000-02-25,12.75,13.38,12.69,12.94,255700
38,2000-02-28,12.88,13.75,12.81,13.5,325800
39,2000-02-29,13.5,14.0,13.25,13.94,421900
40,2000-03-01,13.63,13.63,13.0,13.19,343600
41,2000-03-02,13.19,14.0,13.0,13.94,376700
42,2000-03-03,13.81,13.88,12.81,12.88,333300
43,2000-03-06,13.13,13.19,12.63,12.63,163500
44,2000-03-07,12.63,12.63,11.31,11.44,289500
45,2000-03-08,11.5,11.56,10.63,11.0,508500
46,2000-03-09,11.0,12.13,10.94,11.88,415600
47,2000-03-10,11.75,12.13,11.5,11.56,382000
48,2000-03-13,11.38,12.0,11.31,11.56,244100
49,2000-03-14,11.56,12.19,11.5,11.81,380200
50,2000-03-15,11.75,13.0,11.5,13.0,608700
51,2000-03-16,13.13,15.5,13.13,15.5,860200
52,2000-03-17,15.38,15.5,14.88,15.06,646100
53,2000-03-20,14.88,14.88,14.06,14.06,226200
54,2000-03-21,14.06,14.38,13.5,14.38,200600
55,2000-03-22,14.38,15.0,14.25,15.0,712700
56,2000-03-23,15.0,15.94,14.94,15.81,707700
57,2000-03-24,15.75,15.81,15.0,15.0,441300
58,2000-03-27,15.13,15.13,14.13,14.25,558400
59,2000-03-28,14.25,14.31,13.94,13.94,569300
60,2000-03-29,13.75,14.56,13.75,14.44,652600
61,2000-03-30,14.44,14.75,14.25,14.75,288900
62,2000-03-31,14.81,16.94,14.56,16.31,472400
63,2000-04-03,16.5,16.5,15.75,15.75,490700
64,2000-04-04,15.81,15.81,13.94,14.19,405000
65,2000-04-05,13.31,15.31,13.31,15.25,1937200
66,2000-04-06,15.25,16.44,15.25,15.75,371700
67,2000-04-07,15.75,16.25,15.75,16.06,286700
68,2000-04-10,16.0,16.25,15.94,16.06,389900
69,2000-04-11,16.13,16.75,15.69,16.56,335500
70,2000-04-12,16.56,17.25,16.5,16.81,481300
71,2000-04-13,16.69,16.94,15.72,16.25,311400
72,2000-04-14,16.19,17.25,15.75,15.88,906200
73,2000-04-17,15.94,17.06,15.81,16.81,628300
74,2000-04-18,16.75,17.88,16.75,17.31,551300
75,2000-04-19,17.25,17.81,16.44,16.81,475300
76,2000-04-20,16.94,18.19,16.81,17.63,486600
77,2000-04-24,17.63,18.38,17.63,17.94,448500
78,2000-04-25,18.5,19.94,18.25,19.88,1244300
79,2000-04-26,20.63,21.25,19.31,19.31,830600
80,2000-04-27,19.19,19.19,18.25,18.75,472700
81,2000-04-28,18.75,18.75,18.31,18.69,209600
82,2000-05-01,18.75,19.69,18.63,19.38,411800
83,2000-05-02,19.44,19.44,18.13,18.88,288400
84,2000-05-03,18.75,18.75,17.25,17.69,472300
85,2000-05-04,17.88,18.0,17.06,17.38,277800
86,2000-05-05,17.5,17.88,17.13,17.88,529000
87,2000-05-08,18.5,19.0,18.25,18.81,275600
88,2000-05-09,18.75,18.75,17.25,17.63,469500
89,2000-05-10,17.56,18.13,17.31,17.94,208500
90,2000-05-11,18.13,19.25,18.13,18.44,592400
91,2000-05-12,18.63,18.94,18.5,18.69,159500
92,2000-05-15,18.56,18.69,18.44,18.69,216900
93,2000-05-16,18.88,18.88,18.44,18.5,225700
94,2000-05-17,18.56,18.56,17.38,17.5,285700
95,2000-05-18,17.69,18.25,17.44,18.06,348500
96,2000-05-19,17.94,18.0,17.5,17.63,343300
97,2000-05-22,17.69,17.94,17.44,17.75,288700
98,2000-05-23,17.75,18.25,17.75,17.81,250000
99,2000-05-24,17.94,17.94,17.0,17.75,182500
100,2000-05-25,17.75,18.0,17.69,17.81,201100
101,2000-05-26,17.38,17.88,17.31,17.81,142300
102,2000-05-30,17.94,18.44,17.63,18.44,225100
103,2000-05-31,18.5,18.81,18.44,18.5,265700
104,2000-06-01,18.94,18.94,18.75,18.75,434800
105,2000-06-02,18.94,20.13,18.94,19.75,397000
106,2000-06-05,19.5,20.69,19.44,20.13,440200
107,2000-06-06,20.38,20.5,20.0,20.0,293700
108,2000-06-07,20.0,20.94,20.0,20.63,652900
109,2000-06-08,20.56,20.69,20.31,20.63,228300
