,DateTime,Open,High,Low,Close,Volume
0,2016-05-13,29.0,31.94,29.0,30.95,4191956
1,2016-05-16,30.99,31.25,28.01,28.12,492922
2,2016-05-17,28.0,28.88,28.0,28.7,409877
3,2016-05-18,28.78,29.43,27.56,28.0,241030
4,2016-05-19,27.05,28.86,27.05,28.39,275680
5,2016-05-20,28.67,30.1,28.4108,29.28,272705
6,2016-05-23,29.86,33.28,29.4703,32.7,1184123
7,2016-05-24,32.73,35.83,31.6676,35.1,855356
8,2016-05-25,35.6,37.77,34.82,37.44,1289999
9,2016-05-26,36.97,38.4296,36.302,37.06,845998
10,2016-05-27,36.99,38.09,36.06,37.74,264518
11,2016-05-31,38.12,39.43,37.59,39.35,340750
12,2016-06-01,39.17,43.1,38.71,39.59,931116
13,2016-06-02,39.4,40.46,37.37,37.51,826353
14,2016-06-03,37.35,37.79,35.11,35.11,484965
15,2016-06-06,35.37,36.85,35.33,35.85,400717
16,2016-06-07,36.84,41.2,36.605,38.37,851596
17,2016-06-08,39.49,39.62,37.54,37.55,278572
18,2016-06-09,37.6,38.3023,35.68,37.76,279024
19,2016-06-10,37.5,39.3463,37.01,38.25,278205
20,2016-06-13,37.2,39.28,35.71,36.265,424068
21,2016-06-14,36.03,38.6499,36.03,38.6,374240
22,2016-06-15,39.0,42.61,38.554,41.78,875421
23,2016-06-16,42.38,45.75,40.0,44.23,900387
24,2016-06-17,45.46,45.75,43.155,43.89,584619
25,2016-06-20,44.95,45.75,40.59,41.11,857335
26,2016-06-21,41.16,41.7399,38.65,38.88,963734
27,2016-06-22,38.49,40.8599,38.1301,39.69,657342
28,2016-06-23,40.68,40.78,37.53,38.91,426668
29,2016-06-24,37.08,39.7699,37.03,37.26,866319
30,2016-06-27,37.03,37.495,32.92,34.45,1013291
31,2016-06-28,35.45,38.81,35.05,38.19,968383
32,2016-06-29,39.19,39.25,37.14,37.82,369740
33,2016-06-30,37.59,40.0,36.86,39.91,505190
34,2016-07-01,40.0,42.34,39.29,41.11,546619
35,2016-07-05,42.24,42.24,40.04,41.3201,321328
36,2016-07-06,40.76,43.0,40.1,42.89,372891
37,2016-07-07,43.22,47.0699,43.2,44.12,1262225
38,2016-07-08,45.75,46.94,43.58,43.94,830361
39,2016-07-11,46.07,49.39,45.3849,48.87,1820603
40,2016-07-12,49.32,51.87,48.31,51.37,1257623
41,2016-07-13,51.5,51.5,47.0,49.62,1406266
42,2016-07-14,51.13,52.63,50.2701,52.4,1097699
43,2016-07-15,53.4,54.9,52.99,54.77,750695
44,2016-07-18,54.5,58.4,53.2369,57.1,1168265
45,2016-07-19,57.22,60.9,55.88,58.77,2156899
46,2016-07-20,58.73,63.12,57.06,62.44,1460299
47,2016-07-21,62.53,63.879,56.88,57.78,1715392
48,2016-07-22,58.36,61.138,57.56,59.1486,756377
49,2016-07-25,60.91,64.0,59.11,63.32,985458
50,2016-07-26,64.89,65.5,59.52,59.54,817448
51,2016-07-27,62.38,64.91,60.031,64.81,987523
52,2016-07-28,63.2,64.63,62.25,63.46,544535
53,2016-07-29,64.25,66.0,63.4,65.0,539257
54,2016-08-01,65.84,66.43,63.55,63.88,477086
55,2016-08-02,65.0,65.38,59.79,60.72,665815
56,2016-08-03,60.58,62.19,58.88,60.84,470513
57,2016-08-04,61.76,64.675,60.751,64.4,481079
58,2016-08-05,65.24,65.24,63.0,64.02,387177
59,2016-08-08,64.84,65.87,63.5453,64.27,297931
60,2016-08-09,65.5,68.1,64.51,67.0,503723
61,2016-08-10,68.39,70.43,67.55,69.43,1051141
62,2016-08-11,71.63,73.4999,67.51,67.69,1686807
63,2016-08-12,83.5,98.75,83.0,95.5585,4746624
64,2016-08-15,103.23,109.36,99.33,102.34,3518066
65,2016-08-16,99.68,106.54,97.02,101.92,2062487
66,2016-08-17,101.16,115.48,101.1,115.3403,2363552
67,2016-08-18,118.0,124.9,114.05,117.9341,3125322
68,2016-08-19,115.0,119.39,111.31,114.93,1245237
69,2016-08-22,113.78,119.19,113.35,117.56,1232742
70,2016-08-23,120.0,120.0,110.5,110.73,1478893
71,2016-08-24,107.69,110.3071,101.45,102.04,2386097
72,2016-08-25,100.59,105.729,100.28,101.02,996496
73,2016-08-26,101.66,109.467,100.31,107.861,2416445
74,2016-08-29,107.41,115.48,107.25,113.4,2652481
75,2016-08-30,114.5,116.85,112.3901,114.53,1623179
76,2016-08-31,114.89,115.51,110.5,111.82,987406
77,2016-09-01,113.83,114.0,110.83,112.1,607389
78,2016-09-02,112.64,117.53,112.0,113.125,1079484
79,2016-09-06,115.2,127.2,114.66,123.28,3181755
80,2016-09-07,125.0,128.73,118.01,120.17,1821104
81,2016-09-08,119.0,121.26,116.0005,117.72,950578
82,2016-09-09,117.89,121.935,103.2,106.47,3445838
