Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2020-12-10,99.48,131.746,96.0,130.0,22839500
1.0,2020-12-11,123.82,133.0,116.0,119.58,11758600
2.0,2020-12-14,122.16,123.83,100.66,102.36,8197500
3.0,2020-12-15,104.57,109.89,98.1,102.0,5715300
4.0,2020-12-16,105.0,116.71,104.0,113.69,5365700
5.0,2020-12-17,118.44,121.0,115.45,117.24,3414800
6.0,2020-12-18,116.67,145.0,115.09,137.59,8486400
7.0,2020-12-21,142.014,168.77,141.0,160.89,11570200
8.0,2020-12-22,170.53,179.0,163.3,177.47,8283300
9.0,2020-12-23,166.9,183.9,151.58,161.06,10864600
10.0,2020-12-24,168.0,172.5,156.87,161.0,4375700
11.0,2020-12-28,168.68,168.798,143.13,145.88,6155200
12.0,2020-12-29,146.31,146.39,135.0,139.78,5189100
13.0,2020-12-30,141.65,151.5,141.0,146.84,4999500
14.0,2020-12-31,144.1,144.1,136.512,138.75,2315100
15.0,2021-01-04,131.14,131.205,119.06,120.01,5123800
16.0,2021-01-05,119.5,128.127,117.5,122.17,3753300
17.0,2021-01-06,119.04,119.2,112.05,113.4,5756600
18.0,2021-01-07,117.98,137.0,115.9,133.58,6840000
19.0,2021-01-08,135.92,147.5,135.6,143.63,6305000
20.0,2021-01-11,136.0,142.257,133.01,135.62,2517000
21.0,2021-01-12,138.3,138.441,127.54,133.98,3103300
22.0,2021-01-13,134.0,145.0,134.0,143.14,3183000
23.0,2021-01-14,145.82,151.84,137.2,138.5,3627500
24.0,2021-01-15,142.0,142.49,132.6,134.15,1541300
25.0,2021-01-19,136.0,137.79,126.4,126.83,2607700
26.0,2021-01-20,129.12,131.85,123.48,131.38,2651300
27.0,2021-01-21,133.5,134.45,128.15,130.01,1619800
28.0,2021-01-22,127.0,127.99,122.82,126.57,3612500
29.0,2021-01-25,127.6,151.0,127.36,147.83,7563200
30.0,2021-01-26,144.61,148.39,138.11,141.43,2951300
31.0,2021-01-27,139.08,160.43,134.032,149.09,4581300
32.0,2021-01-28,149.91,154.03,139.49,148.0,2167600
33.0,2021-01-29,146.0,147.64,136.71,139.6,1710300
34.0,2021-02-01,140.69,142.3,133.58,137.75,1481200
35.0,2021-02-02,149.0,155.3,145.62,146.88,3924400
36.0,2021-02-03,149.93,149.992,143.63,147.05,1970700
37.0,2021-02-04,147.5,158.27,147.5,154.37,3287800
38.0,2021-02-05,155.07,155.9,144.41,146.6,2394700
39.0,2021-02-08,150.0,151.9,145.8,150.8,2015800
40.0,2021-02-09,151.99,172.99,151.99,168.92,4493700
41.0,2021-02-10,170.2,176.94,156.32,161.45,3090300
42.0,2021-02-11,162.86,167.79,154.6,156.56,1543200
43.0,2021-02-12,158.86,160.88,152.03,153.73,1615300
44.0,2021-02-16,155.4,157.5,145.45,147.17,3078500
45.0,2021-02-17,146.01,147.0,136.7,140.06,3056100
46.0,2021-02-18,136.7,137.395,131.0,133.56,3077300
47.0,2021-02-19,134.77,138.79,133.155,134.54,1859400
48.0,2021-02-22,132.99,134.0,125.73,126.22,2247000
49.0,2021-02-23,121.25,123.0,110.19,121.12,3822900
50.0,2021-02-24,122.01,125.32,118.34,122.53,2174500
51.0,2021-02-25,123.96,127.31,112.73,114.31,3938300
52.0,2021-02-26,116.1,117.94,109.5,112.46,2497400
53.0,2021-03-01,116.19,121.88,115.0,121.05,3435900
54.0,2021-03-02,106.9,109.54,97.5,98.5,12320900
55.0,2021-03-03,99.41,101.46,91.11,93.32,5490100
56.0,2021-03-04,92.0,95.56,83.04,88.51,5930000
57.0,2021-03-05,89.44,98.1,77.0,95.15,7150800
58.0,2021-03-08,88.01,93.0,82.85,83.61,9266800
59.0,2021-03-09,85.0,88.58,83.0,84.91,9321200
60.0,2021-03-10,89.0,89.82,82.85,84.56,4653000
61.0,2021-03-11,86.67,88.4,85.5,86.47,4492200
62.0,2021-03-12,85.48,90.91,82.93,90.0,5833300
63.0,2021-03-15,91.75,91.75,85.8,86.77,5333500
64.0,2021-03-16,87.0,88.42,82.15,83.0,3695400
65.0,2021-03-17,80.1,83.49,79.21,80.56,4659700
66.0,2021-03-18,79.0,80.96,75.25,75.81,4919500
67.0,2021-03-19,75.5,76.09,72.3,74.52,5702700
68.0,2021-03-22,75.15,77.87,73.03,75.06,5200800
69.0,2021-03-23,75.0,75.49,70.12,70.51,4844900
70.0,2021-03-24,70.79,71.01,64.5,64.52,6031600
71.0,2021-03-25,62.0,69.625,61.51,66.89,5325700
72.0,2021-03-26,67.36,67.99,61.09,64.7,3199700
73.0,2021-03-29,64.69,65.34,61.67,62.01,2622200
74.0,2021-03-30,61.63,63.59,59.75,63.09,2676400
75.0,2021-03-31,65.33,68.9,65.0,65.91,3626100
76.0,2021-04-01,69.25,71.16,67.395,68.9,3554800
77.0,2021-04-05,71.0,71.7,67.51,68.41,2524400
78.0,2021-04-06,67.5,69.77,66.8,68.79,1648900
79.0,2021-04-07,68.19,68.46,62.7,63.2,4987500
80.0,2021-04-08,63.8,65.35,62.15,63.35,3563200
81.0,2021-04-09,62.07,62.3,60.06,61.03,4340400
82.0,2021-04-12,60.87,61.74,58.8,59.89,3111900
83.0,2021-04-13,59.97,63.38,59.31,63.01,3297300
84.0,2021-04-14,64.95,73.7,64.75,68.46,11721300
85.0,2021-04-15,70.1,71.92,65.11,66.5,6223600
86.0,2021-04-16,65.84,67.16,63.21,66.79,2988000
87.0,2021-04-19,66.35,68.75,61.15,62.1,4484200
88.0,2021-04-20,62.11,63.79,59.4,60.86,2676000
89.0,2021-04-21,60.2,66.57,59.321,66.51,2795300
90.0,2021-04-22,66.35,70.33,64.8,67.16,4335400
91.0,2021-04-23,67.3,70.65,67.25,69.33,2947800
92.0,2021-04-26,70.05,72.75,68.05,72.49,3055600
93.0,2021-04-27,73.38,73.47,70.325,70.91,2406300
94.0,2021-04-28,70.55,73.2,69.55,71.84,1821200
95.0,2021-04-29,72.32,72.53,65.8,66.7,3488700
96.0,2021-04-30,64.26,68.36,64.2,66.26,1684700
97.0,2021-05-03,66.34,66.345,60.8,61.59,3475500
98.0,2021-05-04,60.5,60.7,57.577,59.25,4270800
99.0,2021-05-05,60.0,60.27,57.9,58.74,2654200
100.0,2021-05-06,58.1,58.88,55.105,56.34,2718300
101.0,2021-05-07,57.7,60.65,56.01,56.35,2559300
102.0,2021-05-10,56.5,56.5,53.21,53.65,2421300
103.0,2021-05-11,50.0,54.93,50.0,54.75,2726400
104.0,2021-05-12,53.26,54.58,51.1,51.59,1734400
105.0,2021-05-13,52.03,53.49,47.22,48.89,2916300
106.0,2021-05-14,50.05,52.42,48.545,51.94,1793100
107.0,2021-05-17,51.94,53.69,51.26,53.25,1294000
108.0,2021-05-18,54.11,59.0,53.68,57.44,2965000
109.0,2021-05-19,54.93,58.2,54.12,56.92,1611700
110.0,2021-05-20,58.9,59.69,57.1,57.9,1392300
111.0,2021-05-21,58.95,62.16,57.75,61.18,2454000
112.0,2021-05-24,61.74,62.09,58.68,59.59,1425900
113.0,2021-05-25,60.82,60.95,57.25,57.88,1512200
114.0,2021-05-26,58.3,61.49,58.1,61.43,1299900
115.0,2021-05-27,61.08,63.88,58.961,63.2,2244400
116.0,2021-05-28,63.4,65.199,61.585,61.71,1537500
117.0,2021-06-01,62.5,73.15,62.5,71.76,7984600
118.0,2021-06-02,70.2,76.85,69.3,76.15,9410200
119.0,2021-06-03,68.0,70.3,64.55,68.26,6573900
120.0,2021-06-04,67.31,67.98,64.33,64.43,3879400
121.0,2021-06-07,62.56,62.8,58.78,60.91,12226100
122.0,2021-06-08,61.14,65.5,60.51,63.29,8489100
123.0,2021-06-09,64.51,66.73,62.03,62.1,4398100
124.0,2021-06-10,62.67,62.67,57.8,58.08,8221100
125.0,2021-06-11,58.3,60.63,58.2,60.55,3052900
126.0,2021-06-14,61.4,62.55,59.47,60.0,3892000
127.0,2021-06-15,59.76,60.37,56.9,57.25,3951800
128.0,2021-06-16,57.09,58.75,56.03,57.9,3419200
129.0,2021-06-17,57.57,60.22,57.2,59.9,2831700
130.0,2021-06-18,59.49,60.5,58.32,59.18,2590300
131.0,2021-06-21,59.01,59.57,57.25,57.89,3087200
132.0,2021-06-22,57.83,60.74,57.61,60.49,2924100
133.0,2021-06-23,60.29,61.83,59.8,61.65,2490200
134.0,2021-06-24,62.17,63.14,61.55,61.88,3620700
135.0,2021-06-25,62.5,64.95,62.39,64.15,6696000
136.0,2021-06-28,64.5,67.38,64.48,66.41,5020800
137.0,2021-06-29,66.55,67.37,63.83,64.42,3436700
138.0,2021-06-30,64.03,65.98,62.21,62.53,5185500
139.0,2021-07-01,62.59,64.44,61.7,63.8,2973400
140.0,2021-07-02,63.71,64.5,60.51,60.53,2488000
141.0,2021-07-06,60.84,61.8,59.2,59.99,2160500
142.0,2021-07-07,60.0,60.23,57.25,58.41,2560500
143.0,2021-07-08,57.1,58.5,55.6,58.5,1924800
144.0,2021-07-09,58.61,59.28,57.355,59.19,1724300
145.0,2021-07-12,59.01,59.18,56.34,57.51,2808700
146.0,2021-07-13,57.0,57.33,54.95,55.12,2521700
147.0,2021-07-14,55.6,55.7,51.233,51.44,5216400
148.0,2021-07-15,51.99,53.44,50.17,52.24,3231400
149.0,2021-07-16,52.37,52.77,50.1,50.64,4014400
150.0,2021-07-19,50.0,51.53,48.95,51.21,2598100
151.0,2021-07-20,51.85,53.46,50.96,53.15,1950200
152.0,2021-07-21,53.6,54.641,53.2,54.03,1651500
153.0,2021-07-22,54.23,54.5,52.57,53.08,1207300
154.0,2021-07-23,53.14,53.29,51.11,51.36,1490700
155.0,2021-07-26,51.46,52.82,50.41,51.5,1622000
156.0,2021-07-27,51.1,51.63,49.21,50.91,1807100
157.0,2021-07-28,51.33,53.3,51.17,52.79,1711100
158.0,2021-07-29,52.98,53.37,51.64,51.67,1163400
159.0,2021-07-30,51.32,51.854,50.1,50.35,1329000
160.0,2021-08-02,50.45,51.37,49.859,50.06,1977300
161.0,2021-08-03,50.1,50.1,48.4,49.8,2973400
162.0,2021-08-04,49.41,51.09,48.9,49.14,1908700
163.0,2021-08-05,49.0,50.13,48.27,49.41,1978300
164.0,2021-08-06,49.39,49.88,48.15,48.83,2024300
165.0,2021-08-09,48.75,51.37,48.7,50.7,2002500
166.0,2021-08-10,51.04,52.195,50.51,50.8,1294400
167.0,2021-08-11,51.59,51.63,49.81,51.0,1198900
168.0,2021-08-12,50.72,51.75,50.37,51.44,977300
169.0,2021-08-13,51.06,51.18,49.18,49.38,2237400
170.0,2021-08-16,49.0,49.18,45.9,46.62,3153900
171.0,2021-08-17,45.99,46.04,44.78,45.94,2819100
172.0,2021-08-18,46.2,46.9,44.73,46.08,2299200
173.0,2021-08-19,45.28,45.8,44.35,44.79,2116800
174.0,2021-08-20,44.75,46.14,44.7,45.51,2496200
175.0,2021-08-23,46.1,46.937,45.08,46.64,2490000
176.0,2021-08-24,47.5,50.25,47.359,49.72,2400600
177.0,2021-08-25,49.91,50.44,48.901,49.7,1730400
178.0,2021-08-26,49.69,51.379,49.32,49.41,1646500
179.0,2021-08-27,49.6,51.36,49.37,50.58,1894200
180.0,2021-08-30,50.93,52.67,50.5,51.25,2465900
181.0,2021-08-31,51.95,51.98,50.24,51.54,2567400
182.0,2021-09-01,53.105,55.58,52.37,53.11,8890900
183.0,2021-09-02,48.4,49.5,47.021,47.67,11561100
184.0,2021-09-03,47.81,51.94,47.8,50.61,7053900
185.0,2021-09-07,50.5,52.29,50.3,51.47,4041900
186.0,2021-09-08,51.1,51.75,49.29,50.6,2232700
187.0,2021-09-09,50.35,52.01,50.064,50.64,2802200
