,DateTime,Open,High,Low,Close,Volume
0,2015-06-17,66.0,71.36,59.0,59.0,1225402
1,2015-06-18,61.52,61.52,58.96,59.16,123339
2,2015-06-19,57.92,60.36,56.28,59.52,56449
3,2015-06-22,60.0,60.0,58.8,59.96,32585
4,2015-06-23,59.28,60.0,58.682,59.52,14382
5,2015-06-24,60.0,60.0,58.96,59.24,13701
6,2015-06-25,59.32,59.64,57.44,59.22,12134
7,2015-06-26,59.8,60.0,59.12,59.96,23895
8,2015-06-29,59.6,60.0,58.12,59.92,4264
9,2015-06-30,59.76,61.18,59.0,60.6,53260
10,2015-07-01,61.48,63.84,60.7592,63.6,26037
11,2015-07-02,63.64,65.04,61.4,64.36,45106
12,2015-07-06,64.24,64.24,62.2152,63.96,27510
13,2015-07-07,63.16,64.64,63.04,63.8,11354
14,2015-07-08,63.12,64.72,62.48,63.56,55822
15,2015-07-09,63.16,64.0,63.04,63.96,13726
16,2015-07-10,63.52,67.2,63.52,66.6,21886
17,2015-07-13,67.48,71.96,64.6,65.64,61559
18,2015-07-14,65.36,67.5196,64.36,66.32,6803
19,2015-07-15,66.4,67.4,65.04,65.6,16483
20,2015-07-16,66.88,70.6,65.552,69.72,30281
21,2015-07-17,70.2,76.8,70.05,76.48,65101
22,2015-07-20,77.32,78.4,71.0,71.76,39537
23,2015-07-21,73.0,74.92,70.12,72.52,56558
24,2015-07-22,72.52,73.8,72.0,73.04,27732
25,2015-07-23,73.72,74.92,70.16,71.0,60433
26,2015-07-24,71.24,72.76,66.0976,72.36,57303
27,2015-07-27,69.08,72.88,69.08,72.88,24039
28,2015-07-28,72.88,72.88,70.56,71.84,24988
29,2015-07-29,71.28,74.08,70.56,70.936,34195
30,2015-07-30,71.24,72.7196,68.4804,69.64,19521
31,2015-07-31,69.36,71.04,67.2,67.84,12970
32,2015-08-03,67.96,67.96,66.52,66.96,13164
33,2015-08-04,66.8,71.12,66.8,69.604,30542
34,2015-08-05,70.56,71.44,68.64,70.84,24287
