Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2009-12-10,3.888,3.888,3.888,3.888,833.0
1.0,2009-12-11,1.8,1.8,1.8,1.8,250.0
2.0,2009-12-14,1.8,3.6,1.8,3.6,8889.0
3.0,2009-12-15,3.6,3.6,2.52,2.52,1767.0
4.0,2009-12-16,2.52,2.52,2.52,2.52,55.7
5.0,2009-12-17,3.24,5.4,3.24,5.04,900.0
6.0,2009-12-18,3.96,3.96,3.96,3.96,27.8
7.0,2009-12-21,4.32,4.32,4.32,4.32,533.0
8.0,2009-12-22,3.6,3.6,2.52,2.52,1861.0
9.0,2009-12-23,2.52,2.52,2.52,2.52,139.0
10.0,2009-12-24,2.52,2.88,1.8,2.88,8311.0
11.0,2009-12-28,2.88,3.6,2.88,3.6,7662.0
12.0,2009-12-29,3.24,3.24,3.24,3.24,55206.0
13.0,2009-12-30,3.24,4.32,3.24,4.32,13778.0
14.0,2009-12-31,4.68,4.68,4.32,4.32,3181.0
15.0,2010-01-04,3.96,4.32,3.24,3.24,3544.0
16.0,2010-01-05,2.88,5.4,2.88,5.04,1726.0
17.0,2010-01-06,1.98,5.76,1.98,5.76,1017.0
18.0,2010-01-08,1.8,5.292,1.8,5.292,1667.0
19.0,2010-01-11,3.24,5.328,3.24,5.328,406.0
20.0,2010-01-14,5.328,5.328,5.328,5.328,1056.0
21.0,2010-01-15,5.328,5.4,5.328,5.4,1878.0
22.0,2010-01-21,5.04,5.04,4.32,4.32,2495.0
23.0,2010-01-22,3.24,3.96,3.24,3.96,153.0
24.0,2010-01-25,4.32,5.76,4.32,5.76,1369.0
25.0,2010-01-26,5.76,5.76,5.76,5.76,333.0
26.0,2010-01-27,4.68,5.04,4.68,5.04,5833.0
27.0,2010-01-28,4.32,4.32,4.32,4.32,20.5
28.0,2010-02-01,3.24,4.32,3.24,3.24,222.0
29.0,2010-02-03,4.68,4.68,4.68,4.68,133.0
30.0,2010-02-05,5.04,5.04,5.04,5.04,450.0
31.0,2010-02-12,5.76,5.76,5.04,5.04,1167.0
32.0,2010-02-16,1.8,5.04,1.8,5.04,2333.0
33.0,2010-02-18,3.4992,3.4992,3.4992,3.4992,30.5
34.0,2010-02-22,3.6,3.6,3.6,3.6,200.0
35.0,2010-02-26,3.6,5.04,3.6,5.04,978.0
36.0,2010-03-01,3.6,3.6036,3.6,3.6036,224.0
37.0,2010-03-03,3.6,3.6,3.6,3.6,55.7
38.0,2010-03-05,3.528,5.76,3.528,3.528,5543.0
39.0,2010-03-08,4.32,4.32,4.32,4.32,500.0
40.0,2010-03-10,3.528,3.528,3.528,3.528,66.7
41.0,2010-03-12,3.528,5.76,3.528,5.76,1300.0
42.0,2010-03-16,3.5352,5.04,3.42,3.42,1444.0
43.0,2010-03-17,2.6748,3.42,2.6748,3.42,1700.0
44.0,2010-03-22,4.0356,4.0356,4.0356,4.0356,59.0
45.0,2010-03-29,4.32,4.68,4.32,4.68,694.0
46.0,2010-04-01,5.4,5.4,5.4,5.4,431.0
47.0,2010-04-05,2.6748,2.6748,2.6748,2.6748,55.7
48.0,2010-04-07,5.04,5.04,5.04,5.04,167.0
49.0,2010-04-12,5.4,5.4,5.4,5.4,1500.0
50.0,2010-04-14,2.7,5.4,2.7,5.4,389.0
51.0,2010-04-19,5.4,5.4,5.4,5.4,500.0
52.0,2010-04-20,5.76,5.76,5.76,5.76,25.7
53.0,2010-04-21,3.6,5.76,3.6,5.76,1633.0
54.0,2010-04-22,5.04,5.04,5.04,5.04,83.3
55.0,2010-04-23,5.04,5.04,5.04,5.04,16.7
56.0,2010-04-26,3.6,3.6,3.6,3.6,783.0
57.0,2010-04-27,3.96,3.96,3.96,3.96,38.8
58.0,2010-04-28,5.04,5.04,3.96,3.96,767.0
59.0,2010-04-29,4.68,4.68,4.68,4.68,2592.0
60.0,2010-04-30,5.04,5.04,5.04,5.04,333.0
61.0,2010-05-03,5.04,5.04,5.04,5.04,50.0
62.0,2010-05-06,5.04,5.04,4.32,5.04,2517.0
63.0,2010-05-07,5.04,5.04,5.04,5.04,49.8
64.0,2010-05-10,4.32,4.68,3.6,4.68,1759.0
65.0,2010-05-11,2.34,2.34,2.34,2.34,55.5
66.0,2010-05-13,2.16,4.68,2.16,4.68,3914.0
67.0,2010-05-17,3.24,3.24,2.16,2.16,183.0
68.0,2010-05-18,2.16,3.6,2.16,3.6,2000.0
69.0,2010-05-25,2.16,2.16,2.16,2.16,47.7
70.0,2010-05-26,2.52,2.52,2.52,2.52,133.0
71.0,2010-05-28,2.88,2.88,2.88,2.88,172.0
72.0,2010-06-10,2.88,2.88,2.88,2.88,139.0
73.0,2010-06-14,2.88,2.88,2.88,2.88,21.3
74.0,2010-06-21,2.16,2.16,2.16,2.16,500.0
75.0,2010-06-24,2.16,2.16,2.16,2.16,200.0
76.0,2010-06-25,2.16,2.16,2.16,2.16,83.3
77.0,2010-06-29,3.96,3.96,2.16,2.16,2278.0
78.0,2010-07-01,2.16,2.16,2.16,2.16,250.0
79.0,2010-07-06,1.8,3.6,1.8,3.6,889.0
80.0,2010-07-08,1.8,1.8,1.8,1.8,111.0
81.0,2010-07-13,1.8,1.836,1.8,1.836,1667.0
82.0,2010-07-14,1.836,2.88,1.836,1.872,767.0
83.0,2010-07-15,2.88,2.88,2.88,2.88,4667.0
84.0,2010-07-16,1.872,1.872,1.872,1.872,42.2
85.0,2010-07-23,2.88,2.88,2.88,2.88,1667.0
86.0,2010-07-28,2.88,2.88,1.872,2.88,137.0
87.0,2010-07-30,1.872,1.872,1.872,1.872,333.0
88.0,2010-08-02,2.7,2.7,2.7,2.7,1333.0
89.0,2010-08-04,1.872,2.88,1.08,1.08,2227.0
90.0,2010-08-06,1.1592,1.1592,1.1592,1.1592,83.5
91.0,2010-08-09,2.52,2.88,2.52,2.88,8800.0
92.0,2010-08-10,2.88,3.6,2.88,3.24,26667.0
93.0,2010-08-11,1.8,1.8,1.8,1.8,333.0
94.0,2010-08-17,3.6,3.6,3.6,3.6,71.0
95.0,2010-08-18,1.44,1.44,1.44,1.44,83.3
96.0,2010-08-19,2.52,2.52,2.52,2.52,28333.0
97.0,2010-08-24,1.5192,1.5228,1.5192,1.5228,444.0
98.0,2010-08-25,1.5192,1.5192,1.5192,1.5192,333.0
99.0,2010-08-27,1.44,1.44,1.44,1.44,300.0
100.0,2010-09-08,1.44,1.44,1.44,1.44,383.0
101.0,2010-09-09,2.88,2.88,2.88,2.88,24933.0
102.0,2010-09-13,1.656,1.656,1.656,1.656,83.3
103.0,2010-09-14,1.656,1.656,1.656,1.656,79.0
104.0,2010-09-15,1.548,1.548,1.548,1.548,27.8
105.0,2010-09-16,1.62,1.62,1.548,1.548,991.0
106.0,2010-09-22,1.44,1.44,1.44,1.44,500.0
107.0,2010-09-23,1.44,1.44,1.44,1.44,683.0
108.0,2010-09-24,1.44,1.8,1.44,1.44,17561.0
109.0,2010-09-27,1.44,1.44,1.44,1.44,27.8
110.0,2010-09-29,1.44,1.44,1.44,1.44,1079.0
111.0,2010-10-01,1.44,1.44,1.44,1.44,1306.0
112.0,2010-10-04,1.08,1.08,1.08,1.08,333.0
113.0,2010-10-05,1.08,1.368,1.08,1.368,2627.0
114.0,2010-10-06,1.44,1.44,1.44,1.44,9167.0
115.0,2010-10-07,1.368,1.44,1.368,1.44,2830.0
116.0,2010-10-08,1.08,1.44,1.08,1.44,8628.0
117.0,2010-10-12,1.44,1.44,1.44,1.44,83.3
118.0,2010-10-14,1.44,1.44,1.44,1.44,92.8
119.0,2010-10-15,1.44,1.44,1.44,1.44,244.0
120.0,2010-10-18,1.44,1.44,1.44,1.44,483.0
121.0,2010-10-19,1.44,1.44,1.44,1.44,167.0
122.0,2010-10-20,1.44,1.44,1.44,1.44,131.0
123.0,2010-10-21,1.44,1.44,1.44,1.44,83.3
124.0,2010-10-25,1.44,1.44,1.44,1.44,23.3
125.0,2010-10-27,1.62,1.62,1.62,1.62,136.0
126.0,2010-10-28,1.62,1.62,1.62,1.62,1389.0
127.0,2010-10-29,1.8,2.16,1.8,2.16,5952.0
128.0,2010-11-01,1.62,1.62,1.62,1.62,47.2
129.0,2010-11-04,1.62,1.62,1.62,1.62,1006.0
130.0,2010-11-05,1.62,1.62,1.62,1.62,27.8
131.0,2010-11-09,1.62,1.62,1.62,1.62,55.7
132.0,2010-11-10,1.62,1.62,1.62,1.62,25.0
133.0,2010-11-15,1.62,1.62,1.62,1.62,106.0
134.0,2010-11-17,1.44,1.44,1.44,1.44,139.0
135.0,2010-11-18,1.44,1.44,1.44,1.44,83.3
136.0,2010-11-19,1.44,1.44,1.44,1.44,106.0
137.0,2010-11-23,1.44,1.44,1.44,1.44,111.0
138.0,2010-11-29,1.44,1.44,1.44,1.44,22.3
139.0,2010-12-02,1.44,1.44,1.44,1.44,894.0
140.0,2010-12-03,1.44,1.44,1.44,1.44,125.0
141.0,2010-12-06,1.44,1.44,1.44,1.44,394.0
142.0,2010-12-07,1.44,1.44,1.44,1.44,41.7
143.0,2010-12-08,1.44,1.44,1.44,1.44,250.0
144.0,2010-12-09,1.44,1.44,1.44,1.44,95.8
145.0,2010-12-10,1.08,1.08,1.08,1.08,16.7
146.0,2010-12-13,1.62,1.98,1.62,1.98,7376.0
147.0,2010-12-14,1.98,1.98,1.98,1.98,300.0
148.0,2010-12-15,1.08,1.44,0.9,1.44,16485.0
149.0,2010-12-16,1.44,1.44,0.972,1.44,1931.0
150.0,2010-12-20,1.44,1.44,1.44,1.44,55.5
151.0,2010-12-21,1.44,1.44,1.44,1.44,222.0
152.0,2010-12-22,1.44,1.44,1.44,1.44,556.0
153.0,2010-12-23,1.44,1.44,1.44,1.44,139.0
154.0,2010-12-28,1.44,1.44,1.44,1.44,211.0
155.0,2010-12-29,1.44,1.44,1.08,1.44,588.0
156.0,2010-12-30,1.8,1.8,1.8,1.8,2230.0
157.0,2010-12-31,1.8,2.52,1.8,2.52,2380.0
158.0,2011-01-03,2.52,2.52,2.52,2.52,100.0
159.0,2011-01-04,2.52,2.52,2.52,2.52,26.5
160.0,2011-01-05,2.52,2.52,1.8,1.8,2911.0
161.0,2011-01-06,1.8,1.8,1.8,1.8,26.2
162.0,2011-01-12,1.8,1.8,1.8,1.8,250.0
163.0,2011-01-18,1.8,1.8,1.8,1.8,560.0
164.0,2011-01-19,1.8,1.8,1.8,1.8,222.0
165.0,2011-01-20,1.8,1.8,1.8,1.8,333.0
166.0,2011-01-21,2.16,2.16,2.16,2.16,800.0
167.0,2011-01-24,2.16,2.16,2.16,2.16,500.0
168.0,2011-01-25,1.8,1.8,1.8,1.8,100.0
169.0,2011-01-27,1.98,1.98,1.98,1.98,32.3
170.0,2011-01-31,2.16,2.16,2.16,2.16,417.0
171.0,2011-02-01,2.16,2.16,2.16,2.16,2533.0
172.0,2011-02-02,2.52,2.52,2.52,2.52,867.0
173.0,2011-02-03,2.16,2.34,2.16,2.34,1833.0
174.0,2011-02-04,2.16,2.34,1.98,2.34,456.0
175.0,2011-02-07,2.34,2.34,2.34,2.34,306.0
176.0,2011-02-08,3.6,3.6,2.34,2.34,1872.0
177.0,2011-02-10,2.34,2.34,2.34,2.34,457.0
178.0,2011-02-11,1.44,2.52,1.44,1.6632,36494.0
179.0,2011-02-14,1.8,2.16,1.8,2.16,2645.0
180.0,2011-02-15,1.8,1.8,1.8,1.8,167.0
181.0,2011-02-16,2.16,2.16,2.16,2.16,117.0
182.0,2011-02-17,2.16,2.16,2.16,2.16,67.8
183.0,2011-02-18,2.16,2.16,2.16,2.16,27.7
184.0,2011-02-22,2.16,2.16,2.16,2.16,16.7
185.0,2011-02-24,2.16,2.16,2.16,2.16,1500.0
186.0,2011-02-25,1.8,1.8,1.8,1.8,22.2
187.0,2011-03-01,2.16,2.16,2.16,2.16,333.0
188.0,2011-03-02,1.8,2.16,1.8,2.16,733.0
189.0,2011-03-04,2.52,2.52,2.52,2.52,5483.0
190.0,2011-03-09,1.8,2.52,1.8,2.52,2750.0
191.0,2011-03-10,1.8144,1.8144,1.8144,1.8144,98.7
192.0,2011-03-11,2.52,2.52,2.52,2.52,27.8
193.0,2011-03-14,2.88,2.88,2.88,2.88,11000.0
194.0,2011-03-15,2.52,2.52,1.8,1.8,201.0
