Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2004-09-07,52.0,57.0,52.0,57.0,230
1.0,2004-09-08,57.0,60.0,51.5,55.5,640
2.0,2004-09-09,58.5,59.7,54.5,54.5,140
3.0,2004-09-10,55.0,57.5,53.0,53.0,370
4.0,2004-09-13,53.0,57.0,52.5,57.0,130
5.0,2004-09-14,55.0,57.5,55.0,57.5,1020
6.0,2004-09-16,58.0,58.5,58.0,58.5,140
7.0,2004-09-17,59.5,71.5,56.0,61.0,1310
8.0,2004-09-20,59.1,61.0,59.1,59.1,20
9.0,2004-09-21,65.0,66.0,60.5,60.5,90
10.0,2004-09-27,56.0,56.1,56.0,56.1,910
11.0,2004-09-29,55.5,55.5,55.5,55.5,50
12.0,2004-09-30,56.0,56.0,55.0,55.0,140
13.0,2004-10-01,55.0,55.0,52.5,55.0,180
14.0,2004-10-04,55.0,56.0,55.0,56.0,220
15.0,2004-10-05,54.0,54.0,37.22,41.5,11430
16.0,2004-10-06,41.4,41.4,39.7,39.9,1100
17.0,2004-10-07,39.1,39.1,19.0,24.5,93710
18.0,2004-10-08,23.5,26.0,21.5,22.0,17250
19.0,2004-10-11,22.0,22.0,19.6,20.2,18060
20.0,2004-10-12,22.0,22.0,19.6,20.9,17140
21.0,2004-10-13,21.0,25.5,21.0,24.0,18620
22.0,2004-10-14,24.2,24.3,23.3,23.7,6600
23.0,2004-10-15,24.2,24.7,23.3,23.5,7030
24.0,2004-10-18,23.9,24.0,23.0,23.9,1320
25.0,2004-10-19,24.0,25.0,23.8,24.0,27370
26.0,2004-10-20,24.4,28.5,24.4,25.0,11730
27.0,2004-10-21,26.4,28.0,26.0,27.2,7710
28.0,2004-10-22,27.6,27.6,26.4,27.1,6400
29.0,2004-10-25,27.8,27.8,26.5,26.5,1590
30.0,2004-10-26,27.4,27.5,26.1,26.3,1980
31.0,2004-10-27,26.5,28.5,25.6,25.7,4760
32.0,2004-10-28,27.0,27.0,25.7,25.7,980
33.0,2004-10-29,26.0,27.0,25.5,26.0,3700
34.0,2004-11-01,27.0,28.9,25.0,25.0,5760
35.0,2004-11-02,26.0,26.0,24.5,25.0,5400
36.0,2004-11-03,24.0,25.3,23.8,24.0,5850
37.0,2004-11-04,26.0,26.9,23.9,24.6,14310
38.0,2004-11-05,25.3,25.3,22.2,22.2,8250
39.0,2004-11-08,24.5,25.6,22.3,23.4,2230
40.0,2004-11-09,23.8,25.0,22.8,23.1,6860
41.0,2004-11-10,25.0,25.0,23.1,24.0,1910
42.0,2004-11-11,22.5,25.0,22.5,24.3,6770
43.0,2004-11-12,24.5,24.5,23.3,23.8,2690
44.0,2004-11-15,24.79,24.79,23.3,23.7,3160
45.0,2004-11-16,14.1,23.5,14.1,23.4,2760
46.0,2004-11-17,23.1,25.8,23.1,24.0,2690
47.0,2004-11-18,23.5,24.0,23.2,23.7,6370
48.0,2004-11-19,23.2,23.5,23.1,23.2,2760
49.0,2004-11-22,23.1,24.5,22.3,22.4,12180
50.0,2004-11-23,22.7,22.7,22.3,22.3,1450
51.0,2004-11-24,22.3,23.2,22.3,23.1,2390
52.0,2004-11-26,24.0,25.0,24.0,24.2,7810
53.0,2004-11-29,24.2,24.5,23.3,23.6,7990
54.0,2004-11-30,25.9,25.9,23.3,23.7,4640
55.0,2004-12-01,23.8,24.2,23.5,23.5,3140
56.0,2004-12-02,24.5,49.4,24.5,36.9,178290
57.0,2004-12-03,40.0,40.9,34.0,37.8,48810
58.0,2004-12-06,37.9,39.9,35.3,37.0,15050
59.0,2004-12-07,38.0,38.0,32.1,32.5,20870
60.0,2004-12-08,32.28,36.8,31.1,36.7,19720
61.0,2004-12-09,37.0,39.5,35.1,39.5,23020
62.0,2004-12-10,40.3,40.3,38.0,39.0,13000
63.0,2004-12-13,38.5,43.9,38.5,43.5,53420
64.0,2004-12-14,44.1,46.86,42.1,42.1,43310
65.0,2004-12-15,40.3,44.9,40.0,43.1,8020
66.0,2004-12-16,42.3,43.0,40.21,41.6,4020
67.0,2004-12-17,43.0,47.9,40.0,42.8,47140
68.0,2004-12-20,45.0,45.0,43.0,44.0,11010
69.0,2004-12-21,45.0,46.5,42.8,43.1,15030
70.0,2004-12-22,45.9,47.5,43.2,45.9,15750
71.0,2004-12-23,48.5,48.5,44.0,45.52,18450
72.0,2004-12-27,45.9,46.0,44.7,45.9,3740
73.0,2004-12-28,45.6,46.1,44.26,45.2,5430
74.0,2004-12-29,46.0,46.0,43.33,45.0,3430
75.0,2004-12-30,45.0,45.8,43.35,44.6,6690
76.0,2004-12-31,46.4,46.4,43.2,43.2,5460
77.0,2005-01-03,43.4,43.4,40.0,40.0,5210
78.0,2005-01-04,43.5,43.5,36.7,39.0,15630
79.0,2005-01-05,37.9,39.5,37.8,38.0,4320
80.0,2005-01-06,38.0,41.9,38.0,41.8,6370
81.0,2005-01-07,41.8,44.0,40.0,42.5,8310
82.0,2005-01-10,43.9,44.4,39.5,40.2,7290
83.0,2005-01-11,40.0,41.1,38.5,38.9,4130
