Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2019-11-06,9.78,9.78,9.77,9.77,161200
1.0,2019-11-12,10.12,10.12,10.12,10.12,400
2.0,2019-11-13,10.125,10.125,10.125,10.125,282600
3.0,2019-11-15,10.14,10.14,10.14,10.14,500
4.0,2019-11-18,10.15,10.16,10.14,10.16,312600
5.0,2019-11-19,9.82,9.82,9.8,9.8,532700
6.0,2019-11-20,9.82,9.82,9.82,9.82,100
7.0,2019-11-21,9.83,9.83,9.82,9.83,523500
8.0,2019-11-22,9.85,9.85,9.83,9.83,248800
9.0,2019-11-25,9.84,9.84,9.83,9.83,900
10.0,2019-11-26,9.83,9.83,9.83,9.83,3600
11.0,2019-11-29,9.81,9.818,9.81,9.818,60900
12.0,2019-12-02,9.82,9.84,9.82,9.83,6500
13.0,2019-12-04,9.83,9.9,9.83,9.85,316000
14.0,2019-12-06,9.85,9.85,9.85,9.85,500
15.0,2019-12-09,9.83,9.83,9.83,9.83,31800
16.0,2019-12-10,9.83,9.83,9.83,9.83,109200
17.0,2019-12-12,9.83,9.84,9.83,9.84,155200
18.0,2019-12-16,9.85,9.85,9.85,9.85,4400
19.0,2019-12-17,9.85,9.87,9.85,9.86,100400
20.0,2019-12-18,9.85,9.85,9.85,9.85,43300
21.0,2019-12-19,9.87,9.87,9.87,9.87,2800
22.0,2020-01-03,9.87,9.89,9.87,9.89,105000
23.0,2020-01-06,9.9,9.9,9.89,9.89,127300
24.0,2020-01-07,9.92,9.92,9.92,9.92,200
25.0,2020-01-09,9.92,9.92,9.92,9.92,50000
26.0,2020-01-10,9.92,9.92,9.9,9.9,253200
27.0,2020-01-14,9.92,9.94,9.92,9.94,49300
28.0,2020-01-15,9.95,9.96,9.94,9.94,35300
29.0,2020-01-16,9.95,9.95,9.95,9.95,154200
30.0,2020-01-17,9.95,9.95,9.95,9.95,50100
31.0,2020-01-21,9.97,9.98,9.97,9.98,101700
32.0,2020-01-22,10.0,10.0,10.0,10.0,26100
33.0,2020-01-23,10.0,10.01,9.99,9.99,226300
34.0,2020-01-24,10.0,10.0,9.99,9.99,246400
35.0,2020-01-27,9.99,9.99,9.98,9.99,105400
36.0,2020-01-28,10.04,10.04,10.04,10.04,400
37.0,2020-01-29,10.02,10.02,10.01,10.01,1600
38.0,2020-01-31,10.0,10.0,10.0,10.0,200
39.0,2020-02-03,10.0,10.01,10.0,10.01,18200
40.0,2020-02-04,10.0,10.0,10.0,10.0,3400
41.0,2020-02-05,10.0,10.0,10.0,10.0,300
42.0,2020-02-07,10.01,10.01,10.0,10.0,1400
43.0,2020-02-10,10.0,10.01,9.99,10.01,121300
44.0,2020-02-11,10.0,10.0,10.0,10.0,100000
45.0,2020-02-13,10.01,10.01,10.01,10.01,264300
46.0,2020-02-14,10.01,10.01,10.0,10.0,150200
47.0,2020-02-18,10.01,10.018,10.01,10.01,176700
48.0,2020-02-24,10.01,10.01,10.01,10.01,57000
49.0,2020-02-25,10.0,10.0,10.0,10.0,120200
50.0,2020-02-26,10.0,10.01,10.0,10.01,88600
51.0,2020-02-27,10.0,10.0,9.98,9.98,207800
52.0,2020-03-05,9.98,10.097,9.97,9.97,100500
53.0,2020-03-06,9.97,9.973,9.97,9.973,300200
54.0,2020-03-09,9.95,9.95,9.95,9.95,100000
55.0,2020-03-10,9.95,9.95,9.91,9.91,748700
56.0,2020-03-12,9.88,9.88,9.76,9.795,1618300
57.0,2020-03-13,9.82,9.95,9.8,9.8,1500
58.0,2020-03-16,9.6,9.62,9.6,9.6,666400
59.0,2020-03-17,9.55,9.805,9.55,9.6,115800
60.0,2020-03-18,9.5,9.52,9.5,9.52,272200
61.0,2020-03-19,9.51,9.51,9.51,9.51,177300
62.0,2020-03-20,9.51,9.51,9.51,9.51,150000
63.0,2020-03-24,9.629,9.629,9.6,9.629,9200
64.0,2020-03-25,9.675,9.69,9.675,9.69,120100
65.0,2020-03-26,9.69,9.96,9.69,9.73,36400
66.0,2020-03-27,9.8,9.8,9.8,9.8,1000
67.0,2020-03-31,9.77,9.77,9.77,9.77,300
68.0,2020-04-01,10.08,10.1,10.08,10.1,4800
69.0,2020-04-02,9.95,9.95,9.95,9.95,327700
70.0,2020-04-03,9.8,9.85,9.75,9.85,102600
71.0,2020-04-06,9.82,9.82,9.82,9.82,200
72.0,2020-04-08,9.87,9.87,9.87,9.87,500
73.0,2020-04-09,9.814,9.814,9.814,9.814,200
74.0,2020-04-13,9.85,9.85,9.85,9.85,200
75.0,2020-04-14,9.85,9.875,9.85,9.87,9200
76.0,2020-04-17,9.84,9.84,9.84,9.84,200
77.0,2020-04-23,9.9,9.9,9.885,9.9,1000
78.0,2020-04-24,9.93,9.93,9.93,9.93,25000
79.0,2020-04-29,9.89,9.89,9.88,9.88,100400
80.0,2020-04-30,9.88,9.88,9.88,9.88,4200
81.0,2020-05-01,9.88,9.92,9.88,9.92,58800
82.0,2020-05-06,9.88,9.914,9.87,9.914,99300
83.0,2020-05-08,9.9,9.9,9.9,9.9,8400
84.0,2020-05-12,9.9,9.9,9.9,9.9,3000
85.0,2020-05-13,9.9,9.9,9.9,9.9,200
86.0,2020-05-29,9.9,9.9,9.87,9.87,109000
87.0,2020-06-01,9.92,9.93,9.92,9.93,200600
88.0,2020-06-02,9.93,9.93,9.93,9.93,2300
89.0,2020-06-05,9.92,9.92,9.92,9.92,300000
90.0,2020-06-08,9.955,9.955,9.955,9.955,100
91.0,2020-06-09,9.93,9.95,9.92,9.92,45400
92.0,2020-06-10,9.93,9.93,9.92,9.92,25000
93.0,2020-06-11,9.92,9.93,9.92,9.92,95000
94.0,2020-06-12,10.01,10.01,9.92,9.92,202500
95.0,2020-06-15,9.92,9.92,9.92,9.92,200000
96.0,2020-06-16,10.0,10.0,9.97,9.97,542900
97.0,2020-06-17,9.97,9.97,9.97,9.97,100
98.0,2020-06-18,9.97,9.97,9.97,9.97,30200
99.0,2020-06-19,9.98,10.02,9.98,10.02,100500
100.0,2020-06-22,10.02,10.05,10.02,10.05,63400
101.0,2020-06-23,10.05,10.078,10.05,10.078,88900
102.0,2020-06-24,10.04,10.04,10.04,10.04,52100
103.0,2020-06-25,10.04,10.04,10.04,10.04,53600
104.0,2020-06-29,10.045,10.15,10.03,10.15,29600
105.0,2020-06-30,10.1,10.12,10.07,10.08,105100
106.0,2020-07-01,10.081,10.15,10.08,10.15,3100
107.0,2020-07-02,10.09,10.22,10.09,10.22,34000
108.0,2020-07-06,10.22,10.22,10.2,10.2,55000
109.0,2020-07-07,10.18,10.18,10.18,10.18,3000
110.0,2020-07-08,10.15,10.151,10.1,10.1,3300
111.0,2020-07-09,10.13,10.13,10.12,10.12,4800
112.0,2020-07-10,10.18,10.18,10.08,10.1,23800
113.0,2020-07-13,10.139,10.147,10.12,10.12,12100
114.0,2020-07-14,10.15,10.15,10.12,10.12,84900
115.0,2020-07-15,10.134,10.175,10.134,10.17,68400
116.0,2020-07-16,10.12,10.18,10.11,10.18,10600
117.0,2020-07-17,10.13,10.13,10.13,10.13,900
118.0,2020-07-20,10.2,10.2,10.2,10.2,128200
119.0,2020-07-21,10.25,10.285,10.249,10.26,72800
120.0,2020-07-22,10.27,10.3,10.27,10.3,175600
121.0,2020-07-23,10.25,10.3,10.25,10.3,182400
122.0,2020-07-24,10.15,10.2,10.15,10.2,3100
123.0,2020-07-27,10.25,10.25,10.21,10.21,400
124.0,2020-07-28,10.3,10.3,10.3,10.3,200
125.0,2020-07-29,10.21,10.23,10.2,10.2,2600
126.0,2020-07-30,10.2,10.2,10.15,10.175,404700
127.0,2020-07-31,10.1,10.18,10.1,10.18,158100
128.0,2020-08-03,10.19,10.19,10.185,10.185,3100
129.0,2020-08-04,10.22,10.22,10.2,10.2,161500
130.0,2020-08-06,10.2,10.2,10.2,10.2,25200
131.0,2020-08-07,10.15,10.19,10.15,10.15,6200
132.0,2020-08-10,10.11,10.117,10.08,10.08,4000
133.0,2020-08-11,10.08,10.08,10.06,10.06,6000
134.0,2020-08-12,10.06,10.06,10.06,10.06,8000
135.0,2020-08-13,10.1,10.1,10.1,10.1,400
136.0,2020-08-14,10.1,10.1,10.06,10.06,1900
137.0,2020-08-17,10.06,10.08,10.04,10.04,811700
138.0,2020-08-18,10.04,10.05,10.03,10.03,272100
139.0,2020-08-19,10.09,10.1,10.05,10.06,116800
140.0,2020-08-20,10.05,10.06,10.04,10.04,6100
141.0,2020-08-21,10.1,10.1,9.99,10.015,12100
142.0,2020-08-24,10.04,10.055,10.037,10.055,2600
143.0,2020-08-25,10.04,10.05,10.04,10.04,101800
144.0,2020-08-26,10.06,10.06,10.05,10.05,321000
145.0,2020-08-27,10.06,10.08,10.05,10.06,63000
146.0,2020-08-28,10.05,10.14,10.03,10.09,380000
147.0,2020-08-31,10.1,10.14,10.05,10.1,123000
148.0,2020-09-01,10.1,10.11,10.08,10.1,60400
149.0,2020-09-02,10.125,10.15,10.09,10.15,89100
150.0,2020-09-03,10.15,10.15,10.05,10.05,11700
151.0,2020-09-08,10.08,10.1,10.08,10.1,29100
152.0,2020-09-09,10.1,10.15,10.1,10.15,5500
153.0,2020-09-10,10.2,10.2,10.1,10.18,342400
154.0,2020-09-11,10.15,10.15,10.1,10.1,5700
155.0,2020-09-14,10.1,10.1,10.06,10.08,18600
156.0,2020-09-15,10.03,10.09,10.03,10.09,1100
157.0,2020-09-16,10.1,10.2,10.08,10.2,64100
158.0,2020-09-17,10.19,10.19,10.1,10.16,17900
159.0,2020-09-18,10.16,10.2,10.16,10.16,112300
160.0,2020-09-21,10.12,10.21,10.05,10.12,30900
161.0,2020-09-22,10.18,10.2,10.11,10.16,7400
162.0,2020-09-23,10.16,10.18,10.16,10.18,5400
163.0,2020-09-24,10.13,10.15,10.09,10.1,30100
164.0,2020-09-25,10.15,10.15,10.104,10.11,6500
165.0,2020-09-28,10.12,10.125,10.05,10.11,27800
166.0,2020-09-29,10.15,10.18,10.11,10.11,159500
167.0,2020-09-30,10.14,10.14,10.05,10.07,88800
168.0,2020-10-01,10.165,10.24,10.05,10.06,195800
169.0,2020-10-02,10.01,10.1,10.01,10.1,18400
170.0,2020-10-05,10.15,10.15,10.1,10.15,156200
171.0,2020-10-06,10.14,10.15,10.08,10.08,50300
172.0,2020-10-07,10.09,10.12,10.065,10.11,2500
173.0,2020-10-08,10.087,10.105,10.069,10.105,2200
174.0,2020-10-09,10.119,10.119,10.1,10.1,50800
175.0,2020-10-12,10.1,10.11,10.1,10.1,1300
176.0,2020-10-13,10.15,10.15,10.12,10.12,1700
177.0,2020-10-14,10.11,10.11,10.11,10.11,400
178.0,2020-10-15,10.07,10.1,10.06,10.1,6500
179.0,2020-10-16,10.089,10.089,10.089,10.089,200
180.0,2020-10-19,10.07,10.19,10.07,10.19,800
181.0,2020-10-20,10.12,10.2,10.12,10.19,17300
182.0,2020-10-21,10.12,10.16,10.12,10.16,900
183.0,2020-10-22,10.06,10.12,10.06,10.12,6800
184.0,2020-10-23,10.115,10.13,10.11,10.13,2600
185.0,2020-10-26,10.11,10.11,10.11,10.11,300
186.0,2020-10-28,10.11,10.2,10.08,10.2,75700
187.0,2020-10-29,10.14,10.14,10.05,10.05,114700
188.0,2020-10-30,10.05,10.05,10.05,10.05,500
189.0,2020-11-02,10.04,10.2,10.0,10.045,34200
190.0,2020-11-03,9.98,9.98,9.98,9.98,1000
191.0,2020-11-06,10.01,10.105,10.01,10.01,5200
192.0,2020-11-09,10.03,10.03,10.03,10.03,200
193.0,2020-11-10,10.07,10.07,10.07,10.07,100
194.0,2020-11-12,10.11,10.11,10.11,10.11,3300
195.0,2020-11-16,10.085,10.085,10.085,10.085,600
196.0,2020-11-17,10.1,10.1,10.09,10.09,6900
197.0,2020-11-18,10.145,10.2,10.145,10.16,5400
198.0,2020-11-19,10.09,10.15,10.08,10.11,2000
199.0,2020-11-20,10.19,10.2,10.14,10.16,11500
200.0,2020-11-23,10.081,10.154,10.081,10.117,33000
201.0,2020-11-24,10.11,10.19,10.1,10.1,19000
202.0,2020-11-25,10.196,10.196,10.1,10.12,22600
203.0,2020-11-27,10.112,10.195,10.1,10.12,212800
204.0,2020-11-30,10.155,10.2,10.1,10.125,21000
205.0,2020-12-01,10.26,10.27,10.2,10.21,6400
206.0,2020-12-02,10.2,10.31,10.15,10.21,35000
207.0,2020-12-03,10.22,10.23,10.17,10.2,60200
208.0,2020-12-04,10.2,10.27,10.2,10.205,46100
209.0,2020-12-07,10.25,10.25,10.2,10.235,124400
210.0,2020-12-08,10.24,10.3,10.24,10.26,50200
211.0,2020-12-09,10.29,10.29,10.18,10.26,13400
212.0,2020-12-10,10.27,10.49,10.27,10.38,51500
213.0,2020-12-11,10.39,10.48,10.3,10.32,57700
214.0,2020-12-14,10.4,10.5,10.32,10.32,81200
215.0,2020-12-15,10.32,10.44,10.25,10.32,88700
216.0,2020-12-16,10.82,11.5,10.66,11.5,13301200
217.0,2020-12-17,11.356,11.37,10.8,11.0,2679300
218.0,2020-12-18,11.16,11.18,10.92,11.0,2009600
219.0,2020-12-21,11.39,11.78,11.18,11.55,3708500
220.0,2020-12-22,11.96,12.47,11.8,12.04,3814600
221.0,2020-12-23,12.24,12.79,11.9,12.65,2773300
222.0,2020-12-24,13.0,13.69,13.0,13.42,1859000
223.0,2020-12-28,15.07,15.989,14.25,14.35,5392000
224.0,2020-12-29,14.74,14.854,13.02,14.0,2363800
225.0,2020-12-30,14.0,14.0,13.15,13.29,1359200
226.0,2020-12-31,13.23,13.74,12.78,13.58,1495600
227.0,2021-01-04,13.61,13.88,12.41,12.95,1945300
228.0,2021-01-05,12.7,13.1,12.16,13.09,881300
229.0,2021-01-06,12.83,13.39,12.63,12.94,1029400
230.0,2021-01-07,13.02,13.449,12.75,12.78,1043700
231.0,2021-01-08,12.8,12.9,12.41,12.69,893800
232.0,2021-01-11,12.59,13.19,12.4,12.52,1259300
233.0,2021-01-12,12.44,12.75,12.35,12.7,724100
234.0,2021-01-13,12.76,13.35,12.5,13.35,1707400
235.0,2021-01-14,15.803,15.88,14.15,14.46,5192200
236.0,2021-01-15,14.669,14.72,13.47,14.5,2065300
237.0,2021-01-19,15.57,17.2,15.0,16.22,4407300
238.0,2021-01-20,16.23,17.1,15.81,16.04,1928600
239.0,2021-01-21,15.85,16.2,15.28,16.2,1592100
240.0,2021-01-22,15.75,16.75,15.61,15.88,1964700
241.0,2021-01-25,16.225,16.35,14.62,14.85,1953800
242.0,2021-01-26,14.766,14.88,13.51,14.17,2490100
243.0,2021-01-27,13.418,14.165,12.8,13.02,2444400
244.0,2021-01-28,13.2,14.41,13.15,14.03,1540000
245.0,2021-01-29,13.78,13.908,13.14,13.5,1032700
246.0,2021-02-01,14.0,14.45,13.56,14.45,1207400
247.0,2021-02-02,14.7,14.89,14.2,14.38,634100
248.0,2021-02-03,14.77,15.98,14.51,15.03,1465700
249.0,2021-02-04,15.15,17.69,14.6,16.5,2976200
250.0,2021-02-05,16.028,16.7,15.64,16.05,1100500
251.0,2021-02-08,16.05,20.55,16.05,18.61,3466000
252.0,2021-02-09,17.77,24.94,17.4,22.5,9891600
253.0,2021-02-10,23.09,25.37,20.44,21.28,4549600
254.0,2021-02-11,21.9,22.0,19.55,20.9,2102400
255.0,2021-02-12,20.19,20.705,19.01,20.07,1183400
256.0,2021-02-16,19.829,21.72,19.421,20.53,1692100
257.0,2021-02-17,20.26,20.46,18.5,19.41,1966500
258.0,2021-02-18,18.72,19.4,18.48,18.95,1172600
259.0,2021-02-19,19.29,20.24,18.71,19.35,1065600
260.0,2021-02-22,18.9,19.0,17.15,17.52,1635200
261.0,2021-02-23,16.58,16.63,13.6,16.4,4461600
262.0,2021-02-24,16.12,16.75,15.29,15.49,2776600
263.0,2021-02-25,15.74,15.78,13.8,13.97,2208600
264.0,2021-02-26,14.21,15.584,13.02,13.84,2843200
265.0,2021-03-01,14.44,16.1,13.78,15.22,2331300
266.0,2021-03-02,15.01,15.7,13.18,13.3,3519000
267.0,2021-03-03,13.5,13.896,12.48,12.52,2028500
268.0,2021-03-04,12.416,13.0,11.21,12.49,3595100
269.0,2021-03-05,12.49,12.99,11.01,12.89,2350600
270.0,2021-03-08,12.66,13.37,11.66,11.76,1523000
271.0,2021-03-09,12.27,12.33,11.81,11.95,1625700
272.0,2021-03-10,12.32,12.425,11.53,11.94,2245600
273.0,2021-03-11,12.49,13.37,12.2,13.3,1470800
274.0,2021-03-12,12.56,14.5,12.55,13.8,1575400
275.0,2021-03-15,14.13,14.4,13.27,13.6,1318100
276.0,2021-03-16,13.49,13.5,12.54,12.94,1024500
277.0,2021-03-17,12.3,13.55,12.14,13.0,1595500
278.0,2021-03-18,12.66,13.049,12.21,12.35,1077700
279.0,2021-03-19,12.49,12.66,12.05,12.48,861900
280.0,2021-03-22,12.646,13.85,12.646,13.65,1586300
281.0,2021-03-23,13.39,13.4,12.66,12.89,1078300
282.0,2021-03-24,12.81,12.96,11.8,12.0,1058000
