,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,15.313,15.344,14.031,14.844,5831539
1,2000-01-04,14.656,14.812,13.625,13.906,4227239
2,2000-01-05,13.312,13.5,12.25,13.281,10520970
3,2000-01-06,12.718,13.25,12.5,12.531,6633302
4,2000-01-07,12.625,14.001,12.563,13.438,6372986
5,2000-01-10,14.031,14.563,13.813,14.344,5268749
6,2000-01-11,14.156,14.844,14.156,14.219,4898748
7,2000-01-12,14.118,15.554,14.055,14.852,10363219
8,2000-01-13,15.594,16.25,15.25,16.125,8082800
9,2000-01-14,16.594,17.531,16.531,17.125,11435000
10,2000-01-18,17.219,17.468,16.47,17.281,4660027
11,2000-01-19,17.484,17.5,16.688,17.0,4012600
12,2000-01-20,17.344,18.125,16.75,17.469,10458488
13,2000-01-21,17.046,17.046,15.048,15.516,18904526
14,2000-01-24,15.719,16.189,15.406,15.532,13169573
15,2000-01-25,15.532,15.532,14.344,14.719,10099872
16,2000-01-26,15.062,15.156,14.531,14.625,6410400
17,2000-01-27,14.876,15.376,14.032,14.438,5152861
18,2000-01-28,14.094,14.938,14.094,14.375,8303400
19,2000-01-31,14.577,15.641,14.296,15.516,6752084
20,2000-02-01,15.625,15.844,15.063,15.844,4981959
21,2000-02-02,15.844,17.344,15.812,17.0,15436600
22,2000-02-03,17.359,17.891,16.64,17.766,11983685
23,2000-02-04,18.328,18.703,17.515,17.89,28626487
24,2000-02-07,18.375,20.31,18.125,20.12,22059400
25,2000-02-08,20.55,20.83,19.578,19.734,13598654
26,2000-02-09,19.938,20.25,18.907,19.063,9624187
27,2000-02-10,19.219,20.0,19.0,19.875,6427000
28,2000-02-11,19.906,20.0,19.0,19.375,6142400
29,2000-02-14,19.601,19.758,18.757,19.023,4040825
30,2000-02-15,19.0,19.532,18.249,19.282,7793233
31,2000-02-16,19.375,20.062,19.312,19.656,8435073
32,2000-02-17,20.2,20.42,19.421,19.984,6783128
33,2000-02-18,20.67,20.67,18.485,19.016,6441669
34,2000-02-22,18.953,19.297,17.548,18.86,9229697
35,2000-02-23,18.719,19.938,18.625,19.75,7565600
36,2000-02-24,19.953,20.05,18.205,19.579,9222253
37,2000-02-25,19.906,22.22,19.5,21.59,16180641
38,2000-02-28,21.66,22.09,20.15,21.78,8673087
39,2000-02-29,22.78,25.06,22.44,24.75,15502000
40,2000-03-01,25.69,26.75,24.69,25.41,13895887
41,2000-03-02,25.16,25.19,22.97,23.94,8020863
42,2000-03-03,24.81,26.78,24.31,26.16,8585421
43,2000-03-06,26.19,27.75,26.16,26.81,7790700
44,2000-03-07,27.8,29.45,27.23,28.3,15369105
45,2000-03-08,29.02,29.02,25.14,26.98,13429506
46,2000-03-09,27.08,28.02,25.51,27.77,8800064
47,2000-03-10,27.67,29.23,27.17,27.23,6525644
48,2000-03-13,25.5,26.97,24.72,25.03,8089180
49,2000-03-14,26.61,27.86,24.64,24.8,16175589
50,2000-03-15,25.29,25.36,23.21,23.99,11812451
51,2000-03-16,24.64,24.89,21.14,23.86,14554023
52,2000-03-17,23.59,25.87,23.59,24.45,8498797
53,2000-03-20,25.34,25.94,25.03,25.78,10132576
54,2000-03-21,25.81,26.72,25.03,26.47,7346417
55,2000-03-22,26.84,30.44,26.72,29.75,17511800
56,2000-03-23,29.66,30.69,29.25,29.69,11423642
57,2000-03-24,29.94,30.5,28.0,28.72,6783988
58,2000-03-27,28.73,28.92,27.49,27.83,8245197
59,2000-03-28,27.67,27.86,26.42,26.52,6693257
60,2000-03-29,26.63,26.94,24.38,25.22,12895517
61,2000-03-30,24.62,26.69,23.44,24.0,20473800
62,2000-03-31,25.47,26.19,24.22,25.84,18492143
63,2000-04-03,25.07,25.79,24.01,24.06,11851188
64,2000-04-04,24.56,26.0,20.38,25.88,17570200
65,2000-04-05,24.39,27.48,24.33,26.86,14737833
66,2000-04-06,27.52,28.14,26.3,28.02,12490276
67,2000-04-07,28.77,29.49,28.11,28.89,9061681
68,2000-04-10,29.25,29.37,25.94,26.28,7839031
69,2000-04-11,25.14,27.58,24.96,26.48,13665713
70,2000-04-12,26.55,27.08,24.7,24.92,9540344
71,2000-04-13,25.66,26.47,24.25,24.88,9799000
72,2000-04-14,24.16,24.77,19.781,19.81,15525202
73,2000-04-17,19.156,24.0,19.062,24.0,16582400
74,2000-04-18,24.69,27.38,23.25,27.09,18553067
75,2000-04-19,26.7,26.77,24.52,25.45,9563732
76,2000-04-20,24.3,24.45,22.24,22.83,18026157
77,2000-04-24,21.25,21.88,19.906,21.12,12127800
78,2000-04-25,22.25,23.0,21.75,22.81,8611241
79,2000-04-26,23.36,24.15,21.13,21.57,11786274
80,2000-04-27,20.63,23.5,20.56,23.22,12856705
81,2000-04-28,24.16,24.5,23.44,24.47,8539757
82,2000-05-01,25.03,25.72,24.09,24.22,9524293
83,2000-05-02,23.75,24.94,23.0,23.06,6203298
84,2000-05-03,22.66,22.88,21.38,22.59,6269971
85,2000-05-04,22.81,23.0,21.75,22.06,6723091
86,2000-05-05,21.95,23.01,21.95,22.86,8089028
87,2000-05-08,22.23,24.27,22.23,22.58,9816433
88,2000-05-09,22.99,23.13,20.57,21.47,13175137
89,2000-05-10,21.0,21.16,17.654,18.28,27437526
90,2000-05-11,19.454,19.485,18.39,19.078,16215027
91,2000-05-12,19.954,20.89,19.641,19.672,12276805
92,2000-05-15,19.922,20.27,18.609,19.234,9983425
93,2000-05-16,20.09,20.75,19.625,20.38,9935800
94,2000-05-17,19.485,21.7,19.297,20.64,11821790
95,2000-05-18,20.94,21.75,19.938,19.97,7999333
96,2000-05-19,19.516,20.14,18.766,18.922,10568515
97,2000-05-22,19.126,19.251,16.438,17.563,16566943
98,2000-05-23,17.25,17.969,14.969,14.969,16048350
99,2000-05-24,14.844,16.469,13.406,15.875,23502000
100,2000-05-25,16.593,17.092,15.845,16.032,12161651
101,2000-05-26,16.328,16.798,15.734,15.859,5760610
102,2000-05-30,16.577,18.141,16.296,18.016,12513262
103,2000-05-31,18.969,19.969,18.875,19.094,22092337
104,2000-06-01,20.23,20.89,19.296,19.98,17303144
105,2000-06-02,21.77,21.95,20.8,21.23,13206801
106,2000-06-05,20.83,21.45,20.45,20.98,7995432
107,2000-06-06,20.94,21.34,19.782,19.938,6369009
108,2000-06-07,20.27,20.39,18.952,20.14,8306067
109,2000-06-08,21.3,21.77,20.83,21.27,12956632
110,2000-06-09,22.23,22.86,21.73,22.61,12619599
111,2000-06-12,23.22,23.25,21.72,22.0,7562600
