,DateTime,Open,High,Low,Close,Volume
0,2002-05-23,12.0,12.3,11.8,12.29,8110500
1,2002-05-24,13.05,13.05,12.7,12.9,3081100
2,2002-05-28,13.2,13.2,12.85,12.95,2113800
3,2002-05-29,12.1,12.35,12.05,12.15,1886000
4,2002-05-30,12.15,12.15,11.5,11.9,2908900
5,2002-05-31,12.0,12.05,11.8,11.8,759800
6,2002-06-03,11.5,11.6,10.4,10.49,1550800
7,2002-06-04,10.9,10.93,10.66,10.79,2078300
8,2002-06-05,10.8,11.15,10.8,11.08,1021000
9,2002-06-06,11.25,11.4,11.1,11.3,552100
10,2002-06-07,11.0,11.05,10.85,11.04,589200
11,2002-06-10,11.5,11.84,11.46,11.7,500300
12,2002-06-11,11.65,11.65,11.35,11.38,466300
13,2002-06-12,11.65,11.65,11.41,11.6,516700
14,2002-06-13,11.65,11.66,11.25,11.26,1027800
15,2002-06-14,10.5,10.6,9.91,10.4,2287300
16,2002-06-17,10.4,10.65,10.35,10.64,422100
17,2002-06-18,10.49,10.57,10.32,10.35,886900
18,2002-06-19,10.0,10.0,9.32,9.38,2517600
19,2002-06-20,9.39,9.45,8.53,8.7,2373100
20,2002-06-21,9.05,9.26,8.9,9.01,1905600
21,2002-06-24,8.81,9.05,8.65,9.0,604200
22,2002-06-25,9.12,9.25,8.93,8.97,1111300
23,2002-06-26,8.5,8.9,8.37,8.6,935600
24,2002-06-27,9.0,9.01,8.84,8.87,1130300
25,2002-06-28,8.52,8.58,8.26,8.3,757000
26,2002-07-01,8.0,8.01,7.5,7.6,672100
27,2002-07-02,7.37,7.37,6.86,7.0,681300
28,2002-07-03,7.75,8.25,7.25,8.25,3504900
29,2002-07-05,8.7,9.35,8.7,9.26,1271400
30,2002-07-08,9.5,9.5,9.13,9.13,483000
31,2002-07-09,9.65,9.68,9.33,9.4,808100
32,2002-07-10,9.36,9.36,8.91,8.92,487000
33,2002-07-11,8.91,9.25,8.9,9.25,1384100
34,2002-07-12,9.8,10.42,9.75,10.36,1275400
35,2002-07-15,10.1,10.35,9.95,10.35,475000
36,2002-07-16,9.75,10.39,9.75,10.2,518400
37,2002-07-17,10.5,10.53,10.1,10.25,282900
38,2002-07-18,10.27,10.27,9.9,9.95,253900
39,2002-07-19,9.85,9.85,9.17,9.17,379800
40,2002-07-22,8.97,9.01,8.8,9.0,245200
41,2002-07-23,9.14,9.14,8.76,8.9,313600
42,2002-07-24,8.48,8.8,8.34,8.75,533000
43,2002-07-25,8.5,8.5,7.75,8.0,587500
44,2002-07-26,7.8,7.87,7.55,7.87,863200
45,2002-07-29,7.99,8.3,7.99,8.3,305100
46,2002-07-30,8.7,8.7,8.42,8.5,398700
47,2002-07-31,8.35,8.35,8.06,8.07,346300
48,2002-08-01,8.1,8.1,7.96,7.97,367900
49,2002-08-02,7.99,7.99,7.41,7.48,956400
50,2002-08-05,7.25,7.25,6.68,6.68,949100
51,2002-08-06,6.8,7.3,6.8,7.22,1416500
52,2002-08-07,7.16,7.2,6.45,6.54,3009500
53,2002-08-08,6.55,6.9,6.55,6.82,2144800
54,2002-08-09,6.9,6.95,6.72,6.92,1254500
55,2002-08-12,6.7,6.95,6.7,6.95,565600
56,2002-08-13,7.0,7.15,7.0,7.0,708800
57,2002-08-14,7.18,7.3,7.1,7.29,1540900
58,2002-08-15,7.7,7.85,7.65,7.81,1587500
59,2002-08-16,7.81,8.04,7.8,7.98,940900
60,2002-08-19,7.9,7.95,7.88,7.94,550900
61,2002-08-20,7.75,7.75,7.5,7.5,343800
62,2002-08-21,7.65,7.79,7.61,7.61,219800
63,2002-08-22,7.85,7.99,7.8,7.85,887600
64,2002-08-23,7.85,8.0,7.79,7.85,354300
65,2002-08-26,7.95,7.96,7.86,7.88,1003500
66,2002-08-27,8.0,8.0,7.77,7.8,1168000
67,2002-08-28,7.65,7.65,7.43,7.43,750000
68,2002-08-29,7.4,7.65,7.4,7.56,1976000
69,2002-08-30,7.55,7.7,7.55,7.66,204500
70,2002-09-03,7.25,7.29,6.95,7.0,93000
71,2002-09-04,6.97,6.97,6.76,6.85,101000
72,2002-09-05,6.75,6.75,6.45,6.6,174500
73,2002-09-06,6.85,6.9,6.75,6.8,330800
74,2002-09-09,6.9,6.9,6.8,6.83,280000
75,2002-09-10,7.05,7.1,7.0,7.05,232400
76,2002-09-11,7.05,7.05,6.82,6.82,154000
77,2002-09-12,6.85,6.86,6.7,6.75,239300
78,2002-09-13,6.76,7.0,6.76,6.95,345500
79,2002-09-16,6.55,6.67,6.52,6.56,205700
80,2002-09-17,6.5,6.5,6.48,6.48,12400
81,2002-09-18,6.23,6.23,6.0,6.08,92100
82,2002-09-19,6.1,6.1,5.95,5.95,164200
83,2002-09-20,6.05,6.1,6.05,6.1,379100
84,2002-09-23,6.01,6.01,5.8,5.8,153700
85,2002-09-24,5.71,5.88,5.7,5.8,113100
86,2002-09-25,5.36,5.6,5.36,5.55,401100
87,2002-09-26,5.6,5.8,5.5,5.55,285300
88,2002-09-27,5.5,5.5,5.46,5.49,135900
89,2002-09-30,5.5,5.6,5.5,5.55,227900
90,2002-10-01,5.55,5.6,5.51,5.6,117800
91,2002-10-02,5.46,5.46,5.27,5.28,128800
92,2002-10-03,5.2,5.28,4.87,4.95,874800
93,2002-10-04,4.92,5.05,4.86,4.93,971000
94,2002-10-07,4.83,4.83,4.74,4.83,19200
95,2002-10-08,4.85,4.9,4.83,4.89,652800
96,2002-10-09,4.71,4.8,4.71,4.76,153700
97,2002-10-10,4.66,4.7,4.45,4.63,3720700
98,2002-10-11,4.54,4.65,4.5,4.6,793100
99,2002-10-14,4.45,4.51,4.45,4.51,223700
100,2002-10-15,5.01,5.18,5.01,5.18,678200
101,2002-10-16,5.09,5.12,5.03,5.06,211600
102,2002-10-17,5.6,5.64,5.45,5.64,1510400
103,2002-10-18,5.65,5.75,5.65,5.73,371000
104,2002-10-21,5.83,6.01,5.83,6.01,251200
105,2002-10-22,5.69,5.69,5.57,5.59,254400
106,2002-10-23,5.72,5.95,5.72,5.94,391500
107,2002-10-24,5.9,5.93,5.86,5.87,25700
108,2002-10-25,5.8,6.0,5.8,5.9,386800
109,2002-10-28,5.9,5.9,5.85,5.85,151200
110,2002-10-29,5.95,6.04,5.9,6.04,224500
111,2002-10-30,5.95,6.0,5.92,5.95,265000
112,2002-10-31,6.75,6.75,6.6,6.7,507200
113,2002-11-01,6.62,6.79,6.5,6.77,475800
114,2002-11-04,6.8,7.05,6.8,7.0,518500
115,2002-11-05,6.88,6.88,6.75,6.83,323100
116,2002-11-06,7.3,7.48,7.25,7.47,364700
117,2002-11-07,7.25,7.28,7.11,7.11,33500
118,2002-11-08,7.27,7.4,7.26,7.32,255600
119,2002-11-11,6.8,6.92,6.75,6.77,333900
120,2002-11-12,6.87,7.08,6.87,7.0,141000
121,2002-11-13,6.8,6.81,6.76,6.79,189800
122,2002-11-14,7.0,7.19,6.95,7.14,230900
123,2002-11-15,7.45,7.56,7.36,7.55,224200
124,2002-11-18,7.65,7.85,7.55,7.55,202600
125,2002-11-19,7.4,7.41,7.35,7.4,162100
126,2002-11-20,7.3,7.3,7.1,7.2,165600
127,2002-11-21,7.3,7.41,7.25,7.36,212200
128,2002-11-22,7.1,7.49,7.1,7.39,245700
129,2002-11-25,7.85,7.85,7.4,7.6,321400
130,2002-11-26,7.25,7.25,7.04,7.1,200700
131,2002-11-27,7.05,7.15,6.9,7.1,387900
132,2002-11-29,7.15,7.15,6.85,6.9,123000
133,2002-12-02,6.96,7.2,6.96,7.12,440600
134,2002-12-03,7.2,7.24,7.06,7.14,69500
135,2002-12-04,7.0,7.0,6.75,6.9,86000
136,2002-12-05,6.8,6.85,6.73,6.75,64800
137,2002-12-06,6.65,6.75,6.61,6.67,142300
138,2002-12-09,6.75,6.88,6.75,6.76,20200
139,2002-12-10,6.7,6.84,6.65,6.78,65400
140,2002-12-11,6.83,6.84,6.61,6.65,16100
141,2002-12-12,6.25,6.28,5.91,6.01,332900
142,2002-12-13,5.8,5.8,5.67,5.79,224200
143,2002-12-16,5.85,6.06,5.83,5.98,48600
144,2002-12-17,5.95,5.95,5.66,5.7,160000
145,2002-12-18,5.66,5.66,5.51,5.61,130000
146,2002-12-19,5.65,5.85,5.65,5.67,63600
147,2002-12-20,5.68,5.77,5.68,5.69,117600
148,2002-12-23,5.64,5.64,5.51,5.52,20700
149,2002-12-24,5.89,5.9,5.83,5.83,43300
150,2002-12-26,6.04,6.25,6.04,6.2,37800
151,2002-12-27,6.2,6.2,5.81,5.87,23300
152,2002-12-30,5.83,5.85,5.7,5.8,59500
153,2002-12-31,5.7,5.81,5.7,5.76,17200
154,2003-01-02,6.05,6.24,6.0,6.24,40300
155,2003-01-03,6.35,6.41,6.35,6.41,9900
156,2003-01-06,6.45,6.64,6.45,6.64,51500
157,2003-01-07,6.65,6.7,6.63,6.67,201900
158,2003-01-08,6.74,6.75,6.66,6.7,21200
159,2003-01-09,6.95,7.15,6.95,7.15,609800
160,2003-01-10,7.05,7.05,6.9,6.96,49500
161,2003-01-13,7.35,7.39,7.22,7.39,365600
162,2003-01-14,7.37,7.4,7.24,7.38,48800
163,2003-01-15,7.28,7.3,7.1,7.24,145700
164,2003-01-16,7.06,7.11,6.9,6.95,82100
165,2003-01-17,6.91,6.91,6.7,6.74,130600
166,2003-01-21,6.62,6.67,6.59,6.6,250000
167,2003-01-22,6.53,6.53,6.37,6.37,5600
168,2003-01-23,6.42,6.67,6.4,6.6,102900
169,2003-01-24,6.25,6.41,6.25,6.36,62900
170,2003-01-27,6.3,6.31,6.25,6.25,120500
171,2003-01-28,6.4,6.5,6.39,6.45,171800
172,2003-01-29,6.41,6.46,6.25,6.38,31400
173,2003-01-30,6.45,6.45,6.31,6.37,64100
174,2003-01-31,6.26,6.38,6.25,6.38,49300
175,2003-02-03,6.36,6.55,6.36,6.5,224300
176,2003-02-04,6.4,6.43,6.35,6.38,283100
177,2003-02-05,6.35,6.5,6.35,6.45,200600
178,2003-02-06,6.5,6.5,6.38,6.38,1800
179,2003-02-07,6.82,6.82,6.67,6.67,672900
180,2003-02-10,6.77,6.94,6.77,6.85,75000
181,2003-02-11,6.85,6.85,6.81,6.81,85000
182,2003-02-12,6.92,7.02,6.85,6.94,82600
183,2003-02-13,7.0,7.05,6.76,6.86,162600
184,2003-02-14,6.85,6.85,6.74,6.79,80700
185,2003-02-18,6.7,6.86,6.7,6.82,14600
186,2003-02-19,6.83,6.83,6.68,6.74,285400
187,2003-02-20,6.95,7.05,6.95,7.01,158300
188,2003-02-21,6.97,6.99,6.9,6.94,44500
189,2003-02-24,7.01,7.01,6.89,6.89,113500
190,2003-02-25,6.65,6.66,6.56,6.65,158200
191,2003-02-26,6.64,6.64,6.51,6.51,36500
192,2003-02-27,6.4,6.52,6.35,6.51,22600
193,2003-02-28,6.52,6.55,6.49,6.5,52900
194,2003-03-03,6.63,6.7,6.61,6.61,67300
195,2003-03-04,6.51,6.52,6.46,6.52,6400
196,2003-03-05,6.13,6.2,6.07,6.09,121700
197,2003-03-06,6.06,6.06,6.03,6.04,10400
198,2003-03-07,5.92,6.0,5.9,5.94,212000
199,2003-03-10,5.85,5.86,5.78,5.78,194400
200,2003-03-11,5.7,5.71,5.59,5.6,375200
201,2003-03-12,5.72,5.73,5.67,5.7,751900
202,2003-03-13,6.05,6.05,5.81,5.97,125800
203,2003-03-14,5.92,6.04,5.9,5.9,56100
204,2003-03-17,5.75,6.02,5.72,6.02,28000
205,2003-03-18,6.34,6.35,6.25,6.35,202300
206,2003-03-19,6.34,6.35,6.15,6.28,31100
207,2003-03-20,6.22,6.3,6.22,6.26,44900
208,2003-03-21,6.28,6.28,6.15,6.2,207000
209,2003-03-24,6.11,6.12,6.0,6.11,6600
210,2003-03-25,6.0,6.0,5.95,5.95,73400
211,2003-03-26,5.85,5.91,5.84,5.85,77800
212,2003-03-27,5.89,5.9,5.8,5.85,83400
213,2003-03-28,5.78,5.79,5.75,5.75,63100
214,2003-03-31,5.66,5.66,5.55,5.65,55800
215,2003-04-01,5.6,5.68,5.56,5.6,16600
216,2003-04-02,5.62,5.75,5.62,5.75,49200
217,2003-04-03,5.7,5.79,5.7,5.74,19400
218,2003-04-04,5.84,5.93,5.81,5.93,9500
219,2003-04-07,6.0,6.16,6.0,6.1,202300
220,2003-04-08,6.0,6.01,5.91,5.96,28000
221,2003-04-09,5.88,5.88,5.8,5.8,24900
222,2003-04-10,5.85,6.03,5.8,6.03,78300
223,2003-04-11,6.04,6.04,5.91,5.95,80100
224,2003-04-14,5.85,5.86,5.72,5.84,9400
225,2003-04-15,5.78,5.93,5.78,5.89,22800
226,2003-04-16,5.89,5.95,5.88,5.88,105800
227,2003-04-17,5.88,5.95,5.85,5.95,49700
228,2003-04-21,5.88,6.09,5.88,6.01,14000
229,2003-04-22,5.98,5.98,5.9,5.91,6500
230,2003-04-23,5.92,5.94,5.9,5.9,8900
231,2003-04-24,5.7,5.79,5.65,5.67,71500
232,2003-04-25,5.59,5.6,5.55,5.58,24200
233,2003-04-28,5.3,5.39,5.3,5.37,101700
234,2003-04-29,5.33,5.4,5.32,5.4,53300
235,2003-04-30,5.25,5.25,5.2,5.2,54200
236,2003-05-01,5.1,5.2,5.1,5.13,29500
237,2003-05-02,5.09,5.2,5.09,5.2,35300
238,2003-05-05,5.18,5.18,5.05,5.11,45100
239,2003-05-06,5.2,5.38,5.19,5.31,193700
240,2003-05-07,5.33,5.34,5.2,5.22,25700
241,2003-05-08,5.1,5.1,5.03,5.05,45800
242,2003-05-09,5.07,5.23,5.07,5.2,66700
243,2003-05-12,5.24,5.38,5.22,5.37,111800
244,2003-05-13,5.45,5.55,5.45,5.5,49400
245,2003-05-14,5.59,5.59,5.43,5.44,58000
246,2003-05-15,5.4,5.55,5.39,5.52,29100
247,2003-05-16,5.2,5.45,5.2,5.35,55100
248,2003-05-19,5.22,5.22,5.06,5.06,70600
249,2003-05-20,5.3,5.3,5.1,5.1,17400
250,2003-05-21,5.12,5.2,5.11,5.2,33100
251,2003-05-22,5.3,5.46,5.21,5.4,317900
252,2003-05-23,5.41,5.6,5.4,5.54,500100
253,2003-05-27,5.8,5.98,5.65,5.97,230100
254,2003-05-28,5.82,5.93,5.7,5.84,311400
255,2003-05-29,5.9,5.98,5.85,5.98,113800
256,2003-05-30,6.15,6.75,6.15,6.7,704200
257,2003-06-02,6.85,7.0,6.72,6.88,652100
258,2003-06-03,6.45,6.81,6.42,6.75,410800
259,2003-06-04,6.65,6.88,6.65,6.84,289100
260,2003-06-05,6.68,6.72,6.6,6.62,97000
261,2003-06-06,6.63,6.89,6.63,6.75,449700
262,2003-06-09,6.78,6.99,6.78,6.96,93000
263,2003-06-10,7.03,7.11,7.01,7.03,452400
264,2003-06-11,6.9,7.0,6.7,7.0,260800
265,2003-06-12,7.05,7.05,6.9,6.95,198400
266,2003-06-13,7.02,7.02,6.85,6.9,1363000
267,2003-06-16,6.85,6.88,6.7,6.87,57600
268,2003-06-17,7.05,7.05,6.94,7.05,247500
269,2003-06-18,6.99,7.0,6.93,6.93,40400
270,2003-06-19,7.37,7.54,7.34,7.42,269000
271,2003-06-20,7.42,7.42,7.23,7.25,411100
272,2003-06-23,6.9,6.9,6.73,6.77,92500
273,2003-06-24,6.82,6.9,6.82,6.88,166100
274,2003-06-25,6.98,7.09,6.85,6.9,529500
275,2003-06-26,6.9,7.1,6.9,7.1,141500
276,2003-06-27,6.98,7.02,6.9,6.9,49100
277,2003-06-30,6.96,7.0,6.9,6.92,21200
278,2003-07-01,7.3,7.42,7.2,7.42,285300
279,2003-07-02,7.27,7.8,7.24,7.75,137100
280,2003-07-03,7.6,7.6,7.3,7.36,71900
281,2003-07-07,8.35,8.53,8.3,8.52,502300
282,2003-07-08,8.68,8.88,8.68,8.88,1451600
283,2003-07-09,8.87,8.89,8.7,8.84,974500
284,2003-07-10,8.48,8.5,8.3,8.31,383000
285,2003-07-11,8.7,8.95,8.7,8.9,917900
286,2003-07-14,9.0,9.34,9.0,9.3,328300
287,2003-07-15,9.35,9.35,9.15,9.29,237100
288,2003-07-16,9.47,9.75,9.47,9.6,538600
289,2003-07-17,9.35,9.35,8.87,8.95,197200
290,2003-07-18,9.35,9.4,9.25,9.4,418300
