Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2007-01-24,24.25,24.38,23.7,23.9,770200
1.0,2007-01-25,23.99,24.09,23.07,23.6,348700
2.0,2007-01-26,23.82,23.9,23.16,23.16,244900
3.0,2007-01-29,23.2,23.83,22.77,22.88,339200
4.0,2007-01-30,22.81,23.19,22.78,22.95,267000
5.0,2007-01-31,23.17,23.53,22.7,22.87,372600
6.0,2007-02-01,22.89,22.97,21.9,22.14,384700
7.0,2007-02-02,21.93,22.29,21.9,22.07,164500
8.0,2007-02-05,21.9,22.1,21.75,21.75,292700
9.0,2007-02-06,21.73,22.4,21.52,21.95,220200
10.0,2007-02-07,21.81,22.37,21.81,22.05,332500
11.0,2007-02-08,22.38,22.4,22.0,22.03,86100
12.0,2007-02-09,22.0,22.09,21.63,21.82,180700
13.0,2007-02-12,21.83,21.83,21.12,21.25,136900
14.0,2007-02-13,21.1,21.75,21.0,21.23,123500
15.0,2007-02-14,21.11,21.3,20.87,21.04,180900
16.0,2007-02-15,20.86,21.3,20.65,20.82,113100
17.0,2007-02-16,20.7,21.17,20.5,21.07,169000
18.0,2007-02-20,20.9,22.0,20.9,21.72,160600
19.0,2007-02-21,22.5,22.85,21.84,22.13,488300
20.0,2007-02-22,22.1,22.98,22.1,22.77,201400
21.0,2007-02-23,23.0,23.18,22.53,23.1,112000
22.0,2007-02-26,23.25,23.5,22.66,22.75,138000
23.0,2007-02-27,22.41,22.48,21.29,21.98,232100
24.0,2007-02-28,21.63,21.95,21.2,21.27,220500
25.0,2007-03-01,21.08,21.9,20.88,21.75,99200
26.0,2007-03-02,21.5,22.25,21.4,22.0,62400
27.0,2007-03-05,21.51,21.76,20.9,21.0,188200
28.0,2007-03-06,20.91,21.34,20.66,21.01,157200
29.0,2007-03-07,21.0,21.05,20.65,20.76,97200
30.0,2007-03-08,20.82,21.49,20.71,21.43,110900
31.0,2007-03-09,23.27,24.25,22.31,23.5,1033100
32.0,2007-03-12,23.91,23.91,22.5,23.49,223500
33.0,2007-03-13,22.6,23.85,22.59,23.29,244500
34.0,2007-03-14,23.75,23.89,22.62,23.47,98900
35.0,2007-03-15,23.9,24.25,23.37,23.5,193500
36.0,2007-03-16,23.5,23.61,23.01,23.11,48400
37.0,2007-03-19,23.2,24.07,22.96,23.98,98900
38.0,2007-03-20,24.0,24.5,23.55,23.77,133700
39.0,2007-03-21,23.5,23.95,23.31,23.58,62300
40.0,2007-03-22,23.55,23.67,23.15,23.61,69300
41.0,2007-03-23,23.7,23.97,23.47,23.82,64200
42.0,2007-03-26,23.96,23.96,23.37,23.42,52200
43.0,2007-03-27,23.33,23.75,23.22,23.4,78300
44.0,2007-03-28,23.25,23.55,22.64,23.21,82700
45.0,2007-03-29,23.26,23.73,23.2,23.63,215100
46.0,2007-03-30,23.75,23.95,22.8,22.86,629000
47.0,2007-04-02,22.77,23.09,21.87,22.4,183300
48.0,2007-04-03,22.58,22.96,22.4,22.89,128600
49.0,2007-04-04,22.93,23.05,22.77,22.94,64700
50.0,2007-04-05,23.0,23.02,22.59,23.0,80400
51.0,2007-04-09,22.94,23.12,22.6,22.83,124200
52.0,2007-04-10,22.74,23.21,22.63,22.83,90300
53.0,2007-04-11,22.7,22.76,22.0,22.32,111100
54.0,2007-04-12,22.4,22.89,22.37,22.5,66500
55.0,2007-04-13,22.34,22.7,22.15,22.5,54600
56.0,2007-04-16,22.5,22.93,22.5,22.77,37000
57.0,2007-04-17,22.97,23.71,22.89,23.63,129000
58.0,2007-04-18,23.62,23.7,23.27,23.46,48900
59.0,2007-04-19,23.02,23.45,22.86,23.37,49100
60.0,2007-04-20,23.64,23.69,22.87,23.2,51600
61.0,2007-04-23,23.07,23.34,22.79,22.91,28900
62.0,2007-04-24,22.76,22.88,22.28,22.88,65300
63.0,2007-04-25,22.89,23.23,22.5,22.93,51700
64.0,2007-04-26,22.8,22.82,22.55,22.68,31700
65.0,2007-04-27,22.44,22.48,22.13,22.22,82100
