,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,565.938,568.75,505.0,531.875,1470600
1,2000-01-04,512.5,525.0,470.0,472.5,1046700
2,2000-01-05,469.688,490.0,402.5,477.5,2247300
3,2000-01-06,465.625,475.0,430.0,445.625,1334800
4,2000-01-07,431.25,497.5,430.0,495.938,1450500
5,2000-01-10,515.0,595.0,513.125,572.5,2975050
6,2000-01-11,596.875,673.75,550.0,575.938,4499600
7,2000-01-12,597.5,600.313,525.0,536.25,2980850
8,2000-01-13,562.5,577.5,557.5,565.938,1462100
9,2000-01-14,600.0,615.0,577.5,580.0,1817600
10,2000-01-18,594.063,595.0,550.0,586.25,1341300
11,2000-01-19,588.125,665.0,573.75,649.688,2487300
12,2000-01-20,685.0,725.0,656.875,701.25,2641800
13,2000-01-21,707.813,707.813,656.875,680.0,1707800
14,2000-01-24,696.25,699.375,612.813,625.938,1512000
15,2000-01-25,648.75,750.0,620.0,747.5,2268000
16,2000-01-26,723.75,740.0,682.5,700.0,3218400
17,2000-01-27,740.0,849.375,737.5,837.5,4583600
18,2000-01-28,799.453,817.5,755.0,758.75,2321400
19,2000-01-31,718.125,722.5,660.0,700.625,6137900
20,2000-02-01,705.0,750.0,666.25,728.75,2146400
21,2000-02-02,767.5,786.25,710.313,721.25,1830400
22,2000-02-03,753.75,770.0,713.75,769.688,1177400
23,2000-02-04,780.0,791.563,735.0,750.625,1532100
24,2000-02-07,764.688,797.813,760.0,785.625,2202300
25,2000-02-08,814.688,853.438,810.0,836.25,1794500
26,2000-02-09,850.0,928.125,849.688,912.188,3019000
27,2000-02-10,919.688,964.063,875.0,957.5,1693000
28,2000-02-11,973.44,1002.19,928.13,956.56,2571000
29,2000-02-14,977.5,1040.0,975.0,1002.5,1998400
30,2000-02-15,1013.75,1015.31,943.13,1002.81,1881900
31,2000-02-16,1025.0,1025.0,965.0,995.63,1117700
32,2000-02-17,996.25,1009.69,967.5,1005.0,1083300
33,2000-02-18,1005.31,1005.63,962.5,1001.25,1148700
34,2000-02-22,1005.94,1030.63,956.25,981.25,2078900
35,2000-02-23,1004.38,1009.38,951.88,972.5,2140400
36,2000-02-24,977.81,1133.75,957.5,1108.13,3928200
37,2000-02-25,1100.63,1155.0,1079.69,1126.56,1971500
38,2000-02-28,1135.0,1135.0,1075.0,1090.63,1222500
39,2000-02-29,1105.0,1126.88,1082.5,1085.0,100
40,2000-03-01,1123.75,1226.88,1117.5,1190.0,2374500
41,2000-03-02,1221.88,1324.38,1190.0,1305.31,2374000
42,2000-03-03,1376.88,1385.0,1251.88,1299.06,2180400
43,2000-03-06,1339.69,1340.0,1237.5,1267.5,1486800
