,DateTime,Open,High,Low,Close,Volume
0,2017-03-24,17.25,17.5,15.03,15.5,8659645
1,2017-03-27,15.69,15.69,15.0,15.23,594354
2,2017-03-28,15.35,15.35,14.6101,14.93,822191
3,2017-03-29,14.99,15.2,14.75,15.01,282545
4,2017-03-30,15.09,15.74,14.885,15.03,424976
5,2017-03-31,15.13,15.72,14.95,15.63,366776
6,2017-04-03,16.16,16.37,15.57,16.05,486867
7,2017-04-04,16.06,16.24,15.66,15.93,187030
8,2017-04-05,15.97,16.3,15.7582,16.12,305633
9,2017-04-06,15.94,16.8,15.7801,16.63,526145
10,2017-04-07,16.68,16.8,16.205,16.69,205790
11,2017-04-10,16.7,16.85,16.3501,16.84,171971
12,2017-04-11,16.9,16.9,16.56,16.85,407234
13,2017-04-12,16.8,17.18,16.65,17.0,285703
14,2017-04-13,17.01,17.24,16.85,17.0,260071
15,2017-04-17,17.09,17.09,15.818,16.28,343638
16,2017-04-18,16.39,16.57,16.03,16.34,292750
17,2017-04-19,16.5,16.92,16.15,16.52,362878
18,2017-04-20,16.58,16.6,15.34,15.5,428109
19,2017-04-21,15.52,15.91,15.42,15.43,302859
20,2017-04-24,15.41,15.41,14.8,14.8,538328
21,2017-04-25,14.86,15.48,14.79,15.36,342822
22,2017-04-26,15.35,15.85,15.15,15.17,197864
23,2017-04-27,15.11,15.7365,15.11,15.21,138376
24,2017-04-28,15.28,15.99,15.28,15.99,176653
25,2017-05-01,16.04,16.04,15.7,15.95,114447
26,2017-05-02,15.96,16.91,15.96,16.73,405937
27,2017-05-03,16.62,17.1,16.3474,17.05,163855
28,2017-05-04,17.01,18.2,17.01,18.09,305058
29,2017-05-05,18.1,19.39,18.02,18.9,438292
30,2017-05-08,18.94,19.23,18.51,18.57,190125
31,2017-05-09,18.5,18.68,17.654,18.48,127032
32,2017-05-10,18.33,18.63,18.0101,18.48,238255
33,2017-05-11,18.75,20.15,18.04,18.99,600444
34,2017-05-12,19.06,19.0789,18.51,18.55,156323
35,2017-05-15,18.6,18.76,18.1,18.2,294307
36,2017-05-16,18.13,18.369,17.49,17.52,271745
37,2017-05-17,17.46,17.5034,16.71,16.89,288802
38,2017-05-18,16.9,17.5,16.66,17.47,100423
39,2017-05-19,17.45,17.9758,17.3708,17.81,99134
40,2017-05-22,17.79,18.929,17.74,18.87,194475
