Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2020-11-12,1.92,1.92,1.71,1.7601,92755
1.0,2020-11-13,1.7626,1.8,1.73,1.75,48295
2.0,2020-11-16,1.76,1.77,1.5799,1.6,96681
3.0,2020-11-17,1.68,1.68,1.34,1.52,191829
4.0,2020-11-18,1.53,1.54,1.43,1.49,88178
5.0,2020-11-19,1.5,1.5,1.46,1.5,38731
6.0,2020-11-20,1.51,1.51,1.43,1.46,137129
7.0,2020-11-23,1.51,1.6,1.43,1.53,765983
8.0,2020-11-24,1.58,1.6,1.44,1.45,370960
9.0,2020-11-25,1.48,1.55,1.38,1.41,527581
10.0,2020-11-27,1.43,1.43,1.37,1.41,281650
11.0,2020-11-30,1.4,1.4,1.35,1.39,195641
12.0,2020-12-01,1.4,1.59,1.4,1.54,1199010
13.0,2020-12-02,1.55,1.55,1.34,1.48,1166459
14.0,2020-12-03,1.46,1.5132,1.4,1.45,235653
15.0,2020-12-04,1.42,1.46,1.42,1.45,124647
16.0,2020-12-07,1.5,1.5,1.4,1.47,180236
17.0,2020-12-08,1.45,1.47,1.4,1.46,255349
18.0,2020-12-09,1.43,1.47,1.4,1.47,254895
19.0,2020-12-10,1.44,1.45,1.41,1.44,84820
20.0,2020-12-11,1.42,1.44,1.41,1.44,111298
21.0,2020-12-14,1.43,1.43,1.36,1.38,221855
22.0,2020-12-15,1.35,1.42,1.35,1.39,132626
23.0,2020-12-16,1.38,1.4,1.38,1.39,70729
24.0,2020-12-17,1.38,1.4053,1.34,1.36,105838
25.0,2020-12-18,1.36,1.39,1.35,1.35,172472
26.0,2020-12-21,1.4,1.42,1.36,1.41,272153
27.0,2020-12-22,1.4,1.41,1.37,1.37,145821
28.0,2020-12-23,1.37,1.4,1.35,1.37,180309
29.0,2020-12-24,1.36,1.39,1.36,1.38,71986
30.0,2020-12-28,1.38,1.55,1.37,1.49,745620
31.0,2020-12-29,1.51,1.5377,1.42,1.45,365989
32.0,2020-12-30,1.43,1.5,1.42,1.47,103673
33.0,2020-12-31,1.44,1.46,1.37,1.37,197644
34.0,2021-01-04,1.38,1.3981,1.11,1.25,540063
35.0,2021-01-05,1.25,1.29,1.2,1.27,204042
36.0,2021-01-06,1.28,1.3,1.21,1.24,130672
37.0,2021-01-07,1.25,1.36,1.24,1.35,476019
38.0,2021-01-08,1.38,1.38,1.33,1.36,96469
39.0,2021-01-11,1.34,1.35,1.3,1.33,107725
40.0,2021-01-12,1.33,1.4577,1.33,1.45,447042
41.0,2021-01-13,1.46,1.48,1.42,1.45,246102
42.0,2021-01-14,1.5,1.59,1.48,1.53,430570
43.0,2021-01-15,1.5,1.5592,1.4,1.43,198758
44.0,2021-01-19,1.47,1.57,1.47,1.57,327352
45.0,2021-01-20,1.59,1.59,1.53,1.54,218465
46.0,2021-01-21,5.97,9.4,4.43,4.56,214916745
47.0,2021-01-22,4.5,5.94,4.5,4.87,16979168
48.0,2021-01-25,4.65,4.666,3.58,4.16,5148588
