Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2019-06-28,27.9,28.0,25.55,26.97,865500
1.0,2019-07-01,27.42,27.865,26.09,27.37,324600
2.0,2019-07-02,27.26,27.55,25.5,27.04,595500
3.0,2019-07-03,27.06,29.1,27.06,28.61,2097800
4.0,2019-07-05,28.61,29.15,27.25,28.99,399900
5.0,2019-07-08,28.71,28.98,27.905,28.2,210600
6.0,2019-07-09,28.3,28.42,27.3,27.36,94300
7.0,2019-07-10,27.58,27.95,26.84,27.6,238900
8.0,2019-07-11,27.49,31.637,26.98,29.77,230700
9.0,2019-07-12,29.61,29.61,28.281,28.62,235900
10.0,2019-07-15,28.5,28.725,27.097,27.84,156100
11.0,2019-07-16,27.93,27.93,25.41,25.94,174100
12.0,2019-07-17,26.0,26.56,25.61,26.12,109400
13.0,2019-07-18,26.21,27.001,25.51,26.0,213300
14.0,2019-07-19,26.0,28.15,24.056,27.51,298700
15.0,2019-07-22,27.6,30.8,27.6,30.34,296900
16.0,2019-07-23,30.64,30.663,28.25,28.83,192900
17.0,2019-07-24,28.83,30.832,28.0,28.12,105100
18.0,2019-07-25,28.12,28.56,26.01,26.79,116700
19.0,2019-07-26,27.03,28.94,27.0,28.37,216700
20.0,2019-07-29,28.51,29.47,28.03,28.69,101500
21.0,2019-07-30,28.88,29.0,27.02,27.78,97900
22.0,2019-07-31,27.86,29.5,27.43,29.35,77800
23.0,2019-08-01,29.35,32.812,29.35,29.69,296700
24.0,2019-08-02,29.64,30.593,27.7,28.29,148300
25.0,2019-08-05,28.11,28.11,26.64,26.9,100600
26.0,2019-08-06,27.0,28.22,26.71,27.88,60600
27.0,2019-08-07,27.64,29.58,27.276,29.47,62800
28.0,2019-08-08,29.65,30.49,28.78,29.82,85600
29.0,2019-08-09,29.67,29.99,25.69,26.88,441200
30.0,2019-08-12,26.5,27.38,25.78,26.19,216800
31.0,2019-08-13,26.0,27.09,25.749,26.76,95500
32.0,2019-08-14,26.44,26.44,25.315,25.89,128700
33.0,2019-08-15,25.64,27.14,25.64,26.76,172900
34.0,2019-08-16,26.74,28.32,26.58,27.46,218100
35.0,2019-08-19,27.52,29.49,27.44,28.05,222700
36.0,2019-08-20,28.02,29.11,27.85,28.66,159700
37.0,2019-08-21,28.96,30.0,28.51,29.82,133000
38.0,2019-08-22,30.01,30.5,29.655,29.8,100200
39.0,2019-08-23,29.99,30.6,28.57,29.31,63800
40.0,2019-08-26,29.6,30.98,29.43,30.49,112300
41.0,2019-08-27,30.64,31.78,30.045,31.26,171900
42.0,2019-08-28,31.25,31.91,29.26,29.61,144700
43.0,2019-08-29,29.8,30.92,27.59,30.71,139800
44.0,2019-08-30,30.51,31.5,29.1,30.48,137000
45.0,2019-09-03,30.6,32.94,30.49,32.38,360800
46.0,2019-09-04,32.29,32.295,31.15,31.48,200700
47.0,2019-09-05,31.55,32.2,30.65,31.32,201400
48.0,2019-09-06,31.18,32.22,30.86,30.93,227000
49.0,2019-09-09,30.94,31.113,28.09,28.35,221900
50.0,2019-09-10,28.02,29.02,26.245,26.55,221900
51.0,2019-09-11,26.56,27.5,26.08,26.95,185200
52.0,2019-09-12,27.0,27.286,26.004,26.1,176400
53.0,2019-09-13,26.09,26.53,25.33,25.91,194100
54.0,2019-09-16,25.91,26.39,24.51,25.38,173500
55.0,2019-09-17,25.26,25.705,24.67,24.86,166000
56.0,2019-09-18,24.86,25.305,24.43,24.75,167100
57.0,2019-09-19,24.83,25.68,24.33,24.53,225000
58.0,2019-09-20,24.59,26.43,24.48,26.27,3410300
59.0,2019-09-23,26.0,28.25,26.0,27.605,400000
60.0,2019-09-24,28.08,28.363,25.11,25.46,391800
61.0,2019-09-25,25.53,26.05,23.21,23.39,306000
62.0,2019-09-26,23.57,23.814,21.2,21.24,337000
63.0,2019-09-27,21.25,22.46,19.71,20.13,412100
64.0,2019-09-30,20.22,22.24,19.28,21.47,315600
65.0,2019-10-01,21.48,22.68,20.75,20.9,192800
66.0,2019-10-02,20.71,21.11,19.33,19.57,276400
67.0,2019-10-03,19.49,20.23,19.01,20.17,406600
68.0,2019-10-04,20.44,20.99,19.17,19.43,327800
69.0,2019-10-07,19.29,19.95,18.51,19.63,217000
70.0,2019-10-08,19.4,19.85,18.68,19.11,119500
71.0,2019-10-09,19.29,19.294,17.61,18.35,170800
72.0,2019-10-10,18.22,19.45,18.16,18.75,355500
73.0,2019-10-11,18.98,19.74,18.32,18.53,262900
74.0,2019-10-14,18.69,18.81,18.05,18.12,179300
75.0,2019-10-15,18.12,18.98,18.06,18.62,180600
76.0,2019-10-16,18.52,18.99,17.69,17.96,159700
77.0,2019-10-17,18.0,19.0,17.746,18.51,144200
78.0,2019-10-18,18.37,18.5,17.84,18.21,211400
79.0,2019-10-21,18.38,18.91,18.292,18.63,169900
80.0,2019-10-22,18.65,18.92,18.34,18.4,192200
81.0,2019-10-23,18.4,19.0,18.19,18.48,259200
82.0,2019-10-24,18.58,18.95,18.34,18.51,170600
83.0,2019-10-25,18.42,19.43,17.73,18.72,325400
84.0,2019-10-28,18.78,19.67,18.65,19.44,277000
85.0,2019-10-29,19.56,20.805,19.52,20.0,295200
86.0,2019-10-30,20.0,20.69,19.81,20.26,309400
87.0,2019-10-31,20.28,22.91,20.2,22.61,342400
88.0,2019-11-01,22.83,24.42,22.584,24.15,306300
89.0,2019-11-04,24.4,25.115,21.64,23.08,171600
