,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,130.56,135.5,125.12,133.0,1232000
1,2000-01-04,130.88,136.75,125.0,127.25,936500
2,2000-01-05,127.56,129.06,99.75,115.5,5013000
3,2000-01-07,102.0,104.0,88.75,94.5,5321500
4,2000-01-10,98.25,102.0,83.0,84.5,4656500
5,2000-01-11,88.44,101.63,86.25,93.56,7950800
6,2000-01-12,99.25,99.81,90.0,92.25,1857000
7,2000-01-13,94.0,95.56,85.5,87.0,1544500
8,2000-01-14,93.69,93.69,86.12,91.5,1316000
9,2000-01-18,92.31,92.5,86.25,86.25,806500
10,2000-01-19,89.5,89.5,83.5,85.0,1392000
11,2000-01-20,89.0,91.0,85.5,88.37,1697100
12,2000-01-21,88.0,99.88,86.0,94.75,2794400
13,2000-01-24,97.94,98.0,85.5,88.5,1686500
14,2000-01-25,87.13,90.0,84.06,87.69,1196000
15,2000-01-26,87.06,90.0,85.5,87.62,809000
16,2000-01-27,90.06,93.5,88.5,90.5,1563500
17,2000-01-28,91.0,91.37,83.0,88.0,804000
18,2000-01-31,87.31,90.0,83.87,87.0,1100000
19,2000-02-01,89.0,97.94,85.37,97.37,1970100
20,2000-02-02,97.75,99.0,90.0,92.0,927000
21,2000-02-03,92.22,94.75,86.5,91.63,1439400
22,2000-02-04,91.56,103.94,91.5,97.5,3751000
23,2000-02-07,99.0,106.88,97.5,104.38,1639400
24,2000-02-08,106.13,113.5,104.87,110.25,2216500
25,2000-02-09,111.88,116.0,100.0,102.5,1525500
26,2000-02-10,102.88,103.25,96.25,100.37,982600
27,2000-02-11,101.47,108.88,98.5,107.75,1009500
28,2000-02-14,105.75,108.25,99.0,101.5,674000
29,2000-02-15,101.94,106.0,98.0,104.44,691000
30,2000-02-16,105.5,119.5,105.0,117.0,2841000
31,2000-02-17,125.0,126.94,117.06,119.94,4033900
32,2000-02-18,121.0,122.0,109.06,112.88,1508400
33,2000-02-22,112.75,114.0,105.0,110.06,1957100
34,2000-02-24,126.44,128.75,116.75,124.44,1470500
35,2000-02-25,124.47,125.0,122.0,122.5,424500
36,2000-02-28,122.94,125.0,112.69,119.31,1109500
37,2000-02-29,119.5,126.0,119.38,121.75,991000
38,2000-03-01,121.94,144.88,119.31,142.88,3569400
39,2000-03-02,143.06,150.0,140.06,146.5,2032000
40,2000-03-03,147.13,150.0,142.0,148.0,1093500
41,2000-03-06,146.0,147.88,135.62,137.87,1542100
42,2000-03-07,142.25,149.87,128.87,131.12,670500
43,2000-03-08,136.19,138.38,118.0,124.63,1040900
44,2000-03-09,125.94,131.25,116.0,116.87,1719600
45,2000-03-10,122.06,123.0,110.0,116.12,3180100
46,2000-03-13,106.06,114.13,105.13,110.38,733500
47,2000-03-14,108.31,112.63,98.0,100.69,2410500
48,2000-03-15,101.69,102.44,90.0,91.56,1415100
49,2000-03-16,96.0,96.06,80.5,86.06,2958600
50,2000-03-17,90.38,106.69,85.75,103.0,3008500
51,2000-03-20,103.37,108.0,90.0,95.31,2442100
52,2000-03-21,96.94,99.88,88.0,88.88,1280900
53,2000-03-22,95.5,97.0,90.88,92.0,1086000
54,2000-03-23,94.25,107.12,93.0,100.88,1623400
55,2000-03-24,101.25,110.5,101.25,109.25,2156000
56,2000-03-27,108.56,125.5,108.5,122.0,1973500
57,2000-03-28,128.0,129.0,109.0,116.63,1778900
58,2000-03-29,116.69,118.69,105.0,106.44,449000
59,2000-03-30,97.31,110.0,93.0,105.5,1717500
60,2000-03-31,106.0,119.0,93.38,118.5,1801000
61,2000-04-03,110.63,117.0,98.25,101.25,1189500
62,2000-04-04,103.88,105.56,74.75,98.0,1824000
63,2000-04-05,86.0,103.0,83.75,91.63,1330400
64,2000-04-06,94.63,98.44,87.38,89.5,906500
65,2000-04-07,93.0,100.44,91.0,100.25,763500
66,2000-04-10,103.0,103.0,87.62,88.06,567500
67,2000-04-11,87.5,88.0,75.06,79.63,2732300
68,2000-04-12,76.37,77.75,53.0,55.5,3575000
69,2000-04-13,58.25,59.87,45.28,47.0,4388500
70,2000-04-14,46.94,47.0,32.5,34.25,2999200
71,2000-04-17,27.0,42.0,27.0,30.5,3901000
72,2000-04-18,33.19,41.38,31.0,37.06,6006600
73,2000-04-19,43.94,51.88,39.25,50.0,3598500
74,2000-04-20,49.5,55.0,40.5,52.13,2430200
75,2000-04-24,48.75,51.0,39.19,48.75,1947100
76,2000-04-25,50.12,61.0,47.19,57.25,2292900
77,2000-04-26,58.94,72.0,55.25,60.62,2987700
78,2000-04-27,54.5,69.94,52.0,69.94,2942300
79,2000-04-28,70.19,76.5,66.62,74.25,1983600
80,2000-05-01,73.56,73.56,67.81,69.19,1285500
81,2000-05-02,64.0,68.5,61.13,65.0,1112000
82,2000-05-03,59.0,65.0,52.5,63.0,1939000
83,2000-05-04,64.81,65.0,56.12,64.63,1112400
84,2000-05-05,65.0,69.75,63.31,67.75,1138500
85,2000-05-08,64.5,67.5,61.5,62.63,259500
86,2000-05-09,60.0,62.0,51.0,51.06,2271200
87,2000-05-10,49.13,51.0,43.0,45.75,1628600
88,2000-05-11,50.0,50.0,40.31,43.37,2191800
89,2000-05-12,46.56,50.75,44.5,47.5,1790000
90,2000-05-15,47.0,47.69,40.37,46.88,2861300
91,2000-05-16,46.0,52.0,44.5,49.63,3650100
92,2000-05-17,46.06,51.5,45.0,51.5,3607000
93,2000-05-18,48.88,51.25,43.5,43.75,5487200
94,2000-05-19,40.0,41.87,36.13,37.0,7349000
95,2000-05-22,37.06,42.75,35.87,41.31,5719300
96,2000-05-23,38.25,46.19,38.12,45.13,4644400
97,2000-05-24,44.44,47.75,39.5,47.0,3614500
98,2000-05-25,48.0,49.5,43.19,48.86,2591000
99,2000-05-26,47.25,48.13,44.06,44.75,1523600
100,2000-05-30,46.88,49.94,44.75,49.0,2089500
101,2000-05-31,48.75,55.0,46.0,55.0,2202500
102,2000-06-01,54.62,56.94,50.0,52.69,1653400
103,2000-06-05,59.0,61.0,53.0,60.0,1296500
104,2000-06-06,60.94,65.0,58.0,61.25,1988100
105,2000-06-07,61.0,65.13,57.5,63.75,1665100
106,2000-06-08,64.38,65.0,59.56,62.81,1320000
107,2000-06-12,63.25,63.25,55.25,57.0,1668000
108,2000-06-13,56.0,57.31,50.0,57.25,3583600
109,2000-06-14,58.28,59.38,55.0,58.0,1479500
110,2000-06-15,57.75,59.0,54.5,56.06,811100
111,2000-06-16,55.13,58.0,52.0,57.63,1758800
112,2000-06-19,56.0,60.0,54.5,57.63,994400
113,2000-06-20,58.5,60.5,55.75,55.88,1224900
114,2000-06-21,58.06,58.06,53.0,56.5,2868500
115,2000-06-22,57.13,57.5,52.0,54.0,2781000
116,2000-06-23,54.23,54.23,49.0,50.69,2260400
117,2000-06-26,52.56,53.0,49.14,51.63,1594800
118,2000-06-27,51.56,53.63,48.63,52.0,3412000
119,2000-06-28,52.5,57.5,50.81,55.0,2558500
120,2000-06-29,50.75,56.88,50.69,55.25,2122100
121,2000-06-30,57.0,61.88,53.0,61.56,4858300
122,2000-07-03,61.69,61.75,56.5,59.94,530500
123,2000-07-05,59.13,64.13,58.81,60.81,2374600
124,2000-07-06,61.69,65.0,58.0,63.81,2128600
125,2000-07-07,62.63,68.5,62.5,67.63,6309900
126,2000-07-10,67.75,68.25,64.5,67.56,4822300
127,2000-07-11,67.06,72.88,67.0,70.44,3657300
128,2000-07-12,71.13,76.0,70.75,73.5,4338500
129,2000-07-13,73.5,87.0,73.5,86.5,5117500
130,2000-07-14,87.5,88.0,80.5,83.0,1644500
131,2000-07-17,82.56,86.75,82.0,84.0,1816000
132,2000-07-18,84.0,85.63,77.0,79.19,900500
133,2000-07-19,79.75,84.5,76.38,83.0,427500
134,2000-07-21,75.75,76.75,68.75,70.0,1082500
135,2000-07-24,70.75,73.13,70.0,71.88,675000
136,2000-07-25,71.88,72.25,60.88,67.63,2172800
137,2000-07-26,66.75,67.75,62.38,65.88,482500
138,2000-07-27,62.75,64.63,56.13,62.5,1815000
139,2000-07-28,61.31,67.0,57.25,58.88,927400
140,2000-07-31,60.94,70.0,59.25,68.0,2334500
141,2000-08-01,67.19,67.63,61.75,63.94,2358900
142,2000-08-02,63.0,66.23,60.0,63.94,1716400
143,2000-08-03,61.38,66.5,56.75,65.25,740500
144,2000-08-04,66.0,75.13,64.0,74.0,2174500
145,2000-08-07,74.94,74.94,70.0,70.75,914000
146,2000-08-08,71.5,72.5,70.0,71.0,564500
147,2000-08-09,72.75,75.75,71.0,72.5,1183500
148,2000-08-10,72.0,81.63,71.02,78.38,2936900
149,2000-08-11,78.5,81.0,74.88,78.88,1865900
150,2000-08-14,79.38,83.5,77.56,82.5,3603500
151,2000-08-15,82.5,97.75,81.94,93.94,12702500
152,2000-08-16,93.38,97.13,90.25,93.25,6514600
153,2000-08-17,92.31,102.69,92.31,101.19,6491400
154,2000-08-18,103.06,107.25,98.0,105.13,6268100
155,2000-08-21,98.06,100.38,95.5,96.0,8075000
156,2000-08-22,92.0,94.0,88.06,91.75,3601100
157,2000-08-23,90.25,95.0,89.0,95.0,3897500
158,2000-08-24,96.44,96.5,91.88,93.75,3127600
159,2000-08-25,93.0,94.19,91.25,92.38,4256800
160,2000-08-30,99.0,105.5,95.0,105.0,5400500
161,2000-08-31,99.88,110.0,99.88,109.38,5342800
162,2000-09-01,109.5,112.0,106.13,109.5,2553000
163,2000-09-05,108.25,111.25,103.75,108.06,6461200
164,2000-09-06,108.31,111.94,104.75,107.44,2232400
165,2000-09-07,106.25,115.5,105.5,113.0,4035000
166,2000-09-08,112.38,115.75,110.25,113.38,2641400
167,2000-09-11,112.88,115.0,109.25,109.75,4654100
168,2000-09-12,110.0,115.5,106.5,109.56,2978100
169,2000-09-13,107.75,115.38,107.5,115.13,2672400
170,2000-09-14,115.25,122.75,115.25,120.56,4623200
171,2000-09-15,119.13,122.5,117.38,122.38,2063900
172,2000-09-18,122.0,124.0,117.0,120.25,3116600
173,2000-09-19,119.75,133.25,117.0,127.88,5009300
174,2000-09-20,129.88,138.0,124.0,132.0,4461000
175,2000-09-21,127.63,144.75,127.63,135.0,6606000
176,2000-09-22,130.0,142.75,128.0,137.19,3760900
177,2000-09-25,142.31,157.88,140.31,151.03,10273100
178,2000-09-26,147.34,161.38,147.0,157.0,7879500
179,2000-09-27,156.69,160.0,152.25,155.5,8901500
180,2000-09-28,152.25,152.94,140.5,145.5,8728000
181,2000-09-29,145.63,153.0,141.88,143.0,3929000
182,2000-10-02,143.13,149.0,138.88,142.38,3783400
183,2000-10-03,144.75,152.0,134.0,135.13,6748200
