Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2018-07-26,24.745,24.85,20.3,21.01,3628300
1.0,2018-07-27,21.2,23.0,21.2,22.6,1320700
2.0,2018-07-30,22.75,24.0,22.65,23.85,1236300
3.0,2018-07-31,24.03,26.43,22.75,23.05,2603400
4.0,2018-08-01,23.67,24.8,22.6,23.5,952900
5.0,2018-08-02,23.5,25.12,23.5,24.5,683500
6.0,2018-08-03,24.63,27.1,24.5,26.8,904200
7.0,2018-08-06,27.07,29.875,26.9,27.94,1523400
8.0,2018-08-07,28.66,28.749,27.13,27.45,907300
9.0,2018-08-08,27.89,28.25,26.5,28.15,1160200
10.0,2018-08-09,28.0,28.03,26.6,26.72,402900
11.0,2018-08-10,26.84,28.0,26.3,27.65,431500
12.0,2018-08-13,27.65,27.65,24.71,24.76,711300
13.0,2018-08-14,25.1,25.863,25.0,25.51,300800
14.0,2018-08-15,25.8,25.8,22.78,22.91,822300
15.0,2018-08-16,23.5,23.92,22.9,23.13,567400
16.0,2018-08-17,23.63,23.63,22.19,22.2,601900
17.0,2018-08-20,22.0,23.106,21.75,22.42,1187700
18.0,2018-08-21,22.85,25.8,22.61,25.27,1267400
19.0,2018-08-22,25.02,27.5,24.8,27.0,884000
20.0,2018-08-23,27.21,29.5,27.192,29.28,1313200
21.0,2018-08-24,29.25,33.25,29.241,30.91,1597600
22.0,2018-08-27,29.0,30.44,28.16,28.69,1370200
23.0,2018-08-28,28.62,30.59,28.5,29.55,668600
24.0,2018-08-29,29.69,29.75,28.61,29.15,520400
25.0,2018-08-30,28.87,29.02,28.11,28.75,527500
26.0,2018-08-31,28.4,30.18,28.07,29.95,494800
27.0,2018-09-04,30.0,30.05,28.133,28.5,652000
28.0,2018-09-05,28.19,28.63,26.355,28.21,543000
29.0,2018-09-06,28.0,28.84,28.0,28.7,241500
30.0,2018-09-07,28.64,31.13,28.085,30.58,646300
31.0,2018-09-10,31.33,31.45,27.36,29.05,1018900
32.0,2018-09-11,29.0,29.54,27.86,29.26,362400
33.0,2018-09-12,29.41,32.09,29.14,31.91,503500
34.0,2018-09-13,31.91,33.89,30.55,31.68,929500
35.0,2018-09-14,31.22,31.3,28.9,29.58,641100
36.0,2018-09-17,29.45,30.371,28.72,29.0,290100
37.0,2018-09-18,28.94,29.92,28.9,29.92,295100
38.0,2018-09-19,30.03,31.06,28.97,29.25,458800
39.0,2018-09-20,29.55,30.549,29.397,30.01,224000
40.0,2018-09-21,30.05,33.05,29.94,30.95,1701200
41.0,2018-09-24,31.0,32.75,30.66,32.25,399400
42.0,2018-09-25,32.55,34.88,32.51,34.08,535800
43.0,2018-09-26,34.6,36.59,34.25,35.8,584600
44.0,2018-09-27,36.0,38.0,33.23,33.6,870100
45.0,2018-09-28,33.72,35.52,33.01,34.08,431700
46.0,2018-10-01,34.18,34.481,32.0,32.27,318200
47.0,2018-10-02,32.3,32.91,30.17,30.22,379900
48.0,2018-10-03,30.38,30.92,29.1,30.25,527200
