,DateTime,Open,High,Low,Close,Volume
0,2019-02-20,172.4138,203.8981,164.6927,188.9055,29255
1,2019-02-21,188.5307,188.6807,175.4123,175.8621,18592
2,2019-02-22,173.913,176.9115,161.919,168.3658,58693
3,2019-02-25,179.91,179.91,158.9205,172.1739,21860
4,2019-02-26,172.4138,176.9115,172.009,172.4138,25191
5,2019-02-27,175.4123,179.91,175.4123,178.4108,18856
6,2019-02-28,179.8351,185.907,167.931,175.7121,61359
7,2019-03-01,187.4063,187.4063,173.913,175.4123,22730
8,2019-03-04,179.91,188.8906,173.913,176.9265,171308
9,2019-03-05,182.9085,188.9055,180.5997,182.9235,54381
10,2019-03-06,188.9055,212.8936,187.4063,203.4933,154126
11,2019-03-07,209.8951,217.3913,203.8981,203.8981,80425
12,2019-03-08,197.901,223.3883,197.901,220.3898,78265
13,2019-03-11,223.3883,233.988,221.8891,226.8516,65398
14,2019-03-12,224.8876,277.7361,224.8876,259.3703,128474
15,2019-03-13,269.8651,286.3568,239.8801,239.8801,124424
16,2019-03-14,254.8726,271.3643,247.5112,266.8516,98054
17,2019-03-15,278.8606,284.8426,268.096,277.3613,107768
18,2019-03-18,277.3613,290.8546,245.8921,247.3763,163482
19,2019-03-19,247.3763,290.8546,247.3763,256.3718,129995
20,2019-03-20,259.3703,290.8546,259.3703,277.3613,170417
21,2019-03-21,292.3538,308.8456,281.8591,302.8486,183078
22,2019-03-22,302.8486,385.3073,302.8486,345.8321,832730
23,2019-03-25,344.8276,415.2774,337.3313,371.8141,505707
24,2019-03-26,383.8081,385.997,352.3238,362.8186,156289
25,2019-03-27,364.3178,367.8861,269.8651,299.8501,306607
26,2019-03-28,292.3538,329.8351,289.3553,307.3463,87942
27,2019-03-29,362.8186,364.3178,319.3403,326.8366,202710
28,2019-04-01,340.3298,340.3298,301.3193,332.8336,145180
29,2019-04-02,332.8336,332.8336,314.8426,314.8426,112305
30,2019-04-03,320.8396,328.3358,317.8411,326.8366,95712
31,2019-04-04,326.8366,350.8246,326.8366,350.8246,210686
32,2019-04-05,352.3238,382.3088,344.8276,352.9385,221695
33,2019-04-08,347.8261,356.5967,323.8381,338.8306,105503
34,2019-04-09,334.3328,344.6927,323.8381,338.8306,117442
35,2019-04-10,335.8321,344.8276,320.8396,337.3313,108782
36,2019-04-11,322.3388,335.8321,301.3493,311.8441,195420
37,2019-04-12,317.8411,326.8366,307.3463,319.3553,95243
38,2019-04-15,320.8396,343.3283,320.8396,334.3328,94683
39,2019-04-16,340.3298,340.3298,316.7316,320.8546,78264
40,2019-04-17,335.8321,335.8321,317.8411,319.3403,108846
41,2019-04-18,319.3403,332.8336,311.8441,328.3358,110704
42,2019-04-22,329.8351,329.8351,317.8411,326.6867,103321
43,2019-04-23,319.3403,332.8336,317.8411,322.2639,183737
44,2019-04-24,314.8426,340.3298,314.8426,322.3388,432478
45,2019-04-25,328.3358,338.8306,320.8396,328.3358,354858
46,2019-04-26,326.8366,332.8336,314.8426,320.8396,258042
47,2019-04-29,319.3403,325.3373,247.3763,310.3448,451071
48,2019-04-30,298.3508,307.3463,272.8636,292.3538,432438
49,2019-05-01,289.3553,292.3538,274.3628,277.3613,456524
50,2019-05-02,274.3628,292.3538,274.3628,289.3553,445373
