Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2007-04-30,25.17,25.35,24.26,24.39,559600
1.0,2007-05-01,24.51,24.77,24.26,24.46,435100
2.0,2007-05-02,24.46,24.8,24.17,24.59,428000
3.0,2007-05-03,24.57,24.8,24.39,24.76,735800
4.0,2007-05-04,24.99,24.99,24.8,24.9,341800
5.0,2007-05-07,24.87,25.0,24.52,24.59,400500
6.0,2007-05-08,24.43,24.63,23.63,24.53,1201700
7.0,2007-05-09,24.54,24.88,24.52,24.68,580100
8.0,2007-05-10,25.29,25.97,24.55,24.58,1822200
9.0,2007-05-11,24.51,24.79,24.32,24.73,515400
10.0,2007-05-14,24.19,24.65,23.9,24.26,650100
11.0,2007-05-15,24.13,24.61,24.13,24.52,636000
12.0,2007-05-16,24.52,25.1,24.4,24.98,604600
13.0,2007-05-17,25.15,25.29,24.88,25.0,615600
14.0,2007-05-18,24.79,24.81,24.46,24.53,442800
15.0,2007-05-21,24.54,25.17,24.37,24.86,392000
16.0,2007-05-22,24.91,25.16,24.73,25.06,339300
17.0,2007-05-23,25.18,25.38,24.79,24.8,382500
18.0,2007-05-24,24.9,25.0,24.47,24.53,336700
19.0,2007-05-25,24.61,24.8,24.53,24.63,338200
20.0,2007-05-29,24.64,24.68,24.38,24.49,774700
21.0,2007-05-30,24.25,24.36,23.85,24.21,705600
22.0,2007-05-31,24.25,24.45,24.18,24.26,713600
23.0,2007-06-01,24.73,25.75,24.71,25.55,1392500
24.0,2007-06-04,25.56,25.65,25.19,25.37,668000
25.0,2007-06-05,25.35,25.65,25.31,25.46,688300
26.0,2007-06-06,25.49,25.56,25.06,25.27,310700
27.0,2007-06-07,25.16,25.35,24.55,24.66,501000
28.0,2007-06-08,24.7,25.09,24.64,25.07,636400
29.0,2007-06-11,25.02,25.3,24.82,25.19,406700
30.0,2007-06-12,25.02,25.43,24.9,25.02,727800
31.0,2007-06-13,25.23,25.5,25.1,25.38,468900
32.0,2007-06-14,25.28,25.5,25.17,25.23,693800
33.0,2007-06-15,25.42,25.51,25.23,25.33,548600
34.0,2007-06-18,25.5,25.95,25.38,25.56,612400
35.0,2007-06-19,25.56,25.56,25.15,25.4,380300
36.0,2007-06-20,25.54,25.55,24.71,24.78,525400
37.0,2007-06-21,24.68,25.4,24.68,25.32,640700
38.0,2007-06-22,25.32,25.43,24.75,24.99,480700
39.0,2007-06-25,24.91,25.4,24.82,24.99,599500
40.0,2007-06-26,25.35,25.37,24.77,24.89,537100
41.0,2007-06-27,24.82,25.26,24.74,25.05,506200
42.0,2007-06-28,25.36,25.57,24.92,24.97,290700
43.0,2007-06-29,25.38,25.45,25.06,25.42,349900
44.0,2007-07-02,25.49,25.72,25.2,25.65,251100
45.0,2007-07-03,25.76,25.83,25.24,25.34,199100
46.0,2007-07-05,25.38,25.52,25.11,25.4,896200
47.0,2007-07-06,25.62,25.72,25.23,25.39,685100
48.0,2007-07-09,25.36,25.87,25.36,25.57,530000
49.0,2007-07-10,25.5,25.54,25.26,25.36,748900
50.0,2007-07-11,25.21,25.78,25.11,25.59,567800
51.0,2007-07-12,25.72,26.09,25.56,25.94,910000
52.0,2007-07-13,26.0,26.25,25.78,26.25,892500
53.0,2007-07-16,26.24,26.48,25.71,25.76,1482900
54.0,2007-07-17,25.84,25.84,25.25,25.4,975000
55.0,2007-07-18,25.4,25.63,25.21,25.4,1111300
56.0,2007-07-19,25.53,25.58,25.34,25.51,619800
57.0,2007-07-20,21.68,22.09,19.8,20.03,6523500
58.0,2007-07-23,20.99,21.04,20.1,20.68,3467700
59.0,2007-07-24,20.83,21.11,20.73,20.85,1566700
