,DateTime,Open,High,Low,Close,Volume
0,2010-11-18,13.05,13.05,12.19,12.21,1321263
1,2010-11-19,12.25,12.2899,12.0,12.05,1151284
2,2010-11-22,12.1,12.38,12.0,12.01,493260
3,2010-11-23,12.02,12.25,11.55,12.04,1133772
4,2010-11-24,12.22,13.8,12.11,13.56,964519
5,2010-11-26,13.89,14.39,13.08,13.84,738998
6,2010-11-29,13.87,14.0,13.13,13.43,424175
7,2010-11-30,13.29,13.37,12.68,12.855,312904
8,2010-12-01,13.0,13.25,11.93,12.07,1262603
9,2010-12-02,12.24,12.24,11.92,11.96,597666
10,2010-12-03,11.9,12.02,11.9,11.9,228552
11,2010-12-06,11.9,12.08,11.83,11.97,167569
12,2010-12-07,12.06,12.1,10.7,10.94,1006698
13,2010-12-08,10.86,10.86,9.63,10.06,1072595
14,2010-12-09,10.22,10.22,8.6,8.6515,677097
15,2010-12-10,8.49,9.03,8.11,9.0,908406
16,2010-12-13,9.04,9.39,8.7,8.96,597402
17,2010-12-14,9.0,9.0801,8.7,9.0,146566
18,2010-12-15,8.8,8.95,8.6201,8.75,330340
19,2010-12-16,8.88,8.88,8.5,8.54,190922
20,2010-12-17,8.46,8.55,8.21,8.5,224262
21,2010-12-20,8.46,8.91,8.46,8.8,119510
22,2010-12-21,8.9,8.9,8.48,8.62,68370
23,2010-12-22,8.67,8.758,8.4912,8.53,81626
24,2010-12-23,8.5,8.8401,8.4,8.79,164011
25,2010-12-27,8.49,9.24,8.49,9.13,213866
26,2010-12-28,9.1,9.3,9.1,9.2999,77879
27,2010-12-29,9.32,9.49,8.95,9.01,114905
28,2010-12-30,8.73,9.0,8.69,8.79,105309
29,2010-12-31,8.63,9.0,8.63,8.84,42787
30,2011-01-03,9.05,9.25,8.95,8.99,121817
31,2011-01-04,9.15,9.15,8.5,8.65,149056
32,2011-01-05,8.52,8.83,8.35,8.81,67332
33,2011-01-06,8.75,8.88,8.59,8.8,59518
34,2011-01-07,8.87,8.87,8.5,8.64,58967
35,2011-01-10,8.62,8.8,8.5,8.7,40126
36,2011-01-11,8.61,9.05,8.61,8.73,249589
37,2011-01-12,8.92,9.18,8.67,8.88,115402
38,2011-01-13,8.74,9.05,8.74,8.92,69100
39,2011-01-14,9.09,9.09,8.831,8.85,45312
40,2011-01-18,9.01,9.4,8.94,9.3599,274094
41,2011-01-19,9.7,10.71,9.69,10.45,771376
42,2011-01-20,10.4,10.63,10.12,10.59,253660
43,2011-01-21,10.6,11.12,10.59,11.02,232347
44,2011-01-24,11.04,11.45,10.78,11.0,152426
45,2011-01-25,10.68,10.93,10.33,10.82,150079
46,2011-01-26,10.8,10.81,10.41,10.7,129440
47,2011-01-27,10.6,10.89,10.5,10.75,221519
48,2011-01-28,10.8,10.8,10.5047,10.71,88816
49,2011-01-31,10.61,11.05,10.5993,10.84,94356
50,2011-02-01,10.99,11.176,10.9008,11.014,395283
51,2011-02-02,11.09,11.1,10.7,11.001,52902
