Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2015-06-30,26.95,30.4,26.6,29.0,5558800
1.0,2015-07-01,27.95,29.22,26.668,27.0,5140200
2.0,2015-07-02,27.9,28.41,27.48,27.81,1957700
3.0,2015-07-06,27.75,28.99,27.5,28.99,1297800
4.0,2015-07-07,28.41,29.02,27.76,28.14,1289500
5.0,2015-07-08,27.13,27.89,26.92,27.1,1619900
6.0,2015-07-09,27.0,27.45,26.86,26.95,2155800
7.0,2015-07-10,27.02,29.12,27.0,28.79,1641800
8.0,2015-07-13,28.5,29.97,28.11,29.57,1772100
9.0,2015-07-14,29.04,30.28,29.0,30.1,1225700
10.0,2015-07-15,29.92,29.99,28.64,29.19,1427100
11.0,2015-07-16,29.01,29.58,28.96,29.34,1721000
12.0,2015-07-17,29.04,31.43,28.77,31.11,1401900
13.0,2015-07-20,31.67,33.0,30.93,31.44,1514300
14.0,2015-07-21,30.74,31.53,29.88,31.13,1264600
15.0,2015-07-22,31.12,31.52,30.12,30.88,1007700
16.0,2015-07-23,31.0,31.0,30.25,30.61,456300
17.0,2015-07-24,30.53,30.64,29.8,30.33,435500
18.0,2015-07-27,30.36,30.86,30.14,30.23,462400
19.0,2015-07-28,29.91,30.85,28.81,30.0,933700
20.0,2015-07-29,30.14,30.22,29.13,29.3,538900
21.0,2015-07-30,29.3,29.3,28.79,29.09,643000
22.0,2015-07-31,28.94,29.08,28.56,28.76,690900
23.0,2015-08-03,28.21,29.35,28.21,29.25,697500
24.0,2015-08-04,28.97,29.44,28.3,28.83,501300
25.0,2015-08-05,28.5,29.51,28.5,28.7,753500
26.0,2015-08-06,28.46,28.9,28.46,28.78,543600
27.0,2015-08-07,28.88,28.92,28.07,28.5,265700
28.0,2015-08-10,28.48,30.04,28.48,28.97,730900
29.0,2015-08-11,29.0,30.03,28.53,29.77,905100
30.0,2015-08-12,29.47,29.69,28.89,29.62,287900
31.0,2015-08-13,29.56,30.28,29.29,30.06,663700
32.0,2015-08-14,30.06,30.4,29.635,30.35,308000
33.0,2015-08-17,30.08,32.22,29.81,31.88,558300
34.0,2015-08-18,32.15,33.875,32.09,32.32,974600
35.0,2015-08-19,32.01,32.7,32.01,32.57,568900
36.0,2015-08-20,32.39,33.72,32.22,32.71,345700
37.0,2015-08-21,32.59,32.65,31.74,31.98,757000
38.0,2015-08-24,29.9,32.16,29.8,30.63,343300
39.0,2015-08-25,31.55,31.55,30.2,30.35,749400
40.0,2015-08-26,30.84,30.97,29.87,30.64,275400
41.0,2015-08-27,31.0,31.12,29.73,30.27,587200
42.0,2015-08-28,30.36,31.6,30.36,31.51,362700
43.0,2015-08-31,31.47,31.87,30.98,31.72,349500
44.0,2015-09-01,31.56,32.05,31.26,31.98,428400
45.0,2015-09-02,31.97,33.54,31.97,33.05,666900
46.0,2015-09-03,33.12,33.86,32.91,33.32,397800
