,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,95.25,95.42,84.78,90.96,5376561
1,2000-01-04,88.8,90.97,84.64,85.09,3166120
2,2000-01-05,81.99,85.41,77.34,82.84,6734372
3,2000-01-06,81.04,82.29,76.52,76.6,4148806
4,2000-01-07,74.83,88.83,74.0,88.83,5258100
5,2000-01-10,94.66,101.61,93.45,98.53,9973354
6,2000-01-11,96.7,102.15,87.26,89.51,6362099
7,2000-01-12,91.33,98.58,89.0,94.83,8342100
8,2000-01-13,97.24,99.95,92.16,94.93,6038368
9,2000-01-14,98.85,100.61,96.73,98.35,4780458
10,2000-01-18,100.33,110.71,99.67,109.5,8488200
11,2000-01-19,106.5,110.21,97.65,106.02,18716100
12,2000-01-20,107.67,107.92,104.83,106.29,5325900
13,2000-01-21,107.03,107.24,103.49,104.11,3326604
14,2000-01-24,105.11,105.11,95.43,95.77,7214114
15,2000-01-25,97.79,98.33,90.83,94.25,6806700
16,2000-01-26,94.59,97.99,92.99,95.53,4859311
17,2000-01-27,96.82,97.95,91.03,93.84,5086565
18,2000-01-28,92.75,96.67,90.81,94.67,6480898
19,2000-01-31,93.89,96.49,88.66,96.45,4910019
20,2000-02-01,96.48,99.79,92.0,98.94,5130777
21,2000-02-02,100.07,109.04,99.07,105.07,10223020
22,2000-02-03,106.36,110.12,104.45,107.82,6447541
23,2000-02-04,109.19,109.21,102.02,103.65,7854240
24,2000-02-07,104.92,114.08,103.5,113.1,6434700
25,2000-02-08,113.87,117.16,110.91,111.59,5880374
26,2000-02-09,112.62,115.2,109.95,112.37,4483159
27,2000-02-10,113.08,118.29,112.17,116.33,5549400
28,2000-02-11,117.08,118.08,112.0,112.37,4491000
29,2000-02-14,115.08,115.42,106.59,114.58,3170006
30,2000-02-15,116.31,117.48,110.06,116.27,3239535
31,2000-02-16,116.96,124.7,114.88,124.29,4046067
32,2000-02-17,125.44,129.02,119.69,126.85,4427128
33,2000-02-18,130.23,130.23,124.69,126.65,4310000
34,2000-02-22,125.68,126.68,119.68,125.32,3660481
35,2000-02-23,125.94,127.18,122.36,124.15,2573400
36,2000-02-24,125.92,127.04,122.63,124.62,3590555
37,2000-02-25,125.0,131.92,121.08,127.33,4547400
38,2000-02-28,128.62,128.88,120.0,121.0,3071100
39,2000-02-29,128.02,132.31,126.71,131.56,3687935
40,2000-03-01,133.69,139.02,131.69,137.31,3516523
41,2000-03-02,139.0,139.92,134.0,137.42,2631450
42,2000-03-03,140.46,157.08,139.79,155.29,3937710
43,2000-03-06,155.6,166.27,149.15,156.81,3167951
44,2000-03-07,160.04,166.5,152.71,162.0,3566250
45,2000-03-08,166.12,166.17,140.0,156.33,5362500
46,2000-03-09,160.5,162.5,154.0,159.33,2203050
47,2000-03-10,162.17,166.54,159.33,162.04,2427600
48,2000-03-13,153.51,159.68,150.34,153.32,2752946
49,2000-03-14,156.35,157.31,133.9,133.98,5176649
50,2000-03-15,139.59,143.48,122.46,125.29,8509204
51,2000-03-16,132.95,141.99,123.57,141.89,9622470
52,2000-03-17,142.92,148.67,142.5,145.04,3249300
53,2000-03-20,146.67,153.0,138.5,141.58,4307550
54,2000-03-21,135.67,152.58,129.26,152.08,5782846
55,2000-03-22,153.88,164.58,153.33,161.75,4777050
56,2000-03-23,161.33,168.84,161.25,163.83,3540111
57,2000-03-24,164.95,165.62,152.45,155.3,4895362
58,2000-03-27,159.27,161.89,151.15,155.35,3283329
59,2000-03-28,155.64,155.64,146.48,148.48,2983008
60,2000-03-29,150.31,150.98,139.31,144.65,5567589
61,2000-03-30,139.31,153.98,137.98,140.65,6605032
62,2000-03-31,145.46,162.67,136.25,161.92,7566300
63,2000-04-03,156.11,157.28,140.1,145.93,7774511
64,2000-04-04,146.42,147.67,101.42,136.0,18241950
65,2000-04-05,128.65,146.88,120.57,136.48,10112538
66,2000-04-06,141.0,142.33,127.09,135.25,7057841
67,2000-04-07,139.76,142.1,134.8,138.41,4417065
68,2000-04-10,141.79,143.33,127.33,129.67,6791100
69,2000-04-11,121.33,126.87,110.55,117.88,12853716
70,2000-04-12,113.94,119.19,103.91,105.47,9996809
71,2000-04-13,104.33,106.0,92.88,96.04,11258098
72,2000-04-14,88.17,94.67,75.33,81.5,18544950
73,2000-04-17,76.31,99.46,76.0,99.04,13472700
74,2000-04-18,101.23,108.07,93.88,104.44,10403229
75,2000-04-19,105.31,105.73,94.06,94.85,8668983
76,2000-04-20,99.52,102.94,95.02,101.65,6215583
77,2000-04-24,98.95,101.71,84.35,94.22,11320864
78,2000-04-25,99.56,107.98,97.98,107.27,11810837
