,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,31.75,32.31,31.56,31.81,118100
1,2000-01-04,31.44,31.44,30.19,30.19,107500
2,2000-01-05,30.25,30.88,30.0,30.81,86000
3,2000-01-06,31.0,31.31,30.81,30.81,94600
4,2000-01-07,31.06,31.63,31.0,31.44,132200
5,2000-01-10,31.75,31.81,30.81,31.0,156100
6,2000-01-11,31.06,33.56,31.06,32.25,121900
7,2000-01-12,32.25,34.44,32.06,33.06,122600
8,2000-01-13,33.19,37.38,33.19,37.25,361100
9,2000-01-14,37.31,38.75,36.25,37.38,195700
10,2000-01-18,37.25,40.5,36.75,38.63,315600
11,2000-01-19,38.88,39.5,38.56,39.0,123600
12,2000-01-20,39.38,42.0,38.25,38.5,743300
13,2000-01-21,38.38,38.63,37.63,38.5,177100
14,2000-01-24,38.5,39.56,38.31,38.31,135600
15,2000-01-25,38.13,38.38,36.88,37.5,60500
16,2000-01-26,37.63,38.19,37.56,38.06,55100
17,2000-01-27,38.06,40.38,38.06,40.38,232100
18,2000-01-28,40.44,40.44,39.5,39.88,175500
19,2000-01-31,40.0,40.31,39.81,40.06,129700
20,2000-02-01,39.88,39.94,38.5,39.94,149300
21,2000-02-02,40.0,40.63,40.0,40.0,122500
22,2000-02-03,40.06,40.13,39.5,40.0,137000
23,2000-02-04,39.88,40.38,39.75,40.13,70000
24,2000-02-07,40.38,41.69,40.25,41.63,148800
25,2000-02-08,41.88,44.25,41.81,42.44,208500
26,2000-02-09,42.25,42.63,40.75,41.19,169200
27,2000-02-10,41.38,41.5,41.0,41.19,62100
28,2000-02-11,41.44,42.63,41.31,41.38,99700
29,2000-02-14,41.13,43.75,41.13,43.5,121500
30,2000-02-15,43.44,43.88,43.31,43.56,127700
31,2000-02-16,43.5,44.38,43.44,44.06,108600
32,2000-02-17,44.5,45.0,43.81,43.88,109500
33,2000-02-18,43.88,44.63,43.88,44.06,97700
34,2000-02-22,43.69,43.81,43.19,43.69,62200
35,2000-02-23,43.63,46.0,43.44,45.81,85500
36,2000-02-24,45.81,48.5,45.75,47.38,197600
37,2000-02-25,47.44,50.0,47.38,49.13,372800
38,2000-02-28,49.81,50.88,49.5,49.81,173300
39,2000-02-29,49.88,49.94,48.44,48.5,146600
40,2000-03-01,47.88,48.63,45.75,47.25,178500
41,2000-03-02,47.38,47.38,42.75,43.63,328400
42,2000-03-03,43.88,47.0,43.75,46.0,270500
43,2000-03-06,45.63,45.63,44.0,44.06,79000
44,2000-03-07,44.13,44.25,42.5,44.06,230100
45,2000-03-08,43.94,44.63,43.88,44.25,95400
46,2000-03-09,44.06,44.25,43.38,43.5,236000
47,2000-03-10,43.44,45.0,43.44,43.75,126600
48,2000-03-13,42.0,42.81,41.88,42.75,122500
49,2000-03-14,43.0,43.31,42.38,42.44,181500
50,2000-03-15,42.25,44.0,42.13,43.94,146700
51,2000-03-16,44.13,46.81,44.13,46.69,165200
52,2000-03-17,46.5,47.94,46.06,46.13,225800
53,2000-03-20,46.5,47.19,46.0,46.0,128000
54,2000-03-21,46.75,47.31,46.0,46.38,129200
55,2000-03-22,46.38,46.63,45.94,46.5,104600
56,2000-03-23,46.63,47.0,45.81,46.88,88500
57,2000-03-24,47.0,47.75,46.5,47.06,204500
58,2000-03-27,47.0,47.0,44.13,44.19,115600
59,2000-03-28,44.44,44.5,42.44,42.63,120400
60,2000-03-29,42.38,42.5,41.69,41.69,193100
61,2000-03-30,41.81,41.81,38.25,38.88,214600
62,2000-03-31,39.63,42.75,39.63,42.63,205500
63,2000-04-03,42.0,43.38,42.0,42.5,108300
64,2000-04-04,42.69,42.88,40.06,41.63,91300
65,2000-04-05,41.75,44.13,41.75,43.5,119700
66,2000-04-06,43.5,45.38,43.5,44.81,92700
67,2000-04-07,45.0,46.25,44.5,44.75,54800
68,2000-04-10,44.63,45.63,43.5,43.5,62100
69,2000-04-11,43.5,43.5,41.88,42.69,80500
70,2000-04-12,42.88,44.38,42.75,44.06,132100
71,2000-04-13,44.06,44.06,43.19,43.56,47400
72,2000-04-14,43.31,43.31,39.63,40.06,119800
73,2000-04-17,40.19,40.25,38.06,39.31,80800
74,2000-04-18,40.0,43.75,39.81,43.06,132900
75,2000-04-19,42.88,43.5,41.88,43.0,91200
76,2000-04-20,43.06,43.94,40.81,41.31,81100
77,2000-04-24,41.38,42.75,41.0,42.38,112000
78,2000-04-25,42.5,46.44,42.5,46.06,250600
79,2000-04-26,46.0,46.0,42.81,43.06,116400
80,2000-04-27,43.0,43.0,40.63,42.0,234500
81,2000-04-28,42.25,43.38,42.25,43.13,82500
82,2000-05-01,43.44,47.44,43.44,46.63,203300
83,2000-05-02,46.5,47.88,46.06,46.25,114600
84,2000-05-03,46.25,46.38,44.81,45.25,209500
85,2000-05-04,45.19,49.5,45.19,48.94,222200
86,2000-05-05,49.13,50.5,48.63,49.44,381500
87,2000-05-08,49.69,49.88,47.0,47.0,121500
88,2000-05-09,47.0,47.13,45.13,46.44,163300
89,2000-05-10,46.5,46.5,45.38,45.81,135600
90,2000-05-11,45.81,46.25,44.5,44.94,126400
91,2000-05-12,45.13,45.88,44.19,45.19,116900
92,2000-05-15,45.0,46.38,44.38,46.38,103500
93,2000-05-16,46.38,46.63,45.5,45.88,92800
94,2000-05-17,45.13,45.19,44.63,44.94,84600
95,2000-05-18,45.0,45.44,44.88,45.25,49400
96,2000-05-19,45.31,45.44,44.31,44.69,52100
97,2000-05-22,44.69,45.38,42.75,43.31,87500
98,2000-05-23,43.56,47.88,43.56,47.88,214900
99,2000-05-24,48.0,48.0,45.63,47.69,250000
100,2000-05-25,48.69,49.25,48.0,48.81,157900
101,2000-05-26,48.81,50.0,48.25,49.94,136300
102,2000-05-30,49.88,52.13,49.88,51.94,407500
103,2000-05-31,52.56,56.0,51.94,54.06,761400
104,2000-06-01,54.0,57.13,54.0,57.13,311900
105,2000-06-02,59.0,59.5,57.31,59.13,390000
106,2000-06-05,58.88,60.0,57.81,60.0,281200
107,2000-06-06,59.88,61.13,58.13,58.5,419800
108,2000-06-07,58.38,58.5,56.63,56.81,281400
109,2000-06-08,56.81,57.88,55.63,57.44,235400
110,2000-06-09,56.56,57.25,54.5,57.13,234000
111,2000-06-12,57.06,57.06,55.38,55.38,135200
112,2000-06-13,55.19,58.25,54.94,57.56,117000
