Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2018-03-21,4.89,4.9,4.61,4.742,23200
1.0,2018-03-22,4.671,4.75,4.6,4.6,54100
2.0,2018-03-23,4.6,4.75,4.6,4.655,8400
3.0,2018-03-26,4.68,4.68,4.5,4.5,42100
4.0,2018-03-27,4.69,4.7,4.5,4.5,9200
5.0,2018-03-28,4.5,4.514,4.5,4.5,27800
6.0,2018-03-29,4.69,4.69,4.5,4.5,15900
7.0,2018-04-02,4.592,4.592,4.4,4.4,43400
8.0,2018-04-03,4.41,4.849,4.41,4.849,35100
9.0,2018-04-04,4.83,4.83,4.494,4.68,19700
10.0,2018-04-05,4.79,4.8,4.59,4.716,36600
11.0,2018-04-06,4.684,5.22,4.658,4.75,64700
12.0,2018-04-09,4.9,4.9,4.73,4.829,20800
13.0,2018-04-10,4.904,5.0,4.89,4.89,26600
14.0,2018-04-11,4.889,4.89,4.854,4.861,5900
15.0,2018-04-12,4.75,4.95,4.75,4.95,3800
16.0,2018-04-13,5.0,5.0,4.8,4.926,16000
17.0,2018-04-16,4.93,5.0,4.671,4.671,3200
18.0,2018-04-17,4.76,4.989,4.76,4.926,3600
19.0,2018-04-18,4.79,5.0,4.79,4.95,51600
20.0,2018-04-19,4.9,4.96,4.86,4.86,1200
21.0,2018-04-20,4.95,4.95,4.89,4.89,2600
22.0,2018-04-23,4.98,4.98,4.9,4.9,14900
23.0,2018-04-24,4.9,4.98,4.88,4.95,4100
24.0,2018-04-25,4.811,5.1,4.8,5.013,9200
25.0,2018-04-26,5.1,8.5,5.1,5.43,442700
26.0,2018-04-27,5.42,6.099,5.42,5.7,110000
27.0,2018-04-30,5.77,6.29,5.55,5.81,84400
28.0,2018-05-01,5.77,5.88,5.13,5.16,33200
29.0,2018-05-02,5.99,5.99,5.01,5.59,52400
30.0,2018-05-03,5.215,5.799,5.215,5.52,29800
31.0,2018-05-04,5.5,5.7,4.661,5.0,56900
32.0,2018-05-07,5.3,5.4,5.107,5.3,25900
33.0,2018-05-08,5.28,5.41,5.26,5.4,13800
34.0,2018-05-09,5.39,5.66,5.35,5.589,7700
35.0,2018-05-10,5.5,5.99,5.16,5.16,23600
36.0,2018-05-11,5.689,5.689,5.341,5.609,19700
37.0,2018-05-14,5.39,5.61,5.39,5.55,8100
38.0,2018-05-15,5.54,5.55,5.36,5.55,4200
39.0,2018-05-16,5.55,5.826,5.55,5.826,17300
40.0,2018-05-17,5.521,6.1,5.521,5.996,30900
41.0,2018-05-18,5.7,6.35,5.26,6.2,39200
42.0,2018-05-21,6.24,6.34,6.031,6.34,5100
43.0,2018-05-22,6.0,6.25,6.0,6.2,5700
44.0,2018-05-23,6.23,7.0,6.0,6.88,53400
45.0,2018-05-24,6.88,6.88,6.39,6.57,45300
46.0,2018-05-25,6.57,6.74,6.101,6.72,14300
47.0,2018-05-29,6.56,6.75,6.42,6.73,4500
48.0,2018-05-30,6.53,6.53,6.101,6.399,5300
49.0,2018-05-31,6.29,6.519,6.05,6.51,9400
50.0,2018-06-01,6.23,6.48,5.971,6.46,17100
51.0,2018-06-04,6.223,6.36,5.81,6.15,26900
52.0,2018-06-05,6.02,6.199,6.01,6.05,8300
53.0,2018-06-06,6.0,6.581,6.0,6.31,25700
54.0,2018-06-07,6.659,6.659,6.26,6.469,16400
55.0,2018-06-08,6.74,6.74,6.342,6.59,1400
56.0,2018-06-11,6.5,6.5,6.16,6.48,2500
57.0,2018-06-12,6.47,6.7,6.23,6.7,10300
58.0,2018-06-13,6.75,6.75,6.061,6.599,35700
59.0,2018-06-14,6.4,6.59,6.21,6.55,19100
60.0,2018-06-15,6.62,7.51,6.62,7.399,56500
61.0,2018-06-18,7.39,7.95,6.842,7.22,55400
62.0,2018-06-19,6.95,7.2,6.8,7.063,14600
63.0,2018-06-20,7.1,7.1,6.86,6.985,2800
64.0,2018-06-21,6.9,6.9,5.731,6.21,23200
65.0,2018-06-22,6.63,6.88,6.41,6.45,7000
66.0,2018-06-25,6.4,7.09,6.12,7.09,2200
67.0,2018-06-26,6.54,7.069,6.54,6.785,1500
68.0,2018-06-27,6.51,7.02,6.21,6.221,3300
69.0,2018-06-28,6.15,6.15,6.01,6.01,400
70.0,2018-06-29,5.9,5.99,5.71,5.75,6700
71.0,2018-07-02,5.855,6.171,5.7,6.126,9500
72.0,2018-07-03,6.19,6.19,6.0,6.056,12500
73.0,2018-07-05,6.25,6.25,5.95,6.0,6900
74.0,2018-07-06,6.579,6.579,6.13,6.49,15400
75.0,2018-07-09,6.55,6.6,6.36,6.56,12700
76.0,2018-07-10,6.66,6.8,6.66,6.71,6100
77.0,2018-07-11,6.701,6.701,6.7,6.7,700
78.0,2018-07-12,6.9,6.98,6.825,6.93,5500
79.0,2018-07-13,6.98,7.44,6.98,7.23,7500
80.0,2018-07-16,7.64,7.649,7.2,7.495,1800
81.0,2018-07-17,7.59,7.65,7.563,7.59,2400
82.0,2018-07-18,7.59,7.65,7.25,7.6,5100
83.0,2018-07-19,7.65,8.2,7.35,7.821,16300
84.0,2018-07-20,8.5,8.5,7.08,7.99,9200
85.0,2018-07-23,8.0,8.75,7.75,8.049,16700
86.0,2018-07-24,8.0,8.0,7.144,7.779,20100
87.0,2018-07-25,8.0,9.0,7.8,8.0,2100
88.0,2018-07-26,8.506,8.59,7.88,7.88,1500
89.0,2018-07-27,7.79,8.2,7.74,8.173,16300
90.0,2018-07-30,8.13,8.4,7.65,8.27,16400
91.0,2018-07-31,8.95,9.46,7.64,9.0,15100
92.0,2018-08-01,8.04,8.5,8.04,8.5,600
93.0,2018-08-02,8.01,8.975,7.548,8.42,8300
94.0,2018-08-03,7.55,8.383,7.03,8.34,3800
95.0,2018-08-06,8.17,8.17,7.42,7.878,5500
96.0,2018-08-07,7.61,7.762,7.0,7.378,2200
97.0,2018-08-08,8.0,8.0,7.0,7.217,11100
98.0,2018-08-09,7.19,7.6,7.19,7.46,13900
99.0,2018-08-10,7.4,7.7,7.153,7.456,1500
100.0,2018-08-13,7.63,7.63,7.0,7.05,8100
101.0,2018-08-14,7.46,7.46,6.44,7.155,6700
102.0,2018-08-15,7.14,7.14,6.8,7.0,1700
103.0,2018-08-16,6.8,7.31,6.598,7.31,7700
104.0,2018-08-17,6.95,7.31,6.7,6.85,31900
105.0,2018-08-20,7.0,7.042,6.85,6.85,5500
106.0,2018-08-21,6.83,7.11,6.803,7.08,15000
107.0,2018-08-22,7.1,7.29,6.7,7.05,7600
108.0,2018-08-23,7.0,7.03,6.7,7.0,2000
109.0,2018-08-24,7.23,7.23,6.51,6.72,2800
110.0,2018-08-27,6.73,6.84,6.72,6.78,4000
111.0,2018-08-28,6.69,7.45,6.6,6.8,9800
112.0,2018-08-29,6.76,7.0,6.29,6.68,6500
113.0,2018-08-30,6.051,6.999,6.051,6.99,7800
114.0,2018-08-31,7.35,7.7,7.02,7.7,5200
115.0,2018-09-04,8.0,8.56,7.51,7.81,4300
116.0,2018-09-05,7.71,8.035,7.11,7.64,6300
117.0,2018-09-06,7.839,8.3,7.45,8.0,1700
118.0,2018-09-07,7.6,8.0,7.2,7.6,5300
119.0,2018-09-10,7.6,7.99,7.5,7.99,1800
120.0,2018-09-11,7.5,7.69,7.4,7.57,12500
121.0,2018-09-12,8.3,8.3,7.57,7.76,5200
122.0,2018-09-13,8.285,8.3,7.11,7.686,12200
123.0,2018-09-14,7.75,8.25,7.55,7.62,10300
124.0,2018-09-17,7.54,8.3,7.54,8.21,5800
125.0,2018-09-18,7.12,8.01,7.12,7.653,5400
126.0,2018-09-19,7.6,7.6,7.11,7.56,900
127.0,2018-09-20,7.6,7.6,7.2,7.597,4800
128.0,2018-09-21,7.87,7.87,7.87,7.87,300
129.0,2018-09-24,7.5,8.23,7.21,8.1,12700
130.0,2018-09-25,7.5,8.0,7.5,7.75,10900
131.0,2018-09-26,8.2,8.3,7.5,7.808,10500
132.0,2018-09-27,8.0,8.0,7.95,7.95,300
133.0,2018-09-28,8.0,8.29,8.0,8.0,600
134.0,2018-10-01,7.91,9.0,7.91,8.48,2000
135.0,2018-10-02,8.72,8.72,7.29,8.06,1000
136.0,2018-10-03,8.06,8.336,7.68,7.68,7400
137.0,2018-10-04,7.5,8.405,7.5,7.6,8000
138.0,2018-10-05,7.8,8.75,7.75,8.75,300
139.0,2018-10-08,8.5,8.5,7.44,7.53,5300
140.0,2018-10-09,7.4,7.97,7.26,7.31,4100
141.0,2018-10-10,7.602,7.602,7.31,7.35,2300
142.0,2018-10-11,7.28,7.28,6.5,6.54,2900
143.0,2018-10-12,7.0,7.0,6.35,6.97,400
144.0,2018-10-15,7.11,7.55,7.11,7.55,2800
145.0,2018-10-16,7.125,7.9,7.125,7.81,1200
146.0,2018-10-17,7.8,8.25,7.75,8.0,2300
147.0,2018-10-18,8.03,8.07,6.7,6.7,1400
148.0,2018-10-19,7.0,7.7,6.52,6.52,1300
149.0,2018-10-22,6.61,7.0,6.61,7.0,200
150.0,2018-10-23,7.79,7.79,6.8,7.0,3000
151.0,2018-10-25,6.81,7.0,6.81,7.0,1600
152.0,2018-10-26,7.046,7.05,6.4,6.4,3600
153.0,2018-10-29,6.59,7.22,6.59,7.22,200
154.0,2018-10-30,7.0,7.0,6.17,6.33,2500
155.0,2018-10-31,6.33,7.1,6.33,6.88,6000
156.0,2018-11-01,7.1,7.1,6.22,6.67,3500
157.0,2018-11-02,6.33,7.17,6.33,7.17,5200
158.0,2018-11-05,7.178,7.178,6.69,6.71,3000
159.0,2018-11-06,6.72,6.722,6.31,6.35,1800
160.0,2018-11-07,6.44,6.44,5.88,5.89,6100
161.0,2018-11-08,5.877,6.3,5.86,6.177,2400
162.0,2018-11-09,6.3,6.59,6.3,6.556,3300
163.0,2018-11-12,6.557,6.557,6.425,6.55,1200
164.0,2018-11-13,6.48,6.54,6.315,6.315,1200
165.0,2018-11-14,6.56,6.56,6.48,6.48,400
166.0,2018-11-15,6.44,6.45,6.44,6.45,400
167.0,2018-11-16,6.4,6.42,6.33,6.41,1800
168.0,2018-11-19,6.2,6.41,5.89,6.41,800
169.0,2018-11-20,6.37,6.37,6.37,6.37,100
170.0,2018-11-21,6.35,6.35,6.15,6.15,600
171.0,2018-11-26,5.89,6.1,5.661,6.1,1000
172.0,2018-11-27,6.1,6.1,6.1,6.1,100
173.0,2018-11-28,5.99,5.99,5.99,5.99,600
174.0,2018-12-03,5.714,5.95,5.714,5.95,500
175.0,2018-12-06,5.55,5.55,5.55,5.55,300
176.0,2018-12-07,5.55,5.55,5.55,5.55,100
177.0,2018-12-10,4.95,5.0,4.46,5.0,500
178.0,2018-12-11,4.95,4.95,4.0,4.0,300
179.0,2018-12-12,4.99,4.99,4.11,4.85,4200
180.0,2018-12-13,4.85,4.85,4.85,4.85,100
181.0,2018-12-14,4.12,4.12,4.0,4.08,2400
182.0,2018-12-17,4.0,4.85,3.99,4.5,5800
183.0,2018-12-19,3.5,4.499,3.5,4.499,12000
184.0,2018-12-20,4.25,4.25,3.35,4.25,4800
185.0,2018-12-21,4.23,4.45,3.65,3.79,9100
186.0,2018-12-26,4.49,4.57,4.43,4.57,2700
187.0,2018-12-27,4.57,5.5,4.57,5.46,7200
188.0,2018-12-28,5.4,5.5,4.32,5.5,4700
189.0,2018-12-31,5.5,6.5,5.21,6.5,3200
190.0,2019-01-02,6.17,6.79,6.17,6.79,1900
191.0,2019-01-03,7.01,7.01,6.55,7.0,2700
192.0,2019-01-04,7.01,7.5,6.4,7.5,5900
193.0,2019-01-07,7.5,8.0,6.65,8.0,6900
194.0,2019-01-08,8.0,8.46,7.932,8.46,8900
195.0,2019-01-09,8.28,8.75,7.66,8.5,3900
196.0,2019-01-10,8.49,8.75,7.96,8.74,12600
197.0,2019-01-11,8.74,8.95,8.22,8.88,11900
198.0,2019-01-14,9.0,9.19,9.0,9.17,3100
199.0,2019-01-15,9.17,9.21,8.42,8.82,17700
200.0,2019-01-16,9.21,9.21,7.79,9.0,8300
201.0,2019-01-17,8.14,8.78,7.59,7.64,8000
202.0,2019-01-18,8.49,8.5,7.3,7.3,6400
203.0,2019-01-22,7.24,8.0,7.24,7.998,2400
204.0,2019-01-23,8.4,8.4,7.66,8.28,3900
205.0,2019-01-24,8.0,8.4,7.5,7.82,6300
206.0,2019-01-25,8.221,9.08,8.071,8.781,7100
207.0,2019-01-28,9.25,9.25,8.33,8.9,900
208.0,2019-01-29,7.9,8.74,7.53,8.74,900
209.0,2019-01-30,8.84,8.9,7.5,8.77,9700
210.0,2019-01-31,8.77,8.85,7.84,8.59,6100
211.0,2019-02-01,8.85,8.85,8.07,8.85,5100
212.0,2019-02-04,8.98,8.98,8.85,8.97,1500
213.0,2019-02-05,9.0,9.1,8.95,9.1,1200
214.0,2019-02-06,8.101,9.25,8.1,9.25,1600
215.0,2019-02-07,9.3,9.3,9.3,9.3,400
216.0,2019-02-11,9.2,9.29,9.17,9.29,900
217.0,2019-02-12,9.3,9.5,9.29,9.49,2400
218.0,2019-02-13,9.48,9.75,9.48,9.75,3000
219.0,2019-02-14,9.64,11.17,9.036,10.92,26800
220.0,2019-02-15,10.4,10.92,9.92,10.91,1700
221.0,2019-02-19,10.07,11.5,10.07,11.5,8000
222.0,2019-02-20,11.52,11.52,10.4,11.52,4500
223.0,2019-02-21,11.54,11.54,10.07,11.51,1500
224.0,2019-02-22,11.28,12.5,11.14,12.38,9400
225.0,2019-02-25,12.4,13.45,12.0,13.224,6700
226.0,2019-02-26,13.05,13.48,12.0,13.34,4800
227.0,2019-02-27,13.2,13.556,11.59,12.2,9600
228.0,2019-02-28,12.45,12.66,10.55,12.0,3500
229.0,2019-03-01,11.79,11.79,10.63,10.79,3800
230.0,2019-03-04,11.79,11.79,10.28,11.4,3800
231.0,2019-03-05,11.0,11.789,10.23,11.579,2400
232.0,2019-03-06,11.68,11.79,11.57,11.599,1300
