Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2017-04-04,32.0,32.5,26.51,27.25,3711300
1.0,2017-04-05,27.99,28.5,26.0,28.0,3178500
2.0,2017-04-06,28.15,28.62,27.01,27.55,1614400
3.0,2017-04-07,27.45,27.882,27.12,27.57,418400
4.0,2017-04-10,28.0,28.47,27.26,27.98,816300
5.0,2017-04-11,27.65,27.9,27.02,27.49,593500
6.0,2017-04-12,27.43,27.61,25.48,25.75,1003000
7.0,2017-04-13,25.78,25.89,23.28,23.82,3700900
8.0,2017-04-17,23.95,23.99,22.61,23.42,1934800
9.0,2017-04-18,23.41,24.65,23.41,24.0,3042200
10.0,2017-04-19,24.5,25.15,24.43,24.94,1081100
11.0,2017-04-20,25.06,25.29,24.72,25.0,491400
12.0,2017-04-21,25.12,25.95,25.12,25.69,524600
13.0,2017-04-24,26.7,26.95,26.01,26.39,261400
14.0,2017-04-25,26.99,27.0,25.46,26.1,544800
15.0,2017-04-26,26.75,27.0,26.0,26.53,851800
16.0,2017-04-27,26.73,26.75,26.03,26.21,568100
17.0,2017-04-28,26.5,26.5,25.19,25.41,415100
18.0,2017-05-01,25.74,26.01,25.31,25.75,461800
19.0,2017-05-02,25.9,26.5,25.75,26.03,915700
20.0,2017-05-03,26.05,26.83,24.801,25.07,2050900
21.0,2017-05-04,25.04,25.1,23.78,23.79,4993400
22.0,2017-05-05,24.16,24.36,23.63,23.96,1169100
23.0,2017-05-08,24.0,24.705,23.88,24.2,1351200
24.0,2017-05-09,24.23,25.08,24.11,24.96,708800
25.0,2017-05-10,24.96,25.63,24.69,25.26,990900
26.0,2017-05-11,25.14,25.34,24.53,24.74,560300
27.0,2017-05-12,24.62,25.09,24.45,25.01,536000
28.0,2017-05-15,24.97,25.25,24.64,24.76,450500
29.0,2017-05-16,24.64,24.89,23.83,24.13,1434300
30.0,2017-05-17,23.97,24.47,22.97,23.4,931700
31.0,2017-05-18,23.33,24.19,22.87,23.46,582300
32.0,2017-05-19,23.21,24.064,23.1,23.3,736700
33.0,2017-05-22,23.35,23.75,23.07,23.29,1002200
34.0,2017-05-23,23.35,23.86,23.08,23.57,720800
35.0,2017-05-24,23.51,24.48,23.33,24.0,511200
36.0,2017-05-25,24.28,24.6,23.57,23.97,715900
37.0,2017-05-26,23.93,24.76,23.741,24.76,551200
38.0,2017-05-30,24.84,24.93,24.46,24.84,610000
39.0,2017-05-31,24.79,24.79,23.91,24.29,463900
40.0,2017-06-01,24.3,24.45,23.52,24.13,570300
41.0,2017-06-02,24.16,24.16,22.8,23.4,1578700
42.0,2017-06-05,23.51,24.1,23.271,24.0,1154900
43.0,2017-06-06,24.02,24.775,23.96,24.25,786800
44.0,2017-06-07,24.2,24.9,23.79,24.24,1127000
45.0,2017-06-08,24.14,24.29,23.6,23.79,796300
46.0,2017-06-09,23.77,24.64,23.68,24.43,1202400
47.0,2017-06-12,24.43,24.905,24.23,24.77,1064200
48.0,2017-06-13,24.68,25.68,24.6,25.12,1554900
49.0,2017-06-14,25.23,26.18,25.123,25.63,1686900
50.0,2017-06-15,25.54,25.61,23.67,24.1,1417800
51.0,2017-06-16,24.1,24.1,22.59,23.46,9049900
52.0,2017-06-19,23.48,23.61,22.877,23.51,1111500
53.0,2017-06-20,23.27,23.5,22.77,23.41,935700
54.0,2017-06-21,23.41,23.58,23.0,23.36,1244500
55.0,2017-06-22,23.44,23.81,23.17,23.44,964800
56.0,2017-06-23,23.41,23.41,22.58,23.01,6528500
57.0,2017-06-26,22.9,23.46,22.76,23.31,1352900
58.0,2017-06-27,23.51,23.87,23.29,23.49,1398000
59.0,2017-06-28,23.55,23.74,23.335,23.53,714100
60.0,2017-06-29,23.52,24.45,23.42,24.35,1087400
61.0,2017-06-30,24.45,24.6,24.15,24.45,932600
62.0,2017-07-03,24.47,25.0,24.37,24.85,544100
63.0,2017-07-05,24.96,25.41,24.56,25.39,770700
64.0,2017-07-06,25.32,25.765,25.0,25.09,968500
65.0,2017-07-07,25.09,25.36,24.645,25.31,653300
66.0,2017-07-10,25.31,25.785,24.93,25.73,562300
67.0,2017-07-11,25.52,25.96,25.42,25.88,873900
68.0,2017-07-12,26.2,26.7,26.08,26.37,1179700
69.0,2017-07-13,26.38,27.48,26.34,27.34,1136000
70.0,2017-07-14,27.33,27.88,27.16,27.31,844100
71.0,2017-07-17,27.16,27.64,26.85,26.94,590200
72.0,2017-07-18,26.76,27.05,26.31,26.38,796900
73.0,2017-07-19,26.5,27.179,26.435,26.92,1299300
74.0,2017-07-20,27.19,27.25,26.67,26.7,1169900
75.0,2017-07-21,26.96,27.165,26.75,26.99,968600
76.0,2017-07-24,27.24,27.42,26.82,27.25,905200
77.0,2017-07-25,27.4,27.92,27.12,27.35,847300
78.0,2017-07-26,27.61,27.8,27.28,27.57,741500
79.0,2017-07-27,27.7,27.83,26.841,27.05,1076100
80.0,2017-07-28,26.95,27.46,26.61,27.4,687800
81.0,2017-07-31,27.4,28.38,27.2,28.04,1621500
82.0,2017-08-01,29.83,30.95,29.295,30.1,4069300
83.0,2017-08-02,30.3,30.63,29.92,30.21,1031200
84.0,2017-08-03,30.28,30.28,28.64,28.73,1479400
85.0,2017-08-04,28.7,28.78,28.15,28.22,1724400
86.0,2017-08-07,28.25,29.24,28.25,29.01,1484800
87.0,2017-08-08,29.06,29.59,28.72,28.76,764700
88.0,2017-08-09,28.73,28.93,28.25,28.42,852900
89.0,2017-08-10,28.41,28.536,28.145,28.41,839400
90.0,2017-08-11,28.22,28.7,27.71,28.25,905600
91.0,2017-08-14,28.48,28.79,28.27,28.53,691900
92.0,2017-08-15,28.55,28.65,28.05,28.22,1017100
93.0,2017-08-16,28.22,28.33,27.77,28.21,1659900
94.0,2017-08-17,28.01,28.25,27.89,27.94,542900
95.0,2017-08-18,27.33,27.33,26.73,27.21,4177200
96.0,2017-08-21,27.29,27.94,27.0,27.84,1102100
97.0,2017-08-22,28.0,28.04,27.48,27.48,790600
98.0,2017-08-23,27.45,28.16,27.41,27.99,1058300
99.0,2017-08-24,28.05,28.05,27.74,27.81,2470300
100.0,2017-08-25,28.0,28.16,27.83,27.88,1019900
101.0,2017-08-28,27.88,28.62,27.75,28.59,1343100
102.0,2017-08-29,28.33,28.52,27.92,27.97,1086600
103.0,2017-08-30,27.95,28.25,27.84,28.12,1014200
104.0,2017-08-31,28.24,29.17,28.22,29.0,2325000
105.0,2017-09-01,29.17,30.56,29.17,30.1,1048900
106.0,2017-09-05,30.12,30.3,29.045,29.09,682200
107.0,2017-09-06,30.0,30.28,29.28,30.08,894600
108.0,2017-09-07,30.03,30.275,29.03,29.9,1315500
109.0,2017-09-08,29.69,29.81,29.03,29.29,1053600
110.0,2017-09-11,29.44,30.36,29.44,29.6,1033500
111.0,2017-09-12,29.59,30.09,29.52,29.79,587600
112.0,2017-09-13,29.71,30.69,29.71,30.61,1130200
113.0,2017-09-14,30.45,30.52,30.06,30.17,616900
114.0,2017-09-15,30.17,30.17,29.46,29.58,2550000
115.0,2017-09-18,29.66,30.0,29.66,29.81,612300
116.0,2017-09-19,29.85,29.88,29.15,29.32,552600
117.0,2017-09-20,29.35,29.56,29.06,29.09,570200
118.0,2017-09-21,28.93,29.52,28.84,29.41,1255100
119.0,2017-09-22,29.15,30.09,29.15,29.52,2369200
120.0,2017-09-25,29.64,30.25,29.64,29.76,1091600
121.0,2017-09-26,29.69,30.06,29.62,29.68,714500
122.0,2017-09-27,29.75,30.23,29.43,29.52,923700
123.0,2017-09-28,29.41,29.56,29.045,29.11,738900
124.0,2017-09-29,29.0,29.13,28.62,29.01,1355000
125.0,2017-10-02,29.11,30.13,28.98,29.9,1284000
126.0,2017-10-03,29.9,30.1,29.44,29.62,804700
127.0,2017-10-04,29.53,29.98,29.49,29.62,595100
128.0,2017-10-05,29.68,30.42,29.68,29.84,746500
129.0,2017-10-06,29.73,29.83,29.39,29.49,660100
130.0,2017-10-09,29.62,29.91,29.2,29.34,621300
131.0,2017-10-10,29.59,29.88,28.96,29.4,734500
132.0,2017-10-11,29.32,29.58,29.1,29.11,462400
133.0,2017-10-12,28.98,29.27,28.6,28.63,534200
134.0,2017-10-13,28.83,29.22,28.08,28.39,919200
135.0,2017-10-16,28.46,28.98,28.46,28.85,698400
136.0,2017-10-17,28.86,29.3,28.855,28.99,638400
137.0,2017-10-18,29.03,29.22,28.57,28.99,902300
138.0,2017-10-19,28.94,29.32,28.84,29.32,1511200
139.0,2017-10-20,29.53,30.06,29.47,29.96,1288700
140.0,2017-10-23,30.02,30.05,29.42,29.43,1228500
141.0,2017-10-24,29.35,30.14,29.35,30.03,2091800
142.0,2017-10-25,30.69,31.7,30.02,31.0,2456400
143.0,2017-10-26,31.34,31.54,30.36,30.94,1071300
144.0,2017-10-27,30.75,31.17,30.55,30.69,1177100
145.0,2017-10-30,30.61,30.88,30.26,30.59,1256000
146.0,2017-10-31,30.71,31.04,30.59,30.89,1112900
147.0,2017-11-01,31.03,32.04,31.03,31.73,1571100
148.0,2017-11-02,31.63,32.07,31.44,31.7,958700
149.0,2017-11-03,31.58,31.86,31.46,31.55,649000
150.0,2017-11-06,31.55,32.0,31.55,31.88,1000000
151.0,2017-11-07,31.96,31.96,31.525,31.64,615500
152.0,2017-11-08,31.51,31.69,31.12,31.52,502100
153.0,2017-11-09,31.29,31.8,30.54,31.07,907200
154.0,2017-11-10,30.88,31.23,30.83,31.1,603500
155.0,2017-11-13,30.99,31.7,30.92,31.18,675900
156.0,2017-11-14,31.25,31.89,31.13,31.39,1866400
157.0,2017-11-15,31.25,31.42,30.49,31.2,1057500
158.0,2017-11-16,31.18,31.63,31.06,31.44,658000
159.0,2017-11-17,31.35,31.595,31.2,31.49,1270300
160.0,2017-11-20,31.49,32.02,31.44,31.97,1250500
161.0,2017-11-21,32.05,32.24,31.87,31.96,1230100
162.0,2017-11-22,32.0,32.81,31.9,32.11,1598500
163.0,2017-11-24,32.3,33.16,32.3,32.69,1739600
164.0,2017-11-27,32.66,32.8,31.841,32.4,820300
165.0,2017-11-28,32.45,33.02,32.37,32.99,985300
166.0,2017-11-29,33.0,33.34,32.86,32.93,771100
167.0,2017-11-30,33.27,33.95,33.04,33.31,2890700
168.0,2017-12-01,33.3,34.37,33.3,33.9,1238600
169.0,2017-12-04,34.11,34.47,33.61,33.63,1475000
170.0,2017-12-05,33.78,34.28,33.08,33.18,3159600
171.0,2017-12-06,33.2,33.665,33.19,33.54,1027800
172.0,2017-12-07,33.45,34.13,33.411,33.99,957400
173.0,2017-12-08,34.13,34.74,34.06,34.24,738500
174.0,2017-12-11,34.43,35.28,34.43,35.19,1331000
175.0,2017-12-12,35.12,35.53,35.07,35.23,827200
176.0,2017-12-13,35.31,35.96,35.181,35.82,1609700
177.0,2017-12-14,35.9,36.58,35.45,35.51,1043100
178.0,2017-12-15,35.6,36.05,35.39,35.5,1395900
179.0,2017-12-18,35.93,36.46,35.73,36.32,943400
180.0,2017-12-19,36.4,36.49,36.07,36.4,636400
181.0,2017-12-20,36.82,37.36,36.645,37.16,1393000
182.0,2017-12-21,37.16,38.05,37.16,38.0,1609700
183.0,2017-12-22,38.0,38.54,37.91,38.45,925200
184.0,2017-12-26,38.63,39.15,38.448,39.09,908100
185.0,2017-12-27,39.11,39.15,38.68,38.71,560200
186.0,2017-12-28,38.84,39.69,38.84,39.54,535200
187.0,2017-12-29,39.82,39.859,39.075,39.37,598700
188.0,2018-01-02,39.55,39.69,39.2,39.43,823200
189.0,2018-01-03,39.62,39.85,39.08,39.15,974100
190.0,2018-01-04,39.22,39.52,38.91,39.48,485600
191.0,2018-01-05,39.73,40.08,39.51,39.95,621700
192.0,2018-01-08,39.8,40.15,39.33,40.0,865600
193.0,2018-01-09,39.96,39.98,39.26,39.84,664000
194.0,2018-01-10,39.72,39.89,39.2,39.89,1006200
195.0,2018-01-11,40.06,40.805,39.96,40.3,1661600
196.0,2018-01-12,40.54,40.92,40.27,40.61,1313400
197.0,2018-01-16,40.78,40.86,39.53,39.58,1057000
198.0,2018-01-17,39.73,40.54,39.64,40.0,1261500
199.0,2018-01-18,39.86,40.14,39.6,39.79,773100
200.0,2018-01-19,39.62,40.19,39.62,39.99,1032500
201.0,2018-01-22,40.12,40.36,40.0,40.22,789400
202.0,2018-01-23,39.99,40.2,39.1,39.99,918900
203.0,2018-01-24,40.09,40.42,39.9,40.09,1539000
204.0,2018-01-25,40.42,40.79,40.18,40.31,700400
205.0,2018-01-26,40.38,41.09,40.35,40.91,596100
206.0,2018-01-29,40.83,41.13,40.72,40.82,419700
207.0,2018-01-30,40.74,40.74,39.89,40.42,687100
208.0,2018-01-31,40.11,40.51,39.72,40.41,687100
209.0,2018-02-01,40.23,41.17,39.525,40.86,1084000
210.0,2018-02-02,40.65,40.79,39.63,40.05,1266000
211.0,2018-02-05,39.67,40.57,38.57,38.99,1067800
212.0,2018-02-06,38.31,40.6,37.98,40.54,2434200
213.0,2018-02-07,40.6,41.0,39.37,40.31,2123100
214.0,2018-02-08,40.0,40.8,37.58,37.61,1977800
215.0,2018-02-09,37.83,38.8,37.48,38.21,2207000
216.0,2018-02-12,38.49,39.26,37.989,38.74,1141800
217.0,2018-02-13,38.56,40.04,38.35,39.94,1469100
218.0,2018-02-14,39.48,41.48,39.48,41.35,2294500
219.0,2018-02-15,41.5,41.98,40.64,41.43,1586700
220.0,2018-02-16,41.18,41.59,40.54,40.55,698900
221.0,2018-02-20,40.52,40.56,39.86,39.88,1051600
222.0,2018-02-21,39.96,41.05,39.7,39.72,1152400
223.0,2018-02-22,39.91,40.48,39.35,39.77,1358300
224.0,2018-02-23,40.1,41.1,40.1,40.92,1852700
225.0,2018-02-26,41.21,41.94,41.12,41.37,1174400
226.0,2018-02-27,41.28,41.6,40.63,41.11,1034900
227.0,2018-02-28,41.23,41.5,40.68,40.71,1553500
228.0,2018-03-01,40.8,41.5,40.36,40.91,920500
229.0,2018-03-02,40.74,41.35,40.33,41.27,761600
230.0,2018-03-05,41.08,41.28,40.64,40.67,917900
231.0,2018-03-06,40.84,41.37,40.69,41.1,1222800
232.0,2018-03-07,40.68,41.28,40.57,40.99,1075900
233.0,2018-03-08,41.02,41.3,39.82,39.97,1011700
234.0,2018-03-09,40.01,40.23,38.18,38.51,1672600
235.0,2018-03-12,38.5,38.72,38.18,38.41,1432200
236.0,2018-03-13,38.48,39.73,38.28,39.22,1283700
237.0,2018-03-14,39.42,39.69,39.18,39.36,979100
238.0,2018-03-15,39.53,40.0,39.53,39.85,1123600
239.0,2018-03-16,40.07,40.46,39.9,40.14,1444300
240.0,2018-03-19,40.01,40.16,38.48,38.62,1259500
241.0,2018-03-20,38.76,39.91,38.67,39.83,1246100
242.0,2018-03-21,39.96,40.53,39.66,39.96,998300
243.0,2018-03-22,39.5,39.76,38.22,38.26,957700
244.0,2018-03-23,38.26,38.87,37.83,37.89,1094400
