,DateTime,Open,High,Low,Close,Volume
0,2005-02-22,118.75,202.5,106.25,188.75,3188362
1,2005-02-23,200.0,218.75,190.0,218.75,587128
2,2005-02-24,222.5,231.25,162.5,205.0,1253111
3,2005-02-25,212.5,262.5,208.75,262.5,1135487
4,2005-02-28,261.25,325.0,256.25,307.5,1496594
5,2005-03-01,308.75,456.25,295.0,343.75,985045
6,2005-03-02,350.0,412.5,350.0,411.25,1557487
7,2005-03-03,413.75,481.25,412.5,481.25,2329397
8,2005-03-04,483.75,506.25,262.5,356.25,3587832
9,2005-03-07,375.0,406.25,300.0,337.5,803375
10,2005-03-08,350.0,368.75,312.5,343.75,325050
11,2005-03-09,348.15,372.5,331.25,368.75,349744
12,2005-03-10,375.0,406.25,368.75,400.0,499745
13,2005-03-11,406.25,412.5,387.5,396.25,438506
14,2005-03-14,401.25,425.0,350.0,376.25,533063
15,2005-03-15,372.5,387.5,343.75,357.5,219016
16,2005-03-16,425.0,575.0,375.0,532.5,3443087
17,2005-03-17,540.0,540.0,475.0,530.0,2021831
18,2005-03-18,601.0,610.0,545.0,587.5,1761034
19,2005-03-21,592.5,655.0,580.0,650.0,1849936
20,2005-03-22,645.0,700.0,640.0,682.5,1552819
21,2005-03-23,700.0,775.0,700.0,745.0,1995906
22,2005-03-24,760.0,760.0,605.0,655.0,2873711
23,2005-03-28,655.0,670.0,520.0,665.0,2952792
24,2005-03-29,700.0,700.0,640.0,670.0,1180319
25,2005-03-30,667.5,675.0,540.0,585.0,1652129
26,2005-03-31,600.0,625.0,570.0,575.0,1121699
27,2005-04-01,585.0,590.0,505.0,537.5,1053130
28,2005-04-04,550.0,550.0,490.0,510.0,1299491
29,2005-04-05,510.0,515.0,475.0,480.0,1066311
30,2005-04-06,475.0,480.0,380.0,410.0,2673977
31,2005-04-07,407.5,430.0,365.0,382.5,1078838
32,2005-04-08,380.0,525.0,380.0,465.0,1639457
33,2005-04-11,495.0,495.0,425.0,475.0,970188
34,2005-04-12,500.0,515.0,390.0,425.0,1491142
35,2005-04-13,445.0,445.0,335.0,375.0,1559553
36,2005-04-14,375.0,450.0,375.0,445.0,1418239
37,2005-04-15,490.0,490.0,450.0,471.5,1057542
38,2005-04-18,472.5,480.0,442.5,467.5,509032
39,2005-04-19,460.0,475.0,415.0,425.0,450929
40,2005-04-20,450.0,475.0,410.0,445.0,779084
41,2005-04-21,440.0,440.0,415.0,430.0,493400
42,2005-04-22,440.0,460.0,400.0,417.5,253686
43,2005-04-25,425.0,435.0,375.0,405.0,770995
44,2005-04-26,420.0,420.0,365.0,390.0,623871
45,2005-04-27,400.0,405.0,332.5,352.5,1562298
46,2005-04-28,355.0,370.0,297.5,330.0,1678308
47,2005-04-29,365.0,400.0,342.5,392.5,2283497
48,2005-05-02,400.0,407.5,375.0,390.0,449030
49,2005-05-03,400.0,400.0,350.0,370.0,261643
50,2005-05-04,365.0,380.0,325.0,350.0,321558
51,2005-05-05,360.0,375.0,350.0,357.5,303534
52,2005-05-06,375.0,375.0,340.0,370.0,319131
53,2005-05-09,355.0,380.0,345.0,375.0,186055
54,2005-05-10,360.0,380.0,355.0,370.0,132549
55,2005-05-11,365.0,370.0,340.0,355.0,240283
56,2005-05-12,360.0,410.0,340.0,410.0,755225
57,2005-05-13,400.0,425.0,385.0,405.0,683618
58,2005-05-16,420.0,420.0,355.0,400.0,755570
59,2005-05-17,400.0,400.0,370.0,390.0,301131
60,2005-05-18,395.0,515.0,390.0,435.0,2315621
61,2005-05-19,450.0,500.0,420.0,435.0,465400
62,2005-05-20,440.0,495.0,430.0,475.0,1125877
63,2005-05-23,495.0,500.0,465.0,480.0,872416
64,2005-05-24,470.0,515.0,445.0,510.0,424129
65,2005-05-25,550.0,550.0,510.0,525.0,678765
66,2005-05-26,530.0,530.0,500.0,522.5,559424
67,2005-05-27,522.5,522.5,487.5,522.5,334701
68,2005-05-31,515.0,595.0,510.0,585.0,1238142
69,2005-06-01,602.5,615.0,510.0,565.0,2155383
70,2005-06-02,570.0,580.0,505.0,525.0,1290407
71,2005-06-03,525.0,525.0,430.0,465.0,1212180
72,2005-06-06,455.0,460.0,385.0,435.0,1018704
73,2005-06-07,425.0,495.0,425.0,470.0,301894
74,2005-06-08,485.0,485.0,407.5,430.0,286761
75,2005-06-09,420.0,430.0,390.0,415.0,472085
76,2005-06-10,425.0,450.0,410.0,430.0,111783
77,2005-06-13,445.0,445.0,380.0,400.0,275091
78,2005-06-14,415.0,440.0,350.0,365.0,604700
79,2005-06-15,385.0,385.0,355.0,365.0,519546
80,2005-06-16,370.0,390.0,370.0,380.0,167466
81,2005-06-17,390.0,390.0,360.0,370.0,167626
82,2005-06-20,370.0,375.0,335.0,355.0,613215
83,2005-06-21,355.0,365.0,337.5,345.0,195271
84,2005-06-22,350.0,360.0,327.5,350.0,199608
85,2005-06-23,360.0,360.0,342.5,350.0,125859
86,2005-06-24,350.0,355.0,312.5,335.0,525580
87,2005-06-27,340.0,345.0,285.0,315.0,721683
88,2005-06-28,310.0,315.0,245.0,280.0,1291746
89,2005-06-29,275.0,287.5,240.0,260.0,778935
90,2005-06-30,250.0,325.0,225.0,257.5,2316269
91,2005-07-01,260.0,310.0,215.0,225.0,1508944
92,2005-07-05,240.0,305.0,240.0,285.0,554551
93,2005-07-06,310.0,310.0,255.0,282.5,695060
94,2005-07-07,277.5,305.0,250.0,290.0,309879
95,2005-07-08,305.0,320.0,270.0,305.0,1572767
96,2005-07-11,310.0,325.7,267.5,320.0,999348
97,2005-07-12,320.0,330.0,265.0,285.0,934764
98,2005-07-13,295.0,315.0,250.0,285.0,1318595
99,2005-07-14,275.0,305.0,250.0,280.0,561491
100,2005-07-15,290.0,290.0,215.0,240.0,2493275
101,2005-07-18,250.0,265.0,202.5,240.0,710946
102,2005-07-19,232.5,277.5,215.0,237.5,1041212
103,2005-07-20,225.0,270.0,215.0,235.0,1035750
104,2005-07-21,230.0,255.0,210.0,235.0,968650
105,2005-07-22,240.0,245.0,192.5,215.0,1271850
106,2005-07-25,220.0,245.0,190.0,220.0,736001
107,2005-07-26,215.0,225.0,187.5,205.0,274425
108,2005-07-27,200.0,225.0,197.5,205.0,176050
109,2005-07-28,195.0,215.0,175.0,215.0,1030012
110,2005-07-29,210.0,210.0,175.0,190.0,107699
111,2005-08-01,200.0,215.0,185.0,215.0,85194
112,2005-08-02,215.0,215.0,190.0,205.0,84170
113,2005-08-03,190.0,200.0,180.0,200.0,103257
114,2005-08-04,185.0,200.0,185.0,200.0,62600
115,2005-08-05,185.0,205.0,160.0,185.0,470403
116,2005-08-08,195.0,195.0,145.0,175.0,767732
117,2005-08-09,170.0,170.0,140.0,150.0,337150
118,2005-08-10,140.0,155.0,110.0,130.0,701850
119,2005-08-11,130.0,185.0,125.0,160.0,1922972
120,2005-08-12,165.0,185.0,137.5,155.0,997596
121,2005-08-15,165.0,180.0,105.0,150.0,3052668
122,2005-08-16,150.0,150.0,140.0,145.0,88300
123,2005-08-17,135.0,145.0,125.0,145.0,111445
124,2005-08-18,145.0,152.5,145.0,145.0,25764
125,2005-08-19,140.0,150.0,130.0,130.0,52430
126,2005-08-22,130.0,160.0,130.0,140.0,69194
127,2005-08-23,150.0,150.0,130.0,140.0,11500
128,2005-08-24,140.0,155.0,130.0,135.0,52344
129,2005-08-25,130.0,175.0,130.0,155.0,112025
130,2005-08-29,150.0,150.0,150.0,150.0,26400
131,2005-08-30,150.0,160.0,150.0,160.0,43000
132,2005-08-31,175.0,200.0,160.0,190.0,103755
133,2005-09-01,195.0,245.0,195.0,225.0,236523
134,2005-09-02,220.0,245.0,220.0,225.0,44400
135,2005-09-06,240.0,240.0,210.0,225.0,166360
136,2005-09-07,220.0,225.0,220.0,222.5,44600
137,2005-09-08,225.0,225.0,210.0,220.0,123353
138,2005-09-09,220.0,220.0,190.0,200.0,35280
139,2005-09-12,200.0,200.0,140.0,175.0,117619
140,2005-09-13,175.0,175.0,175.0,175.0,250
141,2005-09-14,175.0,175.0,155.0,160.0,34216
142,2005-09-15,145.0,160.0,145.0,145.0,67889
143,2005-09-16,150.0,175.0,125.0,165.0,164055
144,2005-09-19,175.0,175.0,125.0,142.5,26450
145,2005-09-20,155.0,175.0,142.5,175.0,13745
146,2005-09-21,160.0,172.5,130.0,150.0,134280
147,2005-09-22,150.0,165.0,140.0,150.0,39300
148,2005-09-23,150.0,150.0,135.0,135.0,59140
149,2005-09-26,140.0,140.0,140.0,140.0,4100
150,2005-09-27,160.0,170.0,140.0,155.0,90216
151,2005-09-28,165.0,170.0,150.0,165.0,156350
152,2005-09-29,175.0,175.0,160.0,170.0,71335
153,2005-10-03,180.0,195.0,175.0,190.0,130153
154,2005-10-04,165.0,175.0,165.0,165.0,30840
155,2005-10-05,160.0,180.0,145.0,180.0,100833
156,2005-10-06,175.0,175.0,150.0,175.0,33600
157,2005-10-07,175.0,180.0,170.0,180.0,67500
158,2005-10-10,180.0,180.0,180.0,180.0,800
159,2005-10-11,140.0,150.0,140.0,150.0,45465
160,2005-10-12,140.0,180.0,135.0,170.0,206626
