,DateTime,Open,High,Low,Close,Volume
0,2005-12-05,30.0,30.0,26.7000007629395,26.7000007629395,1087800
1,2005-12-06,26.8500003814697,26.8500003814697,25.75,25.7600002288818,1743800
2,2005-12-07,26.0,26.0,25.25,25.5499992370605,1536400
3,2005-12-08,25.5300006866455,25.75,25.1000003814697,25.3899993896484,2100700
4,2005-12-09,25.3999996185303,25.9500007629395,24.9500007629395,25.6299991607666,2414700
5,2005-12-12,25.8999996185303,26.2999992370605,25.8999996185303,26.2399997711182,898600
6,2005-12-13,26.25,26.2600002288818,25.9300003051758,26.0,639700
7,2005-12-14,26.0,26.0499992370605,25.6499996185303,25.7000007629395,672800
8,2005-12-15,25.7000007629395,25.7000007629395,25.2000007629395,25.3199996948242,1948400
9,2005-12-16,25.3299999237061,25.5,25.1700000762939,25.2999992370605,1023000
10,2005-12-19,25.3099994659424,25.3999996185303,25.1000003814697,25.2900009155273,362700
11,2005-12-20,25.2900009155273,25.2900009155273,24.7399997711182,25.0699996948242,385800
12,2005-12-21,25.1499996185303,25.2999992370605,24.9799995422363,25.25,673000
13,2005-12-22,25.25,25.25,25.0,25.1100006103516,274300
14,2005-12-23,25.1000003814697,25.5200004577637,25.1000003814697,25.5,667100
15,2005-12-27,25.6499996185303,25.9300003051758,25.2999992370605,25.6499996185303,511400
16,2005-12-28,25.75,25.8400001525879,25.0,25.0499992370605,821600
17,2005-12-29,25.1499996185303,25.25,24.75,25.0,776100
18,2005-12-30,25.0,25.5,24.8500003814697,25.5,3887900
19,2006-01-03,26.34,27.4,26.1,26.18,5579000
20,2006-01-04,26.27,26.27,25.841,25.99,8476500
21,2006-01-05,26.0,26.44,25.83,26.36,7864000
22,2006-01-06,26.5,27.3,26.46,27.23,7208100
23,2006-01-09,27.0,27.21,26.85,27.02,7400000
24,2006-01-10,27.1,27.17,26.43,26.54,8918700
25,2006-01-11,26.66,26.75,26.05,26.18,6953400
26,2006-01-12,25.86,26.15,25.49,26.0,7613600
27,2006-01-13,25.95,26.0,25.5,25.51,4691600
28,2006-01-17,25.15,25.66,25.01,25.06,5826200
29,2006-01-18,25.0,25.67,24.83,25.65,5464900
30,2006-01-19,25.64,25.71,25.34,25.58,4868600
31,2006-01-20,25.35,25.72,24.93,24.93,4984500
32,2006-01-23,25.3,25.9,25.05,25.82,6134200
33,2006-01-24,26.0,27.0,25.8,26.9,8363900
