,DateTime,Open,High,Low,Close,Volume
0,2012-02-08,10.49,12.77,10.31,10.5,1011097
1,2012-02-09,10.88,10.948,10.25,10.26,70862
2,2012-02-10,10.75,11.15,10.12,11.0,33314
3,2012-02-13,11.5,11.5,10.89,11.0,69774
4,2012-02-14,11.24,11.24,10.81,11.01,8154
5,2012-02-15,11.09,11.13,10.76,11.0,23152
6,2012-02-16,10.82,11.1,10.6907,10.76,2803
7,2012-02-17,11.08,11.08,10.25,10.625,56047
8,2012-02-21,10.46,11.06,10.46,11.0,51133
9,2012-02-22,11.38,11.5,11.05,11.5,34432
10,2012-02-23,11.69,11.7,10.74,10.74,31500
11,2012-02-24,10.71,10.71,10.3,10.3,16748
12,2012-02-27,10.27,10.56,10.02,10.27,31988
13,2012-02-28,10.3,10.62,10.2,10.2,17458
14,2012-02-29,10.33,10.33,10.02,10.2,18698
15,2012-03-01,10.18,10.6,10.08,10.15,12304
16,2012-03-02,10.1561,10.42,10.07,10.34,4464
17,2012-03-05,10.43,11.19,10.26,10.59,22907
18,2012-03-06,10.36,10.59,10.18,10.37,15470
19,2012-03-07,10.28,10.76,10.21,10.76,19298
20,2012-03-08,10.67,10.98,10.23,10.87,39016
21,2012-03-09,10.83,11.2,10.83,11.2,2525
22,2012-03-12,10.8,10.94,10.7,10.8,39847
23,2012-03-13,10.82,10.82,10.66,10.8,19672
24,2012-03-14,10.83,10.83,10.2,10.3,54142
25,2012-03-15,10.34,10.49,10.0,10.16,81669
26,2012-03-16,10.32,10.36,9.97,10.16,37812
27,2012-03-19,10.17,10.8247,9.92,9.96,65595
28,2012-03-20,10.05,10.3144,9.903,10.0,45752
29,2012-03-21,10.3,10.3,9.96,9.98,7301
30,2012-03-22,10.11,10.59,9.906,10.59,17335
31,2012-03-23,10.48,11.0,10.48,10.62,13121
32,2012-03-26,10.6,11.2,10.4201,11.1,16668
33,2012-03-27,11.05,11.38,10.78,11.38,12600
34,2012-03-28,11.39,11.79,10.46,10.64,15826
35,2012-03-29,10.53,11.46,10.26,10.39,23537
36,2012-03-30,10.48,11.25,10.31,10.7,373706
37,2012-04-02,10.7,11.8,10.5,11.65,50558
38,2012-04-03,11.64,11.8,10.655,11.5,26215
39,2012-04-04,11.31,11.52,11.0,11.26,12801
40,2012-04-05,11.21,11.74,10.69,11.16,16495
41,2012-04-09,11.08,11.55,10.96,11.09,9290
42,2012-04-10,11.12,13.48,10.97,12.0,32100
43,2012-04-11,12.49,13.585,12.01,13.35,45374
44,2012-04-12,13.35,14.445,13.35,14.17,25328
45,2012-04-13,14.03,15.24,13.88,14.26,47751
46,2012-04-16,14.27,15.51,13.66,14.7,23712
47,2012-04-17,14.8,16.89,14.786,16.35,46996
48,2012-04-18,16.32,16.35,15.5,16.35,27776
49,2012-04-19,16.5,17.05,16.37,16.62,46895
50,2012-04-20,17.31,17.61,17.02,17.17,35931
51,2012-04-23,17.07,17.734,16.73,17.0,47839
52,2012-04-24,17.0,17.42,17.0,17.19,46181
53,2012-04-25,17.38,17.5,15.49,16.02,24201
54,2012-04-26,15.76,16.82,15.54,16.5,25538
55,2012-04-27,16.43,16.95,16.1834,16.51,7318
56,2012-04-30,16.72,17.38,16.41,16.94,65781
57,2012-05-01,17.05,17.05,15.69,15.77,11245
58,2012-05-02,15.87,15.87,15.0,15.3,10837
59,2012-05-03,14.62,14.91,12.31,12.55,24278
60,2012-05-04,12.49,12.49,11.53,11.66,14913
61,2012-05-07,11.64,12.49,10.88,11.77,14703
62,2012-05-08,12.4,12.4,10.67,10.9,26480
63,2012-05-09,10.77,10.91,10.55,10.8,4394
64,2012-05-10,10.92,11.365,10.61,11.05,15510
65,2012-05-11,11.47,11.73,11.06,11.18,21570
66,2012-05-14,11.08,11.7499,11.08,11.61,6654
67,2012-05-15,11.525,12.0,11.525,12.0,9754
68,2012-05-16,11.93,12.59,11.93,12.59,5253
69,2012-05-17,12.5,12.75,12.49,12.6,14227
70,2012-05-18,12.34,12.34,12.03,12.03,32386
71,2012-05-21,12.2,14.54,11.67,12.5,8884
72,2012-05-22,12.5,12.5,11.26,12.4,9429
73,2012-05-23,12.0,12.13,12.0,12.08,2957
74,2012-05-24,12.03,12.14,11.9,12.09,21855
