Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2005-08-12,3.25,3.6,3.25,3.586,29113500
1.0,2005-08-15,3.55,3.57,3.452,3.46,10596500
2.0,2005-08-16,3.38,3.46,3.38,3.43,5141000
3.0,2005-08-17,3.43,3.44,3.36,3.37,6423500
4.0,2005-08-18,3.39,3.396,3.25,3.27,12727000
5.0,2005-08-19,3.298,3.338,3.25,3.32,3029500
6.0,2005-08-22,3.33,3.404,3.282,3.4,2909500
7.0,2005-08-23,3.5,3.588,3.46,3.512,13466000
8.0,2005-08-24,3.5,3.55,3.466,3.5,3083000
9.0,2005-08-25,3.54,3.548,3.48,3.492,4667000
10.0,2005-08-26,3.51,3.522,3.48,3.494,2704000
11.0,2005-08-29,3.38,3.436,3.368,3.4,5458000
12.0,2005-08-30,3.422,3.478,3.39,3.406,2581000
13.0,2005-08-31,3.412,3.412,3.322,3.358,3004500
14.0,2005-09-01,3.37,3.37,3.106,3.25,12468500
15.0,2005-09-02,3.282,3.316,3.202,3.214,5748500
16.0,2005-09-06,3.24,3.29,3.234,3.28,2726500
17.0,2005-09-07,3.282,3.286,3.204,3.238,3643500
18.0,2005-09-08,3.25,3.304,3.25,3.264,2558500
19.0,2005-09-09,3.31,3.32,3.284,3.314,2468500
20.0,2005-09-12,3.29,3.304,3.202,3.218,3300500
21.0,2005-09-13,3.224,3.224,3.14,3.176,3798500
22.0,2005-09-14,3.15,3.174,3.13,3.144,2055500
23.0,2005-09-15,3.15,3.162,3.006,3.02,6004000
24.0,2005-09-16,3.012,3.068,2.91,3.064,9555000
25.0,2005-09-19,3.05,3.19,3.038,3.1,5559000
26.0,2005-09-20,3.1,3.206,3.09,3.16,4178000
27.0,2005-09-21,3.14,3.14,2.94,3.0,8313500
28.0,2005-09-22,3.0,3.014,2.9,2.902,7184000
29.0,2005-09-23,2.9,3.14,2.896,3.118,4830500
30.0,2005-09-26,3.12,3.16,3.05,3.1,7826500
31.0,2005-09-27,3.09,3.112,3.068,3.092,4505000
32.0,2005-09-28,3.076,3.076,2.996,3.03,3055000
33.0,2005-09-29,3.038,3.1,2.964,3.0,6141000
34.0,2005-09-30,3.01,3.02,2.932,2.962,12109000
35.0,2005-10-03,2.97,2.97,2.87,2.9,4279000
36.0,2005-10-04,2.89,2.9,2.806,2.814,2002000
37.0,2005-10-05,2.8,2.8,2.566,2.63,10826000
38.0,2005-10-06,2.64,2.698,2.62,2.682,4121000
39.0,2005-10-07,2.76,2.76,2.692,2.7,2174500
40.0,2005-10-10,2.714,2.728,2.488,2.51,2443000
41.0,2005-10-11,2.53,2.53,2.402,2.43,3256500
42.0,2005-10-12,2.424,2.436,2.36,2.388,2545500
43.0,2005-10-13,2.386,2.386,2.238,2.26,3555000
44.0,2005-10-14,2.268,2.5,2.264,2.472,7229500
45.0,2005-10-17,2.472,2.478,2.42,2.44,3007000
46.0,2005-10-18,2.44,2.44,2.388,2.4,2575000
47.0,2005-10-19,2.42,2.452,2.388,2.432,5052000
48.0,2005-10-20,2.44,2.618,2.438,2.564,7568500
49.0,2005-10-21,2.566,2.614,2.554,2.592,4029500
50.0,2005-10-24,2.592,2.64,2.592,2.626,2160000
51.0,2005-10-25,2.646,2.682,2.616,2.64,2629500
52.0,2005-10-26,2.63,2.67,2.59,2.618,2839500
53.0,2005-10-27,2.61,2.636,2.59,2.6,810000
54.0,2005-10-28,2.64,2.692,2.64,2.67,1664500
55.0,2005-10-31,2.7,2.798,2.7,2.764,3915000
56.0,2005-11-01,2.83,2.85,2.71,2.72,2830000
57.0,2005-11-02,2.724,2.75,2.65,2.708,3455000
58.0,2005-11-03,2.68,2.7,2.642,2.66,1815000
59.0,2005-11-04,2.66,2.756,2.644,2.68,2600500
60.0,2005-11-07,2.68,2.762,2.672,2.706,1783500
61.0,2005-11-08,2.686,2.71,2.664,2.704,1599500
62.0,2005-11-09,2.706,2.756,2.692,2.706,2294000
63.0,2005-11-10,2.72,2.878,2.662,2.75,4019000
64.0,2005-11-11,2.758,2.83,2.758,2.808,1347500
65.0,2005-11-14,2.796,2.84,2.784,2.814,1282500
66.0,2005-11-15,2.83,3.01,2.812,2.952,7032000
67.0,2005-11-16,3.02,3.1,3.0,3.034,4794000
68.0,2005-11-17,3.05,3.176,3.024,3.16,8077500
69.0,2005-11-18,3.16,3.16,3.03,3.122,3764000
70.0,2005-11-21,3.18,3.19,3.132,3.164,4266000
71.0,2005-11-22,3.164,3.18,3.102,3.146,1920000
72.0,2005-11-23,3.15,3.15,3.094,3.1,1068000
73.0,2005-11-25,3.11,3.134,3.11,3.124,154000
74.0,2005-11-28,3.132,3.138,3.07,3.098,1477000
75.0,2005-11-29,3.116,3.116,3.09,3.1,792000
76.0,2005-11-30,3.096,3.116,3.078,3.09,1513500
77.0,2005-12-01,3.084,3.1,3.018,3.054,3586000
78.0,2005-12-02,3.052,3.11,3.03,3.106,3127500
79.0,2005-12-05,3.09,3.16,3.06,3.128,3232000
80.0,2005-12-06,3.146,3.17,3.134,3.164,1503000
81.0,2005-12-07,3.17,3.198,3.124,3.124,1762000
82.0,2005-12-08,3.124,3.124,3.016,3.024,5745000
83.0,2005-12-09,3.038,3.06,2.984,3.034,5531500
84.0,2005-12-12,3.044,3.074,3.01,3.022,2333500
85.0,2005-12-13,3.022,3.05,2.946,2.978,3260500
86.0,2005-12-14,2.97,2.99,2.938,2.96,1973500
87.0,2005-12-15,2.95,2.996,2.922,2.994,1495500
88.0,2005-12-16,3.016,3.04,3.004,3.02,3498000
89.0,2005-12-19,3.02,3.06,2.96,3.05,2893500
90.0,2005-12-20,2.96,3.01,2.926,2.994,3497000
91.0,2005-12-21,2.996,3.0,2.924,2.952,1900500
92.0,2005-12-22,2.952,3.074,2.952,3.068,2252000
93.0,2005-12-23,3.03,3.08,3.03,3.046,1622000
94.0,2005-12-27,3.056,3.098,3.05,3.06,2007500
95.0,2005-12-28,3.056,3.058,2.986,3.05,4846500
96.0,2005-12-29,3.06,3.088,3.05,3.066,1294000
97.0,2005-12-30,3.066,3.086,3.038,3.05,741000
98.0,2006-01-03,3.05,3.08,3.02,3.06,2272500
99.0,2006-01-04,3.06,3.14,3.06,3.112,2567500
100.0,2006-01-05,3.12,3.248,3.114,3.23,5217500
101.0,2006-01-06,3.22,3.22,3.16,3.204,5087000
102.0,2006-01-09,3.204,3.32,3.204,3.28,3454500
103.0,2006-01-10,3.246,3.296,3.224,3.29,2359500
104.0,2006-01-11,3.29,3.29,3.24,3.258,2560500
105.0,2006-01-12,3.25,3.316,3.23,3.26,2819000
106.0,2006-01-13,3.262,3.284,3.254,3.274,1849000
107.0,2006-01-17,3.244,3.268,3.172,3.256,2442500
108.0,2006-01-18,3.24,3.318,3.21,3.316,1538500
109.0,2006-01-19,3.32,3.322,3.268,3.306,1172500
110.0,2006-01-20,3.312,3.318,3.178,3.19,1943500
111.0,2006-01-23,3.194,3.276,3.192,3.246,1171000
112.0,2006-01-24,3.25,3.324,3.24,3.298,3657000
113.0,2006-01-25,3.3,3.308,3.22,3.26,11327500
114.0,2006-01-26,3.266,3.366,3.266,3.352,2149500
115.0,2006-01-27,3.35,3.42,3.342,3.404,1289500
116.0,2006-01-30,3.4,3.45,3.354,3.38,1613500
117.0,2006-01-31,3.38,3.424,3.37,3.402,2094500
118.0,2006-02-01,3.384,3.384,3.35,3.356,2454500
119.0,2006-02-02,3.344,3.356,3.266,3.3,7376500
120.0,2006-02-03,3.296,3.38,3.276,3.376,2558000
121.0,2006-02-06,3.376,3.418,3.37,3.416,2713000
122.0,2006-02-07,3.418,3.418,3.376,3.388,2793000
123.0,2006-02-08,3.386,3.462,3.37,3.448,2350000
124.0,2006-02-09,3.446,3.558,3.44,3.5,1597500
125.0,2006-02-10,3.5,3.516,3.47,3.47,2953000
126.0,2006-02-13,3.468,3.468,3.408,3.408,1087500
127.0,2006-02-14,3.4,3.484,3.364,3.476,1291000
128.0,2006-02-15,3.474,3.52,3.42,3.496,955000
129.0,2006-02-16,3.494,3.52,3.446,3.47,1903500
130.0,2006-02-17,3.494,3.51,3.442,3.464,1560000
131.0,2006-02-21,3.456,3.456,3.368,3.412,2890000
132.0,2006-02-22,3.418,3.548,3.406,3.542,2073500
133.0,2006-02-23,3.53,3.58,3.498,3.566,904500
134.0,2006-02-24,3.38,3.838,3.376,3.69,4643000
135.0,2006-02-27,3.678,3.678,3.488,3.594,3970000
136.0,2006-02-28,3.58,3.59,3.5,3.524,1863500
137.0,2006-03-01,3.53,3.592,3.488,3.552,2538500
138.0,2006-03-02,3.56,3.596,3.474,3.48,4221000
139.0,2006-03-03,3.47,3.48,3.438,3.46,5297000
140.0,2006-03-06,3.44,3.45,3.35,3.398,2579500
141.0,2006-03-07,3.38,3.404,3.372,3.392,1487000
142.0,2006-03-08,3.382,3.392,3.346,3.376,1638000
143.0,2006-03-09,3.376,3.39,3.336,3.338,563500
144.0,2006-03-10,3.344,3.388,3.33,3.372,2066000
145.0,2006-03-13,3.38,3.38,3.342,3.36,1571000
146.0,2006-03-14,3.35,3.376,3.34,3.37,1968000
147.0,2006-03-15,3.37,3.404,3.328,3.338,2505000
148.0,2006-03-16,3.348,3.358,3.304,3.32,1293000
149.0,2006-03-17,3.33,3.38,3.328,3.37,3242500
150.0,2006-03-20,3.37,3.374,3.324,3.34,1892500
151.0,2006-03-21,3.338,3.338,3.23,3.256,1888000
152.0,2006-03-22,3.248,3.366,3.236,3.364,1547000
153.0,2006-03-23,3.362,3.412,3.338,3.374,806000
154.0,2006-03-24,3.382,3.41,3.346,3.4,977500
155.0,2006-03-27,3.398,3.41,3.37,3.372,414500
156.0,2006-03-28,3.36,3.362,3.3,3.312,2245000
157.0,2006-03-29,3.32,3.378,3.31,3.34,960000
158.0,2006-03-30,3.33,3.414,3.33,3.392,958000
159.0,2006-03-31,3.38,3.402,3.316,3.398,1156500
160.0,2006-04-03,3.402,3.444,3.4,3.414,1725000
161.0,2006-04-04,3.414,3.428,3.358,3.362,1048500
162.0,2006-04-05,3.37,3.414,3.262,3.378,1519000
163.0,2006-04-06,3.372,3.406,3.318,3.398,1093500
164.0,2006-04-07,3.4,3.4,3.28,3.366,765000
165.0,2006-04-10,3.368,3.4,3.302,3.302,661000
166.0,2006-04-11,3.312,3.328,3.226,3.228,940000
167.0,2006-04-12,3.22,3.348,3.22,3.31,1701000
168.0,2006-04-13,3.292,3.348,3.28,3.318,892500
169.0,2006-04-17,3.32,3.372,3.282,3.284,1075500
170.0,2006-04-18,3.278,3.4,3.27,3.398,2204000
171.0,2006-04-19,3.4,3.506,3.368,3.472,1862000
172.0,2006-04-20,3.484,3.6,3.476,3.58,1691000
173.0,2006-04-21,3.614,3.634,3.446,3.552,7823500
174.0,2006-04-24,3.55,3.558,3.464,3.482,1505000
175.0,2006-04-25,3.48,3.56,3.45,3.56,1388500
176.0,2006-04-26,3.576,3.668,3.524,3.54,1692500
177.0,2006-04-27,3.52,3.59,3.494,3.536,1275500
178.0,2006-04-28,3.5,3.5,3.322,3.46,3939500
179.0,2006-05-01,3.4,3.568,3.37,3.54,2382500
180.0,2006-05-02,3.59,3.75,3.58,3.75,4408000
181.0,2006-05-03,3.74,3.74,3.642,3.666,3149000
182.0,2006-05-04,3.666,3.666,3.574,3.58,2255500
183.0,2006-05-05,3.58,3.61,3.534,3.59,1963000
184.0,2006-05-08,3.592,3.592,3.486,3.524,1486000
185.0,2006-05-09,3.524,3.538,3.5,3.504,1416500
186.0,2006-05-10,3.496,3.6,3.46,3.502,2660000
187.0,2006-05-11,3.494,3.564,3.408,3.41,1813000
188.0,2006-05-12,3.41,3.426,3.352,3.368,1243000
189.0,2006-05-15,3.344,3.39,3.32,3.34,1124500
190.0,2006-05-16,3.336,3.506,3.328,3.462,2123000
191.0,2006-05-17,3.462,3.508,3.34,3.368,3117500
192.0,2006-05-18,3.388,3.466,3.344,3.394,1314500
193.0,2006-05-19,3.394,3.468,3.36,3.402,3127000
194.0,2006-05-22,3.374,3.476,3.228,3.314,7404500
195.0,2006-05-23,3.35,3.432,3.252,3.282,2404500
196.0,2006-05-24,3.272,3.32,3.22,3.3,3430500
197.0,2006-05-25,3.346,3.466,3.324,3.392,2158500
198.0,2006-05-26,3.42,3.46,3.352,3.43,2737500
199.0,2006-05-30,3.43,3.468,3.308,3.35,1524500
200.0,2006-05-31,3.37,3.438,3.304,3.416,3197000
201.0,2006-06-01,3.416,3.416,3.296,3.334,1906500
202.0,2006-06-02,3.36,3.372,3.256,3.28,2036000
203.0,2006-06-05,3.264,3.264,3.2,3.2,1736500
204.0,2006-06-06,3.2,3.25,3.112,3.144,1874000
205.0,2006-06-07,3.138,3.194,3.058,3.14,2106000
206.0,2006-06-08,3.12,3.12,3.002,3.064,2603500
207.0,2006-06-09,3.064,3.066,2.962,2.984,2787500
208.0,2006-06-12,2.976,2.976,2.828,2.836,2687000
209.0,2006-06-13,2.81,2.83,2.644,2.7,7447500
210.0,2006-06-14,2.678,2.836,2.678,2.824,4066500
211.0,2006-06-15,2.852,2.928,2.834,2.876,4515000
212.0,2006-06-16,2.878,2.888,2.83,2.852,4184500
213.0,2006-06-19,2.856,2.856,2.752,2.766,1349000
