,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,34.87,35.25,34.75,34.81,1256651
1,2000-01-04,33.58,33.58,32.23,32.23,853202
2,2000-01-05,29.12,29.94,28.5,29.81,1484000
3,2000-01-06,27.38,27.94,27.28,27.41,1367600
4,2000-01-07,27.76,28.87,27.76,28.85,1214867
5,2000-01-10,30.75,30.91,30.16,30.72,828400
6,2000-01-11,31.03,31.03,29.5,29.53,719272
7,2000-01-12,30.34,30.41,29.97,30.03,397997
8,2000-01-13,30.0,30.0,29.06,29.5,394000
9,2000-01-14,28.5,28.91,28.37,28.39,597600
10,2000-01-18,30.62,30.62,29.88,30.18,743787
11,2000-01-19,28.98,29.98,28.98,29.35,547240
12,2000-01-20,28.76,29.01,28.07,28.3,535459
13,2000-01-21,28.87,28.99,28.71,28.71,430505
14,2000-01-24,28.13,28.35,28.01,28.01,997335
15,2000-01-25,28.75,29.34,28.69,29.34,613200
16,2000-01-26,29.8,30.69,29.74,30.38,569244
17,2000-01-27,33.03,33.03,32.59,32.84,623790
18,2000-01-28,33.55,33.7,32.14,32.28,657354
19,2000-01-31,31.0,31.34,30.52,31.34,721600
20,2000-02-01,31.6,31.85,31.29,31.82,593637
21,2000-02-02,32.18,33.15,32.04,32.91,647932
22,2000-02-03,34.05,34.88,33.88,34.88,679200
23,2000-02-04,34.77,37.92,34.39,37.61,1016366
24,2000-02-07,37.62,37.74,36.3,36.51,1577922
25,2000-02-08,39.6,42.85,39.48,42.02,1826232
26,2000-02-09,43.92,43.92,41.05,41.42,1368909
27,2000-02-10,41.48,44.38,41.13,43.88,1698101
28,2000-02-11,44.69,44.69,41.57,42.4,1050966
29,2000-02-14,42.38,43.38,42.25,42.5,532400
30,2000-02-15,41.11,41.47,39.46,41.47,883155
31,2000-02-16,40.03,40.39,39.53,39.84,729026
32,2000-02-17,40.55,40.58,39.08,39.08,398801
33,2000-02-18,38.18,38.74,37.37,37.57,1153021
34,2000-02-22,38.52,38.83,38.27,38.58,893647
35,2000-02-23,39.13,41.36,39.05,40.78,979979
36,2000-02-24,43.81,44.44,43.69,44.44,1485881
37,2000-02-25,46.5,50.25,46.5,50.2,2686000
38,2000-02-28,45.75,48.12,45.0,46.39,2437200
39,2000-02-29,46.75,46.88,46.16,46.47,777600
40,2000-03-01,46.63,49.11,45.85,47.65,1877138
41,2000-03-02,47.75,47.75,46.75,46.89,614800
42,2000-03-03,50.25,51.22,49.78,50.73,765200
43,2000-03-06,50.73,51.73,49.38,50.17,960400
44,2000-03-07,51.09,51.21,48.71,48.72,1110483
45,2000-03-08,49.36,49.83,48.31,49.63,922006
46,2000-03-09,47.54,48.99,47.24,48.74,560532
47,2000-03-10,48.77,48.77,48.03,48.3,777600
48,2000-03-13,43.02,45.13,42.76,44.46,2251204
49,2000-03-14,44.28,44.78,42.28,42.31,1143986
50,2000-03-15,42.7,42.7,42.05,42.48,981145
51,2000-03-16,41.49,41.52,39.65,41.4,987057
52,2000-03-17,41.66,44.38,41.66,44.19,1198800
53,2000-03-20,46.8,46.92,45.67,45.89,1161983
54,2000-03-21,46.12,48.51,46.01,48.48,1227006
55,2000-03-22,47.19,49.59,47.19,49.31,1082622
56,2000-03-23,48.55,48.69,47.66,48.03,590400
57,2000-03-24,47.16,47.17,46.03,46.34,932577
58,2000-03-27,48.76,49.23,48.51,48.6,540719
