,DateTime,Open,High,Low,Close,Volume
0,2009-12-16,198.6029,203.4,187.36,202.5,1071983
1,2009-12-17,202.81,202.81,197.69,200.1,97887
2,2009-12-18,201.45,204.608,199.6394,202.5,152256
3,2009-12-21,208.8,208.8,201.0,204.15,119718
4,2009-12-22,203.7,204.15,196.65,202.5,75087
5,2009-12-23,203.25,203.25,200.4,202.5,44769
6,2009-12-24,202.5,202.65,200.25,202.2,14520
7,2009-12-28,200.85,201.3,196.83,201.3,12401
8,2009-12-29,200.55,203.55,198.75,203.4,64757
9,2009-12-30,206.4,217.07,205.75,208.2,151528
10,2009-12-31,209.11,210.77,203.98,207.6,49183
11,2010-01-04,213.75,217.805,205.94,214.5,78994
12,2010-01-05,213.75,229.65,211.95,225.75,82602
13,2010-01-06,223.35,229.32,216.77,222.3,71807
14,2010-01-07,221.09,227.55,218.99,227.25,37090
15,2010-01-08,223.8,232.35,223.35,231.45,34347
16,2010-01-11,231.3,241.05,231.3,235.65,34012
17,2010-01-12,235.79,235.79,223.8,225.6,13180
18,2010-01-13,222.01,229.75,220.4,223.5,23847
19,2010-01-14,220.39,232.945,219.8,231.75,22649
20,2010-01-15,231.33,236.99,223.88,235.65,17963
21,2010-01-19,236.1,238.05,232.65,235.8,32554
22,2010-01-20,231.75,236.64,228.0,232.35,14339
23,2010-01-21,230.24,235.94,218.11,225.15,44296
24,2010-01-22,222.52,228.38,213.21,224.1,80443
25,2010-01-25,229.21,229.21,210.59,220.5,35267
26,2010-01-26,214.65,223.5,214.215,220.2,15309
27,2010-01-27,220.94,220.94,207.78,216.75,19647
28,2010-01-28,219.14,223.63,211.06,215.7,9169
29,2010-01-29,203.08,203.08,178.92,182.85,220921
30,2010-02-01,180.93,191.66,178.8,185.55,65406
31,2010-02-02,186.6,189.45,185.4,189.0,24344
32,2010-02-03,189.15,195.91,180.43,190.65,22648
33,2010-02-04,186.0,191.013,185.26,186.3,17824
34,2010-02-05,186.15,190.35,180.89,188.7,25982
35,2010-02-08,188.85,191.102,184.05,189.0,12466
36,2010-02-09,193.19,193.19,186.75,189.45,14583
37,2010-02-10,190.8,190.8,184.9125,189.45,29610
38,2010-02-11,187.95,200.5515,187.95,196.8,10267
39,2010-02-12,192.14,195.75,192.14,195.0,8412
40,2010-02-16,198.8,200.3,192.1459,193.2,8596
41,2010-02-17,196.35,196.35,187.95,193.35,12143
42,2010-02-18,192.0,195.0,188.55,192.0,9455
43,2010-02-19,190.05,195.1519,188.997,192.75,13247
44,2010-02-22,192.6,193.65,189.0,191.4,22279
45,2010-02-23,190.8,192.29,188.5559,190.05,49069
46,2010-02-24,191.7,191.7,186.075,188.1,59646
47,2010-02-25,187.65,194.45,186.45,187.05,79971
48,2010-02-26,183.91,190.16,183.16,185.1,14973
49,2010-03-01,185.38,196.5021,185.38,195.15,15184
50,2010-03-02,197.4,198.0,186.29,195.6,16239
51,2010-03-03,197.25,199.05,193.6,198.3,20632
52,2010-03-04,199.5,204.75,199.05,204.0,7504
53,2010-03-05,203.7,203.85,192.75,196.95,19930
54,2010-03-08,197.55,201.15,193.5,194.25,11505
55,2010-03-09,192.15,195.29,190.65,192.75,6823
56,2010-03-10,194.39,196.8,193.49,196.8,21360
57,2010-03-11,197.1,200.1,196.649,197.25,15920
58,2010-03-12,197.25,200.55,196.8,198.75,15795
59,2010-03-15,198.61,200.412,196.8,197.25,5536
60,2010-03-16,198.75,216.0,197.85,211.2,35940
61,2010-03-17,212.71,216.17,204.73,209.85,19703
62,2010-03-18,209.25,212.1,196.35,207.6,22179
63,2010-03-19,209.97,219.17,197.6,215.7,53406
64,2010-03-22,214.5,214.8,208.65,213.0,16241
65,2010-03-23,213.0,214.81,208.64,212.25,14818
66,2010-03-24,211.52,211.52,202.62,207.75,26336
67,2010-03-25,208.94,209.54,200.26,203.4,12244
68,2010-03-26,203.86,206.27,199.03,202.5,22003
69,2010-03-29,200.7295,206.98,195.67,204.75,23740
70,2010-03-30,206.68,206.68,196.53,202.2,39733
71,2010-03-31,201.46,210.58,198.77,204.0,170103
72,2010-04-01,204.6,205.7,202.6,204.0,14328
73,2010-04-05,205.95,210.15,205.05,209.4,16970
