Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2002-12-09,8.54,8.56,8.228,8.404,3149500
1.0,2002-12-10,8.41,8.66,8.33,8.55,1723000
2.0,2002-12-11,8.54,9.1,8.46,9.012,2549000
3.0,2002-12-12,9.012,9.012,8.72,8.782,1355500
4.0,2002-12-13,8.782,8.794,8.65,8.73,987500
5.0,2002-12-16,8.7,8.75,8.59,8.62,798000
6.0,2002-12-17,8.6,8.8,8.56,8.654,1646000
7.0,2002-12-18,8.64,8.64,8.51,8.534,742000
8.0,2002-12-19,8.51,8.54,8.434,8.46,684000
9.0,2002-12-20,8.48,8.92,8.4,8.89,904500
10.0,2002-12-23,8.87,8.91,8.67,8.68,638500
11.0,2002-12-24,8.72,8.72,8.592,8.61,218000
12.0,2002-12-26,8.62,8.63,8.51,8.52,325000
13.0,2002-12-27,8.5,8.5,8.35,8.4,830500
14.0,2002-12-30,8.46,8.57,8.42,8.464,1076500
15.0,2002-12-31,8.454,8.76,8.454,8.732,1778000
16.0,2003-01-02,8.732,8.79,8.69,8.744,315000
17.0,2003-01-03,8.744,9.16,8.704,9.16,861500
18.0,2003-01-06,9.006,9.67,9.006,9.62,1874500
19.0,2003-01-07,9.6,9.72,9.45,9.604,1383000
20.0,2003-01-08,9.606,9.654,9.534,9.602,411000
21.0,2003-01-09,9.62,9.84,9.532,9.81,649000
22.0,2003-01-10,9.77,9.87,9.742,9.798,844000
23.0,2003-01-13,9.8,9.936,9.774,9.924,810000
24.0,2003-01-14,9.924,10.0,9.814,9.82,554000
25.0,2003-01-15,9.68,9.68,9.352,9.41,1459000
26.0,2003-01-16,9.4,9.4,9.054,9.076,725000
27.0,2003-01-17,9.05,9.104,8.96,9.004,590500
28.0,2003-01-21,9.01,9.04,8.852,8.89,468000
29.0,2003-01-22,8.86,8.88,8.82,8.83,163500
30.0,2003-01-23,8.84,9.15,8.826,9.086,476000
31.0,2003-01-24,9.07,9.42,9.0,9.398,685000
32.0,2003-01-27,9.358,9.38,9.24,9.25,209000
33.0,2003-01-28,9.26,9.316,9.2,9.202,364500
34.0,2003-01-29,9.18,9.4,9.152,9.3,401500
35.0,2003-01-30,9.3,9.318,8.76,8.84,735000
36.0,2003-01-31,8.8,8.81,8.402,8.5,2886000
37.0,2003-02-03,8.49,8.58,8.432,8.47,780000
38.0,2003-02-04,8.44,8.44,8.31,8.4,740000
39.0,2003-02-05,8.39,8.4,8.27,8.348,1159000
40.0,2003-02-06,8.34,8.404,8.29,8.3,1077500
41.0,2003-02-07,8.32,8.43,8.31,8.422,744500
42.0,2003-02-10,8.422,8.68,8.41,8.6,278500
43.0,2003-02-11,8.6,8.706,8.58,8.582,222500
44.0,2003-02-12,8.55,8.59,8.496,8.582,355500
45.0,2003-02-13,8.57,8.744,8.564,8.7,265500
46.0,2003-02-14,8.74,8.96,8.74,8.9,958000
47.0,2003-02-18,8.95,8.96,8.83,8.904,753500
48.0,2003-02-19,8.906,9.0,8.88,8.954,420500
49.0,2003-02-20,8.96,9.02,8.94,9.006,159000
50.0,2003-02-21,9.008,9.132,9.0,9.072,206000
51.0,2003-02-24,9.0,9.16,9.0,9.108,182500
52.0,2003-02-25,9.1,9.16,9.07,9.144,144500
53.0,2003-02-26,9.148,9.2,9.02,9.068,214000
54.0,2003-02-27,9.048,9.05,8.66,8.66,945000
55.0,2003-02-28,8.65,8.76,8.574,8.61,565000
56.0,2003-03-03,8.612,8.712,8.6,8.626,211000
57.0,2003-03-04,8.62,8.648,8.564,8.564,151000
58.0,2003-03-05,8.566,8.592,8.44,8.45,269500
59.0,2003-03-06,8.422,8.53,8.422,8.468,352500
60.0,2003-03-07,8.47,8.548,8.442,8.466,175500
61.0,2003-03-10,8.456,8.532,8.454,8.472,163000
62.0,2003-03-11,8.474,8.54,8.434,8.454,104500
63.0,2003-03-12,8.48,8.51,8.38,8.476,312000
64.0,2003-03-13,8.5,8.54,8.482,8.504,204000
65.0,2003-03-14,8.5,8.68,8.5,8.64,471500
66.0,2003-03-17,8.64,9.238,8.64,9.19,607000
67.0,2003-03-18,9.194,9.366,9.14,9.21,478500
68.0,2003-03-19,9.22,9.39,9.22,9.39,149500
69.0,2003-03-20,9.392,9.392,9.11,9.11,571000
70.0,2003-03-21,9.14,9.426,9.14,9.42,632500
71.0,2003-03-24,9.4,9.642,9.346,9.6,1112000
72.0,2003-03-25,9.59,9.71,9.59,9.686,545500
73.0,2003-03-26,9.68,9.782,9.68,9.7,1076000
74.0,2003-03-27,9.68,9.78,9.56,9.78,777500
75.0,2003-03-28,9.76,9.76,9.68,9.73,306500
76.0,2003-03-31,9.71,9.71,9.552,9.63,435000
77.0,2003-04-01,9.632,9.638,9.516,9.594,232000
78.0,2003-04-02,9.474,9.66,9.446,9.632,536000
79.0,2003-04-03,9.64,9.84,9.64,9.656,633000
80.0,2003-04-04,9.67,9.76,9.652,9.68,321500
81.0,2003-04-07,9.74,9.77,9.334,9.34,1109500
82.0,2003-04-08,9.32,9.354,9.23,9.292,398000
83.0,2003-04-09,9.31,9.38,9.25,9.35,390000
84.0,2003-04-10,9.36,9.43,9.31,9.424,224500
85.0,2003-04-11,9.44,9.44,9.326,9.354,178500
86.0,2003-04-14,9.354,9.52,9.34,9.502,212500
87.0,2003-04-15,9.494,9.534,9.486,9.5,198500
88.0,2003-04-16,9.51,9.582,9.504,9.522,280000
89.0,2003-04-17,9.722,9.934,9.708,9.808,1067500
90.0,2003-04-21,9.768,9.778,9.654,9.744,243500
91.0,2003-04-22,9.802,10.11,9.636,9.958,1607000
92.0,2003-04-23,10.058,10.25,10.0,10.1,1540000
93.0,2003-04-24,10.1,10.32,10.1,10.32,644000
94.0,2003-04-25,10.32,10.54,10.32,10.49,905000
95.0,2003-04-28,10.53,11.238,10.53,11.08,2717500
96.0,2003-04-29,11.082,11.224,10.956,11.13,1455000
97.0,2003-04-30,11.12,11.35,11.024,11.308,885500
98.0,2003-05-01,11.308,11.36,11.156,11.156,1156500
99.0,2003-05-02,11.13,11.498,11.13,11.4,740500
100.0,2003-05-05,11.41,11.6,11.332,11.36,693000
101.0,2003-05-06,11.36,11.36,11.206,11.3,661000
102.0,2003-05-07,11.26,11.32,11.06,11.12,704500
103.0,2003-05-08,11.08,11.116,10.99,11.076,707000
104.0,2003-05-09,11.1,11.26,11.01,11.144,461000
