Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2003-10-17,4.3375,4.3875,4.3262,4.37,920800
1.0,2003-10-20,4.375,4.3875,4.3088,4.3125,592000
2.0,2003-10-21,4.325,4.3562,4.265,4.3125,603200
3.0,2003-10-22,4.3125,4.3125,4.2125,4.2438,504000
4.0,2003-10-23,4.2625,4.2775,4.2375,4.2462,344000
5.0,2003-10-24,4.215,4.2538,4.1262,4.2375,668800
6.0,2003-10-27,4.2438,4.4625,4.2438,4.3938,1216800
7.0,2003-10-28,4.395,4.395,4.0938,4.115,3109600
8.0,2003-10-29,4.0838,4.1125,4.015,4.0375,2100800
9.0,2003-10-30,3.9875,4.0375,3.93,3.9375,1177600
10.0,2003-10-31,3.95,4.0062,3.825,3.8262,1508800
11.0,2003-11-03,3.845,3.94,3.845,3.9362,1621600
12.0,2003-11-04,3.9675,3.9688,3.8725,3.8975,1125600
13.0,2003-11-05,3.8975,3.8975,3.8062,3.8275,699200
14.0,2003-11-06,3.8375,3.8812,3.8038,3.8762,792000
15.0,2003-11-07,3.8688,3.9138,3.8425,3.8938,888800
16.0,2003-11-10,3.86,3.8725,3.8438,3.8512,772000
17.0,2003-11-11,3.8638,3.8638,3.7188,3.72,809600
18.0,2003-11-12,3.7188,3.7188,3.5575,3.6812,1792800
19.0,2003-11-13,3.69,3.7688,3.6788,3.7638,736800
20.0,2003-11-14,3.7625,3.775,3.6325,3.6325,782400
21.0,2003-11-17,3.6325,3.6325,3.5025,3.5988,1097600
22.0,2003-11-18,3.5938,3.6238,3.545,3.5762,933600
23.0,2003-11-19,3.5762,3.6125,3.5162,3.6075,1177600
24.0,2003-11-20,3.6025,3.6025,3.4925,3.4938,998400
25.0,2003-11-21,3.5125,3.55,3.44,3.5338,1489600
26.0,2003-11-24,3.5375,3.6125,3.5188,3.6112,1032000
27.0,2003-11-25,3.6875,3.875,3.675,3.8162,1489600
28.0,2003-11-26,3.875,3.8938,3.8362,3.8562,690400
29.0,2003-11-28,3.8625,3.8812,3.8212,3.8375,290400
30.0,2003-12-01,3.6125,3.925,3.6125,3.9125,2319200
31.0,2003-12-02,3.9125,3.9375,3.8875,3.9375,1316000
32.0,2003-12-03,3.9688,3.99,3.9375,3.9625,784800
33.0,2003-12-04,3.95,3.9975,3.8812,3.9938,1059200
34.0,2003-12-05,3.9938,3.9938,3.8088,3.86,656800
35.0,2003-12-08,3.8612,3.8788,3.7688,3.825,560800
36.0,2003-12-09,3.825,3.8375,3.6625,3.6675,869600
37.0,2003-12-10,3.675,3.6788,3.5625,3.6412,664000
38.0,2003-12-11,3.6725,3.7362,3.6375,3.6688,1282400
39.0,2003-12-12,3.7188,3.725,3.6362,3.6375,564000
40.0,2003-12-15,3.6538,3.675,3.4938,3.4938,848000
41.0,2003-12-16,3.4988,3.4988,3.3725,3.4188,1177600
42.0,2003-12-17,3.4688,3.5375,3.4312,3.4875,813600
43.0,2003-12-18,3.5,3.585,3.5,3.5638,1800800
44.0,2003-12-19,3.5638,3.6812,3.55,3.675,922400
45.0,2003-12-22,3.6875,3.7025,3.5625,3.5738,541600
46.0,2003-12-23,3.5738,3.575,3.4375,3.4838,1829600
47.0,2003-12-24,3.5088,3.5612,3.4688,3.5525,276000
48.0,2003-12-26,3.5775,3.5875,3.54,3.56,105600
49.0,2003-12-29,3.5725,3.6038,3.55,3.5612,728000
50.0,2003-12-30,3.5612,3.6012,3.5438,3.5762,395200
51.0,2003-12-31,3.5762,3.5775,3.5012,3.5012,660800
52.0,2004-01-02,3.5138,3.6012,3.5138,3.5962,377600
53.0,2004-01-05,3.65,3.6662,3.5325,3.5638,796000
54.0,2004-01-06,3.55,3.55,3.4375,3.4388,1331200
55.0,2004-01-07,3.47,3.47,3.3375,3.3738,2072000
56.0,2004-01-08,3.3725,3.3875,3.3438,3.3438,1966400
57.0,2004-01-09,3.3525,3.3712,3.2762,3.3412,1595200
58.0,2004-01-12,3.31,3.3512,3.2625,3.2862,686400
59.0,2004-01-13,3.3062,3.42,3.3038,3.42,2204800
60.0,2004-01-14,3.4625,3.52,3.3762,3.4888,1832000
61.0,2004-01-15,3.4625,3.4862,3.4212,3.475,636800
