Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,4.1927,4.349,4.1406,4.1667,468720
1.0,2000-01-05,4.1667,4.2708,4.1406,4.2188,431040
2.0,2000-01-06,4.2708,4.5052,4.2708,4.401,115200
3.0,2000-01-07,4.401,4.5833,4.401,4.5313,118320
4.0,2000-01-10,4.5833,4.6094,4.4792,4.5573,80160
5.0,2000-01-11,4.5573,4.5573,4.4271,4.5052,76320
6.0,2000-01-12,4.4531,4.6354,4.401,4.5833,526560
7.0,2000-01-13,4.5833,4.8958,4.5573,4.8177,166320
8.0,2000-01-14,4.8177,4.8958,4.7396,4.7917,348720
9.0,2000-01-18,4.8438,4.974,4.7917,4.8698,89760
10.0,2000-01-19,4.8177,4.8958,4.7917,4.7917,54000
11.0,2000-01-20,4.8438,4.974,4.8438,4.9219,104640
12.0,2000-01-21,4.9219,5.0521,4.9219,4.9479,301200
13.0,2000-01-24,5.0,5.0781,4.9219,4.9479,125760
14.0,2000-01-25,4.8958,4.974,4.8438,4.8958,174720
15.0,2000-01-26,4.7917,4.8958,4.4792,4.5052,284640
16.0,2000-01-27,4.5573,4.8177,4.5573,4.7917,96240
17.0,2000-01-28,4.7396,5.0781,4.7396,5.0521,158160
18.0,2000-01-31,5.026,5.0781,4.974,5.0521,86400
19.0,2000-02-01,5.0781,5.1042,4.8958,4.974,140640
20.0,2000-02-02,5.026,5.1823,4.974,5.0521,102240
21.0,2000-02-03,5.0521,5.1823,5.0521,5.1042,99600
22.0,2000-02-04,5.0781,5.1042,4.9479,5.026,201360
23.0,2000-02-07,5.026,5.026,4.8698,4.9479,172320
24.0,2000-02-08,4.7917,5.026,4.7917,5.026,552000
25.0,2000-02-09,5.026,5.2604,5.026,5.2344,396240
26.0,2000-02-10,5.1823,5.1823,5.1302,5.1823,61680
27.0,2000-02-11,5.1823,5.2083,5.0,5.026,100320
28.0,2000-02-14,5.026,5.1823,5.026,5.0781,39120
29.0,2000-02-15,5.1042,5.1042,5.0,5.026,45360
30.0,2000-02-16,5.0781,5.1563,5.0521,5.1042,80400
31.0,2000-02-17,5.1042,5.1563,5.026,5.0781,77280
32.0,2000-02-18,5.0781,5.1302,5.0,5.1042,76080
33.0,2000-02-22,5.0521,5.1563,5.0391,5.0781,72960
34.0,2000-02-23,5.0781,5.1042,4.8438,4.8438,64080
35.0,2000-02-24,4.8958,4.9219,4.8438,4.8438,104880
36.0,2000-02-25,4.8698,4.974,4.8177,4.8177,74400
37.0,2000-02-28,4.7917,4.8177,4.7135,4.7396,88080
38.0,2000-02-29,4.7917,4.8438,4.6875,4.8438,116160
39.0,2000-03-01,4.8438,4.8438,4.6875,4.7396,108240
40.0,2000-03-02,4.7396,4.7656,4.6875,4.7656,109920
41.0,2000-03-03,4.7396,4.7917,4.7135,4.7917,193200
42.0,2000-03-06,4.7917,4.8698,4.7656,4.8438,60960
43.0,2000-03-07,4.8438,4.8438,4.8177,4.8438,290880
44.0,2000-03-08,4.8438,4.8438,4.7396,4.7656,19200
45.0,2000-03-09,4.8177,4.8438,4.7917,4.8177,36960
46.0,2000-03-10,4.8177,4.8177,4.7135,4.7396,125040
47.0,2000-03-13,4.7656,4.7656,4.6875,4.7135,49440
48.0,2000-03-14,4.7135,4.7656,4.7135,4.7396,71760
49.0,2000-03-15,4.7917,4.7917,4.7135,4.7656,127200
50.0,2000-03-16,4.7656,4.7917,4.7135,4.7396,105600
51.0,2000-03-17,4.6875,4.7656,4.6875,4.7396,48000
52.0,2000-03-20,4.7135,4.7135,4.5833,4.6875,49680
53.0,2000-03-21,4.6354,4.7656,4.6354,4.7135,99360
54.0,2000-03-22,4.6615,4.7396,4.5313,4.5833,33120
55.0,2000-03-23,4.5833,4.6875,4.5833,4.6354,130080
56.0,2000-03-24,4.6875,4.7917,4.5573,4.5833,124560
57.0,2000-03-27,4.5833,4.7656,4.5833,4.7656,64800
58.0,2000-03-28,4.7396,4.7656,4.6094,4.6094,117840
59.0,2000-03-29,4.6094,4.6094,4.401,4.4531,175680
60.0,2000-03-30,4.4531,4.5573,4.401,4.401,183840
61.0,2000-03-31,4.4531,4.6354,4.401,4.4271,263040
62.0,2000-04-03,4.4792,4.6615,4.4271,4.5313,318480
63.0,2000-04-04,4.4792,4.5573,4.4531,4.5052,75360
64.0,2000-04-05,4.5052,4.6875,4.4792,4.5573,86400
65.0,2000-04-06,4.5573,4.5833,4.5573,4.5833,44160
66.0,2000-04-07,4.6094,4.6094,4.5573,4.5833,113520
67.0,2000-04-10,4.5833,4.6094,4.3229,4.3229,356160
68.0,2000-04-11,4.375,4.4271,4.349,4.375,151200
69.0,2000-04-12,4.4271,4.4792,4.375,4.401,107760
70.0,2000-04-13,4.401,4.4531,4.2448,4.2448,85680
71.0,2000-04-14,4.1927,4.3229,4.1927,4.3229,80400
72.0,2000-04-17,4.2708,4.375,4.2188,4.375,62400
73.0,2000-04-18,4.349,4.375,4.2969,4.349,108480
74.0,2000-04-19,4.3229,4.375,4.3229,4.375,1233840
75.0,2000-04-20,4.349,4.4271,4.349,4.375,85200
76.0,2000-04-24,4.375,4.375,4.2969,4.349,39360
77.0,2000-04-25,4.3229,4.375,4.3229,4.375,439680
78.0,2000-04-26,4.375,4.375,4.2188,4.2708,314640
79.0,2000-04-27,4.2708,4.3229,4.1927,4.2188,98160
80.0,2000-04-28,4.2188,4.3229,4.1406,4.3229,162480
81.0,2000-05-01,4.5313,4.7656,4.5052,4.7396,145680
82.0,2000-05-02,4.7396,5.026,4.6354,4.7917,213120
83.0,2000-05-03,4.7917,4.8958,4.7656,4.8698,31440
84.0,2000-05-04,4.8698,4.8698,4.6875,4.7135,92400
85.0,2000-05-05,4.7656,4.8958,4.7656,4.8698,38400
86.0,2000-05-08,4.8438,4.8438,4.7917,4.8177,31440
87.0,2000-05-09,4.6354,4.8958,4.6354,4.8958,73920
88.0,2000-05-10,4.8438,4.8698,4.6094,4.7396,60240
89.0,2000-05-11,4.7396,4.7656,4.5833,4.6094,62640
90.0,2000-05-12,4.6094,4.6094,4.401,4.4792,75840
91.0,2000-05-15,4.5313,4.5313,4.401,4.4271,74160
92.0,2000-05-16,4.4792,4.6354,4.4531,4.6354,75360
93.0,2000-05-17,4.6615,4.8958,4.6615,4.8698,77280
94.0,2000-05-18,4.8698,4.8958,4.6875,4.6875,106080
95.0,2000-05-19,4.6875,4.8698,4.6875,4.8438,69120
96.0,2000-05-22,4.8698,5.0,4.8698,5.0,72960
97.0,2000-05-23,5.0,5.4167,5.0,5.2604,359040
98.0,2000-05-24,5.2604,5.3125,5.2083,5.2865,76800
99.0,2000-05-25,5.2604,5.4167,5.2604,5.3646,152400
100.0,2000-05-26,5.3646,5.3906,5.026,5.1563,114240
101.0,2000-05-30,5.1823,5.2865,5.1563,5.2083,88080
102.0,2000-05-31,5.2604,5.3906,5.2083,5.2083,110880
103.0,2000-06-01,5.2083,5.4688,5.2083,5.4688,299520
104.0,2000-06-02,5.4688,5.6771,5.4688,5.5729,96480
105.0,2000-06-05,5.7813,5.8073,5.6771,5.7292,315840
106.0,2000-06-06,5.6771,5.7552,5.625,5.7552,269280
107.0,2000-06-07,5.7031,5.8073,5.651,5.8073,102240
108.0,2000-06-08,5.7552,5.8333,5.7292,5.7292,43440
109.0,2000-06-09,5.7031,5.8073,5.599,5.8073,72960
110.0,2000-06-12,5.7552,5.9635,5.7552,5.9635,192960
111.0,2000-06-13,5.9635,6.0156,5.8073,5.9896,114720
112.0,2000-06-14,6.1458,6.7708,6.1458,6.5104,529680
113.0,2000-06-15,6.4844,6.7448,6.3802,6.5104,356400
114.0,2000-06-16,6.5625,6.7448,6.4063,6.7188,269040
115.0,2000-06-19,6.6406,6.6406,6.5104,6.5885,209040
116.0,2000-06-20,6.3021,7.1354,6.224,7.0833,224880
117.0,2000-06-21,7.0313,7.0313,6.5625,6.7708,281760
118.0,2000-06-22,6.7708,6.7969,6.4583,6.6406,204000
119.0,2000-06-23,6.7448,6.7969,6.5885,6.7969,225600
120.0,2000-06-26,6.7708,6.875,6.6146,6.7969,199440
121.0,2000-06-27,6.7188,6.7448,6.6146,6.7188,329040
122.0,2000-06-28,6.6667,6.849,6.6667,6.849,218640
123.0,2000-06-29,6.7969,6.7969,6.0938,6.224,332400
124.0,2000-06-30,6.276,6.4063,6.25,6.3086,343440
125.0,2000-07-03,6.3021,6.4583,6.25,6.4063,63120
126.0,2000-07-05,6.4063,6.4844,6.3021,6.4844,247200
127.0,2000-07-06,6.4063,6.6146,6.276,6.6146,76320
128.0,2000-07-07,6.5625,6.6927,6.5365,6.5625,95760
129.0,2000-07-10,6.4583,6.4583,6.276,6.3802,94080
130.0,2000-07-11,6.3281,6.6667,6.276,6.6667,103200
131.0,2000-07-12,6.7708,6.849,6.6146,6.6927,129600
132.0,2000-07-13,6.7188,6.7969,6.6667,6.6927,170880
133.0,2000-07-14,6.7188,6.7448,6.6406,6.7448,61920
134.0,2000-07-17,6.8229,6.875,6.7708,6.7969,123840
135.0,2000-07-18,6.7969,7.0313,6.7708,6.9531,147840
136.0,2000-07-19,7.0052,7.0573,6.7448,6.875,126960
137.0,2000-07-20,6.9271,7.0833,6.9271,6.9271,232080
138.0,2000-07-21,6.9271,6.9271,6.875,6.875,59040
139.0,2000-07-24,6.7969,6.7969,6.6667,6.6667,194160
140.0,2000-07-25,6.6667,6.7448,6.6406,6.7188,60960
141.0,2000-07-26,6.6667,6.7448,6.6406,6.6927,114960
142.0,2000-07-27,6.6667,6.6927,6.5885,6.6146,59520
143.0,2000-07-28,6.6927,6.9792,6.6667,6.875,99840
144.0,2000-07-31,6.9271,7.1875,6.9271,7.1615,127440
145.0,2000-08-01,7.2917,7.4219,7.2917,7.3958,180960
146.0,2000-08-02,7.4479,7.9167,7.4479,7.7083,295200
147.0,2000-08-03,7.6563,8.0208,7.5521,7.8906,381360
148.0,2000-08-04,7.9167,8.0729,7.3698,7.4219,244080
149.0,2000-08-07,7.5521,7.6823,7.2917,7.5325,316080
150.0,2000-08-08,7.5781,7.7344,7.474,7.7083,299520
151.0,2000-08-09,7.6823,7.8125,7.5781,7.6563,274560
152.0,2000-08-10,7.6823,7.7083,7.6042,7.6302,281520
153.0,2000-08-11,7.6563,7.7083,7.6302,7.6823,143040
154.0,2000-08-14,7.7083,7.9427,7.7083,7.9167,286080
155.0,2000-08-15,8.0208,8.0729,7.9427,7.9688,243120
156.0,2000-08-16,8.0469,8.1771,7.9948,7.9948,368400
157.0,2000-08-17,8.0208,8.099,7.9688,7.9948,163440
158.0,2000-08-18,7.9948,8.0208,7.9948,7.9948,51120
159.0,2000-08-21,8.099,8.125,7.8125,7.9688,301440
160.0,2000-08-22,7.9427,7.9688,7.7344,7.9167,492240
161.0,2000-08-23,7.9167,7.9167,7.7344,7.7865,847680
162.0,2000-08-24,7.8125,7.8125,7.6042,7.6302,137280
163.0,2000-08-25,7.7604,7.8125,7.6042,7.8125,57600
164.0,2000-08-28,7.8385,8.0469,7.7344,8.0208,216960
165.0,2000-08-29,8.0208,8.2552,7.9427,8.1771,482400
166.0,2000-08-30,8.1771,8.4375,8.1771,8.2813,308880
167.0,2000-08-31,8.3333,8.75,8.3333,8.6719,209520
168.0,2000-09-01,8.6979,8.776,8.4896,8.4896,285360
169.0,2000-09-05,8.5417,8.5677,8.2292,8.2552,224400
170.0,2000-09-06,8.2552,8.2552,7.526,7.8646,196800
171.0,2000-09-07,7.9427,8.2813,7.9167,8.099,219360
172.0,2000-09-08,8.099,8.125,8.0208,8.0469,173520
173.0,2000-09-11,8.0469,8.125,7.8646,7.9688,678480
174.0,2000-09-12,7.9688,8.0208,7.9167,7.9948,356640
175.0,2000-09-13,7.9948,8.0208,7.9167,7.9688,117120
176.0,2000-09-14,7.8385,8.0729,7.8385,8.0208,209040
177.0,2000-09-15,7.9167,8.0469,7.9167,8.0469,356640
178.0,2000-09-18,8.0469,8.099,7.9688,7.9948,323520
179.0,2000-09-19,8.0729,8.0729,7.7083,7.7083,193440
