Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2019-05-22,120.24,121.52,116.34,116.57,354271
1.0,2019-05-23,32.25,32.26,31.46,31.8,1553900
2.0,2019-05-24,32.21,32.86,31.98,32.67,708200
3.0,2019-05-28,32.73,33.03,31.79,32.24,650900
4.0,2019-05-29,31.82,32.34,31.64,32.04,494200
5.0,2019-05-30,32.3,32.77,31.76,32.22,754300
6.0,2019-05-31,31.5,31.87,31.1,31.43,1035100
7.0,2019-06-03,31.69,32.53,31.53,31.74,930800
8.0,2019-06-04,32.0,32.69,32.0,32.66,853200
9.0,2019-06-05,33.06,33.46,31.83,32.7,519600
10.0,2019-06-06,32.75,32.76,31.96,32.53,618500
11.0,2019-06-07,32.77,33.48,32.59,33.23,394800
12.0,2019-06-10,33.61,34.45,33.51,33.71,500800
13.0,2019-06-11,34.25,34.5,33.8,34.0,490400
14.0,2019-06-12,34.15,34.48,33.78,34.36,561200
15.0,2019-06-13,34.61,35.25,34.42,34.78,632800
16.0,2019-06-14,34.47,34.47,33.37,33.65,533100
17.0,2019-06-17,33.87,34.53,33.38,33.97,622300
18.0,2019-06-18,34.49,35.7,34.22,35.29,605600
19.0,2019-06-19,35.52,35.77,34.76,35.09,535600
20.0,2019-06-20,36.29,36.29,35.0,35.36,554600
21.0,2019-06-21,35.19,35.36,34.19,35.07,1405800
22.0,2019-06-24,34.96,35.91,34.84,35.17,605600
23.0,2019-06-25,35.13,35.67,34.63,34.66,609000
24.0,2019-06-26,35.31,35.67,34.91,35.0,688500
25.0,2019-06-27,35.2,35.84,34.98,35.59,941200
26.0,2019-06-28,35.67,36.79,35.65,36.56,1116700
27.0,2019-07-01,38.49,38.8,37.08,37.41,1047600
28.0,2019-07-02,37.23,37.49,36.32,36.64,441100
29.0,2019-07-03,36.83,37.3,36.02,37.24,512400
30.0,2019-07-05,36.99,37.34,36.59,37.13,610700
31.0,2019-07-08,36.77,36.8,35.63,36.02,669800
32.0,2019-07-09,36.69,37.0,35.97,36.53,789900
33.0,2019-07-10,36.88,37.18,36.09,36.43,1161000
34.0,2019-07-11,36.35,36.48,36.0,36.09,488100
35.0,2019-07-12,36.23,36.82,36.12,36.73,335900
36.0,2019-07-15,36.93,37.17,36.14,36.69,407700
37.0,2019-07-16,36.45,37.38,36.37,37.21,507400
38.0,2019-07-17,37.18,37.61,37.08,37.28,485800
39.0,2019-07-18,37.25,37.42,36.84,37.25,496900
40.0,2019-07-19,37.34,37.83,37.06,37.36,548800
41.0,2019-07-22,37.62,38.12,37.55,38.08,412300
42.0,2019-07-23,38.46,39.3,38.27,39.28,546900
43.0,2019-07-24,39.23,40.6,39.0,40.52,892900
44.0,2019-07-25,40.51,40.86,40.14,40.41,580200
45.0,2019-07-26,40.55,40.78,40.01,40.41,452400
46.0,2019-07-29,40.9,40.9,39.93,40.73,593100
47.0,2019-07-30,40.33,40.62,39.64,39.94,1393100
48.0,2019-07-31,40.07,40.63,39.17,39.7,1011700
49.0,2019-08-01,39.55,40.72,38.46,39.49,1291900
50.0,2019-08-02,38.99,38.99,37.27,37.34,849600
51.0,2019-08-05,36.14,36.68,35.81,36.36,996400
52.0,2019-08-06,36.93,37.26,36.25,37.08,614500
53.0,2019-08-07,36.47,36.95,36.06,36.53,838500
54.0,2019-08-08,37.06,38.82,37.01,38.81,896800
55.0,2019-08-09,38.71,38.98,38.05,38.07,604200
56.0,2019-08-12,38.15,38.45,37.66,38.03,856700
57.0,2019-08-13,37.16,39.97,36.66,39.39,1927400
58.0,2019-08-14,38.4,38.67,36.68,36.97,988600
59.0,2019-08-15,37.19,37.67,36.6,37.02,645700
60.0,2019-08-16,37.27,38.58,37.27,38.26,738000
61.0,2019-08-19,39.24,39.82,38.86,39.24,638800
62.0,2019-08-20,38.96,39.31,38.6,39.01,522500
63.0,2019-08-21,39.49,39.54,39.09,39.09,561400
64.0,2019-08-22,39.18,39.57,38.7,38.7,492000
65.0,2019-08-23,38.67,38.78,36.38,36.52,1021600
66.0,2019-08-26,37.42,37.64,36.75,37.32,560000
67.0,2019-08-27,37.56,37.56,35.97,36.28,739100
68.0,2019-08-28,36.27,37.04,35.9,36.56,633300
69.0,2019-08-29,37.12,37.89,37.05,37.4,550800
70.0,2019-08-30,37.79,38.07,37.21,37.51,716800
71.0,2019-09-03,37.26,37.49,36.43,37.02,694600
72.0,2019-09-04,37.5,38.15,37.5,37.53,359300
73.0,2019-09-05,38.2,39.2,37.84,39.07,816600
74.0,2019-09-06,39.11,39.4,38.65,38.96,485000
75.0,2019-09-09,39.25,39.73,38.79,39.05,666800
76.0,2019-09-10,38.87,39.78,38.01,39.51,594500
77.0,2019-09-11,39.56,41.43,39.37,41.27,927700
78.0,2019-09-12,41.62,41.67,40.45,41.18,854600
79.0,2019-09-13,41.54,41.78,41.0,41.01,667100
80.0,2019-09-16,40.38,41.05,40.35,40.9,660400
81.0,2019-09-17,40.57,40.88,40.18,40.52,491600
82.0,2019-09-18,40.66,40.78,39.66,40.12,336300
