,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,43.48,44.6,38.62,42.11,1193707
1,2000-01-04,40.89,41.23,38.3,38.3,893530
2,2000-01-05,36.75,38.41,33.56,37.44,1491196
3,2000-01-06,36.52,37.58,33.33,33.33,1274447
4,2000-01-07,33.64,37.02,33.58,37.02,1503351
5,2000-01-10,39.06,41.56,38.81,41.31,881825
6,2000-01-11,41.62,41.81,39.19,39.78,1385400
7,2000-01-12,38.88,42.5,38.81,41.81,1733199
8,2000-01-13,42.41,42.94,41.5,42.59,891999
9,2000-01-14,43.19,43.75,42.69,43.12,4013200
10,2000-01-18,42.91,45.75,42.06,45.34,2892994
11,2000-01-19,45.27,48.7,43.89,47.3,2433162
12,2000-01-20,48.88,51.06,48.06,49.62,1367200
13,2000-01-21,50.06,51.94,50.0,51.38,767200
14,2000-01-24,52.48,53.42,45.43,45.77,1291635
15,2000-01-25,47.38,52.37,46.2,52.24,1594062
16,2000-01-26,51.88,56.0,51.5,52.5,1045600
17,2000-01-27,53.81,54.19,50.39,53.25,746182
18,2000-01-28,52.0,54.5,49.0,50.25,851200
19,2000-01-31,52.16,52.16,44.65,47.03,1908785
20,2000-02-01,48.25,53.65,48.03,52.59,1880330
21,2000-02-02,53.31,61.5,53.19,60.0,2616800
22,2000-02-03,62.43,77.57,61.93,69.44,6247068
23,2000-02-04,72.72,75.22,69.09,71.69,3094551
24,2000-02-07,74.5,76.25,70.09,75.34,1409600
25,2000-02-08,76.4,78.22,71.22,71.44,1750141
26,2000-02-09,71.94,73.62,70.44,71.5,1162400
27,2000-02-10,73.0,80.5,72.0,80.25,1857200
28,2000-02-11,81.72,84.1,77.34,80.06,1759977
29,2000-02-14,82.0,90.88,81.38,90.88,2679200
30,2000-02-15,92.56,93.0,87.0,89.88,1539600
31,2000-02-16,92.03,98.93,90.94,95.56,1722739
32,2000-02-17,97.02,97.55,92.05,95.02,1273798
33,2000-02-18,95.0,95.25,82.0,84.47,1954400
34,2000-02-22,87.0,89.75,75.5,84.41,2348200
