Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,13.375,13.4375,13.3125,13.4375,115400
1.0,2000-01-05,13.4375,13.875,13.4062,13.7812,116800
2.0,2000-01-06,13.9062,14.4375,13.7812,14.4375,261600
3.0,2000-01-07,14.375,14.375,14.125,14.2188,133400
4.0,2000-01-10,14.1562,14.1875,13.9375,14.0938,54400
5.0,2000-01-11,14.0625,14.0625,13.75,13.75,122800
6.0,2000-01-12,13.7812,13.7812,13.1875,13.4688,86600
7.0,2000-01-13,13.5938,13.75,13.4375,13.75,168400
8.0,2000-01-14,13.625,13.875,13.625,13.75,72000
9.0,2000-01-18,13.6875,13.75,13.125,13.2812,77600
10.0,2000-01-19,13.0,13.4062,13.0,13.4062,85800
11.0,2000-01-20,14.0,14.0625,13.3125,13.3125,137400
12.0,2000-01-21,13.3438,13.3438,12.8125,12.875,117600
13.0,2000-01-24,12.875,13.0,12.625,12.6562,118000
14.0,2000-01-25,12.7188,12.8125,12.625,12.75,68800
15.0,2000-01-26,12.8125,12.8438,12.4062,12.5,130200
16.0,2000-01-27,12.4062,12.4688,11.875,12.0,162200
17.0,2000-01-28,12.0,12.4062,11.875,12.4062,261000
18.0,2000-01-31,12.375,12.5312,12.0,12.0,108000
19.0,2000-02-01,12.0312,12.1875,11.9375,12.0,107600
20.0,2000-02-02,12.0,12.75,12.0,12.5625,134600
21.0,2000-02-03,12.5625,12.625,11.9062,12.0,136200
22.0,2000-02-04,11.9375,12.0312,11.6875,11.9062,109600
23.0,2000-02-07,12.0312,12.0312,11.6562,11.7188,126800
24.0,2000-02-08,11.7812,11.9062,11.75,11.75,97200
25.0,2000-02-09,11.7812,12.0312,11.625,11.6875,107800
26.0,2000-02-10,11.75,11.75,11.4688,11.4688,159000
27.0,2000-02-11,11.4688,11.75,11.4062,11.7188,107800
28.0,2000-02-14,11.8438,12.0312,11.5938,11.9062,80000
29.0,2000-02-15,11.8125,12.3125,11.8125,12.2812,100600
30.0,2000-02-16,12.2812,12.5,12.2812,12.3438,67000
31.0,2000-02-17,12.4688,12.5625,12.3125,12.3125,163400
32.0,2000-02-18,12.3438,12.3438,12.1562,12.1562,187200
33.0,2000-02-22,12.1562,12.1562,11.6562,11.7188,50400
34.0,2000-02-23,11.75,11.875,11.625,11.625,135200
35.0,2000-02-24,11.5312,11.5625,11.3125,11.4062,149000
36.0,2000-02-25,11.4062,11.5,11.1562,11.2188,106800
37.0,2000-02-28,11.3438,11.375,11.0,11.1875,124600
38.0,2000-02-29,11.2188,11.2812,11.0,11.125,118800
39.0,2000-03-01,11.125,11.5625,11.0938,11.1562,130800
40.0,2000-03-02,11.3125,11.5156,11.25,11.3438,126200
41.0,2000-03-03,11.4062,11.5938,11.4062,11.5938,126400
42.0,2000-03-06,11.5938,11.875,11.5625,11.8125,107600
43.0,2000-03-07,11.8125,12.0625,11.7812,11.9062,87600
44.0,2000-03-08,11.9062,11.9375,11.2812,11.5,116600
45.0,2000-03-09,11.5625,11.625,11.3125,11.4375,166200
46.0,2000-03-10,11.4062,11.5312,11.25,11.25,80600
47.0,2000-03-13,11.25,11.2812,11.0625,11.0938,134200
48.0,2000-03-14,11.125,11.1562,10.8125,10.9062,174800
49.0,2000-03-15,10.9062,11.0625,10.375,11.0,411400
50.0,2000-03-16,11.0625,11.5938,11.0312,11.5,292200
51.0,2000-03-17,11.375,11.5,11.375,11.4688,142800
52.0,2000-03-20,11.4062,11.5,11.25,11.4062,118000
53.0,2000-03-21,10.75,10.9375,10.375,10.9375,443600
54.0,2000-03-22,10.9375,11.3125,10.8438,11.2812,231600
55.0,2000-03-23,11.2812,11.6875,11.2812,11.4062,299000
56.0,2000-03-24,11.375,11.375,10.625,10.8125,232600
57.0,2000-03-27,10.875,10.9375,10.25,10.25,218000
58.0,2000-03-28,10.375,10.6562,10.125,10.5938,180200
59.0,2000-03-29,10.5312,10.5312,10.25,10.4375,263200
60.0,2000-03-30,10.4375,10.8125,10.375,10.5625,127000
61.0,2000-03-31,10.5625,10.625,10.375,10.4062,206200
62.0,2000-04-03,10.5,10.5625,10.3125,10.4688,170400
63.0,2000-04-04,10.4375,10.4688,10.1875,10.25,98600
64.0,2000-04-05,10.375,10.375,10.0625,10.1875,110800
65.0,2000-04-06,10.3125,10.375,10.125,10.1875,190200
66.0,2000-04-07,10.2188,10.4062,9.9375,9.9688,262200
67.0,2000-04-10,10.0,10.125,9.8125,9.8125,213600
68.0,2000-04-11,9.9375,10.1562,9.375,10.0312,1765400
69.0,2000-04-12,10.3438,10.75,10.3438,10.5312,157600
70.0,2000-04-13,10.625,10.625,10.2812,10.375,134800
71.0,2000-04-14,10.25,10.5625,10.125,10.125,92200
72.0,2000-04-17,10.0625,10.2188,9.9062,10.0,128200
73.0,2000-04-18,9.9375,10.0,9.5625,9.9375,174000
74.0,2000-04-19,9.9062,10.3125,9.9062,10.1875,226800
75.0,2000-04-20,10.2188,10.2812,10.0,10.2188,235000
76.0,2000-04-24,10.2812,10.2812,10.0,10.0625,175600
77.0,2000-04-25,10.0938,10.0938,9.875,10.0938,209800
78.0,2000-04-26,10.1875,10.3125,10.0938,10.2188,107000
79.0,2000-04-27,10.25,10.2812,9.9375,10.0625,122400
80.0,2000-04-28,10.0,10.25,9.9688,10.0312,162800
81.0,2000-05-01,10.0,10.4375,10.0,10.4375,99200
82.0,2000-05-02,10.3438,10.4688,10.3125,10.3438,162000
83.0,2000-05-03,10.25,10.4062,10.2344,10.3438,92200
84.0,2000-05-04,10.4375,10.6875,10.3438,10.6562,221400
85.0,2000-05-05,10.5938,10.625,10.25,10.375,240200
86.0,2000-05-08,10.375,10.625,10.375,10.5,79400
87.0,2000-05-09,10.5,10.5,10.25,10.5,78000
88.0,2000-05-10,10.4375,10.625,10.3125,10.3438,221400
89.0,2000-05-11,10.4062,10.5625,10.3125,10.5625,60400
90.0,2000-05-12,10.5625,10.75,10.5312,10.625,77200
91.0,2000-05-15,10.5625,10.625,10.25,10.5312,111600
92.0,2000-05-16,10.5938,10.875,10.5938,10.875,223800
93.0,2000-05-17,10.75,10.8125,10.6562,10.75,84800
94.0,2000-05-18,10.625,10.875,10.5312,10.7812,98600
95.0,2000-05-19,10.7812,10.7812,10.4375,10.5312,96400
96.0,2000-05-22,10.5625,10.625,10.4375,10.5,69600
97.0,2000-05-23,10.375,10.4062,10.0938,10.1562,60000
98.0,2000-05-24,10.1562,10.4688,10.125,10.3125,76000
99.0,2000-05-25,10.3125,10.3438,10.25,10.3125,90200
100.0,2000-05-26,10.2812,10.4688,10.2812,10.4688,48200
101.0,2000-05-30,10.4688,10.6875,10.3438,10.4062,119000
102.0,2000-05-31,10.4062,10.625,10.3125,10.3438,88400
103.0,2000-06-01,10.4375,10.625,10.3438,10.5938,191000
104.0,2000-06-02,10.6875,10.9375,10.625,10.625,94800
105.0,2000-06-05,10.6875,10.8125,10.625,10.6875,156200
106.0,2000-06-06,10.7188,10.8125,10.6562,10.75,51600
107.0,2000-06-07,10.6875,10.7656,10.5938,10.6875,150400
108.0,2000-06-08,10.6562,10.6562,10.375,10.5938,54000
109.0,2000-06-09,10.5625,10.5938,10.5,10.5312,25800
110.0,2000-06-12,10.5312,10.6875,10.5312,10.625,53600
111.0,2000-06-13,10.6562,10.6562,10.5,10.5312,68600
112.0,2000-06-14,10.6562,10.75,10.625,10.7188,76200
113.0,2000-06-15,10.6562,10.6875,10.5312,10.6875,33200
114.0,2000-06-16,10.6875,10.75,10.5625,10.5938,73600
115.0,2000-06-19,10.5938,10.6875,10.375,10.5938,72800
116.0,2000-06-20,10.5625,10.6875,10.5625,10.5938,106800
117.0,2000-06-21,10.5938,10.5938,10.4375,10.4688,46400
118.0,2000-06-22,10.2812,10.2812,9.8438,9.8438,217200
119.0,2000-06-23,9.875,10.0,9.8125,9.9375,63200
120.0,2000-06-26,9.9688,9.9688,9.75,9.7812,73400
121.0,2000-06-27,9.7812,9.9688,9.75,9.7812,131400
122.0,2000-06-28,9.7812,9.9375,9.6875,9.9375,133800
123.0,2000-06-29,9.9375,10.1875,9.8438,9.8438,115800
124.0,2000-06-30,10.0938,10.6562,10.0312,10.5625,174600
125.0,2000-07-03,10.625,10.75,10.625,10.6875,40200
126.0,2000-07-05,10.75,10.75,10.5,10.5,164400
127.0,2000-07-06,10.625,11.0,10.625,10.875,208400
128.0,2000-07-07,10.9375,11.5938,10.9375,11.5938,197600
129.0,2000-07-10,11.5938,11.5938,11.5,11.5312,217000
130.0,2000-07-11,11.5,11.6562,11.4375,11.6562,145200
131.0,2000-07-12,11.5312,11.5312,11.3125,11.5,89600
132.0,2000-07-13,11.5,11.5312,11.4062,11.5312,42600
133.0,2000-07-14,11.5,11.5312,11.3125,11.5,56600
134.0,2000-07-17,11.5,11.6562,11.4688,11.5625,181200
135.0,2000-07-18,11.5938,11.6562,11.5312,11.6562,41400
136.0,2000-07-19,11.625,11.625,11.5625,11.5938,41800
137.0,2000-07-20,11.5938,11.625,11.5,11.5938,68600
138.0,2000-07-21,11.5625,11.6875,11.375,11.5938,95800
139.0,2000-07-24,11.5625,11.6875,11.4062,11.4062,103400
140.0,2000-07-25,11.4688,11.6875,11.4062,11.6875,298200
141.0,2000-07-26,11.6562,12.3125,11.6562,12.3125,160600
142.0,2000-07-27,12.375,14.6875,12.375,14.625,694800
143.0,2000-07-28,14.5,14.5312,14.2188,14.5312,455200
144.0,2000-07-31,14.5,15.625,14.375,15.4062,673400
145.0,2000-08-01,15.25,15.5625,14.875,15.0,389800
146.0,2000-08-02,14.9375,14.9375,14.5938,14.7812,330400
147.0,2000-08-03,14.7812,14.875,14.5938,14.5938,170000
148.0,2000-08-04,14.5,14.7812,14.4688,14.7812,205800
149.0,2000-08-07,14.7188,15.4688,14.6875,15.4688,314800
150.0,2000-08-08,15.4062,15.8438,15.3125,15.8438,252600
151.0,2000-08-09,15.8438,15.8438,15.2812,15.5625,186000
152.0,2000-08-10,15.5,15.5312,15.3125,15.4688,185200
153.0,2000-08-11,15.4688,15.875,15.4375,15.75,92000
