,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,7.111,7.138,6.4623,7.084,5576660
1,2000-01-04,6.8187,6.8991,6.4302,6.524,6771462
2,2000-01-05,6.5771,6.6311,6.1719,6.442,3635643
3,2000-01-06,6.503,6.5841,6.2461,6.2731,2953100
4,2000-01-07,6.2329,6.4214,6.2195,6.381,3282378
5,2000-01-10,6.4899,6.9225,6.4763,6.8684,5969154
6,2000-01-11,6.9021,7.226,6.6725,6.713,5243571
7,2000-01-12,7.138,7.895,7.003,7.72,20183683
8,2000-01-13,7.719,7.746,7.436,7.706,11850038
9,2000-01-14,7.746,8.151,7.746,8.016,8075605
10,2000-01-18,7.963,7.963,7.502,7.705,11136179
11,2000-01-19,7.888,7.996,7.631,7.766,8822342
12,2000-01-20,7.624,7.832,7.559,7.78,12880322
13,2000-01-21,8.172,8.185,7.834,7.861,6364814
14,2000-01-24,7.942,8.09,7.739,7.901,5647062
15,2000-01-25,8.03,8.097,7.462,7.854,8298881
16,2000-01-26,7.976,8.03,7.76,7.787,5049858
17,2000-01-27,7.868,8.016,7.381,7.489,5718674
18,2000-01-28,7.185,7.645,7.185,7.388,7106812
19,2000-01-31,7.394,7.489,6.921,7.232,7520955
20,2000-02-01,7.447,8.122,7.267,7.888,8142550
21,2000-02-02,7.826,7.894,7.543,7.556,7459915
22,2000-02-03,7.577,7.956,7.55,7.74,8296797
23,2000-02-04,7.8,8.286,7.786,8.016,5815848
24,2000-02-07,8.003,8.516,8.003,8.354,5269863
25,2000-02-08,8.78,8.861,8.441,8.766,11166384
26,2000-02-09,8.677,8.881,8.556,8.867,7939603
27,2000-02-10,8.948,8.975,8.664,8.88,6065338
28,2000-02-11,8.908,9.056,8.732,8.881,6423827
29,2000-02-14,8.907,8.907,8.502,8.651,4361521
30,2000-02-15,8.931,8.931,8.072,8.549,7630312
31,2000-02-16,8.394,8.812,8.394,8.556,5911078
32,2000-02-17,8.79,9.2,8.708,9.036,4626531
33,2000-02-18,9.017,9.057,8.583,8.623,2945036
34,2000-02-22,8.623,8.704,8.231,8.556,5469838
35,2000-02-23,8.542,8.731,8.515,8.623,4790572
36,2000-02-24,8.61,9.029,8.326,9.015,7224106
37,2000-02-25,8.86,9.076,8.806,8.86,3997300
38,2000-02-28,8.861,8.901,8.415,8.658,5976993
39,2000-02-29,9.177,10.269,9.163,9.887,15348034
40,2000-03-01,10.21,10.805,9.076,9.292,11336785
41,2000-03-02,9.63,9.941,9.332,9.386,6272190
42,2000-03-03,10.052,10.052,9.724,9.833,6434446
43,2000-03-06,9.88,10.339,9.866,10.15,4763581
44,2000-03-07,11.413,11.453,10.601,10.777,15445559
45,2000-03-08,11.375,11.504,10.336,11.048,8451529
46,2000-03-09,10.751,11.418,10.668,11.237,8795926
47,2000-03-10,10.535,10.73,10.131,10.157,4303385
48,2000-03-13,10.042,10.568,9.436,10.312,7335096
49,2000-03-14,10.535,10.724,9.211,9.252,9656871
50,2000-03-15,9.482,10.054,9.223,9.468,12422452
51,2000-03-16,9.818,9.953,9.036,9.711,11552384
52,2000-03-17,9.401,10.022,9.401,9.941,5701293
53,2000-03-20,10.548,10.913,10.467,10.711,12039698
54,2000-03-21,11.009,11.023,10.294,10.913,8064967
55,2000-03-22,10.743,11.732,10.73,11.488,13774561
56,2000-03-23,11.696,11.764,11.251,11.265,4462323
57,2000-03-24,11.541,11.825,11.122,11.298,4028052
58,2000-03-27,11.669,11.736,11.184,11.264,7483722
59,2000-03-28,11.433,11.46,10.73,10.757,5418487
60,2000-03-29,10.57,10.715,9.671,9.724,9602100
61,2000-03-30,9.948,10.38,9.461,9.826,8069544
62,2000-03-31,10.433,10.731,10.189,10.61,10583621
63,2000-04-03,10.589,10.589,9.657,9.752,5994144
64,2000-04-04,9.791,10.142,7.822,9.738,14952468
65,2000-04-05,9.387,10.466,9.306,9.967,12186944
66,2000-04-06,10.461,11.523,10.188,11.237,13307038
67,2000-04-07,11.691,12.4,11.596,12.318,13276897
68,2000-04-10,13.509,13.568,12.087,12.102,8361486
69,2000-04-11,10.636,12.092,10.373,11.399,17917472
70,2000-04-12,11.469,11.482,9.838,10.373,10298018
71,2000-04-13,10.967,11.482,10.493,10.886,14181954
72,2000-04-14,10.812,10.812,9.46,9.92,10432904
73,2000-04-17,9.982,10.644,9.707,10.589,12440842
74,2000-04-18,10.785,11.621,10.394,11.365,19505726
75,2000-04-19,11.406,11.69,10.608,10.716,9935013
76,2000-04-20,10.866,10.907,10.393,10.501,6762866
77,2000-04-24,10.258,10.326,9.813,9.948,5956984
78,2000-04-25,10.469,11.278,10.469,11.237,8787118
79,2000-04-26,11.298,11.298,10.703,10.798,8851593
80,2000-04-27,10.61,11.487,10.502,11.446,13657787
81,2000-04-28,11.65,11.812,11.19,11.244,11943113
82,2000-05-01,11.278,11.399,10.98,11.129,11199145
83,2000-05-02,11.362,11.881,10.953,11.021,10123192
84,2000-05-03,10.915,11.243,10.056,10.697,10301126
85,2000-05-04,10.852,11.353,10.798,11.123,9017789
86,2000-05-05,11.935,12.643,11.921,12.48,21600400
87,2000-05-08,12.577,12.661,12.088,12.102,8203262
88,2000-05-09,11.805,11.9,10.938,11.29,12513729
89,2000-05-10,10.872,11.048,10.318,10.44,10991096
90,2000-05-11,11.209,11.589,11.054,11.237,11897746
91,2000-05-12,11.368,11.82,10.601,10.724,9252668
92,2000-05-15,10.667,10.981,10.272,10.94,8401670
93,2000-05-16,11.244,11.528,10.838,11.284,8182187
94,2000-05-17,10.464,11.121,10.464,10.832,5689839
95,2000-05-18,11.312,11.312,10.609,10.622,5219835
96,2000-05-19,10.427,10.602,9.968,10.009,7565457
97,2000-05-22,10.048,10.102,9.022,9.292,12877799
98,2000-05-23,9.618,9.866,8.846,8.86,7194299
99,2000-05-24,9.327,9.624,7.982,8.86,19855271
100,2000-05-25,9.386,9.602,8.739,8.982,11435762
101,2000-05-26,8.569,9.123,8.448,8.623,5037967
102,2000-05-30,8.935,9.338,8.908,9.325,8332668
103,2000-05-31,9.501,9.663,9.11,9.137,8849266
104,2000-06-01,9.577,10.197,9.496,9.927,10446691
105,2000-06-02,10.772,10.974,10.637,10.853,13167257
106,2000-06-05,10.818,11.603,10.602,11.454,10767870
107,2000-06-06,11.454,11.656,10.697,10.819,7765491
108,2000-06-07,10.967,11.159,10.625,11.008,6836316
109,2000-06-08,11.339,11.393,10.799,10.88,7342846
