Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2004-05-03,102.0,104.1,96.42,102.66,66317
1.0,2004-05-04,106.08,106.08,97.5,101.1,37400
2.0,2004-05-05,99.0,107.4,99.0,104.52,25967
3.0,2004-05-06,104.4,106.8,99.0,103.14,33317
4.0,2004-05-07,106.8,106.8,100.26,101.46,11983
5.0,2004-05-10,101.4,101.4,96.12,97.5,75467
6.0,2004-05-11,98.7,98.7,91.74,93.6,19767
7.0,2004-05-12,93.96,95.4,91.2,92.1,43900
8.0,2004-05-13,92.7,93.6,92.04,93.0,17133
9.0,2004-05-14,92.7,95.4,91.2,95.4,3533
10.0,2004-05-17,94.2,95.1,94.2,94.5,19183
11.0,2004-05-18,94.56,95.46,94.44,94.8,11083
12.0,2004-05-19,94.56,95.76,94.56,95.7,2283
13.0,2004-05-20,95.82,96.9,92.88,93.6,11750
14.0,2004-05-21,94.56,97.44,93.0,94.2,24783
15.0,2004-05-24,94.5,95.1,91.38,91.5,11500
16.0,2004-05-25,92.58,92.58,85.68,89.88,13833
17.0,2004-05-26,88.44,94.62,87.0,93.0,29300
18.0,2004-05-27,96.0,97.44,89.4,90.6,9983
19.0,2004-05-28,91.5,98.4,91.5,98.4,4217
20.0,2004-06-01,92.52,97.8,92.52,94.38,8533
21.0,2004-06-02,94.26,96.0,88.8,90.84,14800
22.0,2004-06-03,90.9,92.82,89.94,90.12,4033
23.0,2004-06-04,92.22,95.34,90.18,92.1,17617
24.0,2004-06-07,93.72,94.56,88.74,94.56,7183
25.0,2004-06-08,90.24,98.94,90.24,96.84,50283
26.0,2004-06-09,95.4,97.5,94.86,96.0,21517
27.0,2004-06-10,96.0,101.1,95.4,95.52,9467
28.0,2004-06-14,95.4,95.4,91.2,93.9,10617
29.0,2004-06-15,93.9,94.8,90.24,92.04,6500
30.0,2004-06-16,92.4,96.0,90.9,96.0,11250
31.0,2004-06-17,96.6,96.6,94.14,94.86,15400
32.0,2004-06-18,95.7,96.3,95.4,96.12,16817
33.0,2004-06-21,96.84,97.5,94.2,94.2,12267
34.0,2004-06-22,94.68,95.22,90.9,92.58,17450
35.0,2004-06-23,92.94,92.94,91.2,92.46,23683
36.0,2004-06-24,92.4,93.3,87.06,90.3,16650
37.0,2004-06-25,90.12,90.12,69.12,88.62,67750
38.0,2004-06-28,84.66,88.5,78.6,88.5,16917
39.0,2004-06-29,88.5,89.88,86.7,88.2,5833
40.0,2004-06-30,89.1,90.0,86.94,89.1,14517
41.0,2004-07-01,90.06,90.06,85.38,89.04,19833
42.0,2004-07-02,88.8,90.06,87.66,90.06,21050
43.0,2004-07-06,89.46,89.46,85.38,87.24,9583
44.0,2004-07-07,86.34,87.0,84.96,85.14,15200
45.0,2004-07-08,84.96,85.56,81.66,83.16,5700
46.0,2004-07-09,82.86,84.3,79.56,81.0,9917
47.0,2004-07-12,81.06,81.06,74.82,77.4,100900
48.0,2004-07-13,77.58,78.0,74.88,77.52,11850
49.0,2004-07-14,76.8,78.0,75.96,78.0,16400
50.0,2004-07-15,77.88,78.84,77.34,78.0,6450
51.0,2004-07-16,78.3,78.6,77.52,77.64,22817
52.0,2004-07-19,78.18,78.18,72.0,72.84,106300
53.0,2004-07-20,72.36,73.5,69.96,70.8,6300
54.0,2004-07-21,70.86,70.86,54.0,57.36,46633
55.0,2004-07-22,57.06,59.22,54.3,56.34,22767
56.0,2004-07-23,56.1,57.0,46.8,54.42,37233
57.0,2004-07-26,54.6,54.6,51.3,53.64,23600
58.0,2004-07-27,54.72,55.8,52.8,55.02,48400
59.0,2004-07-28,54.0,54.18,50.7,50.88,23467
60.0,2004-07-29,52.2,54.3,49.26,50.64,10050
