Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2005-04-15,2.9125,2.925,2.5575,2.5625,1129200
1.0,2005-04-18,2.625,2.705,2.6,2.625,213600
2.0,2005-04-19,2.75,2.75,2.64,2.645,549600
3.0,2005-04-20,2.6375,2.675,2.625,2.65,34400
4.0,2005-04-21,2.65,2.6575,2.625,2.625,136000
5.0,2005-04-22,2.69,2.7425,2.625,2.63,92400
6.0,2005-04-25,2.665,2.6875,2.6275,2.6375,277200
7.0,2005-04-26,2.6275,2.6625,2.625,2.625,132800
8.0,2005-04-27,2.625,2.635,2.4025,2.4475,272000
9.0,2005-04-28,2.4175,2.54,2.4175,2.475,150400
10.0,2005-04-29,2.5,2.575,2.5,2.5,81600
11.0,2005-05-02,2.47,2.525,2.4675,2.4775,62800
12.0,2005-05-03,2.495,2.525,2.475,2.5,85600
13.0,2005-05-04,2.5,2.525,2.475,2.525,63200
14.0,2005-05-05,2.5025,2.5225,2.475,2.475,60800
15.0,2005-05-06,2.475,2.5,2.475,2.5,72400
16.0,2005-05-09,2.5225,2.525,2.475,2.475,172400
17.0,2005-05-10,2.6175,2.9375,2.525,2.8475,517200
18.0,2005-05-11,2.8525,2.9375,2.825,2.8675,258800
19.0,2005-05-12,2.875,2.925,2.7375,2.8275,225600
20.0,2005-05-13,2.8975,2.915,2.84,2.9075,116400
21.0,2005-05-16,2.9,3.225,2.8775,3.1425,1212400
22.0,2005-05-17,3.185,3.685,3.1075,3.4875,790800
23.0,2005-05-18,3.5575,3.575,3.4125,3.4975,942800
24.0,2005-05-19,3.5,3.5075,3.4825,3.4975,125600
25.0,2005-05-20,3.5,3.51,3.4475,3.47,164800
26.0,2005-05-23,3.5,3.505,3.3425,3.5,396800
27.0,2005-05-24,3.5075,3.55,3.475,3.5,340000
28.0,2005-05-25,3.4625,3.5375,3.375,3.5125,225600
29.0,2005-05-26,3.4875,3.65,3.4875,3.5025,228000
30.0,2005-05-27,3.555,3.5625,3.5,3.55,70800
31.0,2005-05-31,3.58,3.58,3.4225,3.5,3312000
32.0,2005-06-01,3.5625,3.565,3.395,3.4775,88800
33.0,2005-06-02,3.46,3.46,3.375,3.39,205600
34.0,2005-06-03,3.385,3.4525,3.375,3.435,104000
35.0,2005-06-06,3.46,3.5,3.4375,3.5,158000
36.0,2005-06-07,3.5125,3.6475,3.505,3.6475,174000
37.0,2005-06-08,3.645,3.77,3.645,3.725,304000
38.0,2005-06-09,3.725,3.8225,3.615,3.7225,408000
39.0,2005-06-10,3.74,3.895,3.6625,3.77,126000
40.0,2005-06-13,3.8975,3.9975,3.8,3.85,198400
41.0,2005-06-14,3.975,3.975,3.7375,3.77,216000
42.0,2005-06-15,3.73,3.875,3.73,3.8475,126800
43.0,2005-06-16,3.85,3.875,3.7675,3.8125,129200
44.0,2005-06-17,3.875,3.875,3.75,3.8,154000
45.0,2005-06-20,3.825,3.825,3.725,3.7525,132000
46.0,2005-06-21,3.7375,3.75,3.5025,3.61,190000
47.0,2005-06-22,3.5625,3.565,3.3075,3.3825,174000
48.0,2005-06-23,3.32,3.3625,3.125,3.1825,88000
49.0,2005-06-24,3.12,3.245,3.0,3.0,867600
50.0,2005-06-27,3.04,3.05,2.8775,2.9875,134000
51.0,2005-06-28,3.0625,3.13,2.9875,3.125,69600
52.0,2005-06-29,3.1625,3.1625,3.0625,3.0925,234800
53.0,2005-06-30,3.0825,3.125,3.06,3.1,100400
54.0,2005-07-01,3.1,3.125,3.1,3.11,290400
55.0,2005-07-05,3.125,3.1325,3.075,3.13,42800
56.0,2005-07-06,3.1375,3.1375,2.9775,3.045,341200
57.0,2005-07-07,3.0125,3.0125,2.9475,2.9475,44800
58.0,2005-07-08,2.935,3.01,2.8875,3.01,103200
59.0,2005-07-11,3.0,3.125,2.9375,3.0875,168800
60.0,2005-07-12,3.05,3.075,2.9375,2.995,55600
61.0,2005-07-13,3.04,3.04,2.9,2.93,62800
62.0,2005-07-14,2.9375,2.94,2.85,2.8875,89200
63.0,2005-07-15,2.9325,2.9375,2.83,2.885,150400
64.0,2005-07-18,2.935,2.935,2.885,2.905,370400
65.0,2005-07-19,2.9125,2.9425,2.875,2.88,82400
66.0,2005-07-20,2.91,2.9375,2.7625,2.8,191200
67.0,2005-07-21,2.785,2.9425,2.775,2.8125,70000
68.0,2005-07-22,2.8575,2.8975,2.805,2.87,94400
69.0,2005-07-25,2.9025,2.9025,2.5975,2.6075,187600
70.0,2005-07-26,2.625,2.9,2.625,2.75,329600
71.0,2005-07-27,2.7975,2.7975,2.69,2.75,83600
72.0,2005-07-28,2.75,2.75,2.7075,2.75,156400
73.0,2005-07-29,2.75,2.755,2.6825,2.755,248000
74.0,2005-08-01,2.7975,2.9775,2.79,2.9,128800
75.0,2005-08-02,2.9,2.9375,2.8575,2.9325,47200
76.0,2005-08-03,2.9325,2.9375,2.865,2.9,193200
77.0,2005-08-04,2.9,2.9175,2.7525,2.77,51200
78.0,2005-08-05,2.8625,2.8625,2.705,2.7125,71200
79.0,2005-08-08,2.71,2.71,2.5,2.5975,157600
80.0,2005-08-09,2.725,2.725,2.56,2.5625,115600
81.0,2005-08-10,2.565,2.6125,2.4875,2.55,103200
82.0,2005-08-11,2.5875,2.5875,2.475,2.5,107600
83.0,2005-08-12,2.525,2.5625,2.485,2.53,172800
84.0,2005-08-15,2.5625,2.5625,2.5,2.5625,202800
85.0,2005-08-16,2.5625,2.625,2.5225,2.5625,561600
86.0,2005-08-17,2.5375,2.5875,2.4625,2.535,207600
87.0,2005-08-18,2.5275,2.925,2.5275,2.8875,280400
88.0,2005-08-19,2.935,3.055,2.935,2.9375,278000
89.0,2005-08-22,2.9725,3.0275,2.945,3.0225,100000
90.0,2005-08-23,3.0725,3.35,3.0,3.095,138000
91.0,2005-08-24,3.1875,3.23,3.05,3.08,395600
92.0,2005-08-25,3.08,3.135,3.025,3.085,346000
93.0,2005-08-26,3.0575,3.0675,2.915,2.9225,197600
94.0,2005-08-29,2.945,3.0375,2.9375,2.975,102400
95.0,2005-08-30,3.0,3.05,2.9875,3.025,201200
96.0,2005-08-31,3.085,3.11,3.035,3.11,134800
97.0,2005-09-01,3.1175,3.125,3.015,3.025,32800
98.0,2005-09-02,3.0125,3.1225,3.0125,3.105,94400
99.0,2005-09-06,3.07,3.145,3.07,3.145,71600
100.0,2005-09-07,3.13,3.155,3.06,3.125,141200
101.0,2005-09-08,3.1725,3.1975,3.05,3.0875,27200
102.0,2005-09-09,3.095,3.135,3.095,3.1125,30400
103.0,2005-09-12,3.0875,3.175,3.0625,3.0625,209200
104.0,2005-09-13,3.1025,3.1375,3.04,3.0775,811200
105.0,2005-09-14,3.115,3.1525,3.0875,3.12,763200
106.0,2005-09-15,3.1125,3.1125,3.075,3.1,139600
107.0,2005-09-16,3.1,3.1075,3.075,3.1075,372800
108.0,2005-09-19,3.1025,3.105,3.015,3.0325,35200
109.0,2005-09-20,3.0125,3.035,2.9575,2.99,76800
110.0,2005-09-21,3.0275,3.125,2.97,3.0775,97200
111.0,2005-09-22,3.06,3.06,3.0025,3.0475,44800
112.0,2005-09-23,3.0625,3.1425,3.0625,3.07,315200
113.0,2005-09-26,3.0625,3.1675,3.04,3.115,58800
114.0,2005-09-27,3.125,3.125,3.035,3.035,60000
115.0,2005-09-28,3.0175,3.025,2.875,2.935,197600
116.0,2005-09-29,2.8775,2.9425,2.875,2.9425,44400
117.0,2005-09-30,2.9225,2.94,2.875,2.905,412000
118.0,2005-10-03,2.8875,3.1375,2.8875,2.975,403600
119.0,2005-10-04,2.9625,3.1125,2.955,3.0375,422800
120.0,2005-10-05,3.015,3.025,2.9725,3.0025,237600
121.0,2005-10-06,3.0025,3.075,3.0,3.04,199200
122.0,2005-10-07,3.05,3.085,3.0425,3.0425,244400
123.0,2005-10-10,3.075,3.1,3.0,3.075,984000
124.0,2005-10-11,3.03,3.0375,2.8875,2.955,4295600
125.0,2005-10-12,2.92,2.94,2.7775,2.81,451200
126.0,2005-10-13,2.825,2.845,2.7075,2.71,519600
127.0,2005-10-14,2.7325,2.7525,2.6775,2.7525,382000
128.0,2005-10-17,2.7275,2.8775,2.5,2.855,292000
129.0,2005-10-18,2.8875,2.8975,2.8275,2.8525,106800
130.0,2005-10-19,2.825,2.955,2.825,2.93,84000
131.0,2005-10-20,2.935,2.935,2.8925,2.9025,148000
132.0,2005-10-21,2.8875,2.9375,2.8875,2.9375,240000
133.0,2005-10-24,2.905,2.9975,2.8925,2.99,2016000
134.0,2005-10-25,2.9975,3.1125,2.9725,3.1125,3508800
135.0,2005-10-26,3.1125,3.2125,3.025,3.1975,277600
136.0,2005-10-27,3.2425,3.2425,3.0725,3.11,550800
137.0,2005-10-28,3.125,3.1775,3.0875,3.1525,350000
138.0,2005-10-31,3.1575,3.285,3.1575,3.2525,784800
139.0,2005-11-01,3.2875,3.3875,3.2625,3.3625,1034800
140.0,2005-11-02,3.335,3.5,3.125,3.42,495600
141.0,2005-11-03,3.4275,3.475,3.425,3.45,213200
142.0,2005-11-04,3.44,3.4425,3.27,3.3175,131200
143.0,2005-11-07,3.35,3.355,3.275,3.275,96800
144.0,2005-11-08,3.2375,3.24,3.1875,3.215,106800
145.0,2005-11-09,3.23,3.355,3.23,3.3475,605200
146.0,2005-11-10,3.375,3.4,3.325,3.335,4755600
147.0,2005-11-11,3.325,3.425,3.325,3.3825,359600
148.0,2005-11-14,3.3825,3.5825,3.3825,3.53,295200
149.0,2005-11-15,3.5675,3.595,3.4475,3.4775,144400
150.0,2005-11-16,3.485,3.495,3.4525,3.475,154400
151.0,2005-11-17,3.44,3.5875,3.44,3.5475,308400
152.0,2005-11-18,3.615,3.615,3.495,3.5975,200000
153.0,2005-11-21,3.6225,3.75,3.61,3.72,165200
154.0,2005-11-22,3.75,3.7525,3.555,3.7525,207200
155.0,2005-11-23,3.7375,3.9125,3.705,3.8,201200
156.0,2005-11-25,3.8,3.85,3.7875,3.8,33200
157.0,2005-11-28,3.8175,3.8175,3.525,3.5275,366400
158.0,2005-11-29,3.6375,3.6875,3.48,3.49,280800
159.0,2005-11-30,3.5075,3.5625,3.475,3.505,299200
160.0,2005-12-01,3.5625,3.575,3.5,3.5075,345200
161.0,2005-12-02,3.5,3.6425,3.4725,3.6425,727600
162.0,2005-12-05,3.6,3.6375,3.5,3.535,158800
163.0,2005-12-06,3.5025,3.6,3.5,3.565,94800
164.0,2005-12-07,3.6,3.6,3.5725,3.575,48400
165.0,2005-12-08,3.5425,3.575,3.53,3.5575,52000
166.0,2005-12-09,3.54,3.625,3.54,3.6225,54000
167.0,2005-12-12,3.6125,3.715,3.5075,3.54,310400
168.0,2005-12-13,3.5675,3.5675,3.4975,3.525,84000
169.0,2005-12-14,3.4525,3.525,3.4525,3.5,110400
170.0,2005-12-15,3.5,3.82,3.5,3.82,378800
171.0,2005-12-16,3.8125,3.875,3.8,3.8575,304800
172.0,2005-12-19,3.8775,4.0425,3.85,3.9875,226800
173.0,2005-12-20,4.0,4.0175,3.99,3.9975,366800
174.0,2005-12-21,4.0225,4.0225,3.8525,3.89,172400
175.0,2005-12-22,3.8825,3.975,3.8525,3.8775,158400
176.0,2005-12-23,3.875,4.015,3.865,3.895,150800
177.0,2005-12-27,3.8675,3.9075,3.8675,3.8875,98400
178.0,2005-12-28,3.91,3.935,3.8775,3.9,89600
179.0,2005-12-29,3.91,3.9225,3.8025,3.8025,133600
180.0,2005-12-30,3.8225,3.8225,3.7075,3.73,154400
181.0,2006-01-03,3.7475,3.7475,3.625,3.625,162000
182.0,2006-01-04,3.66,3.95,3.65,3.8125,534800
183.0,2006-01-05,3.8575,3.96,3.7875,3.95,362800
184.0,2006-01-06,3.995,4.065,3.9125,3.9125,377600
185.0,2006-01-09,3.9375,4.05,3.895,3.895,436000
186.0,2006-01-10,3.8875,3.9425,3.8025,3.9025,122400
187.0,2006-01-11,3.9025,3.9425,3.85,3.855,56800
188.0,2006-01-12,3.855,4.0,3.7825,3.8125,201200
189.0,2006-01-13,3.775,3.9225,3.6875,3.77,341600
190.0,2006-01-17,3.7225,3.7575,3.65,3.6775,254400
191.0,2006-01-18,3.7075,3.7475,3.5775,3.675,284800
192.0,2006-01-19,3.735,3.8,3.6,3.7,225200
193.0,2006-01-20,3.7425,3.895,3.725,3.7675,1270800
194.0,2006-01-23,3.79,3.79,3.73,3.7475,297600
195.0,2006-01-24,3.77,3.7875,3.7,3.7175,190400
196.0,2006-01-25,3.7425,3.8975,3.725,3.8975,254400
197.0,2006-01-26,3.935,4.195,3.9225,4.075,576400
198.0,2006-01-27,4.075,4.1375,3.9725,4.06,173600
199.0,2006-01-30,4.05,4.5,3.9975,4.43,776000
200.0,2006-01-31,4.425,4.8575,4.3925,4.75,1590000
201.0,2006-02-01,4.75,4.75,4.57,4.6025,879200
202.0,2006-02-02,4.6025,4.6875,4.3375,4.5,870800
