,DateTime,Open,High,Low,Close,Volume
0,2002-04-08,15.5,15.5,14.9899997711182,14.9949998855591,599400
1,2002-04-09,15.0500001907349,15.0500001907349,14.664999961853,14.8149995803833,822400
2,2002-04-10,14.7749996185303,15.0,14.7749996185303,14.9499998092651,422600
3,2002-04-11,15.0500001907349,15.0649995803833,14.8950004577637,14.9399995803833,359000
4,2002-04-12,14.789999961853,14.789999961853,14.1549997329712,14.3900003433228,534400
5,2002-04-15,14.6599998474121,14.75,14.4499998092651,14.5249996185303,736400
6,2002-04-16,14.5749998092651,14.8500003814697,14.5749998092651,14.7749996185303,302400
7,2002-04-17,14.9750003814697,15.3100004196167,14.9750003814697,15.1949996948242,625000
8,2002-04-18,15.375,15.3950004577637,15.0749998092651,15.1499996185303,450800
9,2002-04-19,15.0799999237061,15.1999998092651,15.0550003051758,15.1599998474121,274800
10,2002-04-22,15.1350002288818,15.1499996185303,15.0249996185303,15.1300001144409,377600
11,2002-04-23,15.0299997329712,15.3800001144409,15.0299997329712,15.375,746400
12,2002-04-24,15.4499998092651,15.5200004577637,15.2150001525879,15.3000001907349,802600
13,2002-04-25,15.3000001907349,15.7449998855591,15.3000001907349,15.6549997329712,1003000
14,2002-04-26,15.75,15.8000001907349,15.5500001907349,15.6949996948242,1510600
15,2002-04-29,15.5799999237061,15.5799999237061,15.3299999237061,15.5249996185303,190800
16,2002-04-30,15.4750003814697,15.75,15.4750003814697,15.7250003814697,510800
17,2002-05-01,15.7250003814697,16.0300006866455,15.7150001525879,15.8500003814697,634800
18,2002-05-02,15.8249998092651,15.9350004196167,15.7550001144409,15.8900003433228,293200
19,2002-05-03,15.8900003433228,16.1800003051758,15.8649997711182,16.1000003814697,211400
20,2002-05-06,16.0249996185303,16.0249996185303,15.625,15.6750001907349,929600
21,2002-05-07,15.664999961853,15.6999998092651,15.3500003814697,15.4250001907349,549800
22,2002-05-08,31.73,31.77,31.66,31.74,6100
23,2002-05-09,7.94,8.0,7.89,7.89,754400
24,2002-05-10,7.92,7.94,7.8,7.86,518000
25,2002-05-13,7.8,7.85,7.68,7.74,875600
26,2002-05-14,7.75,7.85,7.69,7.84,596400
27,2002-05-15,7.66,7.76,7.54,7.6,1571200
28,2002-05-16,7.6,7.73,7.6,7.62,1204000
29,2002-05-17,7.64,7.74,7.6,7.64,2132800
30,2002-05-20,7.5,7.62,7.5,7.6,1480800
31,2002-05-21,7.61,7.66,7.54,7.56,1230400
32,2002-05-22,7.5,7.6,7.4,7.55,1126400
33,2002-05-23,7.54,7.75,7.54,7.71,1927200
34,2002-05-24,7.71,7.71,7.6,7.64,1194400
35,2002-05-28,7.7,7.7,7.57,7.63,582400
36,2002-05-29,7.6,7.67,7.58,7.62,2886000
37,2002-05-30,7.61,7.64,7.5,7.56,1070000
38,2002-05-31,7.6,7.7,7.57,7.67,3652819
39,2002-06-03,7.65,7.7,7.56,7.56,1236000
40,2002-06-04,7.59,7.62,7.48,7.5,660800
41,2002-06-05,7.47,7.47,7.4,7.42,670400
42,2002-06-06,7.44,7.5,7.4,7.42,1461200
43,2002-06-07,7.42,7.5,7.4,7.46,1075200
44,2002-06-10,7.46,7.51,7.28,7.28,985200
45,2002-06-11,7.26,7.35,7.11,7.11,939200
46,2002-06-12,7.1,7.4,7.08,7.3,1930800
47,2002-06-13,7.3,7.42,7.26,7.36,723600
48,2002-06-14,7.27,7.48,7.2,7.46,903200
49,2002-06-17,7.4,7.65,7.4,7.6,616800
50,2002-06-18,7.61,7.66,7.4,7.5,519600
51,2002-06-19,7.52,7.7,7.5,7.54,690000
52,2002-06-20,7.66,7.78,7.6,7.6,1186000
53,2002-06-21,7.66,7.75,7.66,7.75,1370000
54,2002-06-24,7.73,7.74,7.56,7.6,997200
55,2002-06-25,7.74,7.75,7.6,7.68,649200
56,2002-06-26,7.61,7.64,7.52,7.54,893200
57,2002-06-27,7.54,7.6,7.46,7.5,588400
58,2002-06-28,7.51,7.7,7.5,7.6,969600
59,2002-07-01,7.64,8.0,7.62,7.84,706800
60,2002-07-02,7.6,7.83,7.6,7.68,1589200
61,2002-07-03,7.7,7.7,7.48,7.59,883600
62,2002-07-05,7.69,7.81,7.6,7.79,414400
63,2002-07-08,7.8,7.9,7.71,7.72,635200
64,2002-07-09,7.73,7.8,7.69,7.75,383600
65,2002-07-10,7.75,7.75,7.55,7.58,1116800
66,2002-07-11,7.49,7.49,7.17,7.25,1759600
67,2002-07-12,7.25,7.3,7.09,7.13,1253200
68,2002-07-15,7.0,7.04,6.88,6.97,1953200
69,2002-07-16,6.96,7.14,6.85,6.99,1946000
70,2002-07-17,7.0,7.19,7.0,7.08,740000
71,2002-07-18,7.09,7.1,6.94,6.95,1696400
72,2002-07-19,6.94,6.94,6.72,6.78,986400
73,2002-07-22,6.56,6.72,6.32,6.35,1688000
74,2002-07-23,6.36,6.42,6.0,6.01,1901200
75,2002-07-24,5.9,6.76,5.89,6.74,1732400
76,2002-07-25,6.66,6.72,6.46,6.62,1059200
77,2002-07-26,6.64,6.65,6.4,6.6,1149200
78,2002-07-29,6.7,6.85,6.69,6.79,1140800
79,2002-07-30,6.79,7.0,6.79,6.95,532400
80,2002-07-31,6.93,7.1,6.8,7.0,1031600
81,2002-08-01,7.0,7.14,6.9,7.01,1387600
82,2002-08-02,7.06,7.14,7.03,7.1,1039600
83,2002-08-05,7.1,7.1,6.86,6.87,759200
84,2002-08-06,6.92,7.2,6.92,7.12,2849200
85,2002-08-07,7.09,7.1,6.99,7.04,2378000
86,2002-08-08,7.06,7.2,7.06,7.18,5226400
87,2002-08-09,7.2,7.2,7.1,7.2,7538000
88,2002-08-12,7.1,7.28,7.1,7.26,2262800
89,2002-08-13,7.22,7.4,7.2,7.3,2126000
90,2002-08-14,7.36,7.49,7.36,7.48,6974000
91,2002-08-15,7.49,7.66,7.48,7.65,1990000
92,2002-08-16,7.66,7.71,7.6,7.63,1017200
93,2002-08-19,7.62,7.73,7.49,7.55,932400
94,2002-08-20,7.48,7.7,7.47,7.68,997200
95,2002-08-21,7.69,7.74,7.6,7.64,852400
96,2002-08-22,7.6,7.72,7.6,7.7,903200
97,2002-08-23,7.66,7.67,7.4,7.48,949200
98,2002-08-26,7.49,7.6,7.4,7.58,530800
99,2002-08-27,7.68,7.71,7.6,7.63,1624000
100,2002-08-28,7.6,7.6,7.47,7.51,1721200
101,2002-08-29,7.44,7.46,7.28,7.33,876000
102,2002-08-30,7.3,7.42,7.28,7.35,807200
103,2002-09-03,7.3,7.3,7.1,7.18,652400
104,2002-09-04,7.18,7.26,7.09,7.16,1031200
105,2002-09-05,7.22,7.3,7.1,7.23,585600
106,2002-09-06,7.4,7.4,7.26,7.34,462400
107,2002-09-09,7.34,7.44,7.34,7.42,422400
108,2002-09-10,7.42,7.56,7.4,7.5,620400
109,2002-09-11,7.5,7.6,7.5,7.52,340800
110,2002-09-12,7.51,7.51,7.38,7.4,432400
111,2002-09-13,7.38,7.6,7.34,7.52,561200
112,2002-09-16,7.5,7.6,7.4,7.55,549200
113,2002-09-17,7.4,7.47,7.29,7.31,779600
114,2002-09-18,7.34,7.4,7.3,7.36,685600
115,2002-09-19,7.34,7.4,7.22,7.22,688800
116,2002-09-20,7.22,7.26,7.17,7.24,656000
117,2002-09-23,7.24,7.45,7.24,7.42,1618000
118,2002-09-24,7.41,7.44,7.25,7.34,2136000
119,2002-09-25,7.36,7.5,7.28,7.5,754800
120,2002-09-26,7.5,7.6,7.46,7.52,967200
121,2002-09-27,7.5,7.6,7.45,7.48,799600
122,2002-09-30,7.46,7.6,7.4,7.52,1321200
123,2002-10-01,7.53,7.55,7.4,7.5,1237600
124,2002-10-02,7.38,7.5,7.36,7.4,1438800
125,2002-10-03,7.36,7.4,7.29,7.4,985200
126,2002-10-04,7.39,7.42,7.3,7.32,2091600
127,2002-10-07,7.34,7.4,7.2,7.21,398400
128,2002-10-08,7.17,7.25,7.0,7.06,1231600
129,2002-10-09,6.99,6.99,6.72,6.74,1111600
130,2002-10-10,6.75,6.8,6.39,6.74,2663200
131,2002-10-11,6.82,6.94,6.7,6.86,888800
132,2002-10-14,6.81,7.1,6.8,7.05,945200
133,2002-10-15,7.15,7.43,7.1,7.38,1659600
134,2002-10-16,7.31,7.4,7.31,7.36,727200
135,2002-10-17,7.49,7.54,7.39,7.49,790800
136,2002-10-18,7.46,7.54,7.44,7.48,829600
137,2002-10-21,7.49,7.51,7.35,7.36,1170400
138,2002-10-22,7.2,7.28,6.96,7.01,1298400
139,2002-10-23,7.05,7.1,6.91,7.09,985264
140,2002-10-24,7.2,7.2,7.0,7.02,893600
141,2002-10-25,7.0,7.05,6.98,7.02,1792000
142,2002-10-28,7.06,7.12,7.06,7.1,1069200
143,2002-10-29,7.08,7.1,6.97,7.0,2320800
144,2002-10-30,7.08,7.22,7.0,7.17,1751200
145,2002-10-31,7.19,7.3,7.16,7.28,894295
146,2002-11-01,7.28,7.3,7.19,7.19,963200
147,2002-11-04,7.2,7.28,7.1,7.24,1146000
148,2002-11-05,7.18,7.26,7.08,7.14,1022800
149,2002-11-06,7.16,7.2,6.96,7.0,904400
150,2002-11-07,7.01,7.01,6.89,6.9,1290000
151,2002-11-08,6.93,7.02,6.88,6.97,1180400
152,2002-11-11,7.0,7.0,6.88,6.9,888400
153,2002-11-12,6.94,6.96,6.85,6.9,2774800
154,2002-11-13,6.8,6.84,6.55,6.62,1139600
155,2002-11-14,6.63,6.7,6.6,6.62,1664400
156,2002-11-15,6.6,6.75,6.55,6.73,1258800
157,2002-11-18,6.79,6.94,6.75,6.9,722800
158,2002-11-19,6.9,7.01,6.79,6.84,535600
159,2002-11-20,6.9,7.1,6.9,7.08,1046589
160,2002-11-21,7.14,7.22,7.1,7.13,1442000
161,2002-11-22,7.08,7.12,7.0,7.05,1195200
162,2002-11-25,7.05,7.12,6.94,6.97,675600
163,2002-11-26,6.94,6.94,6.69,6.69,780000
164,2002-11-27,6.75,6.87,6.73,6.82,4466000
165,2002-11-29,6.86,6.87,6.8,6.81,930000
166,2002-12-02,6.8,6.88,6.76,6.8,3804000
167,2002-12-03,6.87,7.06,6.87,7.0,834400
168,2002-12-04,6.95,7.01,6.9,6.98,1014800
169,2002-12-05,7.01,7.12,6.95,7.11,791600
170,2002-12-06,7.1,7.29,7.05,7.29,776141
171,2002-12-09,7.29,7.44,7.29,7.4,2192800
172,2002-12-10,7.39,7.46,7.33,7.36,1600800
173,2002-12-11,7.34,7.42,7.22,7.29,660000
174,2002-12-12,7.29,7.6,7.25,7.54,2132098
175,2002-12-13,7.52,7.74,7.52,7.74,1309600
176,2002-12-16,7.75,8.0,7.75,7.96,2121330
177,2002-12-17,7.96,8.07,7.9,8.0,1167600
178,2002-12-18,7.96,8.0,7.74,7.79,1452400
179,2002-12-19,7.84,7.89,7.68,7.71,1401200
180,2002-12-20,7.74,7.74,7.6,7.67,1557600
