,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,8.923,8.985,8.297,8.422,146924
1,2000-01-04,8.469,8.469,8.093,8.312,61561
2,2000-01-05,8.359,8.516,8.171,8.484,82253
3,2000-01-06,8.453,8.485,8.25,8.453,49312
4,2000-01-07,8.438,8.656,8.376,8.656,37539
5,2000-01-10,8.563,8.875,8.438,8.469,80800
6,2000-01-11,8.422,8.453,8.234,8.39,61093
7,2000-01-12,8.282,8.406,8.22,8.344,77086
8,2000-01-13,8.422,8.61,8.359,8.453,62881
9,2000-01-14,8.282,8.375,8.221,8.313,69832
10,2000-01-18,8.172,8.422,8.172,8.39,80755
11,2000-01-19,8.453,8.704,8.422,8.673,70665
12,2000-01-20,8.703,9.423,8.703,9.235,96635
13,2000-01-21,9.279,9.565,8.961,9.406,98537
14,2000-01-24,9.25,9.437,9.095,9.095,116791
15,2000-01-25,9.0,9.125,8.688,8.844,74399
16,2000-01-26,8.765,9.046,8.485,8.516,105590
17,2000-01-27,8.562,8.75,8.5,8.625,66400
18,2000-01-28,8.672,8.86,8.515,8.734,47319
19,2000-01-31,8.781,8.875,8.5,8.625,55000
20,2000-02-01,8.784,8.784,8.531,8.563,92970
21,2000-02-02,8.531,8.782,8.531,8.75,80113
22,2000-02-03,8.766,8.766,8.579,8.735,44479
23,2000-02-04,8.735,8.829,8.704,8.829,69314
24,2000-02-07,8.75,8.843,8.688,8.781,59417
25,2000-02-08,8.734,8.828,8.61,8.641,59100
26,2000-02-09,8.821,8.948,8.25,8.25,120748
27,2000-02-10,8.344,8.47,8.062,8.407,60162
28,2000-02-11,8.184,8.431,7.69,7.844,126898
29,2000-02-14,7.797,7.954,7.641,7.828,138520
30,2000-02-15,7.922,7.953,7.734,7.859,260687
31,2000-02-16,7.922,8.265,7.735,7.766,86573
32,2000-02-17,7.375,7.719,7.375,7.719,155997
33,2000-02-18,7.657,7.751,7.532,7.563,105596
34,2000-02-22,7.624,7.72,7.497,7.656,115094
35,2000-02-23,7.593,7.655,7.469,7.531,52837
36,2000-02-24,7.64,7.64,7.422,7.422,78562
37,2000-02-25,7.407,7.531,7.407,7.5,44976
38,2000-02-28,7.563,7.69,7.531,7.563,36583
39,2000-02-29,7.744,8.252,7.712,8.125,156951
40,2000-03-01,7.999,8.03,7.751,7.813,66122
41,2000-03-02,7.848,8.281,7.848,8.188,59475
42,2000-03-03,8.063,8.157,7.844,7.844,61600
43,2000-03-06,7.797,7.954,7.734,7.828,43510
44,2000-03-07,7.569,7.813,7.569,7.813,48333
45,2000-03-08,8.026,8.345,7.963,8.313,74560
46,2000-03-09,8.234,8.296,8.14,8.172,118028
47,2000-03-10,7.804,7.834,7.347,7.438,134700
48,2000-03-13,7.437,7.687,7.375,7.406,89000
49,2000-03-14,7.438,7.594,7.375,7.375,76800
50,2000-03-15,7.313,7.468,7.282,7.375,57883
51,2000-03-16,7.453,7.735,7.453,7.735,183223
52,2000-03-17,7.656,7.97,7.625,7.907,112139
53,2000-03-20,8.096,8.096,7.844,7.844,65671
54,2000-03-21,7.812,8.126,7.781,8.063,73703
55,2000-03-22,8.141,8.454,8.141,8.423,109786
56,2000-03-23,8.36,9.171,8.36,8.953,263452
57,2000-03-24,8.969,9.377,8.906,9.157,277618
58,2000-03-27,9.125,9.156,8.907,8.97,59399
59,2000-03-28,8.75,9.212,8.688,8.688,122123
60,2000-03-29,8.766,9.016,8.766,8.954,112201
61,2000-03-30,8.907,9.032,8.844,8.938,42400
62,2000-03-31,8.469,8.469,7.969,7.969,197239
63,2000-04-03,7.886,8.687,7.886,8.625,117281
64,2000-04-04,8.745,9.125,8.555,9.125,180106
65,2000-04-05,9.218,9.343,8.844,8.938,125630
66,2000-04-06,9.0,9.094,8.843,8.843,162625
67,2000-04-07,8.907,9.219,8.813,8.938,80999
68,2000-04-10,8.969,8.969,8.595,8.595,99347
69,2000-04-11,8.548,8.922,8.485,8.703,46879
70,2000-04-12,8.719,8.75,8.688,8.719,30307
71,2000-04-13,8.625,8.781,8.469,8.75,42200
72,2000-04-14,8.734,9.11,8.734,8.954,61894
73,2000-04-17,8.906,9.062,8.812,9.0,82000
74,2000-04-18,8.969,9.032,8.781,8.938,102640
75,2000-04-19,9.001,9.126,8.813,8.813,36200
76,2000-04-20,8.812,8.937,8.781,8.781,31313
77,2000-04-24,8.781,8.875,8.594,8.626,79281
78,2000-04-25,8.996,9.313,8.933,9.313,195920
79,2000-04-26,9.421,9.421,8.797,9.047,261848
80,2000-04-27,9.093,9.282,8.874,9.125,186163
81,2000-04-28,9.156,9.187,9.0,9.156,98800
82,2000-05-01,9.094,9.25,9.0,9.094,180596
83,2000-05-02,9.141,9.172,8.985,9.016,73523
84,2000-05-03,8.922,8.953,8.766,8.891,53293
85,2000-05-04,8.938,8.938,8.781,8.875,28600
86,2000-05-05,8.937,9.064,8.78,8.969,188018
87,2000-05-08,9.033,9.128,8.874,8.906,354168
88,2000-05-09,8.797,8.985,8.766,8.859,76469
89,2000-05-10,8.751,8.875,8.627,8.813,73363
90,2000-05-11,9.024,9.503,8.897,9.375,129752
91,2000-05-12,9.469,9.501,9.0,9.063,110798
92,2000-05-15,9.0,9.313,8.75,9.188,78998
93,2000-05-16,9.203,9.453,9.015,9.14,96838
94,2000-05-17,9.031,9.188,8.969,9.0,172200
95,2000-05-18,9.093,9.156,8.906,8.906,62800
96,2000-05-19,8.969,9.0,8.624,8.749,80718
97,2000-05-22,8.563,9.001,8.532,8.938,301587
98,2000-05-23,8.797,8.984,8.797,8.891,137841
99,2000-05-24,9.12,9.5,9.088,9.5,112695
100,2000-05-25,9.438,9.5,8.875,9.0,107600
101,2000-05-26,9.063,9.688,9.0,9.688,299990
102,2000-05-30,9.907,11.876,9.844,11.844,555252
103,2000-05-31,11.516,11.579,11.016,11.047,634699
104,2000-06-01,10.75,11.25,10.719,11.125,335600
105,2000-06-02,11.125,11.125,10.625,10.75,105200
106,2000-06-05,10.842,10.873,10.532,10.656,158594
107,2000-06-06,10.814,10.971,10.624,10.656,114178
108,2000-06-07,10.719,10.908,10.593,10.719,126077
109,2000-06-08,10.704,10.704,10.516,10.672,29354
110,2000-06-09,10.734,10.734,10.422,10.641,49873
111,2000-06-12,10.688,10.876,10.688,10.813,305788
112,2000-06-13,10.812,10.874,10.596,10.75,159032
113,2000-06-14,10.685,10.809,10.5,10.5,80549
114,2000-06-15,10.1,10.462,9.979,10.281,120708
115,2000-06-16,10.313,10.468,10.313,10.406,205015
116,2000-06-19,10.453,10.516,10.328,10.453,59507
117,2000-06-20,10.453,10.484,10.266,10.391,138601
118,2000-06-21,10.438,10.469,10.375,10.375,53400
119,2000-06-22,10.306,10.306,9.875,9.875,84921
120,2000-06-23,9.828,10.267,9.766,10.173,115610
121,2000-06-26,10.171,10.484,10.171,10.391,120618
122,2000-06-27,10.39,10.672,10.39,10.641,244045
123,2000-06-28,10.672,10.86,10.64,10.86,336513
124,2000-06-29,11.063,11.063,10.969,10.969,127199
125,2000-06-30,11.004,11.004,10.91,10.941,169605
126,2000-07-03,10.938,10.969,10.813,10.938,63199
127,2000-07-05,10.906,11.093,10.75,10.781,61400
128,2000-07-06,10.844,11.125,10.844,11.031,103400
129,2000-07-07,11.031,11.125,11.0,11.125,123000
130,2000-07-10,11.078,11.141,10.953,10.984,68700
131,2000-07-11,10.985,11.141,10.891,11.047,203498
132,2000-07-12,10.922,11.079,10.891,11.079,247747
133,2000-07-13,10.938,11.219,10.813,11.094,122999
134,2000-07-14,10.984,12.267,10.953,11.954,338132
135,2000-07-17,11.594,11.719,11.344,11.594,131600
136,2000-07-18,11.628,11.723,11.438,11.438,56812
137,2000-07-19,11.375,11.469,11.282,11.406,33900
138,2000-07-20,11.313,11.5,11.156,11.219,96000
139,2000-07-21,11.141,11.421,11.141,11.421,272784
140,2000-07-24,11.469,11.469,10.938,10.938,69999
141,2000-07-25,10.984,11.109,10.672,11.016,191878
142,2000-07-26,10.969,11.188,10.782,11.188,201394
143,2000-07-27,10.934,11.026,10.658,10.719,35806
144,2000-07-28,10.719,10.904,10.657,10.719,62925
145,2000-07-31,11.029,11.125,10.741,11.125,79388
146,2000-08-01,10.689,10.842,10.567,10.75,93118
147,2000-08-02,10.781,11.25,10.781,11.156,34200
148,2000-08-03,11.187,11.469,11.062,11.469,93738
149,2000-08-04,11.453,11.704,11.453,11.704,58915
150,2000-08-07,11.687,11.687,11.563,11.687,43319
151,2000-08-08,11.468,11.591,11.375,11.375,76834
152,2000-08-09,11.267,11.64,11.049,11.64,114264
153,2000-08-10,11.563,11.563,11.22,11.22,33295
154,2000-08-11,11.094,11.5,11.094,11.469,52400
155,2000-08-14,11.469,11.719,11.469,11.719,68400
156,2000-08-15,11.75,12.062,11.688,12.0,212800
157,2000-08-16,12.0,12.032,11.688,11.969,141198
158,2000-08-17,11.969,11.969,11.813,11.938,89999
159,2000-08-18,11.876,12.001,11.813,11.813,73799
160,2000-08-21,11.812,11.938,11.688,11.875,70000
161,2000-08-22,11.812,12.062,11.75,12.0,107600
162,2000-08-23,12.048,12.701,12.048,12.577,246545
163,2000-08-24,12.703,12.829,12.546,12.703,134707
164,2000-08-25,12.75,12.938,12.5,12.938,79800
165,2000-08-28,12.812,13.25,12.812,13.125,187000
166,2000-08-29,13.047,13.203,13.015,13.047,234675
167,2000-08-30,12.953,13.078,12.767,12.985,81893
168,2000-08-31,13.191,13.254,12.937,12.969,276534
169,2000-09-01,12.78,12.78,12.443,12.688,78313
170,2000-09-05,12.969,12.969,12.656,12.718,131883
171,2000-09-06,12.719,13.031,12.688,12.844,173212
172,2000-09-07,13.688,14.5,13.625,14.5,400600
173,2000-09-08,14.469,14.688,14.188,14.688,324395
174,2000-09-11,14.687,15.187,14.375,14.531,380803
175,2000-09-12,14.672,14.672,14.203,14.265,141057
176,2000-09-13,13.91,14.217,13.91,14.094,189911
177,2000-09-14,14.157,14.969,14.157,14.688,148398
178,2000-09-15,14.218,14.72,14.218,14.469,180614
179,2000-09-18,14.515,14.578,14.39,14.515,94502
180,2000-09-19,14.547,14.86,14.547,14.86,191602
181,2000-09-20,14.824,15.043,14.792,15.011,152083
182,2000-09-21,14.563,14.908,14.469,14.532,124928
183,2000-09-22,14.484,14.547,14.234,14.547,65072
184,2000-09-25,14.469,14.469,13.813,13.813,56400
185,2000-09-26,13.719,13.97,13.531,13.657,193552
186,2000-09-27,13.623,13.747,13.439,13.531,72192
187,2000-09-28,13.179,14.148,13.179,14.148,229818
188,2000-09-29,14.546,15.173,14.546,14.829,309803
189,2000-10-02,14.751,15.125,14.751,15.0,268357
190,2000-10-03,14.859,15.484,14.859,15.296,231839
191,2000-10-04,15.189,15.623,15.127,15.406,213730
192,2000-10-05,15.282,15.501,15.282,15.313,70600
193,2000-10-06,15.185,15.495,14.813,14.813,201882
194,2000-10-09,14.734,15.644,14.672,15.017,110649
195,2000-10-10,14.984,15.297,14.984,15.266,102102
196,2000-10-11,15.376,16.187,15.376,15.969,162719
197,2000-10-12,15.828,16.798,15.828,16.173,223583
198,2000-10-13,16.141,16.421,15.829,16.297,110926
199,2000-10-16,16.344,16.469,15.845,16.344,201172
200,2000-10-17,16.313,16.375,16.031,16.094,116600
201,2000-10-18,16.032,16.251,15.813,15.813,91599
202,2000-10-19,15.766,16.015,15.704,15.766,174117
203,2000-10-20,15.594,15.968,15.594,15.906,140600
204,2000-10-23,15.797,15.797,15.453,15.453,46359
205,2000-10-24,15.469,15.469,14.875,14.938,100000
206,2000-10-25,15.138,15.138,13.593,13.719,387628
207,2000-10-26,13.734,14.203,13.734,14.11,239144
208,2000-10-27,14.109,14.329,14.047,14.203,113815
209,2000-10-30,14.234,14.234,13.922,14.141,89091
210,2000-10-31,14.266,14.423,14.141,14.297,284688
211,2000-11-01,14.391,14.641,14.391,14.484,57742
212,2000-11-02,14.454,14.828,14.454,14.734,90890
213,2000-11-03,14.657,14.688,14.532,14.532,44113
214,2000-11-06,14.516,14.61,14.328,14.328,43156
215,2000-11-07,14.344,14.344,14.188,14.313,26800
216,2000-11-08,14.313,14.501,14.157,14.188,51200
217,2000-11-09,14.186,14.533,14.123,14.344,47385
218,2000-11-10,14.406,14.406,14.125,14.125,35800
219,2000-11-13,14.15,14.938,14.15,14.938,121177
220,2000-11-14,14.906,14.938,14.813,14.875,109025
221,2000-11-15,14.844,15.063,14.813,14.969,108624
222,2000-11-16,14.75,15.376,14.75,15.188,237394
223,2000-11-17,15.281,15.5,15.188,15.5,357400
224,2000-11-20,15.374,15.467,15.25,15.25,140746
225,2000-11-21,15.281,15.469,15.25,15.469,54400
226,2000-11-22,15.454,15.579,15.298,15.454,140934
227,2000-11-24,15.485,15.704,15.485,15.672,48153
228,2000-11-27,15.813,15.907,15.719,15.813,202996
229,2000-11-28,15.828,15.828,15.329,15.329,53451
230,2000-11-29,15.183,15.183,14.719,14.781,62246
231,2000-11-30,14.311,14.612,14.191,14.281,105406
232,2000-12-01,14.406,15.125,14.406,15.031,100200
233,2000-12-04,15.156,15.844,15.125,15.375,206200
234,2000-12-05,15.127,15.437,15.127,15.406,224618
235,2000-12-06,15.437,15.562,14.626,14.626,83365
236,2000-12-07,14.626,14.626,14.282,14.438,114999
237,2000-12-08,14.469,14.594,14.25,14.438,414991
238,2000-12-11,14.438,14.438,13.031,13.969,558598
239,2000-12-12,13.969,14.375,13.75,14.25,723000
240,2000-12-13,14.266,14.829,14.172,14.172,317843
241,2000-12-14,14.187,14.187,13.781,13.906,109000
242,2000-12-15,13.89,13.984,13.765,13.797,112321
243,2000-12-18,14.019,15.032,14.019,15.0,374482
244,2000-12-19,15.097,15.746,14.911,15.375,245661
245,2000-12-20,15.375,16.125,15.375,15.406,180600
246,2000-12-21,15.438,15.75,15.219,15.219,77400
247,2000-12-22,15.063,15.843,14.876,15.219,222047
248,2000-12-26,15.376,15.593,15.314,15.469,236295
249,2000-12-27,15.562,16.375,15.469,16.375,172000
250,2000-12-28,16.469,16.719,16.25,16.719,136200
251,2000-12-29,16.983,17.015,16.094,16.094,125626
252,2001-01-02,16.109,16.234,15.421,15.64,165242
253,2001-01-03,15.594,15.813,15.405,15.688,182663
254,2001-01-04,15.766,15.766,14.265,14.39,367233
255,2001-01-05,14.464,14.939,14.369,14.844,112351
256,2001-01-08,15.186,15.186,14.694,15.063,174843
257,2001-01-09,14.984,15.203,14.984,15.141,150746
258,2001-01-10,15.0,15.124,14.814,15.031,204487
259,2001-01-11,15.125,15.405,14.906,14.937,142091
260,2001-01-12,14.953,15.173,14.546,14.609,178227
261,2001-01-16,14.781,14.781,13.969,14.406,211800
262,2001-01-17,14.469,14.594,14.22,14.22,192202
263,2001-01-18,14.251,14.251,13.813,13.938,175799
264,2001-01-19,13.937,14.031,13.781,13.781,223491
265,2001-01-22,13.728,14.718,13.697,14.656,138865
266,2001-01-23,14.656,15.438,14.656,15.25,216800
267,2001-01-24,15.14,15.516,15.015,15.015,105903
268,2001-01-25,15.108,15.108,14.548,14.548,137842
269,2001-01-26,14.625,14.813,14.313,14.469,202000
270,2001-01-29,14.595,14.94,14.5,14.705,107800
271,2001-01-30,14.885,15.251,14.885,15.06,85648
272,2001-01-31,14.868,15.096,14.625,14.625,153897
