,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,210.0,211.88,162.5,178.75,133120
1,2000-01-04,158.9,198.31,156.4,177.35,99000
2,2000-01-05,191.88,204.06,177.5,202.5,148940
3,2000-01-06,264.36,283.06,234.43,249.39,429261
4,2000-01-07,264.63,272.84,231.16,240.0,191413
5,2000-01-10,258.12,260.0,235.0,254.38,135010
6,2000-01-11,277.16,357.87,262.77,329.71,307960
7,2000-01-12,346.25,349.38,293.75,312.5,139580
8,2000-01-13,329.06,457.5,292.5,430.62,222330
9,2000-01-14,385.0,422.19,370.0,396.25,169800
10,2000-01-18,421.25,540.0,400.0,500.0,290080
11,2000-01-19,501.89,549.33,468.18,520.61,212122
12,2000-01-20,545.93,559.67,511.58,520.94,117712
13,2000-01-21,470.0,500.0,447.5,449.37,142490
14,2000-01-24,476.59,489.1,370.26,402.16,219801
15,2000-01-25,391.25,391.25,350.0,370.0,175430
16,2000-01-26,381.25,404.38,368.75,391.88,105770
17,2000-01-27,390.32,424.66,381.57,399.06,101688
18,2000-01-28,399.37,399.37,361.87,374.37,57150
19,2000-01-31,365.64,370.65,311.8,343.11,138274
20,2000-02-01,355.63,362.5,315.0,330.0,56520
21,2000-02-02,334.36,351.3,323.7,340.01,71888
22,2000-02-03,367.48,398.83,346.16,381.27,119180
23,2000-02-04,399.38,417.83,380.93,383.43,81826
24,2000-02-07,414.38,440.0,392.5,430.0,125650
25,2000-02-08,449.69,469.06,435.95,468.43,91299
26,2000-02-09,480.0,483.12,450.0,457.5,74010
27,2000-02-10,451.25,472.5,435.0,452.5,53200
28,2000-02-11,457.82,457.82,426.55,437.81,48282
29,2000-02-14,432.66,448.89,418.3,433.91,44718
30,2000-02-15,434.23,435.48,400.44,416.08,49190
31,2000-02-16,416.87,427.5,401.25,401.87,27520
32,2000-02-17,407.82,429.02,399.09,415.93,52110
33,2000-02-18,420.32,420.32,391.55,398.43,46807
34,2000-02-22,390.0,395.0,350.0,360.62,74410
35,2000-02-23,360.3,405.34,357.17,389.07,49093
36,2000-02-24,416.9,459.34,409.41,450.6,135644
37,2000-02-25,526.64,678.89,519.15,615.24,466088
38,2000-02-28,685.53,1015.78,675.52,934.47,540368
39,2000-02-29,911.66,919.79,791.44,809.59,220591
40,2000-03-01,803.13,910.0,710.0,840.0,212030
41,2000-03-02,882.5,920.0,800.0,817.5,111280
42,2000-03-03,880.96,890.97,814.64,835.91,48720
43,2000-03-06,883.75,921.31,844.32,878.75,72809
44,2000-03-07,889.98,977.92,840.71,871.89,110965
45,2000-03-08,918.75,918.75,830.0,870.0,68580
46,2000-03-09,871.51,954.15,852.1,932.87,91352
47,2000-03-10,942.5,960.62,885.0,905.0,56730
48,2000-03-13,839.4,924.34,819.42,921.85,64968
49,2000-03-14,940.61,1130.73,938.73,983.14,225043
50,2000-03-15,1103.09,1113.21,1027.18,1053.75,107617
51,2000-03-16,1086.31,1115.72,931.13,981.19,124872
52,2000-03-17,956.61,1036.33,937.93,985.26,42443
53,2000-03-20,970.3,993.41,869.71,877.2,84852
54,2000-03-21,834.68,899.03,644.75,800.32,213980
55,2000-03-22,814.65,894.57,802.88,881.56,78121
56,2000-03-23,917.82,932.82,852.8,879.06,53410
57,2000-03-24,887.79,897.78,820.36,839.71,46908
58,2000-03-27,883.77,901.3,841.21,852.48,32937
59,2000-03-28,839.36,851.23,799.39,809.39,38597
60,2000-03-29,800.96,810.96,697.79,698.42,110100
61,2000-03-30,650.63,744.38,640.63,690.0,116820
62,2000-03-31,736.25,736.25,630.0,655.0,98900
63,2000-04-03,682.51,690.13,537.89,553.75,129954
64,2000-04-04,528.75,530.0,341.25,513.12,261310
65,2000-04-05,430.29,547.87,422.78,499.71,85227
66,2000-04-06,539.38,599.38,511.25,575.0,89710
67,2000-04-07,629.69,655.71,609.38,650.0,56645
68,2000-04-10,685.35,695.35,540.27,547.15,102440
69,2000-04-11,458.13,573.75,450.63,510.0,121600
70,2000-04-12,481.34,531.48,416.16,418.66,127447
71,2000-04-13,418.12,462.5,390.0,400.0,113390
72,2000-04-14,360.25,390.27,295.21,312.72,176504
73,2000-04-17,218.49,316.37,215.96,305.0,179754
74,2000-04-18,328.97,380.45,281.25,372.28,150626
75,2000-04-19,400.34,415.36,330.28,330.28,127153
76,2000-04-20,389.36,389.36,339.02,357.5,101885
77,2000-04-24,280.09,312.81,274.17,291.0,120908
78,2000-04-25,320.0,350.0,307.5,339.37,90210
79,2000-04-26,353.41,354.66,300.96,302.84,101334
80,2000-04-27,280.0,316.88,270.0,314.38,113990
81,2000-04-28,325.31,335.32,305.29,325.31,111196
82,2000-05-01,340.62,375.0,330.0,340.0,140170
