Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2020-11-02,10.03,10.08,10.01,10.07,762463
1.0,2020-11-03,10.09,10.09,10.01,10.09,1072114
2.0,2020-11-04,10.08,10.09,10.06,10.09,1266789
3.0,2020-11-05,10.08,10.12,10.08,10.11,1705171
4.0,2020-11-06,10.06,10.29,10.06,10.25,4239456
5.0,2020-11-09,10.15,10.17,10.1,10.16,2485017
6.0,2020-11-10,10.16,10.27,10.085,10.21,3451190
7.0,2020-11-11,10.1,10.43,10.09,10.43,1078227
8.0,2020-11-12,10.44,10.58,10.29,10.52,754455
9.0,2020-11-13,10.6,11.0,10.42,10.82,728408
10.0,2020-11-16,11.0,11.01,10.68,10.68,686078
11.0,2020-11-17,10.5,10.85,10.325,10.59,523611
12.0,2020-11-18,11.3,12.5,11.26,12.14,2869460
13.0,2020-11-19,12.56,13.47,12.29,12.6,1897833
14.0,2020-11-20,12.98,14.46,12.9235,14.07,2066832
15.0,2020-11-23,14.65,16.11,14.355,15.45,2146576
16.0,2020-11-24,16.09,16.28,13.65,14.13,2280328
17.0,2020-11-25,14.5,15.83,14.3,15.0,2068199
18.0,2020-11-27,15.84,15.98,14.7172,14.99,1367394
19.0,2020-11-30,15.15,15.4281,13.82,15.07,1145259
20.0,2020-12-01,14.97,15.2298,13.26,13.77,1724733
21.0,2020-12-02,13.6263,14.5,12.825,13.81,981104
22.0,2020-12-03,13.87,15.0,13.55,14.45,889614
23.0,2020-12-04,15.02,15.11,13.65,14.56,994210
24.0,2020-12-07,14.98,15.55,14.7,15.35,1132526
25.0,2020-12-08,14.89,15.13,13.86,14.43,1204868
26.0,2020-12-09,15.18,16.24,14.11,14.66,1283540
27.0,2020-12-10,14.97,15.47,14.44,15.4,757631
28.0,2020-12-11,15.06,15.3,14.45,14.65,725340
29.0,2020-12-14,14.65,14.96,14.02,14.63,460549
30.0,2020-12-15,14.55,15.0,14.33,14.78,630303
31.0,2020-12-16,14.63,15.13,14.42,14.62,802133
32.0,2020-12-17,14.41,14.7239,14.15,14.56,718790
33.0,2020-12-18,14.56,14.73,13.91,14.56,858387
34.0,2020-12-21,14.05,15.25,14.02,15.11,1083031
35.0,2020-12-22,16.2,16.2,15.29,16.0,1857697
36.0,2020-12-23,15.75,23.5,15.66,23.13,4930211
37.0,2020-12-24,21.17,21.845,18.7,19.23,1751104
38.0,2020-12-28,20.17,23.15,20.17,22.47,2581914
39.0,2020-12-29,22.04,23.995,19.5,23.74,2018427
40.0,2020-12-30,23.17,25.8,22.09,23.15,4440530
41.0,2020-12-31,22.94,23.79,20.82,20.84,1590252
42.0,2021-01-04,22.49,24.2,20.42,23.9,2007691
43.0,2021-01-05,22.33,23.64,21.51,23.09,1177018
44.0,2021-01-06,23.85,26.2769,22.91,23.13,1448943
45.0,2021-01-07,24.5861,26.9,24.13,26.56,1143805
46.0,2021-01-08,27.2,31.03,25.69,28.83,1960385
47.0,2021-01-11,28.0,31.765,26.5,30.22,1382422
48.0,2021-01-12,30.98,31.68,29.8,30.44,841279
49.0,2021-01-13,31.84,31.9516,28.1,28.41,1156946
50.0,2021-01-14,28.5714,29.49,22.28,24.56,4886717
51.0,2021-01-15,24.1,24.98,21.1,23.03,3135204
52.0,2021-01-19,24.0,26.29,23.5,26.2,1578371
53.0,2021-01-20,25.25,27.75,25.08,26.55,1208245
54.0,2021-01-21,26.29,26.3587,24.6,24.95,843519
55.0,2021-01-22,22.9209,24.5199,22.8439,23.48,1255860
56.0,2021-01-25,23.05,23.15,21.57,21.9,1667684
57.0,2021-01-26,22.47,24.34,21.9611,23.11,1280192
58.0,2021-01-27,22.19,23.72,21.6914,22.57,907912
59.0,2021-01-28,22.58,23.84,22.5,23.45,691534
60.0,2021-01-29,23.47,23.83,21.81,22.35,700532
61.0,2021-02-01,22.47,23.91,22.12,23.22,660371
62.0,2021-02-02,23.21,24.9,23.21,24.57,719941
63.0,2021-02-03,24.53,25.49,24.1441,25.17,406569
64.0,2021-02-04,25.51,26.3,24.9966,25.53,421828
65.0,2021-02-05,25.24,26.0,24.115,25.09,325463
66.0,2021-02-08,25.26,25.84,23.9,24.44,551161
67.0,2021-02-09,24.01,25.73,23.61,24.73,684448
68.0,2021-02-10,25.4881,25.75,24.05,24.81,671634
69.0,2021-02-11,25.0,26.48,23.085,26.24,1283176
70.0,2021-02-12,25.9244,26.88,25.4101,25.49,366435
71.0,2021-02-16,26.19,26.47,23.88,24.31,758974
72.0,2021-02-17,24.25,24.65,23.25,23.83,510193
73.0,2021-02-18,23.58,24.19,22.4,23.17,1121449
74.0,2021-02-19,23.91,23.99,23.26,23.57,521023
75.0,2021-02-22,24.48,25.16,22.6,23.07,873124
76.0,2021-02-23,22.5,22.8837,20.3,22.26,1266254
77.0,2021-02-24,22.91,23.17,21.51,21.93,695595
78.0,2021-02-25,22.3,22.425,19.0,19.18,1153077
79.0,2021-02-26,19.76,21.6,19.07,21.26,1190978
80.0,2021-03-01,22.3,22.45,20.7665,21.08,641716
81.0,2021-03-02,21.15,22.37,20.64,21.97,477144
82.0,2021-03-03,22.15,22.15,19.7,19.87,740054
83.0,2021-03-04,19.51,20.28,16.22,18.13,1708083
84.0,2021-03-05,17.97,18.0,15.0001,17.62,1409213
85.0,2021-03-08,17.6,17.9099,15.22,15.5,989082
86.0,2021-03-09,16.5,17.25,15.735,15.85,655162
87.0,2021-03-10,16.33,17.5,16.05,17.34,1135736
88.0,2021-03-11,17.61,19.05,17.4122,19.0,512577
89.0,2021-03-12,18.5,19.05,17.9,18.98,318221
90.0,2021-03-15,19.16,20.37,19.0,19.9,643451
91.0,2021-03-16,19.68,21.2,19.41,20.07,901887
92.0,2021-03-17,19.1,21.57,19.0,21.52,888860
93.0,2021-03-18,21.25,21.33,19.36,19.75,877556
94.0,2021-03-19,20.0,22.08,19.7525,21.91,2793481
95.0,2021-03-22,21.62,21.99,19.98,20.22,1200650
96.0,2021-03-23,20.19,20.295,18.58,18.79,1091905
97.0,2021-03-24,18.99,19.19,18.5301,18.93,1100430
98.0,2021-03-25,18.27,18.46,16.85,17.46,1562525
99.0,2021-03-26,17.8,18.91,17.77,18.0,727647
100.0,2021-03-29,17.74,18.5,17.72,18.1,503866
101.0,2021-03-30,17.8,18.4648,16.87,18.31,1458408
102.0,2021-03-31,18.73,19.92,18.46,19.72,487669
103.0,2021-04-01,19.84,20.04,17.73,18.14,641367
104.0,2021-04-05,18.16,19.19,18.16,18.86,527180
105.0,2021-04-06,18.71,19.16,17.35,17.45,939166
106.0,2021-04-07,17.45,17.69,16.86,16.96,815359
107.0,2021-04-08,17.09,17.1,16.41,16.74,881222
108.0,2021-04-09,16.75,17.24,16.57,17.15,209293
109.0,2021-04-12,17.22,17.2365,16.185,16.41,309759
110.0,2021-04-13,16.34,16.8455,15.425,15.47,503672
111.0,2021-04-14,16.0,16.4992,15.38,15.6,645330
112.0,2021-04-15,15.6,15.88,14.62,14.74,737924
113.0,2021-04-16,14.91,15.14,14.21,14.34,502270
114.0,2021-04-19,14.5,14.54,13.33,13.39,758513
115.0,2021-04-20,13.3,13.35,12.13,12.73,1088155
116.0,2021-04-21,12.6,13.2,12.1,13.11,732593
117.0,2021-04-22,13.56,13.7,12.91,13.35,567319
118.0,2021-04-23,13.77,14.19,13.31,13.71,478599
119.0,2021-04-26,13.8847,14.57,13.42,14.33,295821
120.0,2021-04-27,14.5,14.54,13.86,14.34,251646
121.0,2021-04-28,14.2,14.54,13.94,14.28,267734
122.0,2021-04-29,14.44,14.6,13.92,14.25,150994
123.0,2021-04-30,14.25,14.25,12.825,13.15,632228
124.0,2021-05-03,13.18,13.86,13.18,13.42,375574
125.0,2021-05-04,13.2,13.25,12.06,12.66,864079
126.0,2021-05-05,12.74,12.99,12.0772,12.12,454158
127.0,2021-05-06,12.06,12.06,11.1,11.66,709828
128.0,2021-05-07,11.9,11.96,11.08,11.46,412001
129.0,2021-05-10,11.28,11.5,10.73,11.33,707027
130.0,2021-05-11,10.823,12.02,10.82,11.64,670404
131.0,2021-05-12,11.39,11.87,10.69,10.95,604292
132.0,2021-05-13,11.03,11.35,10.18,10.6,651565
133.0,2021-05-14,10.97,12.1,10.79,11.915,642179
134.0,2021-05-17,11.66,12.395,11.66,12.03,914301
135.0,2021-05-18,12.14,13.67,12.06,13.31,1193371
136.0,2021-05-19,13.15,13.72,12.71,13.26,532560
137.0,2021-05-20,13.3,15.14,13.3,15.03,1412271
138.0,2021-05-21,15.34,16.65,14.84,15.17,3057468
139.0,2021-05-24,15.13,16.49,14.85,16.23,461065
140.0,2021-05-25,16.21,17.33,15.7501,16.95,548187
141.0,2021-05-26,17.33,18.35,16.52,18.33,1267061
142.0,2021-05-27,18.58,21.34,18.35,21.21,1943892
143.0,2021-05-28,20.79,21.6,18.82,20.28,1359504
144.0,2021-06-01,20.22,20.5899,17.45,17.75,884913
145.0,2021-06-02,17.75,19.71,17.72,19.51,935517
146.0,2021-06-03,18.9233,21.8,18.82,19.07,1534515
147.0,2021-06-04,19.27,20.49,19.08,20.0,716011
148.0,2021-06-07,20.01,20.65,19.34,20.48,638176
149.0,2021-06-08,20.43,21.23,20.3384,21.1,751197
150.0,2021-06-09,21.26,21.26,18.4501,18.79,787430
151.0,2021-06-10,18.68,19.46,18.44,19.35,246341
152.0,2021-06-11,19.49,20.63,19.49,19.88,473137
153.0,2021-06-14,19.79,20.29,18.83,19.13,332537
154.0,2021-06-15,19.04,19.42,18.36,19.32,256381
155.0,2021-06-16,19.22,20.1639,19.22,19.92,389662
156.0,2021-06-17,19.91,20.42,19.11,19.94,402284
157.0,2021-06-18,19.47,20.095,18.62,19.39,1654361
158.0,2021-06-21,19.46,19.89,18.01,18.16,547983
159.0,2021-06-22,18.42,18.52,17.86,18.15,340930
160.0,2021-06-23,18.38,18.705,17.87,17.93,504665
161.0,2021-06-24,18.46,18.68,17.84,17.84,478151
162.0,2021-06-25,17.85,18.7679,17.85,18.02,2442718
163.0,2021-06-28,17.99,18.11,17.3,17.95,283152
164.0,2021-06-29,18.1,18.28,17.8,17.8,411411
165.0,2021-06-30,17.9,18.28,17.55,17.96,463312
166.0,2021-07-01,18.02,18.1047,17.5,17.87,168948
167.0,2021-07-02,17.85,17.925,17.3817,17.62,114049
168.0,2021-07-06,17.58,17.92,16.88,17.25,364444
169.0,2021-07-07,18.5,19.82,17.52,17.96,1481393
170.0,2021-07-08,17.6,17.95,17.2,17.82,405632
171.0,2021-07-09,18.1,18.32,17.89,17.94,206883
172.0,2021-07-12,17.86,17.86,17.09,17.39,220228
173.0,2021-07-13,17.16,18.45,17.14,18.4,326706
174.0,2021-07-14,18.54,18.98,17.81,18.12,324960
175.0,2021-07-15,18.4192,19.1,18.08,18.98,342852
176.0,2021-07-16,19.02,19.17,17.075,17.16,396655
177.0,2021-07-19,16.65,17.38,16.06,16.59,259101
178.0,2021-07-20,16.85,17.09,16.4204,17.08,209638
179.0,2021-07-21,17.3,18.16,17.2866,17.97,182531
180.0,2021-07-22,17.99,18.25,17.2,17.69,158328
181.0,2021-07-23,17.65,17.65,16.28,16.65,231802
182.0,2021-07-26,16.67,17.19,16.25,16.47,146377
183.0,2021-07-27,16.46,16.46,15.62,15.96,235928
184.0,2021-07-28,16.06,16.31,15.67,15.77,198798
185.0,2021-07-29,15.95,16.29,15.43,16.07,208735
186.0,2021-07-30,16.05,16.72,15.27,15.52,188102
187.0,2021-08-02,15.69,15.69,14.85,14.98,158034
188.0,2021-08-03,14.95,15.36,14.6,15.32,245874
189.0,2021-08-04,15.2,15.52,14.5414,14.83,246436
190.0,2021-08-05,15.01,15.4967,14.78,15.27,162328
191.0,2021-08-06,15.41,15.889,14.8901,15.05,226759
192.0,2021-08-09,15.42,16.17,14.652,15.87,298297
193.0,2021-08-10,16.25,16.25,15.29,15.55,237840
194.0,2021-08-11,14.73,15.24,12.51,15.01,1256914
195.0,2021-08-12,14.83,14.83,13.41,14.42,493829
196.0,2021-08-13,14.45,14.45,13.59,14.09,170558
197.0,2021-08-16,14.0,14.29,13.5,13.74,337957
198.0,2021-08-17,13.61,13.795,11.685,11.76,497016
199.0,2021-08-18,11.91,12.25,11.3306,12.05,422631
200.0,2021-08-19,12.15,12.15,11.0,11.05,344425
201.0,2021-08-20,10.9,11.6,10.8555,11.53,204083
202.0,2021-08-23,11.89,13.63,11.89,13.41,770213
203.0,2021-08-24,13.4,14.71,13.3,13.5,728883
204.0,2021-08-25,13.62,13.84,13.03,13.34,345314
205.0,2021-08-26,13.19,14.27,13.19,13.73,414969
206.0,2021-08-27,14.0,14.26,13.635,13.9,391400
207.0,2021-08-30,14.0,14.2,12.75,12.89,352627
208.0,2021-08-31,13.14,13.44,12.62,12.92,308166
209.0,2021-09-01,12.92,13.95,12.81,13.61,645047
210.0,2021-09-02,13.65,14.0721,13.14,13.28,372453
211.0,2021-09-03,13.31,13.75,13.08,13.69,507480
212.0,2021-09-07,13.7,14.36,13.51,13.57,558895
213.0,2021-09-08,13.54,13.66,12.6,13.36,391223
214.0,2021-09-09,13.41,13.84,12.83,13.2,361315
215.0,2021-09-10,13.4,13.53,12.9,12.95,440198
216.0,2021-09-13,13.16,13.28,12.6,13.0,400476
217.0,2021-09-14,13.1,13.52,12.35,12.7,498329
218.0,2021-09-15,12.7,13.4,12.5,12.93,501466
219.0,2021-09-16,12.78,13.27,12.54,13.09,419996
220.0,2021-09-17,13.61,13.9899,12.99,13.07,3555634
221.0,2021-09-20,12.6,12.94,11.78,12.35,547412
222.0,2021-09-21,12.48,12.915,12.16,12.9,307233
223.0,2021-09-22,13.01,13.76,12.7,13.72,258942
224.0,2021-09-23,13.99,14.38,13.58,14.23,408767
225.0,2021-09-24,13.97,14.27,13.24,13.43,371668
226.0,2021-09-27,13.45,14.74,13.41,14.06,620334
227.0,2021-09-28,14.12,14.19,13.36,13.93,315358
228.0,2021-09-29,13.94,14.37,13.68,14.01,611332
229.0,2021-09-30,14.03,14.515,13.99,14.03,399739
230.0,2021-10-01,14.18,14.47,13.82,14.2,361310
231.0,2021-10-04,14.13,14.13,13.0558,13.41,404798
232.0,2021-10-05,13.39,13.5,12.92,12.99,366323
233.0,2021-10-06,12.81,12.925,11.9,11.96,325803
234.0,2021-10-07,12.11,12.63,11.86,11.87,384346
235.0,2021-10-08,11.81,11.9376,10.88,10.99,563248
236.0,2021-10-11,10.95,11.52,10.87,11.43,283255
237.0,2021-10-12,11.3,12.23,11.3,12.19,326661
238.0,2021-10-13,12.25,12.67,12.01,12.63,264455
239.0,2021-10-14,12.73,12.85,12.24,12.69,232800
240.0,2021-10-15,12.85,12.85,12.23,12.56,196255
241.0,2021-10-18,12.26,12.39,11.42,11.67,378924
242.0,2021-10-19,11.64,11.8183,11.34,11.51,282474
243.0,2021-10-20,11.58,11.58,11.0,11.11,332401
244.0,2021-10-21,11.0,11.249,10.9201,11.03,230536
245.0,2021-10-22,11.0,11.04,10.62,10.87,286233
246.0,2021-10-25,10.95,10.95,10.38,10.47,343228
247.0,2021-10-26,10.47,11.21,10.35,11.18,648964
248.0,2021-10-27,11.22,11.5,10.33,10.46,505588
249.0,2021-10-28,10.44,11.14,10.36,11.12,458672
250.0,2021-10-29,11.2,11.27,10.46,10.55,483385
251.0,2021-11-01,10.6,12.12,10.6,11.51,773484
252.0,2021-11-02,11.46,11.64,11.13,11.49,331837
253.0,2021-11-03,11.41,11.8,11.02,11.63,368693
