,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,0.5,0.73,0.44,0.72,1143000
1,2000-01-04,0.78,0.78,0.45,0.58,671600
2,2000-01-05,0.56,0.56,0.48,0.48,211200
3,2000-01-06,0.5,0.7,0.5,0.66,232200
4,2000-01-07,0.53,0.69,0.52,0.52,111700
5,2000-01-10,0.59,0.62,0.5,0.53,79600
6,2000-01-11,0.53,0.55,0.5,0.5,115400
7,2000-01-12,0.52,0.52,0.48,0.52,47900
8,2000-01-13,0.59,0.7,0.56,0.62,751800
9,2000-01-14,0.69,0.69,0.59,0.69,307400
10,2000-01-18,0.69,0.81,0.64,0.8,590900
11,2000-01-19,0.78,0.84,0.73,0.77,153200
12,2000-01-20,0.77,0.81,0.62,0.69,402000
13,2000-01-21,0.67,0.75,0.67,0.75,280300
14,2000-01-24,0.72,0.78,0.72,0.78,78500
15,2000-01-25,0.78,0.81,0.75,0.8,241800
16,2000-01-26,0.77,0.8,0.75,0.8,155500
17,2000-01-27,0.8,0.8,0.7,0.73,172900
18,2000-01-28,0.78,0.78,0.73,0.78,240800
19,2000-01-31,0.78,0.78,0.7,0.75,133000
20,2000-02-01,0.75,0.75,0.66,0.7,124800
21,2000-02-02,0.69,0.7,0.62,0.66,279500
22,2000-02-03,0.69,0.72,0.62,0.7,191200
23,2000-02-04,0.72,0.77,0.7,0.75,210900
24,2000-02-07,0.75,0.81,0.69,0.7,265500
25,2000-02-08,0.7,0.81,0.69,0.81,533900
26,2000-02-09,0.84,0.88,0.8,0.88,363400
27,2000-02-10,0.91,0.91,0.8,0.8,195800
28,2000-02-11,0.88,0.88,0.77,0.8,151400
29,2000-02-14,0.84,0.91,0.77,0.91,421800
30,2000-02-15,0.91,1.02,0.89,1.0,655900
31,2000-02-16,1.0,1.55,0.98,1.44,1802700
32,2000-02-17,1.44,1.47,0.94,1.09,871500
33,2000-02-18,1.09,1.38,1.06,1.27,467100
34,2000-02-22,1.25,1.5,1.23,1.38,459900
35,2000-02-24,1.28,1.28,1.2,1.23,350100
36,2000-02-25,1.25,1.25,1.19,1.19,219900
37,2000-02-28,1.13,1.16,1.02,1.05,345100
38,2000-02-29,1.09,1.3,1.09,1.25,342900
39,2000-03-01,1.27,1.5,1.23,1.5,851600
40,2000-03-02,1.63,1.69,1.0,1.66,864900
41,2000-03-03,1.69,2.88,1.66,2.0,978800
42,2000-03-06,2.13,2.84,2.13,2.75,1068100
43,2000-03-07,2.78,2.81,2.25,2.38,666800
44,2000-03-08,2.31,2.53,2.31,2.44,273800
45,2000-03-09,2.44,2.44,2.13,2.19,454900
46,2000-03-10,2.25,2.25,1.75,1.81,392200
47,2000-03-13,1.81,2.06,1.81,2.03,557000
48,2000-03-14,2.03,2.03,1.88,2.0,191200
49,2000-03-15,2.0,2.0,1.75,1.8,173400
50,2000-03-16,1.77,2.0,1.75,1.78,284500
51,2000-03-17,1.88,1.88,1.47,1.5,405400
52,2000-03-20,1.63,1.91,1.56,1.75,277000
53,2000-03-21,1.72,1.88,1.72,1.75,165300
54,2000-03-22,1.88,1.88,1.72,1.72,97900
55,2000-03-23,1.72,1.78,1.5,1.5,197400
56,2000-03-24,1.5,1.56,1.19,1.38,307700
57,2000-03-27,1.31,1.44,1.22,1.22,137800
58,2000-03-28,1.44,1.44,1.19,1.31,133300
59,2000-03-29,1.31,1.44,1.19,1.25,96100
60,2000-03-30,1.28,1.33,1.0,1.13,175100
61,2000-03-31,1.06,1.19,1.0,1.13,338700
62,2000-04-03,1.06,1.13,0.97,1.03,263800
63,2000-04-04,0.97,1.0,0.62,0.81,447000
64,2000-04-05,0.88,1.25,0.81,1.19,336600
65,2000-04-06,1.22,1.25,1.13,1.13,59400
66,2000-04-07,1.13,1.19,0.91,0.94,100700
67,2000-04-10,0.94,1.25,0.94,1.06,108500
68,2000-04-11,1.25,1.31,0.94,1.19,131300
69,2000-04-12,1.13,1.25,0.91,1.02,246200
70,2000-04-13,1.02,1.03,0.88,0.88,353000
71,2000-04-14,0.88,0.94,0.62,0.75,319600
72,2000-04-17,0.77,0.81,0.56,0.66,239300
73,2000-04-18,0.56,1.19,0.56,0.97,201000
74,2000-04-19,0.94,0.97,0.81,0.81,65900
75,2000-04-20,0.81,0.88,0.78,0.78,21400
76,2000-04-24,0.75,0.81,0.72,0.72,93000
77,2000-04-25,0.84,0.88,0.75,0.88,81300
78,2000-04-26,0.91,0.91,0.88,0.88,28000
79,2000-04-27,0.91,0.91,0.75,0.84,47000
80,2000-04-28,0.84,0.84,0.72,0.72,56300
81,2000-05-01,0.81,0.88,0.78,0.78,76600
82,2000-05-02,0.88,0.88,0.78,0.78,12800
83,2000-05-03,0.78,0.88,0.78,0.8,30600
84,2000-05-04,0.81,0.81,0.75,0.75,21700
85,2000-05-05,0.75,0.78,0.75,0.78,11300
86,2000-05-08,0.78,0.78,0.75,0.75,16500
87,2000-05-09,0.78,0.78,0.72,0.78,48500
88,2000-05-10,0.72,0.75,0.72,0.75,30300
89,2000-05-11,0.72,0.75,0.62,0.69,59100
90,2000-05-12,0.62,0.69,0.62,0.62,40400
91,2000-05-15,0.69,0.81,0.69,0.75,65600
92,2000-05-16,0.81,0.81,0.75,0.8,26500
93,2000-05-17,0.8,0.8,0.66,0.8,9000
94,2000-05-18,0.7,0.8,0.7,0.7,19600
95,2000-05-19,0.66,0.75,0.66,0.66,10400
96,2000-05-22,0.66,0.7,0.62,0.62,90200
97,2000-05-23,0.62,0.62,0.59,0.62,11700
98,2000-05-24,0.62,0.62,0.44,0.56,93100
99,2000-05-25,0.44,0.56,0.44,0.48,45100
100,2000-05-26,0.48,0.56,0.47,0.5,51900
101,2000-05-30,0.55,0.55,0.52,0.52,9300
102,2000-05-31,0.56,0.59,0.52,0.58,45600
103,2000-06-01,0.58,0.69,0.56,0.69,176900
104,2000-06-05,0.69,0.86,0.69,0.86,25100
105,2000-06-06,0.75,0.8,0.72,0.72,163500
106,2000-06-07,0.75,0.75,0.75,0.75,15700
107,2000-06-08,0.78,0.78,0.72,0.72,38300
108,2000-06-12,0.78,0.78,0.72,0.72,20300
109,2000-06-13,0.72,0.78,0.69,0.69,27700
110,2000-06-14,0.69,0.69,0.69,0.69,6000
111,2000-06-15,0.78,0.78,0.69,0.69,28000
112,2000-06-16,0.69,0.78,0.69,0.78,12000
113,2000-06-19,0.72,0.78,0.63,0.63,10800
114,2000-06-20,0.63,0.69,0.56,0.56,27500
115,2000-06-21,0.56,0.69,0.5,0.69,5200
116,2000-06-22,0.69,0.69,0.56,0.69,7900
117,2000-06-23,0.5,0.59,0.5,0.59,109600
118,2000-06-26,0.59,0.59,0.5,0.53,50300
119,2000-06-27,0.53,0.56,0.5,0.5,32000
120,2000-06-28,0.56,0.59,0.5,0.53,63500
121,2000-06-29,0.56,0.59,0.52,0.53,75500
122,2000-06-30,0.56,0.56,0.55,0.56,13600
123,2000-07-03,0.5,0.63,0.5,0.63,3000
124,2000-07-05,0.5,0.63,0.5,0.52,40800
125,2000-07-06,0.52,0.63,0.52,0.52,62400
126,2000-07-07,0.56,0.59,0.52,0.59,24600
127,2000-07-10,0.53,0.59,0.53,0.59,4900
128,2000-07-11,0.53,0.58,0.52,0.56,120200
129,2000-07-12,0.56,0.56,0.52,0.52,27800
130,2000-07-13,0.52,0.63,0.52,0.63,10000
131,2000-07-14,0.53,0.56,0.5,0.56,253200
132,2000-07-17,0.59,0.61,0.52,0.53,157300
133,2000-07-18,0.53,0.56,0.53,0.56,5700
134,2000-07-19,0.52,0.56,0.52,0.53,7900
135,2000-07-20,0.53,0.56,0.53,0.53,19900
136,2000-07-21,0.53,0.59,0.53,0.55,23100
137,2000-07-24,0.53,0.55,0.52,0.55,49600
138,2000-07-25,0.52,0.52,0.5,0.5,34200
139,2000-07-26,0.53,0.53,0.48,0.52,38600
140,2000-07-27,0.53,0.88,0.5,0.63,916300
141,2000-07-28,0.69,0.75,0.56,0.66,131200
142,2000-07-31,0.69,0.75,0.59,0.69,116300
143,2000-08-01,0.73,0.81,0.73,0.8,140500
144,2000-08-02,0.75,0.8,0.7,0.75,77900
145,2000-08-03,0.72,0.78,0.63,0.7,94700
146,2000-08-04,0.7,0.72,0.69,0.69,12700
147,2000-08-07,0.69,0.73,0.56,0.63,80200
148,2000-08-08,0.69,0.69,0.56,0.69,4900
149,2000-08-09,0.56,0.69,0.56,0.56,21500
150,2000-08-10,0.69,0.69,0.59,0.69,29500
151,2000-08-11,0.69,0.73,0.66,0.66,16800
152,2000-08-14,0.72,0.72,0.59,0.59,91800
153,2000-08-15,0.59,0.63,0.59,0.59,61200
154,2000-08-16,0.59,0.67,0.59,0.63,42000
155,2000-08-17,0.59,0.67,0.59,0.66,39100
156,2000-08-18,0.63,0.64,0.56,0.64,45400
157,2000-08-21,0.64,0.64,0.58,0.63,69500
158,2000-08-22,0.59,0.63,0.56,0.59,111100
159,2000-08-23,0.59,0.61,0.56,0.56,69000
160,2000-08-24,0.61,0.63,0.59,0.63,36800
161,2000-08-25,0.64,0.64,0.56,0.61,77700
162,2000-08-30,0.63,0.63,0.58,0.59,41200
163,2000-08-31,0.58,0.63,0.56,0.58,65100
164,2000-09-01,0.56,0.61,0.56,0.59,34000
165,2000-09-05,0.58,0.59,0.58,0.59,49900
166,2000-09-06,0.58,0.59,0.56,0.59,136800
167,2000-09-07,0.59,0.63,0.59,0.59,22700
168,2000-09-08,0.59,0.61,0.59,0.59,24200
169,2000-09-11,0.59,0.63,0.59,0.59,34000
170,2000-09-12,0.59,0.64,0.59,0.64,12400
171,2000-09-13,0.59,0.66,0.59,0.63,56100
172,2000-09-14,0.63,0.64,0.59,0.59,33300
173,2000-09-15,0.59,0.63,0.59,0.61,50700
174,2000-09-18,0.59,0.63,0.59,0.61,60400
175,2000-09-19,0.61,0.61,0.56,0.59,15100
176,2000-09-20,0.61,0.61,0.55,0.56,38800
177,2000-09-21,0.55,0.56,0.48,0.52,212700
178,2000-09-22,0.48,0.55,0.48,0.53,126900
179,2000-09-25,0.53,0.55,0.5,0.5,11300
180,2000-09-26,0.5,0.52,0.48,0.52,46000
181,2000-09-27,0.52,0.55,0.47,0.48,37500
182,2000-09-28,0.47,0.53,0.47,0.47,17600
183,2000-09-29,0.53,0.53,0.47,0.47,7100
184,2000-10-02,0.47,0.53,0.47,0.47,14200
185,2000-10-03,0.5,0.5,0.47,0.5,18000
186,2000-10-04,0.5,0.52,0.47,0.5,17300
187,2000-10-05,0.47,0.52,0.47,0.47,26200
188,2000-10-06,0.48,0.48,0.47,0.47,31800
189,2000-10-09,0.47,0.48,0.44,0.44,98400
190,2000-10-10,0.45,0.45,0.41,0.41,46300
191,2000-10-11,0.39,0.41,0.28,0.36,352900
192,2000-10-12,0.34,0.41,0.31,0.38,116100
193,2000-10-13,0.36,0.42,0.36,0.42,23300
194,2000-10-16,0.36,0.44,0.36,0.44,62200
195,2000-10-17,0.41,0.42,0.41,0.42,38000
196,2000-10-18,0.41,0.42,0.36,0.41,109000
197,2000-10-19,0.36,0.41,0.36,0.38,50100
198,2000-10-20,0.36,0.38,0.36,0.36,22900
199,2000-10-23,0.38,0.41,0.38,0.41,18900
200,2000-10-24,0.38,0.42,0.38,0.42,21100
201,2000-10-25,0.48,0.52,0.47,0.5,459500
202,2000-10-26,0.5,0.56,0.5,0.52,121400
203,2000-10-27,0.52,0.52,0.48,0.48,2300
204,2000-10-30,0.52,0.52,0.5,0.52,23400
205,2000-10-31,0.53,0.55,0.48,0.5,63500
206,2000-11-01,0.48,0.52,0.48,0.52,84600
207,2000-11-02,0.48,0.52,0.48,0.5,32300
208,2000-11-03,0.48,0.52,0.45,0.48,131200
209,2000-11-06,0.45,0.48,0.45,0.47,76000
210,2000-11-07,0.52,0.52,0.47,0.48,33700
211,2000-11-08,0.48,0.52,0.47,0.47,21700
212,2000-11-09,0.47,0.47,0.45,0.45,14400
213,2000-11-10,0.45,0.45,0.44,0.44,29400
214,2000-11-13,0.42,0.45,0.41,0.41,74100
215,2000-11-14,0.44,0.47,0.44,0.44,16000
216,2000-11-15,0.44,0.47,0.41,0.41,86800
217,2000-11-16,0.44,0.44,0.44,0.44,57400
218,2000-11-17,0.44,0.45,0.42,0.45,28700
219,2000-11-20,0.44,0.47,0.41,0.41,42600
220,2000-11-21,0.41,0.44,0.38,0.41,140900
221,2000-11-22,0.39,0.41,0.34,0.34,274700
222,2000-11-24,0.41,0.41,0.34,0.41,32600
223,2000-11-27,0.31,0.34,0.31,0.33,10800
224,2000-11-28,0.34,0.39,0.33,0.36,7100
