,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,4.1268,4.1735,3.7997,4.0139,4477402
1,2000-01-04,3.8947,3.9572,3.8283,3.883,3067066
2,2000-01-05,3.8324,3.8988,3.7816,3.891,2921327
3,2000-01-06,3.8889,3.9826,3.7795,3.885,2505135
4,2000-01-07,3.8831,3.985,3.8831,3.9144,3014819
5,2000-01-10,3.9396,3.9591,3.8145,3.877,2066106
6,2000-01-11,3.8675,3.8675,3.7777,3.8089,3617744
7,2000-01-12,3.7802,3.8193,3.624,3.667,1971717
8,2000-01-13,3.6736,3.6775,3.5604,3.576,3826307
9,2000-01-14,3.6135,3.9846,3.6018,3.844,7002758
10,2000-01-18,3.8086,3.9959,3.7695,3.9568,3288221
11,2000-01-19,3.9843,4.0233,3.9061,3.953,2784070
12,2000-01-20,3.9925,3.9925,3.7777,3.848,2966145
13,2000-01-21,3.8677,3.8755,3.6802,3.688,3148381
14,2000-01-24,3.6837,3.8476,3.6837,3.7149,1797071
15,2000-01-25,3.7321,3.7321,3.439,3.525,3622398
16,2000-01-26,3.5253,3.5488,3.3377,3.369,5144413
17,2000-01-27,3.3359,3.3867,3.2266,3.25,3524800
18,2000-01-28,3.2464,3.2503,3.1215,3.1839,2932890
19,2000-01-31,3.1929,3.3103,3.1929,3.2242,3012523
20,2000-02-01,3.2266,3.2344,3.1563,3.211,2257568
21,2000-02-02,3.2485,3.2954,3.1861,3.272,6055504
22,2000-02-03,3.2654,3.3044,3.2497,3.281,2494574
23,2000-02-04,3.2614,3.3591,3.2575,3.32,6264575
24,2000-02-07,3.2617,3.2812,3.1093,3.164,4971286
25,2000-02-08,3.1043,3.1506,2.8494,2.973,8456261
26,2000-02-09,2.9632,3.014,2.85,2.85,9839040
27,2000-02-10,2.9789,3.0766,2.9515,3.0571,51945073
28,2000-02-11,3.0492,3.0492,2.9166,3.0219,12627563
29,2000-02-14,3.024,3.0552,2.8755,2.938,7048405
30,2000-02-15,2.9431,3.0016,2.8691,2.9938,1898312
31,2000-02-16,2.9958,3.0114,2.9061,2.91,3170866
32,2000-02-17,2.9099,2.9099,2.492,2.656,7997524
33,2000-02-18,2.709,2.7479,2.6311,2.6389,8256975
34,2000-02-22,2.6839,2.6956,2.5981,2.602,4594966
35,2000-02-23,2.5912,2.7869,2.5599,2.7243,9035970
36,2000-02-24,2.7264,2.8045,2.6834,2.742,5283560
37,2000-02-25,2.7463,2.7619,2.7151,2.7229,3675293
38,2000-02-28,2.7186,2.8202,2.7186,2.785,5936323
39,2000-02-29,2.7834,2.8848,2.7834,2.8848,2821738
40,2000-03-01,2.9221,3.0237,2.9065,2.969,2172626
41,2000-03-02,2.9841,3.0154,2.863,2.906,10055250
42,2000-03-03,2.8923,2.8962,2.4083,2.4551,74190635
43,2000-03-06,2.5605,2.5605,2.1624,2.2951,17721218
44,2000-03-07,2.32,2.32,1.8161,1.863,30715024
45,2000-03-08,1.906,2.0154,1.781,1.949,22300110
46,2000-03-09,1.969,2.1097,1.9534,2.055,10887975
47,2000-03-10,2.1504,2.2401,2.0684,2.127,8808032
48,2000-03-13,2.1195,2.1234,2.0726,2.1,3766066
49,2000-03-14,2.0977,2.125,2.0625,2.125,3148800
50,2000-03-15,2.1266,2.1305,2.0013,2.1031,2267721
51,2000-03-16,2.1252,2.5296,2.1057,2.219,10414820
52,2000-03-17,2.1879,2.5005,2.1801,2.438,6584244
53,2000-03-20,2.4217,2.4451,2.3436,2.367,3846692
54,2000-03-21,2.3852,2.4634,2.3461,2.4361,2531831
55,2000-03-22,2.4449,2.6714,2.4234,2.648,6570701
56,2000-03-23,2.6113,2.6425,2.5567,2.5879,2734185
57,2000-03-24,2.5858,2.6639,2.5701,2.617,7213301
58,2000-03-27,2.5608,2.5764,2.3734,2.389,2281522
59,2000-03-28,2.3827,2.4256,2.371,2.4139,4636643
60,2000-03-29,2.4219,2.461,2.3398,2.3711,2266696
61,2000-03-30,2.359,2.3746,2.3278,2.359,4980008
62,2000-03-31,2.3534,2.6271,2.33,2.6232,5240677
63,2000-04-03,2.5882,2.6818,2.5063,2.5219,3476225
64,2000-04-04,2.4999,2.5234,2.3124,2.414,2784054
65,2000-04-05,2.371,2.5192,2.3632,2.4958,3923381
66,2000-04-06,2.512,2.5667,2.4964,2.512,2391740
67,2000-04-07,2.484,2.484,2.484,2.484,16053
68,2000-04-10,2.498,2.5292,2.4043,2.416,2409979
69,2000-04-11,2.4224,2.481,2.3599,2.438,3319316
70,2000-04-12,2.328,2.4061,2.2186,2.328,7257973
71,2000-04-13,2.3246,2.3246,2.2582,2.309,3749737
72,2000-04-14,2.3048,2.3048,2.1642,2.2345,5030122
73,2000-04-17,2.2115,2.2741,2.1881,2.233,6598231
74,2000-04-18,2.2538,2.3751,2.2382,2.3712,6772535
75,2000-04-19,2.3793,2.3793,2.3091,2.3559,2256090
