,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,268.75,282.5,260.0,280.625,728100
1,2000-01-04,280.0,298.75,272.5,273.125,710400
2,2000-01-05,271.875,272.5,252.5,261.25,690900
3,2000-01-06,265.0,277.5,260.0,263.75,513500
4,2000-01-07,261.25,269.375,260.0,266.875,377400
5,2000-01-10,274.375,285.0,266.875,280.625,499600
6,2000-01-11,280.625,280.625,265.0,266.875,505700
7,2000-01-12,266.25,273.75,256.875,260.625,807700
8,2000-01-13,260.0,283.75,252.5,280.625,781000
9,2000-01-14,285.625,290.0,272.5,287.5,683000
10,2000-01-18,283.75,296.25,275.0,279.375,592200
11,2000-01-19,292.03125,292.5,260.625,261.875,1073900
12,2000-01-20,267.5,267.5,250.0,250.625,846100
13,2000-01-21,251.25,252.03125,228.75,235.625,861200
14,2000-01-24,238.125,244.375,232.5,233.125,727900
15,2000-01-25,235.625,236.25,220.625,225.625,992400
16,2000-01-26,225.0,246.25,220.625,242.8125,981200
17,2000-01-27,246.875,248.75,223.125,233.75,531800
18,2000-01-28,230.0,233.75,224.375,226.25,500800
19,2000-01-31,228.125,228.75,209.375,210.625,991800
20,2000-02-01,211.25,212.5,193.75,199.375,1794900
21,2000-02-02,196.25,212.5,191.875,202.5,2183800
22,2000-02-03,208.125,223.125,206.25,220.0,1553800
23,2000-02-04,223.75,236.25,215.0,218.125,966900
24,2000-02-07,231.25,235.0,226.875,227.5,817300
25,2000-02-08,235.0,236.875,228.125,230.0,701300
26,2000-02-09,231.25,232.5,217.5,218.75,590900
27,2000-02-10,225.0,225.0,215.0,220.0,414500
28,2000-02-11,216.875,220.0,211.875,213.75,343200
29,2000-02-14,219.375,219.375,210.0,215.0,392900
30,2000-02-15,215.0,227.5,210.0,224.375,652900
31,2000-02-16,223.125,223.75,211.25,213.75,474400
32,2000-02-17,212.5,221.25,211.875,214.375,360400
33,2000-02-18,213.125,221.25,205.0,205.0,379700
34,2000-02-22,203.75,212.5,200.0,200.0,565800
35,2000-02-23,201.875,222.5,200.625,221.25,989300
36,2000-02-24,223.75,227.5,211.875,216.25,734100
37,2000-02-25,216.875,225.625,215.0,222.5,566200
