,DateTime,Open,High,Low,Close,Volume
0,2014-11-19,408.0,538.8,388.8,477.84,196323
1,2014-11-20,544.2,576.48,510.0,561.0,114084
2,2014-11-21,570.0,570.0,474.72,508.8,53485
3,2014-11-24,490.08,506.4,457.68,469.1976,27781
4,2014-11-25,484.8,484.8,418.32,426.72,29311
5,2014-11-26,431.52,451.2,406.8,412.8,24881
6,2014-11-28,415.202,423.36,366.24,368.4021,16693
7,2014-12-01,364.8,364.8,324.0,326.4024,23684
8,2014-12-02,330.0,381.6,324.0,376.8,40189
9,2014-12-03,378.48,397.92,350.4,354.24,21656
10,2014-12-04,346.8023,357.6,329.7622,339.6,9794
11,2014-12-05,346.8,346.8,312.24,336.48,9890
12,2014-12-08,338.88,374.16,324.48,354.0,17322
13,2014-12-09,348.96,381.84,342.0,370.08,15593
14,2014-12-10,379.2023,393.12,350.402,358.56,18174
15,2014-12-11,366.72,377.76,343.2,348.4776,10807
16,2014-12-12,341.04,371.76,339.6,365.28,4716
17,2014-12-15,363.36,367.2,334.8,338.88,7056
18,2014-12-16,330.0,344.88,325.68,330.96,5452
19,2014-12-17,342.0,347.52,312.24,318.72,7516
20,2014-12-18,325.44,328.32,283.68,301.68,17109
21,2014-12-19,302.16,305.76,265.68,268.32,39353
22,2014-12-22,265.92,285.096,248.64,253.44,22426
23,2014-12-23,254.64,260.4,240.0,243.36,16326
24,2014-12-24,243.36,269.976,243.36,265.68,13624
25,2014-12-26,264.24,282.0,264.24,268.08,19930
26,2014-12-29,266.4,270.96,253.44,255.12,7165
27,2014-12-30,252.4915,262.08,252.4915,259.21,4316
28,2014-12-31,259.68,262.704,243.6,246.0,10274
29,2015-01-02,248.88,253.68,242.4,243.6,6184
30,2015-01-05,243.36,255.6,241.44,249.12,10353
31,2015-01-06,249.84,273.6,249.6,271.2,22604
32,2015-01-07,279.6,282.0,254.4,257.76,14128
33,2015-01-08,259.2,270.72,255.8424,263.04,10553
34,2015-01-09,264.0,267.36,255.12,260.1623,8226
35,2015-01-12,294.24,303.6,271.2,282.0,41884
36,2015-01-13,281.76,292.32,258.48,261.36,20461
37,2015-01-14,252.0,264.96,242.88,255.1224,10797
38,2015-01-15,262.8,262.8,246.0,247.2,8658
39,2015-01-16,247.6823,254.64,246.0,249.6,5143
40,2015-01-20,250.56,253.2,244.5647,245.162,3596
41,2015-01-21,244.8,248.28,219.12,228.0,20137
42,2015-01-22,228.48,230.16,210.0,221.04,13485
43,2015-01-23,220.08,220.08,205.92,207.36,14685
44,2015-01-26,204.96,217.68,193.2,214.56,10015
45,2015-01-27,210.48,233.04,205.68,229.68,12642
46,2015-01-28,231.6,232.512,219.12,228.0,5692
47,2015-01-29,231.12,231.12,215.7576,222.48,3415
48,2015-01-30,221.52,224.64,207.6,210.0,2827
49,2015-02-02,210.72,210.72,200.4,202.3224,4929
50,2015-02-03,209.28,222.48,206.4,216.0,9096
51,2015-02-04,218.4,224.256,216.0,217.2,3680
52,2015-02-05,217.92,235.68,216.72,235.44,8195
53,2015-02-06,238.32,238.32,225.8424,235.68,3489
54,2015-02-09,240.0,240.0,228.0,228.0,2227
55,2015-02-10,228.96,229.2,218.4,222.9576,4188
56,2015-02-11,222.24,224.4,215.28,219.6,4523
57,2015-02-12,222.0,222.0,216.2424,217.92,7122
58,2015-02-13,218.4,220.8,213.84,214.32,2996
59,2015-02-17,215.28,216.0,210.24,211.68,1673
60,2015-02-18,210.72,211.92,206.88,210.96,1788
61,2015-02-19,212.4,216.0,199.44,213.6,5283
62,2015-02-20,212.88,214.08,206.64,212.4,3847
63,2015-02-23,210.0,214.8,200.16,204.0,11511
64,2015-02-24,242.4,279.36,229.202,268.5599,219712
65,2015-02-25,279.12,354.0,270.0,333.5976,400149
66,2015-02-26,313.2,323.76,282.72,283.2,118060
67,2015-02-27,296.4017,417.6,292.32,386.402,534673
68,2015-03-02,384.0,423.84,348.0,360.96,353506
69,2015-03-03,360.24,381.6,349.68,353.28,66270
70,2015-03-04,350.4,370.56,340.8,357.84,53830
71,2015-03-05,418.56,471.12,397.2,407.9136,522443
72,2015-03-06,420.0,442.08,391.92,417.36,174386
73,2015-03-09,432.0,439.2,396.48,407.04,120666
74,2015-03-10,393.12,417.6,381.36,412.32,59702
75,2015-03-11,410.4,415.656,381.6,382.56,61188
76,2015-03-12,382.32,393.84,334.32,335.04,98925
77,2015-03-13,329.52,357.12,324.24,343.1976,50718
78,2015-03-16,342.96,342.96,304.08,306.0,41925
79,2015-03-17,311.52,333.36,302.64,323.52,38289
80,2015-03-18,322.32,323.28,308.16,311.28,23525
81,2015-03-19,317.04,350.88,312.0024,324.0,60351
82,2015-03-20,327.8423,334.8,312.24,326.162,46200
83,2015-03-23,327.6,334.56,315.6,319.32,19445
84,2015-03-24,319.44,346.32,318.12,325.92,32324
85,2015-03-25,324.0,327.6,304.56,314.16,20981
86,2015-03-26,310.56,314.808,301.92,303.12,14395
87,2015-03-27,304.32,319.68,296.4,316.8,16464
88,2015-03-30,319.44,322.8,306.72,313.68,13031
89,2015-03-31,313.44,313.44,304.8,306.96,8343
90,2015-04-01,307.4305,309.72,297.59,299.27,10041
91,2015-04-02,300.0,303.84,286.0824,291.36,13648
92,2015-04-06,288.0,295.2,276.72,278.4,15158
93,2015-04-07,280.32,303.12,280.32,302.4,24414
