Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2012-10-15,17.55,17.83,17.5,17.75,633100
1.0,2012-10-16,17.57,17.95,17.25,17.79,180300
2.0,2012-10-17,17.7,18.07,17.5,17.7,121000
3.0,2012-10-18,17.6,17.87,17.52,17.7,146100
4.0,2012-10-19,17.72,17.8,17.41,17.41,298100
5.0,2012-10-22,17.5,17.51,16.93,17.03,359800
6.0,2012-10-23,16.85,17.3,16.75,17.13,166100
7.0,2012-10-24,16.92,17.47,16.92,17.39,158200
8.0,2012-10-25,17.98,17.98,16.25,17.03,206900
9.0,2012-10-26,17.51,17.51,16.6,17.14,199500
10.0,2012-10-31,16.5,17.03,16.5,17.03,36400
11.0,2012-11-01,17.1,17.48,16.51,17.23,203000
12.0,2012-11-02,16.99,17.23,16.56,17.0,72100
13.0,2012-11-05,16.79,17.0,16.5,16.71,33300
14.0,2012-11-06,16.52,17.48,16.09,17.01,370600
15.0,2012-11-07,16.75,17.4,16.75,17.06,155800
16.0,2012-11-08,16.29,17.27,16.29,16.75,141600
17.0,2012-11-09,16.33,16.94,16.33,16.55,209600
18.0,2012-11-12,16.46,16.55,16.36,16.5,12800
19.0,2012-11-13,16.52,16.76,15.97,16.04,47600
20.0,2012-11-14,15.97,16.47,15.65,16.05,123400
21.0,2012-11-15,16.38,17.26,15.71,16.7,367000
22.0,2012-11-16,16.91,17.69,16.27,16.82,104600
23.0,2012-11-19,16.85,17.25,16.5,17.12,77200
24.0,2012-11-20,17.14,17.29,16.83,17.13,251400
25.0,2012-11-21,17.12,17.48,16.85,17.2,33100
26.0,2012-11-23,17.25,17.55,17.06,17.32,94000
27.0,2012-11-26,17.3,17.42,17.06,17.26,77400
28.0,2012-11-27,17.07,17.33,16.93,17.23,55800
29.0,2012-11-28,17.45,17.49,16.98,17.25,94000
30.0,2012-11-29,17.46,18.35,17.2,18.16,164400
31.0,2012-11-30,18.44,18.48,17.77,18.0,44200
32.0,2012-12-03,18.01,18.5,17.39,18.1,47600
33.0,2012-12-04,18.23,18.23,17.41,17.83,30100
34.0,2012-12-05,17.58,18.1,17.58,17.98,33000
35.0,2012-12-06,17.76,17.78,17.32,17.62,41900
36.0,2012-12-07,17.68,17.85,17.6,17.75,42500
37.0,2012-12-10,17.89,17.92,17.36,17.62,72300
38.0,2012-12-11,17.41,17.84,17.2,17.54,72200
39.0,2012-12-12,17.47,17.78,17.47,17.64,58000
40.0,2012-12-13,17.41,17.98,17.29,17.88,135900
41.0,2012-12-14,17.43,17.65,17.25,17.57,44700
42.0,2012-12-17,17.66,18.5,17.5,17.98,107600
43.0,2012-12-18,17.93,19.25,17.7,18.8,142600
44.0,2012-12-19,18.8,19.89,18.13,19.18,192600
45.0,2012-12-20,18.95,19.02,18.44,19.02,200500
46.0,2012-12-21,18.62,19.18,17.68,18.98,1936500
47.0,2012-12-24,19.05,19.45,18.01,18.64,159000
48.0,2012-12-26,18.75,19.0,18.27,18.65,81300
49.0,2012-12-27,18.57,19.49,18.39,18.54,162100
50.0,2012-12-28,18.41,18.92,18.31,18.78,66400
51.0,2012-12-31,18.74,19.22,18.57,19.12,125600
52.0,2013-01-02,19.46,19.92,18.6,19.24,189700
53.0,2013-01-03,19.24,19.46,18.65,19.14,89100
54.0,2013-01-04,19.25,20.49,18.97,20.05,173300
55.0,2013-01-07,19.89,21.24,19.64,20.77,210300
56.0,2013-01-08,20.69,21.1,20.38,20.6,229400
57.0,2013-01-09,20.71,20.97,20.4,20.47,171800
58.0,2013-01-10,20.54,21.99,20.34,21.63,235200
59.0,2013-01-11,21.6,21.78,20.55,21.67,166300
60.0,2013-01-14,21.68,22.47,21.68,21.8,130400
61.0,2013-01-15,21.67,22.9,21.17,21.72,59300
62.0,2013-01-16,21.08,21.52,20.06,21.28,239500
63.0,2013-01-17,21.37,21.81,20.76,21.12,129800
64.0,2013-01-18,21.17,21.79,20.31,20.54,119400
65.0,2013-01-22,20.6,21.89,20.6,21.79,160100
66.0,2013-01-23,21.74,21.74,20.95,21.43,42700
67.0,2013-01-24,21.24,22.59,21.19,21.43,114500
68.0,2013-01-25,21.55,22.71,21.55,22.0,71200
69.0,2013-01-28,22.2,22.25,21.34,21.64,91000
70.0,2013-01-29,21.68,22.16,21.63,22.13,113700
71.0,2013-01-30,22.04,22.88,22.04,22.67,340500
72.0,2013-01-31,22.53,22.53,21.55,22.42,260400
73.0,2013-02-01,22.56,22.95,22.36,22.7,93600
74.0,2013-02-04,22.65,22.71,21.85,22.54,80100
75.0,2013-02-05,22.58,22.65,22.16,22.63,38700
76.0,2013-02-06,22.49,22.83,22.21,22.63,136100
77.0,2013-02-07,22.06,22.69,22.0,22.42,61300
78.0,2013-02-08,22.39,22.75,22.04,22.05,96400
79.0,2013-02-11,22.13,22.13,21.3,21.56,59100
80.0,2013-02-12,21.52,21.76,21.05,21.57,154700
81.0,2013-02-13,21.55,22.01,21.23,21.56,321700
82.0,2013-02-14,21.55,22.93,21.55,22.0,379500
83.0,2013-02-15,22.07,22.65,21.7,22.3,146500
84.0,2013-02-19,22.32,22.82,22.23,22.82,102000
85.0,2013-02-20,22.81,23.28,21.21,21.28,96200
86.0,2013-02-21,21.29,21.29,20.55,20.73,76900
87.0,2013-02-22,22.25,22.63,20.23,20.98,310600
88.0,2013-02-25,21.0,21.08,19.57,19.74,167600
89.0,2013-02-26,19.84,20.52,19.7,20.05,119300
90.0,2013-02-27,20.09,21.5,19.85,20.96,158500
91.0,2013-02-28,20.98,23.31,20.2,22.71,205000
92.0,2013-03-01,22.5,22.81,21.91,22.34,46000
93.0,2013-03-04,22.37,22.87,21.83,22.39,39000
94.0,2013-03-05,22.41,23.88,22.39,23.7,108700
95.0,2013-03-06,23.83,24.03,23.38,23.55,13800
96.0,2013-03-07,23.5,24.89,22.53,24.51,129700
97.0,2013-03-08,24.77,24.96,23.89,24.9,127200
98.0,2013-03-11,24.92,24.99,24.08,24.49,218100
99.0,2013-03-12,24.52,24.99,24.3,24.93,107300
100.0,2013-03-13,24.87,26.39,24.67,25.75,308800
101.0,2013-03-14,25.86,25.86,24.22,24.86,153000
102.0,2013-03-15,24.92,24.96,23.5,24.15,186000
103.0,2013-03-18,23.87,24.55,23.63,23.99,38800
104.0,2013-03-19,24.23,25.14,23.57,23.76,87200
105.0,2013-03-20,24.04,24.3,23.65,24.0,81000
106.0,2013-03-21,23.92,24.47,23.89,24.31,133000
107.0,2013-03-22,24.39,24.62,24.24,24.55,48100
108.0,2013-03-25,24.69,25.33,24.62,25.2,197000
109.0,2013-03-26,25.23,25.87,25.08,25.65,191400
110.0,2013-03-27,25.44,26.27,25.44,26.11,83600
111.0,2013-03-28,26.24,27.21,26.04,26.84,157500
112.0,2013-04-01,26.93,27.97,26.93,27.4,216600
113.0,2013-04-02,27.47,27.89,26.75,27.04,493300
114.0,2013-04-03,27.05,27.05,24.48,24.92,526600
