,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,326.0,345.0,309.88,329.0,525700
1,2000-01-04,321.5,335.0,312.13,312.5,258500
2,2000-01-05,309.0,314.0,279.88,301.38,399800
3,2000-01-06,300.0,305.75,270.13,278.06,209900
4,2000-01-07,276.13,284.0,257.38,259.94,492000
5,2000-01-10,139.0,139.5,117.0,129.72,1652100
6,2000-01-11,132.0,133.5,120.0,120.75,825500
7,2000-01-12,125.0,127.25,109.5,113.63,781800
8,2000-01-13,119.0,120.0,100.0,106.94,1674400
9,2000-01-14,119.5,130.0,117.0,120.94,3736500
10,2000-01-18,120.0,132.38,116.0,131.94,1170000
11,2000-01-19,134.5,134.5,123.5,128.0,770400
12,2000-01-20,132.75,149.0,127.0,147.63,1084400
13,2000-01-21,151.0,151.0,137.5,145.0,1132400
14,2000-01-24,149.88,149.88,137.88,143.19,669200
15,2000-01-25,155.0,157.13,141.5,152.0,1930700
16,2000-01-26,148.0,157.94,145.25,147.38,681900
17,2000-01-27,152.0,152.88,140.0,141.94,328500
18,2000-01-28,138.0,138.38,125.0,129.56,1105600
19,2000-01-31,126.25,135.88,120.25,133.0,543700
20,2000-02-01,136.75,141.0,126.0,135.38,555300
21,2000-02-02,137.0,145.0,134.25,136.38,351400
22,2000-02-03,139.63,139.75,130.0,135.81,409500
23,2000-02-04,136.81,136.88,130.13,133.5,298700
24,2000-02-07,133.63,135.0,127.75,130.88,312600
25,2000-02-08,124.31,128.25,121.5,125.75,573700
26,2000-02-09,125.88,135.0,125.88,128.69,477200
27,2000-02-10,128.75,128.75,121.0,123.5,1507000
28,2000-02-11,125.75,125.75,123.0,124.81,1476900
29,2000-02-14,126.63,136.0,125.0,135.0,3442800
30,2000-02-15,134.5,135.5,125.0,129.81,1230500
31,2000-02-16,126.75,130.25,124.5,128.0,754600
32,2000-02-17,129.75,131.5,127.38,129.75,538100
33,2000-02-18,127.75,132.0,124.81,126.0,794100
34,2000-02-22,122.75,123.38,115.0,120.06,1067800
35,2000-02-23,120.5,124.0,115.0,121.06,416600
36,2000-02-24,122.5,127.0,116.81,119.5,495600
37,2000-02-25,125.0,136.25,125.0,134.0,2858100
38,2000-02-28,135.13,135.75,126.75,129.13,1141400
39,2000-02-29,131.13,145.0,130.25,139.69,1186400
40,2000-03-01,143.13,152.0,142.75,150.69,1382000
41,2000-03-02,151.31,155.19,144.5,148.5,822700
42,2000-03-03,150.0,156.0,148.0,150.75,708900
43,2000-03-06,151.31,155.06,145.88,153.25,830400
44,2000-03-07,155.69,178.0,155.69,174.0,1543100
45,2000-03-08,177.13,181.88,164.56,171.5,839300
46,2000-03-09,176.03,209.0,176.03,207.53,1253800
47,2000-03-10,199.0,212.0,194.5,201.19,722600
48,2000-03-13,185.13,208.0,181.0,190.75,580800
49,2000-03-14,194.88,205.0,164.0,174.88,669100
50,2000-03-15,173.0,173.0,154.5,165.0,709200
51,2000-03-16,170.88,177.25,153.13,175.0,829200
52,2000-03-17,168.5,178.0,166.0,169.0,283700
53,2000-03-20,164.38,175.0,156.0,158.0,490300
54,2000-03-21,154.0,162.0,142.25,152.0,648000
55,2000-03-22,155.63,159.0,145.13,146.94,993000
56,2000-03-23,145.25,162.0,145.06,155.38,1306100
57,2000-03-24,160.31,162.44,144.31,145.0,1288000
58,2000-03-27,143.0,152.25,139.38,150.13,1353700
59,2000-03-28,150.81,152.25,145.0,151.0,914400
60,2000-03-29,152.38,152.38,135.5,136.0,719000
61,2000-03-30,131.5,138.0,123.0,126.06,549100
62,2000-03-31,134.5,146.0,128.06,141.0,982200
63,2000-04-03,139.25,142.0,117.38,118.5,608000
64,2000-04-04,122.0,123.5,90.0,113.0,1335600
65,2000-04-05,105.0,114.13,98.0,100.94,1438400
66,2000-04-06,107.0,126.25,106.38,125.0,1638600
67,2000-04-07,129.31,129.31,112.38,119.63,1229900
68,2000-04-10,120.0,120.13,106.0,108.25,545200
69,2000-04-11,105.5,114.0,97.69,100.25,728200
70,2000-04-12,105.75,106.0,84.0,86.38,2293100
71,2000-04-13,90.5,94.5,75.0,78.0,2123600
72,2000-04-14,77.88,92.0,77.38,79.0,4474700
73,2000-04-17,78.5,89.0,74.0,85.0,2439400
74,2000-04-18,85.5,85.88,78.5,81.88,2661800
75,2000-04-19,84.0,95.0,80.5,85.25,4627500
76,2000-04-20,86.25,89.25,81.63,87.25,1634600
77,2000-04-24,78.03,80.38,70.0,75.06,1236900
78,2000-04-25,77.06,81.59,76.13,78.75,1385800
79,2000-04-26,80.06,82.88,77.5,79.94,1399600
80,2000-04-27,76.06,86.0,75.19,84.94,1827400
81,2000-04-28,87.0,93.13,86.5,91.0,2547700
82,2000-05-01,93.38,95.0,86.56,93.0,1578900
83,2000-05-02,91.88,94.06,83.0,84.5,866900
84,2000-05-03,81.0,92.5,80.13,90.75,917400
85,2000-05-04,91.06,93.25,87.19,89.69,1232200
86,2000-05-05,89.25,93.69,87.0,90.63,1998800
87,2000-05-08,89.44,89.5,83.56,84.81,826200
88,2000-05-09,87.06,87.81,80.5,83.88,1099800
89,2000-05-10,81.5,83.13,71.0,72.81,1660600
