,DateTime,Open,High,Low,Close,Volume
0,2005-07-13,18.25,21.0,18.25,20.24,7164503
1,2005-07-14,20.2,20.44,19.5,20.0,1842002
2,2005-07-15,20.15,20.15,19.25,19.59,310064
3,2005-07-18,19.4,19.63,18.75,18.99,528946
4,2005-07-19,18.98,19.05,18.3,18.3,433070
5,2005-07-20,18.25,18.8,18.0,18.06,265863
6,2005-07-21,18.5,18.79,18.1,18.5,358708
7,2005-07-22,18.82,18.9,17.6,17.8,308413
8,2005-07-25,17.81,18.28,17.61,18.06,317320
9,2005-07-26,17.95,18.58,17.8,18.48,83643
10,2005-07-27,18.6,19.19,18.11,18.96,107278
11,2005-07-28,18.8,19.15,18.8,19.06,83766
12,2005-07-29,19.04,19.5,18.895,19.28,249620
13,2005-08-01,20.04,20.04,18.9,19.3,222638
14,2005-08-02,19.8,19.85,18.9,19.16,184469
15,2005-08-03,19.2,19.45,19.066,19.33,118689
16,2005-08-04,19.48,19.48,18.25,18.8,190774
17,2005-08-05,18.8,19.44,18.65,19.15,407374
18,2005-08-08,19.5,22.04,19.15,21.04,1369410
19,2005-08-09,22.0,22.0,20.25,20.85,733633
20,2005-08-10,20.7,20.93,20.3116,20.5,158220
21,2005-08-11,20.48,20.99,20.37,20.65,289693
22,2005-08-12,20.78,20.98,20.04,20.52,83274
23,2005-08-15,20.52,22.0,20.5,21.0,115592
24,2005-08-16,21.0,21.25,20.8,21.0,362401
25,2005-08-17,21.31,21.7342,21.0301,21.36,51942
26,2005-08-18,21.1,22.1,21.1,21.74,119650
27,2005-08-19,21.8,21.95,21.41,21.7,60251
28,2005-08-22,22.0,22.75,21.58,21.75,221301
29,2005-08-23,22.0,22.0899,21.85,21.9,280418
30,2005-08-24,21.93,22.0,20.85,21.07,115524
31,2005-08-25,21.0,21.41,20.25,20.415,83225
32,2005-08-26,20.25,20.49,20.25,20.27,87487
33,2005-08-29,20.8,20.8,18.68,18.97,518013
34,2005-08-30,18.88,19.12,18.5,18.75,225589
35,2005-08-31,18.95,19.15,18.83,18.98,176952
36,2005-09-01,19.19,19.19,18.25,18.57,184834
37,2005-09-02,18.78,19.15,18.72,19.0,78866
38,2005-09-06,19.13,19.99,18.97,19.54,115576
39,2005-09-07,19.65,20.48,19.35,20.22,123612
40,2005-09-08,20.5,20.63,20.23,20.35,333342
41,2005-09-09,20.5,21.38,20.24,21.12,121684
42,2005-09-12,21.35,21.9,21.35,21.56,131463
43,2005-09-13,21.5,23.3,21.49,23.15,863995
44,2005-09-14,23.15,23.3,21.16,22.33,374006
45,2005-09-15,22.45,23.1,22.29,22.78,333143
46,2005-09-16,23.02,25.17,23.02,24.63,588958
47,2005-09-19,24.35,25.65,24.35,25.15,309984
48,2005-09-20,25.23,25.5,24.5,25.02,163169
49,2005-09-21,25.0,25.54,25.0,25.5,108610
50,2005-09-22,25.63,25.85,25.2,25.52,50115
51,2005-09-23,24.75,25.59,23.86,25.0,135107
52,2005-09-26,25.315,25.36,24.0,24.37,80898
53,2005-09-27,23.8,23.85,22.6,23.0,406646
54,2005-09-28,23.0,23.35,22.35,23.1,207631
55,2005-09-29,23.1,25.05,23.1,24.65,323727
56,2005-09-30,24.9,27.0,24.9,26.74,342171
57,2005-10-03,26.7,27.31,26.32,26.81,92648
58,2005-10-04,27.04,27.04,25.87,25.991,93625
59,2005-10-05,25.84,25.97,24.98,25.02,111973
60,2005-10-06,25.0,25.001,23.81,24.2,346659
61,2005-10-07,24.25,25.0,23.9,24.45,216585
62,2005-10-10,24.82,26.2,24.68,25.49,161882
63,2005-10-11,25.52,25.55,23.75,23.87,202945
64,2005-10-12,25.0,25.0,23.08,23.08,227322
65,2005-10-13,23.1,23.15,22.5,22.85,226753
66,2005-10-14,23.02,24.89,22.861,24.76,173038
67,2005-10-17,25.01,26.25,25.01,25.82,235307
68,2005-10-18,26.15,26.15,25.16,25.52,164372
69,2005-10-19,25.95,26.63,24.21,25.84,84567
70,2005-10-20,26.12,26.12,24.9,25.1,54753
71,2005-10-21,25.52,25.78,25.0,25.78,21115
72,2005-10-24,26.0,27.0,25.75,26.84,107831
73,2005-10-25,27.0,27.0,26.39,26.39,17352
74,2005-10-26,26.73,26.9399,26.44,26.8101,37932
75,2005-10-27,26.6,26.96,25.8,25.8,32151
76,2005-10-28,25.75,26.71,25.45,26.51,83745
