,DateTime,Open,High,Low,Close,Volume
0,2003-01-27,64.6,65.51,63.69,64.13,4367300
1,2003-01-28,64.25,64.78,63.76,64.71,3834600
2,2003-01-29,64.71,65.5,63.81,65.41,3360100
3,2003-01-30,65.2,65.5,63.4,63.51,2681000
4,2003-01-31,63.81,65.01,63.75,64.66,4148400
5,2003-02-03,64.6,65.01,64.0,64.9,2508600
6,2003-02-04,64.5,64.51,63.39,64.18,2167300
7,2003-02-05,64.8,65.65,64.0,64.08,2456400
8,2003-02-06,64.0,64.5,63.0,63.01,2557500
9,2003-02-07,63.5,63.85,62.62,63.1,3067800
10,2003-02-10,63.11,64.14,63.11,64.1,2718900
11,2003-02-11,64.42,64.65,62.7,63.0,2502400
12,2003-02-12,63.01,63.63,62.8,63.02,1991700
13,2003-02-13,63.12,63.35,61.4,62.15,3030500
14,2003-02-14,62.4,64.48,62.35,64.36,3378800
15,2003-02-18,64.95,65.68,64.72,65.09,2510800
16,2003-02-19,65.1,65.29,64.7,64.91,1768400
17,2003-02-20,65.07,65.5,63.91,63.93,2727000
18,2003-02-21,64.07,65.05,63.1,64.82,3037800
19,2003-02-24,64.56,64.62,63.15,63.37,3142000
20,2003-02-25,63.47,64.09,62.26,64.04,2889000
21,2003-02-26,63.96,64.33,63.61,63.91,2031900
22,2003-02-27,63.8,64.71,63.31,63.92,2557400
23,2003-02-28,64.0,64.74,63.6,63.94,2580700
24,2003-03-03,64.1,64.95,64.1,64.3,2762800
25,2003-03-04,64.2,64.21,63.02,63.15,2326000
26,2003-03-05,63.1,63.4,62.52,62.96,2991800
27,2003-03-06,62.95,63.08,62.0,62.38,2729200
28,2003-03-07,62.36,63.38,61.66,63.29,3360700
29,2003-03-10,60.58,61.76,58.55,58.95,25491600
30,2003-03-11,59.0,60.01,58.4,59.26,9207500
31,2003-03-12,58.85,60.4,58.83,60.37,6226800
32,2003-03-13,60.5,62.4,60.36,62.17,5523300
33,2003-03-14,62.18,62.98,61.64,62.58,4757300
34,2003-03-17,62.25,64.67,62.08,64.48,4874000
35,2003-03-18,64.53,65.01,64.33,64.87,4194800
36,2003-03-19,64.92,66.5,64.85,66.42,3367300
37,2003-03-20,66.0,66.02,65.1,65.7,4068900
38,2003-03-21,65.73,67.62,65.61,67.58,3760800
39,2003-03-24,67.62,67.62,65.75,66.0,3018600
40,2003-03-25,66.12,66.3,65.45,65.67,3697800
41,2003-03-26,66.0,66.89,65.8,66.34,3842600
42,2003-03-27,66.31,67.09,65.8,66.71,2524200
43,2003-03-28,66.78,66.93,65.85,66.59,1996500
44,2003-03-31,64.65,66.9,64.65,65.35,5017100
45,2003-04-01,65.4,67.04,65.3,66.79,3439800
46,2003-04-02,67.55,67.76,66.41,66.62,3757600
47,2003-04-03,67.4,68.3,66.7,67.62,4178300
48,2003-04-04,68.0,69.21,67.78,68.08,2902900
49,2003-04-07,69.0,69.9,67.59,67.6,3166400
50,2003-04-08,67.74,68.78,67.64,68.24,2208300
51,2003-04-09,67.52,69.19,67.52,67.56,2400400
52,2003-04-10,67.59,68.21,67.51,68.16,2731500
53,2003-04-11,68.57,69.45,68.0,69.01,2974400
54,2003-04-14,69.98,71.58,69.6,71.46,6422000
55,2003-04-15,71.49,73.4,71.32,73.3,6972900
56,2003-04-16,73.1,73.4,71.95,72.02,3981600
57,2003-04-17,72.18,72.74,71.61,72.71,2827700
58,2003-04-21,72.9,72.9,71.9,72.0,2184600
59,2003-04-22,72.07,73.65,71.76,73.4,3966300
60,2003-04-23,73.43,74.49,72.7,73.44,3972700
61,2003-04-24,73.19,73.6,72.47,72.57,3152500
62,2003-04-25,72.4,72.4,71.68,71.96,2448000
63,2003-04-28,71.98,73.46,71.98,73.18,2239900
64,2003-04-29,73.47,73.7,72.53,73.0,2894300
65,2003-04-30,72.85,73.3,72.36,72.39,3474700
66,2003-05-01,72.39,72.42,71.5,72.1,2995900
67,2003-05-02,72.3,73.76,72.0,73.04,3049600
68,2003-05-05,73.7,73.73,72.41,72.85,1831500
69,2003-05-06,73.13,73.69,72.8,73.32,2540900
70,2003-05-07,73.41,73.41,72.16,72.46,3075100
71,2003-05-08,72.46,72.48,71.4,71.5,3212900
72,2003-05-09,72.0,72.75,71.5,72.32,3239700
73,2003-05-12,72.44,73.15,72.17,73.0,2047400
74,2003-05-13,73.02,73.49,72.75,73.16,1829700
75,2003-05-14,73.25,73.47,72.36,72.91,2601200
76,2003-05-15,72.92,73.8,72.81,73.47,2770000
77,2003-05-16,73.47,75.36,73.34,74.41,4122800
78,2003-05-19,73.9,74.15,72.75,72.93,2019700
79,2003-05-20,73.12,73.28,71.75,72.51,2796500
80,2003-05-21,72.26,72.43,71.5,71.55,3013000
81,2003-05-22,71.6,72.45,70.79,72.06,3644900
82,2003-05-23,72.06,72.06,71.2,71.25,3218600
83,2003-05-27,70.75,72.32,70.55,72.28,3394300
84,2003-05-28,72.45,74.88,72.2,73.96,4493100
