Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2003-06-16,16.75,17.5,16.21,17.12,585400
1.0,2003-06-17,17.3,17.65,16.85,17.2,384100
2.0,2003-06-18,17.15,18.1,17.0,18.0,439400
3.0,2003-06-19,18.0,18.12,17.1,17.27,297600
4.0,2003-06-20,17.39,17.82,17.14,17.7,167500
5.0,2003-06-23,17.72,17.76,16.6,17.0,248800
6.0,2003-06-24,17.05,17.09,16.53,16.71,115000
7.0,2003-06-25,16.71,17.84,16.71,17.36,263900
8.0,2003-06-26,17.53,17.68,16.98,17.15,122100
9.0,2003-06-27,17.13,18.18,16.95,17.45,322900
10.0,2003-06-30,17.64,17.7,17.2,17.7,302200
11.0,2003-07-01,17.5,18.33,17.0,17.95,192100
12.0,2003-07-02,18.35,18.54,17.9,18.42,365100
13.0,2003-07-03,18.4,18.4,18.04,18.15,51500
14.0,2003-07-07,18.2,19.13,18.01,18.23,159700
15.0,2003-07-08,18.09,19.06,17.96,18.81,208900
16.0,2003-07-09,19.13,19.7,18.25,18.96,257600
17.0,2003-07-10,18.79,19.8,18.67,19.5,183800
18.0,2003-07-11,19.45,19.45,18.91,19.35,295400
19.0,2003-07-14,19.5,19.93,19.05,19.25,398100
20.0,2003-07-15,19.45,19.5,17.92,18.45,483500
21.0,2003-07-16,18.42,18.62,17.68,18.25,194100
22.0,2003-07-17,17.89,18.04,17.0,17.73,199000
23.0,2003-07-18,17.68,18.2,17.17,17.4,117000
24.0,2003-07-21,17.37,18.2,17.22,17.61,54600
25.0,2003-07-22,17.95,18.36,17.34,18.09,268500
26.0,2003-07-23,18.05,18.85,17.7,18.8,287600
27.0,2003-07-24,18.87,19.0,18.39,18.72,113500
28.0,2003-07-25,18.55,18.8,18.25,18.74,52500
29.0,2003-07-28,18.4,18.98,18.35,18.7,117100
30.0,2003-07-29,18.7,18.7,17.94,18.55,164100
31.0,2003-07-30,18.48,18.95,18.39,18.59,228500
32.0,2003-07-31,18.7,19.49,18.47,18.64,560400
33.0,2003-08-01,18.62,18.83,18.38,18.55,180400
34.0,2003-08-04,18.55,18.82,18.26,18.62,265800
35.0,2003-08-05,18.43,18.7,18.41,18.57,185100
36.0,2003-08-06,18.36,18.69,18.35,18.69,109700
37.0,2003-08-07,18.64,19.47,18.43,19.34,327800
38.0,2003-08-08,19.35,19.5,19.1,19.42,164300
39.0,2003-08-11,19.52,19.62,19.22,19.4,37800
40.0,2003-08-12,19.55,19.64,19.21,19.43,132000
41.0,2003-08-13,19.41,19.71,19.3,19.65,146400
42.0,2003-08-14,19.3,20.0,19.28,19.5,135500
43.0,2003-08-15,19.74,20.0,18.97,19.74,21600
44.0,2003-08-18,19.61,19.78,19.14,19.39,44900
45.0,2003-08-19,19.3,19.74,19.3,19.74,23900
46.0,2003-08-20,19.75,19.75,19.44,19.67,24500
47.0,2003-08-21,19.75,20.6,19.75,19.95,232800
48.0,2003-08-22,20.25,20.25,19.81,19.97,84000
49.0,2003-08-25,19.82,19.9,19.05,19.3,53600
50.0,2003-08-26,19.25,19.45,19.1,19.25,48800
51.0,2003-08-27,19.4,19.5,18.81,19.5,46700
52.0,2003-08-28,19.55,20.0,19.5,19.81,78700
53.0,2003-08-29,19.77,20.0,19.56,19.59,77300
54.0,2003-09-02,19.59,19.74,19.41,19.43,22600
55.0,2003-09-03,19.41,19.55,18.82,19.0,63900
56.0,2003-09-04,19.0,19.2,18.95,19.16,63100
57.0,2003-09-05,19.0,19.75,19.0,19.75,106000
58.0,2003-09-08,19.67,22.14,19.59,21.9,545800
59.0,2003-09-09,21.9,22.83,21.5,22.4,346000
60.0,2003-09-10,22.25,22.4,21.1,21.87,162600
61.0,2003-09-11,22.0,22.5,21.8,22.49,175300
62.0,2003-09-12,22.57,22.77,21.97,22.6,51700
63.0,2003-09-15,22.75,22.77,21.47,21.84,59700
64.0,2003-09-16,21.9,23.07,21.65,23.0,127500
65.0,2003-09-17,22.57,23.0,22.55,22.91,56500
66.0,2003-09-18,22.47,22.5,21.67,21.75,144700
67.0,2003-09-19,22.04,22.5,21.45,22.25,76600
68.0,2003-09-22,21.94,22.5,21.75,22.5,47600
69.0,2003-09-23,22.4,22.79,21.85,21.9,90900
70.0,2003-09-24,21.81,22.56,21.55,22.56,143900
71.0,2003-09-25,22.59,22.59,21.65,21.8,122900
72.0,2003-09-26,21.75,21.77,19.62,20.2,391300
73.0,2003-09-29,20.08,21.38,20.0,21.25,131600
74.0,2003-09-30,21.15,22.61,21.0,21.59,246100
75.0,2003-10-01,21.61,22.35,21.2,22.35,273800
76.0,2003-10-02,22.37,22.64,22.0,22.64,77700
77.0,2003-10-03,22.7,23.38,22.7,23.05,281500
78.0,2003-10-06,23.45,24.58,23.44,24.2,288100
79.0,2003-10-07,24.4,25.82,23.99,25.42,213800
80.0,2003-10-08,25.58,25.62,24.38,25.36,105000
81.0,2003-10-09,25.27,25.51,25.07,25.46,97800
82.0,2003-10-10,25.48,25.97,25.18,25.45,88800
83.0,2003-10-13,25.48,27.09,25.2,26.92,170300
84.0,2003-10-14,27.03,27.03,26.0,26.78,184700
85.0,2003-10-15,26.8,26.81,25.2,26.07,161700
86.0,2003-10-16,25.86,27.45,25.86,27.43,85900
87.0,2003-10-17,26.93,27.38,23.66,25.47,296900
88.0,2003-10-20,25.5,25.55,23.99,24.6,217700
89.0,2003-10-21,24.4,24.6,24.05,24.2,56000
90.0,2003-10-22,24.05,24.05,23.77,23.79,34500
91.0,2003-10-23,23.8,23.96,23.4,23.55,87600
92.0,2003-10-24,23.4,23.51,22.8,23.0,57200
93.0,2003-10-27,22.61,22.66,21.6,21.95,171100
94.0,2003-10-28,22.0,25.03,22.0,24.8,257600
95.0,2003-10-29,24.35,24.7,24.0,24.58,117200
96.0,2003-10-30,25.1,25.18,24.54,24.97,249300
97.0,2003-10-31,24.95,25.35,23.76,24.93,251700
98.0,2003-11-03,24.4,25.63,24.15,25.37,298700
99.0,2003-11-04,25.47,26.92,25.35,26.7,541400
100.0,2003-11-05,26.4,26.78,26.0,26.24,2727900
101.0,2003-11-06,26.05,26.24,25.96,26.0,497600
