,DateTime,Open,High,Low,Close,Volume
0,2003-10-09,56.55,57.47,55.9,56.98,3897900
1,2003-10-10,57.0,57.19,56.62,57.0,1747200
2,2003-10-13,57.1,58.18,57.1,58.12,2366900
3,2003-10-14,58.0,59.08,57.5,58.99,3345200
4,2003-10-15,59.0,59.16,58.16,59.1,3318300
5,2003-10-16,58.95,59.75,58.02,58.36,3049800
6,2003-10-17,58.4,58.9,58.32,58.55,2322400
7,2003-10-20,58.58,59.15,58.41,58.58,2090000
8,2003-10-21,58.6,58.91,58.3,58.54,1989400
9,2003-10-22,58.0,58.44,55.88,57.03,6469600
10,2003-10-23,57.03,57.68,56.8,57.49,2498000
11,2003-10-24,57.5,57.73,56.46,57.49,2031100
12,2003-10-27,57.53,57.6,56.97,57.2,1405600
13,2003-10-28,57.1,58.56,56.95,58.54,2214000
14,2003-10-29,58.59,58.59,56.21,57.31,4942300
15,2003-10-30,57.31,57.55,56.25,56.42,2188500
16,2003-10-31,56.5,57.0,56.16,56.2,2180900
17,2003-11-03,56.68,57.4,56.21,57.3,2066570
18,2003-11-04,57.28,57.34,56.18,56.3,1828739
19,2003-11-05,55.75,56.53,55.0,55.99,1988200
20,2003-11-06,55.2,55.58,54.6,55.15,3208700
21,2003-11-07,55.35,55.53,54.35,54.48,2453600
22,2003-11-10,54.46,55.47,54.45,55.27,26921700
23,2003-11-11,54.95,55.35,54.85,54.94,1536500
24,2003-11-12,55.1,55.65,54.36,55.4,2526100
25,2003-11-13,55.38,55.53,54.85,55.4,1715000
26,2003-11-14,55.36,55.42,54.67,54.74,1320600
27,2003-11-17,54.45,54.85,54.15,54.4,1639700
28,2003-11-18,54.4,54.6,53.25,53.28,2453200
29,2003-11-19,53.95,54.96,53.33,54.75,2692600
30,2003-11-20,54.1,56.17,54.1,55.64,5785000
31,2003-11-21,57.0,57.95,55.5,55.68,5792500
32,2003-11-24,55.86,56.0,54.48,54.6,3669000
33,2003-11-25,54.95,54.95,54.02,54.57,3219700
34,2003-11-26,54.35,54.73,53.86,54.34,2294900
35,2003-11-28,54.34,54.79,54.24,54.43,1267300
36,2003-12-01,54.7,54.95,54.56,54.67,1857200
37,2003-12-02,54.66,55.35,54.66,55.26,2386300
38,2003-12-03,55.0,55.46,54.91,55.24,2091200
39,2003-12-04,55.37,55.44,55.0,55.25,1762000
40,2003-12-05,55.21,55.42,54.98,55.29,1647600
41,2003-12-08,56.0,56.1,54.94,55.15,2905700
42,2003-12-09,55.16,55.16,53.85,54.0,3577900
43,2003-12-10,54.1,54.72,53.73,54.17,2921800
44,2003-12-11,54.24,55.02,53.9,54.77,2286100
45,2003-12-12,54.95,55.37,54.5,55.25,2255900
46,2003-12-15,55.34,55.54,54.86,55.1,2169800
47,2003-12-16,55.0,55.91,54.93,55.83,3012700
48,2003-12-17,55.88,56.01,55.17,55.31,2221000
49,2003-12-18,55.28,55.61,54.93,55.06,2904400
50,2003-12-19,55.15,55.67,55.0,55.53,3507300
51,2003-12-22,55.45,57.05,55.35,56.99,3756200
52,2003-12-23,56.8,57.22,56.43,56.72,2828000
53,2003-12-24,56.6,56.8,56.21,56.36,969700
54,2003-12-26,56.56,56.63,56.34,56.56,473000
55,2003-12-29,56.65,57.89,56.65,57.83,2482900
56,2003-12-30,57.84,58.09,57.48,58.03,1799900
57,2003-12-31,58.09,58.68,57.83,58.29,1985800
58,2004-01-02,58.57,59.76,58.33,58.48,4765800
59,2004-01-05,59.35,59.47,58.77,59.32,2921500
60,2004-01-06,59.28,59.86,59.1,59.64,3294500
61,2004-01-07,59.55,59.58,58.77,59.37,3160500
62,2004-01-08,59.5,59.52,58.64,59.43,2249400
63,2004-01-09,59.47,59.74,58.85,58.98,2726100
64,2004-01-12,58.96,59.18,57.74,58.88,2138300
65,2004-01-13,58.82,59.13,58.51,58.88,2411700
66,2004-01-14,58.84,59.52,58.74,59.42,1642100
67,2004-01-15,59.47,60.6,59.45,60.42,3331500
68,2004-01-16,60.4,61.29,60.3,61.08,3806300
69,2004-01-20,61.47,61.47,60.87,61.22,2089400
70,2004-01-21,61.35,63.3,61.19,63.17,3452800
71,2004-01-22,63.1,65.15,63.1,64.16,5662100
72,2004-01-23,64.38,64.51,63.35,63.79,3113200
73,2004-01-26,63.48,65.0,63.45,65.0,2224200
74,2004-01-27,64.8,65.03,64.35,64.63,2402400
75,2004-01-28,64.43,64.94,62.02,62.2,3037000
76,2004-01-29,61.9,62.48,61.0,61.79,4486300
77,2004-01-30,61.92,62.48,61.5,62.35,2164800
78,2004-02-02,62.67,63.5,62.24,63.0,2395300
79,2004-02-03,62.78,63.15,62.42,62.6,2107300
80,2004-02-04,62.37,62.62,62.05,62.18,1824700
81,2004-02-05,62.25,62.87,61.88,62.77,1638700
82,2004-02-06,62.6,63.47,62.4,63.11,1295100
83,2004-02-09,62.96,63.75,62.73,63.01,1415800
84,2004-02-10,62.8,62.91,62.35,62.58,1894000
85,2004-02-11,62.57,63.77,62.36,63.56,2715800
86,2004-02-12,63.62,63.84,63.07,63.7,2067100
87,2004-02-13,63.2,64.52,63.2,64.37,2232600
88,2004-02-17,64.43,65.08,64.15,64.79,1868500
89,2004-02-18,64.61,64.7,64.25,64.31,1615800
90,2004-02-19,64.4,64.55,64.0,64.16,1835600
91,2004-02-20,64.27,64.43,63.94,64.15,1458600
92,2004-02-23,64.35,64.6,63.6,63.87,2316900
93,2004-02-24,63.7,63.98,61.53,62.13,5416400
94,2004-02-25,62.13,62.9,61.35,62.79,4370700
95,2004-02-26,62.0,62.87,62.0,62.39,3347600
96,2004-02-27,61.71,62.72,61.65,61.92,2829200
97,2004-03-01,62.55,62.78,62.35,62.49,3036800
