,DateTime,Open,High,Low,Close,Volume
0,2018-09-21,27.0,30.6,27.0,28.45,25427273
1,2018-09-24,27.66,32.39,27.36,30.25,3700055
2,2018-09-25,31.7832,32.3999,27.77,28.65,2350386
3,2018-09-26,29.17,29.39,27.98,28.0,879251
4,2018-09-27,28.36,28.36,26.4,27.26,1766666
5,2018-09-28,27.79,27.79,26.8,27.23,903118
6,2018-10-01,26.89,27.0,24.06,26.07,1758539
7,2018-10-02,26.05,27.77,24.8,27.01,989791
8,2018-10-03,27.1,27.5,25.6111,26.5,843158
9,2018-10-04,26.42,26.5,24.841,26.24,1672786
10,2018-10-05,26.04,26.04,24.75,24.84,583396
11,2018-10-08,24.51,24.51,23.0,23.16,2397001
12,2018-10-09,22.89,23.35,20.8309,21.32,2079900
13,2018-10-10,21.32,21.32,18.39,20.76,2360102
14,2018-10-11,20.16,21.14,20.16,20.31,2351785
15,2018-10-12,20.7,23.5652,20.7,23.3,2603435
16,2018-10-15,23.24,24.2,22.1127,23.01,567341
17,2018-10-16,24.105,25.22,23.6,24.99,2248602
18,2018-10-17,25.0,25.1562,23.53,24.18,695039
19,2018-10-18,24.09,24.48,22.61,22.98,563283
20,2018-10-19,23.17,23.4,20.59,21.0,959712
21,2018-10-22,21.18,22.4115,20.7,22.0,1107327
22,2018-10-23,21.54,21.54,19.7,20.37,3724899
23,2018-10-24,20.5,20.6,18.53,18.75,1224141
24,2018-10-25,19.07,20.25,18.76,20.19,1246457
25,2018-10-26,19.59,20.19,19.1,19.9,2349741
26,2018-10-29,19.82,20.3,19.16,19.55,932737
27,2018-10-30,19.51,21.18,19.5,20.94,1670660
28,2018-10-31,21.25,21.52,20.18,20.54,1450320
29,2018-11-01,20.54,22.24,20.42,22.0,882732
30,2018-11-02,22.66,22.98,20.74,21.31,822013
31,2018-11-05,21.27,21.61,20.37,20.81,565222
32,2018-11-06,20.85,21.85,20.38,21.71,356069
33,2018-11-07,21.8,22.3129,21.6,22.17,604227
34,2018-11-08,22.18,23.66,21.65,22.05,2156945
35,2018-11-09,22.42,24.7,21.7925,23.27,2213549
36,2018-11-12,23.05,23.14,20.66,21.12,1195721
37,2018-11-13,21.35,22.25,21.0001,21.75,884388
38,2018-11-14,21.85,22.59,21.77,22.32,895524
39,2018-11-15,22.34,23.96,22.1034,23.61,794671
40,2018-11-16,23.57,23.8,22.45,22.54,313679
41,2018-11-19,22.3,22.815,19.97,20.27,823105
42,2018-11-20,19.89,20.6,19.28,19.47,865931
43,2018-11-21,19.82,21.14,19.69,21.04,705277
44,2018-11-23,21.08,21.6,21.04,21.17,107844
45,2018-11-26,21.65,22.3,21.4,21.61,524306
46,2018-11-27,21.5,21.6,20.74,21.31,516019
47,2018-11-28,21.38,22.74,21.19,22.43,491258
48,2018-11-29,22.45,23.19,22.2,22.84,859531
49,2018-11-30,22.72,23.37,22.42,22.75,1274909
50,2018-12-03,24.43,24.5,22.39,22.45,606932
51,2018-12-04,22.4,22.51,21.51,22.19,394795
52,2018-12-06,21.87,22.425,21.46,22.33,453458
53,2018-12-07,22.15,22.98,21.94,22.11,625093
54,2018-12-10,22.0,22.45,21.65,22.28,357738
55,2018-12-11,22.53,22.96,22.11,22.55,259297
56,2018-12-12,22.93,24.2,22.05,23.15,690858
57,2018-12-13,23.28,24.3799,23.0,23.26,638632
58,2018-12-14,23.0,24.0,22.63,23.88,791024
59,2018-12-17,23.44,23.46,20.8,21.01,3403930
60,2018-12-18,21.29,21.99,20.76,21.12,1029904
61,2018-12-19,21.08,21.72,18.6,19.21,2649492
62,2018-12-20,19.01,19.55,16.4,18.62,3493842
63,2018-12-21,18.68,18.83,17.56,17.6,1199105
64,2018-12-24,17.56,17.64,16.77,17.01,590198
65,2018-12-26,17.3,17.88,16.96,17.34,2081547
66,2018-12-27,17.13,18.0,17.0,17.8,1040463
67,2018-12-28,17.77,18.13,17.18,17.95,937981
68,2018-12-31,18.1,18.26,17.33,17.71,501796
69,2019-01-02,17.32,17.88,17.0,17.36,972412
70,2019-01-03,16.97,17.5,15.985,16.4,1108258
71,2019-01-04,16.48,17.49,16.4492,17.38,952617
72,2019-01-07,17.49,18.79,17.1,18.75,856363
73,2019-01-08,19.18,19.88,18.57,19.52,1103413
74,2019-01-09,19.79,20.03,19.33,19.54,833460
75,2019-01-10,19.4,19.45,18.41,19.14,648068
76,2019-01-11,18.86,18.93,18.18,18.47,499612
77,2019-01-14,18.03,18.76,17.67,18.55,580110
78,2019-01-15,18.6,19.13,18.2,18.98,579405
79,2019-01-16,19.0,19.85,18.93,19.63,704930
80,2019-01-17,19.68,20.1069,19.41,20.02,286932
81,2019-01-18,20.2,21.0,20.03,20.87,603444
82,2019-01-22,20.5,21.17,19.72,20.21,857574
83,2019-01-23,20.16,20.48,19.56,19.61,556066
84,2019-01-24,19.62,20.15,19.14,19.85,589468
85,2019-01-25,20.13,20.72,19.85,20.63,258297
86,2019-01-28,20.18,20.7,19.8,20.62,286425
87,2019-01-29,20.57,20.57,19.74,19.79,411480
88,2019-01-30,20.26,20.3,19.21,19.66,577694
89,2019-01-31,19.61,20.65,19.6,20.15,398504
90,2019-02-01,20.06,20.29,19.66,20.09,443360
91,2019-02-04,20.18,20.29,19.67,19.75,597883
92,2019-02-05,19.9,20.38,19.3,19.36,464500
93,2019-02-06,19.39,19.65,19.1,19.41,365586
94,2019-02-07,19.19,19.74,19.02,19.65,254484
95,2019-02-08,19.6,19.73,19.3804,19.49,426856
96,2019-02-11,19.62,19.92,19.0,19.14,473666
97,2019-02-12,19.44,19.47,18.985,19.28,729200
98,2019-02-13,19.45,19.65,19.0,19.04,915336
99,2019-02-14,19.03,19.48,18.55,19.0,506059
100,2019-02-15,19.02,19.6719,18.89,19.6,712833
101,2019-02-19,19.38,19.91,19.02,19.56,745580
102,2019-02-20,19.65,19.94,19.04,19.8,1003507
103,2019-02-21,19.92,19.97,19.54,19.79,1499493
104,2019-02-22,20.03,20.42,19.42,20.2,1768467
105,2019-02-25,20.44,22.03,20.21,21.85,3112267
