,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,8.81,9.38,8.63,9.25,253700
1,2000-01-04,8.81,9.25,8.69,9.06,208300
2,2000-01-05,9.13,9.25,9.0,9.0,107900
3,2000-01-06,9.0,9.25,9.0,9.06,363700
4,2000-01-07,9.13,9.19,9.0,9.19,308500
5,2000-01-10,9.31,9.5,9.25,9.38,193000
6,2000-01-11,9.44,9.5,9.06,9.06,191300
7,2000-01-12,9.13,9.19,8.63,8.81,251900
8,2000-01-13,8.81,9.06,8.75,9.0,155300
9,2000-01-14,9.06,9.19,8.81,9.06,125000
10,2000-01-18,9.13,9.19,8.81,8.94,96500
11,2000-01-19,8.94,9.06,8.75,9.0,92800
12,2000-01-20,9.13,9.38,9.06,9.19,227200
13,2000-01-21,9.25,9.44,9.06,9.19,151400
14,2000-01-24,9.31,9.31,9.0,9.19,177900
15,2000-01-25,8.5,8.5,7.94,8.25,585000
16,2000-01-26,8.5,8.63,8.25,8.31,174300
17,2000-01-27,8.25,8.44,8.06,8.13,263000
18,2000-01-28,8.06,8.06,6.75,7.13,3167200
19,2000-01-31,7.25,7.38,6.94,7.25,615400
20,2000-02-01,7.06,7.13,6.75,7.06,416700
21,2000-02-02,6.94,7.13,6.88,6.88,244100
22,2000-02-03,6.94,7.0,6.81,6.94,280100
23,2000-02-04,7.0,7.06,6.75,6.88,234600
24,2000-02-07,6.88,7.19,6.69,7.19,325600
25,2000-02-08,7.13,7.19,6.88,6.94,251700
26,2000-02-09,6.94,6.94,6.56,6.63,230800
27,2000-02-10,6.69,6.69,6.13,6.31,280300
28,2000-02-11,6.31,6.44,6.06,6.13,290300
29,2000-02-14,6.25,6.5,6.13,6.25,166300
30,2000-02-15,6.13,6.44,6.13,6.19,219700
31,2000-02-16,6.31,6.75,6.31,6.63,357200
32,2000-02-17,6.69,6.69,6.38,6.5,101300
33,2000-02-18,6.38,6.5,6.0,6.19,240800
34,2000-02-22,6.25,6.75,6.25,6.69,179600
35,2000-02-23,6.63,6.69,6.31,6.31,89900
36,2000-02-24,6.38,6.38,5.75,6.19,754800
37,2000-02-25,6.13,6.13,5.81,5.88,265500
38,2000-02-28,6.0,6.0,5.75,5.81,462800
39,2000-02-29,5.81,6.0,5.63,5.69,370700
40,2000-03-01,5.56,5.75,5.19,5.19,521600
41,2000-03-02,5.44,5.56,5.19,5.44,168100
42,2000-03-03,5.44,5.75,5.44,5.5,139500
43,2000-03-06,5.56,6.06,5.5,5.88,647400
44,2000-03-07,5.94,6.0,5.63,5.69,112700
45,2000-03-08,5.69,5.81,5.69,5.81,91800
46,2000-03-09,5.75,5.81,5.5,5.63,105000
47,2000-03-10,5.75,5.94,5.5,5.5,430100
48,2000-03-13,5.5,5.69,5.44,5.63,101200
49,2000-03-14,5.56,5.81,5.44,5.5,87900
50,2000-03-15,5.63,5.88,5.56,5.63,257800
51,2000-03-16,5.75,6.0,5.63,5.94,605700
52,2000-03-17,6.0,6.5,6.0,6.38,401100
53,2000-03-20,6.5,6.81,6.5,6.63,345700
54,2000-03-21,6.94,6.94,6.31,6.31,244800
55,2000-03-22,6.38,6.56,6.31,6.44,229300
56,2000-03-23,6.5,6.56,6.0,6.0,214100
57,2000-03-24,6.13,6.19,6.0,6.0,179700
58,2000-03-27,6.13,6.75,6.0,6.44,141400
59,2000-03-28,6.69,6.69,6.5,6.5,107100
60,2000-03-29,6.5,6.63,6.13,6.25,95600
61,2000-03-30,6.13,6.38,6.13,6.13,43900
62,2000-03-31,6.19,6.88,6.13,6.75,315400
63,2000-04-03,6.88,6.88,6.25,6.25,286800
64,2000-04-04,6.5,6.56,6.19,6.31,139600
65,2000-04-05,6.38,6.44,5.88,6.06,185500
66,2000-04-06,6.13,6.25,6.0,6.0,107100
67,2000-04-07,6.06,6.13,6.0,6.06,110900
68,2000-04-10,6.06,6.13,5.94,6.0,168200
69,2000-04-11,6.0,6.31,5.94,6.19,196800
70,2000-04-12,6.13,6.25,6.0,6.06,110900
71,2000-04-13,6.0,6.25,6.0,6.06,89900
72,2000-04-14,6.0,6.13,5.81,5.94,116600
73,2000-04-17,5.81,6.19,5.81,6.13,282700
74,2000-04-18,6.13,6.19,6.0,6.06,135800
75,2000-04-19,6.06,6.31,6.06,6.25,99400
76,2000-04-20,6.19,6.69,5.94,6.63,315200
77,2000-04-24,6.63,6.63,6.06,6.06,114800
78,2000-04-25,6.19,6.19,5.94,6.19,185300
79,2000-04-26,6.31,8.56,6.31,8.56,1300300
80,2000-04-27,8.5,9.44,8.19,9.38,1348900
81,2000-04-28,9.25,9.31,8.75,9.13,492900
82,2000-05-01,9.06,9.13,8.94,9.0,168200
83,2000-05-02,9.0,9.0,7.94,8.44,321100
84,2000-05-03,8.5,8.56,8.38,8.5,101300
85,2000-05-04,8.44,8.63,8.44,8.5,107000
86,2000-05-05,8.44,8.5,8.38,8.44,63100
87,2000-05-08,8.69,8.69,7.94,8.0,118500
88,2000-05-09,7.88,8.0,7.75,7.94,158600
89,2000-05-10,8.0,8.25,7.88,7.94,70700
90,2000-05-11,7.88,8.56,7.81,8.06,119500
91,2000-05-12,7.94,8.5,7.94,8.5,96300
92,2000-05-15,8.5,8.69,8.31,8.69,65500
93,2000-05-16,8.69,8.81,8.25,8.44,129000
94,2000-05-17,8.56,8.69,8.38,8.69,104000
95,2000-05-18,8.81,8.81,8.31,8.63,117400
96,2000-05-19,8.5,8.56,8.38,8.56,67400
97,2000-05-22,8.56,8.56,8.0,8.06,50100
98,2000-05-23,8.0,8.06,7.88,8.0,40500
99,2000-05-24,7.94,8.06,7.63,7.81,154100
100,2000-05-25,7.88,8.0,7.63,7.69,53900
101,2000-05-26,7.69,7.75,7.25,7.25,104000
102,2000-05-30,7.38,8.19,7.31,8.13,111600
103,2000-05-31,8.25,8.44,8.25,8.44,98200
104,2000-06-01,8.56,8.56,8.31,8.44,63500
105,2000-06-02,8.56,8.56,8.38,8.5,80900
106,2000-06-05,8.56,8.75,8.19,8.31,96300
107,2000-06-06,8.38,8.38,8.0,8.0,88600
108,2000-06-07,7.94,8.31,7.94,8.19,61600
109,2000-06-08,8.13,8.69,8.13,8.56,140600
110,2000-06-09,8.63,8.69,8.38,8.63,65500
111,2000-06-12,8.69,8.75,8.44,8.63,77000
112,2000-06-13,8.56,8.56,8.31,8.44,92400
113,2000-06-14,8.5,8.56,8.38,8.44,34700
114,2000-06-15,8.44,8.75,7.63,7.88,213700
115,2000-06-16,7.94,8.06,7.81,7.94,154000
116,2000-06-19,8.06,8.63,8.0,8.44,250300
117,2000-06-20,8.44,8.44,8.06,8.13,90500
118,2000-06-21,8.44,8.56,8.38,8.44,105900
119,2000-06-22,8.56,8.56,8.44,8.44,84700
120,2000-06-23,8.44,8.56,8.44,8.5,61600
121,2000-06-26,8.56,8.56,8.25,8.31,38500
122,2000-06-27,8.44,8.44,8.31,8.38,57800
123,2000-06-28,8.31,8.56,8.31,8.56,115600
124,2000-06-29,8.5,8.5,8.25,8.31,119500
125,2000-06-30,8.38,8.63,8.25,8.63,129000
126,2000-07-03,8.5,8.69,8.44,8.69,38500
127,2000-07-05,8.56,8.69,8.31,8.38,57800
128,2000-07-06,8.31,8.44,8.19,8.25,19300
129,2000-07-07,8.25,8.31,7.88,7.94,146300
130,2000-07-10,8.06,8.63,7.88,8.38,55800
