,DateTime,Open,High,Low,Close,Volume
0,2015-08-12,34.65,47.38,33.01,43.11,6957368
1,2015-08-13,41.02,42.0,37.161,39.03,822221
2,2015-08-14,39.45,46.89,38.99,45.67,379494
3,2015-08-17,46.25,55.44,45.81,53.3001,739387
4,2015-08-18,52.95,52.95,44.6501,45.06,656375
5,2015-08-19,45.55,45.95,41.24,44.1599,247596
6,2015-08-20,43.56,46.3699,42.07,44.97,233360
7,2015-08-21,44.1,46.0284,42.23,45.6,408639
8,2015-08-24,42.81,45.4255,36.363,39.5001,299743
9,2015-08-25,45.5,45.5,40.0,42.885,102536
10,2015-08-26,44.32,44.32,38.51,40.6,291533
11,2015-08-27,41.68,42.7,41.513,42.01,73946
12,2015-08-28,41.78,46.95,40.66,45.44,106934
13,2015-08-31,45.68,50.5,45.445,49.09,252803
14,2015-09-01,47.51,50.0,46.51,49.12,70432
15,2015-09-02,49.05,52.0,48.69,52.0,231872
16,2015-09-03,51.75,52.895,51.01,51.93,152086
17,2015-09-04,51.7,52.965,50.71,52.9,44792
18,2015-09-08,54.0,57.0,49.63,52.03,269068
19,2015-09-09,52.57,53.0,51.33,52.79,68763
20,2015-09-10,52.49,53.964,51.79,53.06,51652
21,2015-09-11,53.06,53.355,51.8,52.72,46426
22,2015-09-14,53.06,53.645,51.02,52.535,33067
23,2015-09-15,52.63,54.0,52.61,53.05,42831
24,2015-09-16,52.89,53.49,52.02,52.13,77587
25,2015-09-17,52.01,52.71,51.27,52.165,65391
26,2015-09-18,51.22,52.68,51.22,52.21,113464
27,2015-09-21,53.95,53.95,47.02,47.25,157745
28,2015-09-22,47.07,48.845,43.29,45.945,251931
29,2015-09-23,46.34,47.69,46.07,46.49,66815
30,2015-09-24,46.17,46.69,44.9,45.1,89572
31,2015-09-25,46.555,47.57,43.79,44.85,121149
32,2015-09-28,44.86,45.59,36.36,37.62,346619
33,2015-09-29,38.06,43.74,36.475,39.93,271571
34,2015-09-30,40.29,45.07,40.29,42.13,877621
35,2015-10-01,42.5,44.43,40.925,43.54,201316
36,2015-10-02,42.89,46.98,42.815,46.89,117459
37,2015-10-05,47.89,51.24,47.13,49.23,115995
38,2015-10-06,48.91,49.39,46.26,48.0,146266
39,2015-10-07,48.31,49.535,46.77,49.0,151835
40,2015-10-08,48.67,48.9,47.05,48.0,95549
41,2015-10-09,48.0,49.08,47.92,48.466,27206
42,2015-10-12,48.51,49.2645,47.5701,47.6,110187
43,2015-10-13,47.45,48.15,46.5,47.0,194556
44,2015-10-14,46.93,47.614,45.245,47.25,118149
45,2015-10-15,47.22,47.66,45.67,47.03,107058
46,2015-10-16,47.39,47.46,45.87,47.0,64052
47,2015-10-19,46.4,50.98,45.776,49.23,186990
48,2015-10-20,49.52,50.1264,47.4,48.5,127805
49,2015-10-21,48.81,49.2,44.48,44.64,174577
50,2015-10-22,45.0,46.04,44.25,45.025,192316
51,2015-10-23,45.68,47.68,45.24,45.84,98952
