,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,2.3125,2.75,2.3125,2.75,26700
1,2000-01-04,2.75,2.75,2.5,2.625,8500
2,2000-01-05,2.6255,2.7505,2.6255,2.688,17699
3,2000-01-06,2.75,2.9375,2.6875,2.75,23500
4,2000-01-07,2.75,2.875,2.75,2.875,4600
5,2000-01-10,2.875,2.9375,2.8125,2.875,22600
6,2000-01-11,2.8125,2.9375,2.75,2.75,5200
7,2000-01-12,2.8755,2.938,2.7505,2.813,18298
8,2000-01-13,2.875,2.9375,2.875,2.875,11900
9,2000-01-14,2.8755,3.0005,2.8755,2.938,11399
10,2000-01-18,2.875,2.875,2.875,2.875,1500
11,2000-01-19,2.8125,2.9375,2.8125,2.875,16500
12,2000-01-20,2.9375,3.0,2.875,3.0,34700
13,2000-01-21,3.0,3.0,2.9375,3.0,9500
14,2000-01-24,3.0,3.0,2.6875,3.0,51600
15,2000-01-25,3.0,3.0,2.9375,3.0,12500
16,2000-01-26,3.0,3.0,2.9375,3.0,6500
17,2000-01-27,3.0005,3.063,3.0005,3.063,4300
18,2000-01-28,3.0625,4.25,3.0625,4.125,82400
19,2000-01-31,4.5014,4.5648,4.3112,4.438,95233
20,2000-02-01,4.75,5.75,4.75,5.5,151100
21,2000-02-02,5.241,5.728,4.753,4.875,85241
22,2000-02-03,4.8755,5.188,4.8755,5.188,28299
23,2000-02-04,5.063,5.6255,5.063,5.563,37799
24,2000-02-07,5.5,5.5625,5.0625,5.125,35900
25,2000-02-08,5.375,5.375,5.0,5.125,27200
26,2000-02-09,4.9375,4.9375,4.4375,4.875,75600
27,2000-02-10,4.9375,5.125,4.75,5.125,47900
28,2000-02-11,5.1255,5.3755,5.1255,5.313,35198
29,2000-02-14,5.25,5.5625,5.1875,5.5,27500
30,2000-02-15,5.6,5.688,5.3722,5.625,28481
31,2000-02-16,5.625,6.5,5.625,6.25,42500
32,2000-02-17,6.2506,6.2506,5.563,5.563,18599
33,2000-02-18,5.6875,5.875,5.0,5.0,56600
34,2000-02-22,5.063,5.313,4.7505,5.188,34699
35,2000-02-23,5.3125,5.5,5.125,5.375,28000
36,2000-02-24,5.375,5.375,5.0,5.125,14500
37,2000-02-25,5.125,5.125,4.75,5.0,13200
38,2000-02-28,5.0,5.125,5.0,5.0,7900
39,2000-02-29,5.0,5.0,4.75,4.875,2500
40,2000-03-01,4.875,5.0,4.875,5.0,13500
41,2000-03-02,4.875,4.875,4.5625,4.625,21800
42,2000-03-03,4.5,4.75,4.5,4.75,10500
43,2000-03-06,4.6875,4.875,4.625,4.875,4100
44,2000-03-07,4.75,4.8125,4.625,4.625,18400
45,2000-03-08,4.625,4.75,4.5625,4.625,12700
46,2000-03-09,4.5,4.5,4.3125,4.375,11400
47,2000-03-10,4.375,4.5,4.375,4.375,14300
48,2000-03-13,4.5625,5.0,4.5625,5.0,22900
49,2000-03-14,5.0,5.0,4.875,4.875,11800
50,2000-03-15,4.75,5.125,4.75,5.125,21100
51,2000-03-16,5.1875,5.25,5.0625,5.125,4800
52,2000-03-17,5.0,5.0625,5.0,5.0,11200
53,2000-03-20,5.0005,5.0005,4.8755,4.938,9500
54,2000-03-21,4.875,4.875,4.75,4.75,6100
55,2000-03-22,4.75,4.75,4.75,4.75,5300
56,2000-03-23,4.3755,4.563,4.3755,4.563,16099
57,2000-03-24,4.5,4.75,4.5,4.75,8800
58,2000-03-27,4.688,4.688,4.688,4.688,4300
59,2000-03-28,4.688,4.938,4.688,4.938,11400
60,2000-03-29,5.0005,5.063,5.0005,5.063,9100
61,2000-03-30,5.063,5.063,5.0005,5.063,3000
62,2000-03-31,5.1255,5.1255,5.0005,5.063,13300
63,2000-04-03,5.0,5.25,5.0,5.25,6300
64,2000-04-04,5.25,5.3125,4.875,5.125,26800
65,2000-04-05,5.0005,5.063,5.0005,5.063,2100
66,2000-04-06,5.063,5.6255,5.0004,5.563,30199
67,2000-04-07,5.4375,5.5,5.25,5.5,10900
68,2000-04-10,5.375,5.4375,5.3125,5.375,8700
69,2000-04-11,5.3125,5.3125,5.125,5.25,5200
70,2000-04-12,5.125,5.125,5.0,5.0,11300
71,2000-04-13,4.9375,5.0,4.9375,5.0,15500
72,2000-04-14,4.9375,4.9375,4.875,4.875,3000
