,DateTime,Open,High,Low,Close,Volume
0,2011-07-01,12.4,12.65,12.3,12.5,2400
1,2011-07-05,12.2,12.3,12.05,12.15,10300
2,2011-07-06,12.2,12.5,11.85,12.5,2300
3,2011-07-07,12.45,12.45,12.1,12.3,2300
4,2011-07-08,12.4,12.4,12.0,12.4,2700
5,2011-07-11,12.45,13.05,12.3,12.75,234400
6,2011-07-12,13.0,13.0,12.55,12.75,160200
7,2011-07-13,12.85,13.0,12.55,13.0,43000
8,2011-07-14,12.75,12.9,12.25,12.55,17200
9,2011-07-15,12.55,12.75,12.35,12.6,7500
10,2011-07-18,12.6,12.7,12.45,12.45,3400
11,2011-07-19,12.7,12.7,12.25,12.5,2600
12,2011-07-20,12.7,12.7,12.15,12.15,8500
13,2011-07-21,12.4,13.05,12.4,13.0,65700
14,2011-07-22,13.05,13.25,12.45,12.63,416100
15,2011-07-25,12.65,12.7,12.2,12.55,10000
16,2011-07-26,12.75,12.75,12.4,12.45,13500
17,2011-07-27,12.65,12.65,12.25,12.5,1100
18,2011-07-28,12.45,12.5,12.16,12.25,2300
19,2011-07-29,12.25,12.45,11.55,11.8,10600
20,2011-08-01,12.0,12.15,11.5,11.7,13000
21,2011-08-02,11.65,11.75,11.4,11.4,4500
22,2011-08-03,11.3,11.5,8.3,10.95,26200
23,2011-08-04,11.1,11.1,10.5,10.9,5700
24,2011-08-05,10.8,11.15,10.6,10.95,10600
25,2011-08-08,10.75,11.15,10.2,10.95,52500
26,2011-08-09,10.8,10.95,10.55,10.55,3600
27,2011-08-10,10.6,10.85,10.2,10.5,6100
28,2011-08-11,10.55,10.9,10.55,10.55,900
29,2011-08-12,10.75,10.9,10.65,10.75,5300
30,2011-08-15,10.75,11.05,10.65,10.65,2100
31,2011-08-16,10.85,11.05,10.15,10.65,7000
32,2011-08-17,10.9,10.9,10.65,10.7,1200
33,2011-08-18,10.65,10.9,10.05,10.6,4600
34,2011-08-19,10.4,10.5,9.8,10.0,4700
35,2011-08-22,10.4,10.6,9.65,9.75,2900
36,2011-08-23,9.85,10.25,9.65,10.25,9000
37,2011-08-24,10.45,10.55,10.3,10.5,900
38,2011-08-25,10.35,10.75,10.05,10.1,2400
39,2011-08-26,10.08,10.45,9.8,9.85,8100
40,2011-08-29,10.05,10.05,9.65,9.65,12800
41,2011-08-30,9.65,9.9,9.65,9.85,19600
42,2011-08-31,9.65,9.9,9.5,9.85,7800
43,2011-09-01,9.85,10.2,9.7,9.85,11900
44,2011-09-02,9.8,10.1,9.5,9.85,5000
45,2011-09-06,9.75,9.9,9.65,9.85,5400
46,2011-09-07,9.7,9.9,9.55,9.75,1300
47,2011-09-08,9.85,9.9,9.5,9.8,3900
48,2011-09-09,9.7,9.8,9.3,9.75,3300
49,2011-09-12,9.8,9.8,8.53,9.15,4900
50,2011-09-13,9.1,9.35,9.1,9.15,900
51,2011-09-14,9.7,9.7,9.1,9.35,2500
52,2011-09-15,9.8,9.9,9.3,9.4,25100
53,2011-09-16,9.3,9.65,9.0,9.65,6600
54,2011-09-19,9.9,9.9,9.25,9.75,400
55,2011-09-20,9.9,12.25,9.69,11.6,235600
56,2011-09-21,11.65,11.65,10.88,11.15,7500
57,2011-09-22,10.25,11.6,10.25,11.4,9100
58,2011-09-23,11.35,12.25,11.1,11.85,5200
59,2011-09-26,12.2,12.2,11.3,11.45,4200
60,2011-09-27,11.4,12.65,11.4,12.55,141500
61,2011-09-28,11.55,12.65,11.55,12.3,24800
62,2011-09-29,12.3,12.6,12.3,12.5,5200
63,2011-09-30,12.5,12.7,12.22,12.6,5000
64,2011-10-03,12.3,12.65,12.25,12.6,6600
65,2011-10-04,12.3,13.7,12.05,13.2,21500
66,2011-10-05,13.05,13.3,12.6,13.3,5600
67,2011-10-06,12.9,13.75,12.5,13.25,16800
68,2011-10-07,13.25,13.65,12.95,13.0,5200
69,2011-10-10,13.15,13.35,13.15,13.2,700
70,2011-10-11,13.4,13.4,13.15,13.35,1000
71,2011-10-12,13.35,14.0,13.32,13.75,8700
72,2011-10-13,14.0,14.0,13.7,13.7,4400
73,2011-10-14,13.8,13.8,13.55,13.55,600
74,2011-10-17,14.0,14.25,13.9,14.07,2200
75,2011-10-18,14.0,14.15,13.6,13.7,3200
76,2011-10-19,13.7,14.1,13.7,14.1,2000
77,2011-10-20,14.0,14.15,13.55,14.15,6400
78,2011-10-21,14.0,14.15,13.86,14.0,24800
79,2011-10-24,14.1,14.5,14.01,14.5,19600
80,2011-10-25,14.5,15.15,14.4,15.15,13300
81,2011-10-26,15.1,15.25,14.55,15.0,20500
82,2011-10-27,15.4,15.8,14.5,14.7,12500
83,2011-10-28,15.05,15.2,14.55,15.2,1700
84,2011-10-31,15.2,15.65,15.0,15.15,6000
85,2011-11-01,14.95,15.5,14.82,15.1,7800
86,2011-11-02,15.72,15.72,14.75,15.35,3600
87,2011-11-04,15.0,15.0,10.26,14.95,1142
88,2011-11-07,15.0,15.0,10.04,13.4,236787
89,2011-11-08,13.0,13.82,13.0,13.59,7298
90,2011-11-09,12.52,14.98,12.226,14.74,258656
91,2011-11-10,14.69,15.0,14.455,15.0,5430
92,2011-11-11,14.75,15.72,14.75,15.55,14104
93,2011-11-14,15.66,16.0,15.66,16.0,17226
94,2011-11-15,15.8,16.25,15.8,16.25,4564
95,2011-11-16,16.05,16.06,15.91,16.05,21900
96,2011-11-17,15.6,16.05,14.07,16.05,33613
97,2011-11-18,14.64,16.5,14.64,16.45,6930
98,2011-11-21,16.0,16.4,16.0,16.35,7720
99,2011-11-22,16.45,16.5,16.4,16.5,7324
100,2011-11-23,16.25,16.65,16.195,16.65,13421
101,2011-11-25,16.79,16.94,16.79,16.91,600
102,2011-11-28,16.94,16.94,16.75,16.75,3079
103,2011-11-29,13.01,16.8001,13.01,16.8,8867
104,2011-11-30,16.92,17.57,16.92,17.57,12694
105,2011-12-01,17.63,18.0,17.5,18.0,11354
106,2011-12-02,18.41,18.42,17.81,18.0,155302
107,2011-12-05,18.41,18.41,18.0,18.1,2581
108,2011-12-06,18.38,18.5506,18.09,18.51,21117
109,2011-12-07,18.75,18.8,18.57,18.8,5982
110,2011-12-08,18.9,19.74,18.8,19.74,66260
111,2011-12-09,19.77,20.0,19.4,19.555,129683
112,2011-12-12,19.26,19.82,19.02,19.82,22229
113,2011-12-13,19.93,20.26,19.9,20.26,67272
114,2011-12-14,20.5,22.64,20.5,22.24,17353
115,2011-12-15,22.59,22.59,22.0,22.16,13699
116,2011-12-16,22.55,22.69,20.0,22.18,25075
117,2011-12-19,22.0,22.7,21.05,22.5,59666
118,2011-12-20,22.9,23.1,22.47,23.0,10000
119,2011-12-21,23.15,23.2499,21.91,22.89,2900
120,2011-12-22,23.55,24.12,23.27,24.04,60604
121,2011-12-23,24.29,25.0,24.29,24.5,7750
122,2011-12-27,24.56,25.5999,24.45,25.5745,37959
123,2011-12-28,25.8,25.986,25.25,25.48,21427
124,2011-12-29,25.47,26.99,25.3748,26.79,17110
125,2011-12-30,27.33,27.42,24.63,26.6,24604
126,2012-01-03,26.38,26.38,25.41,25.804,28242
127,2012-01-04,25.36,25.39,24.5,25.18,14938
128,2012-01-05,26.07,30.2,25.77,28.9,409170
129,2012-01-06,28.76,30.4,28.45,30.33,60832
130,2012-01-09,30.46,32.0,29.5,31.48,43526
131,2012-01-10,30.01,31.65,30.0,31.39,24665
132,2012-01-11,31.61,34.95,30.3,34.5,97543
133,2012-01-12,34.64,37.48,34.0,37.24,71633
134,2012-01-13,37.52,37.93,35.74,36.0,97366
135,2012-01-17,36.18,37.84,36.02,36.79,56579
136,2012-01-18,35.95,36.77,35.02,35.53,66498
137,2012-01-19,35.77,35.77,32.4,35.12,101317
138,2012-01-20,35.12,35.77,35.05,35.3889,9521
139,2012-01-23,36.34,36.34,35.02,36.28,16178
140,2012-01-24,36.06,36.54,34.78,36.51,9106
141,2012-01-25,35.24,36.64,35.2,36.05,27641
142,2012-01-26,35.85,36.13,35.67,35.67,13660
143,2012-01-27,34.49,35.6799,34.49,35.23,8280
144,2012-01-30,35.86,35.9,34.77,35.47,14295
145,2012-01-31,35.12,35.72,34.4,35.69,64676
146,2012-02-01,35.43,35.98,35.18,35.56,19305
147,2012-02-02,35.0,35.5,33.86,33.86,247510
148,2012-02-03,34.01,35.45,33.01,35.16,242447
149,2012-02-06,34.96,35.9,34.26,35.6099,28431
150,2012-02-07,35.26,35.5,34.734,35.5,13130
151,2012-02-08,35.3,35.52,34.02,34.7,9761
152,2012-02-09,34.26,35.0,33.57,34.96,24072
153,2012-02-10,34.99,35.6,34.09,35.6,39348
154,2012-02-13,35.37,37.79,34.66,37.544,140438
155,2012-02-14,37.18,37.8,35.84,36.19,178671
156,2012-02-15,36.37,37.76,35.95,37.75,307696
157,2012-02-16,37.79,38.3,37.26,38.2899,49043
158,2012-02-17,38.61,38.835,38.08,38.73,51816
159,2012-02-21,38.4,38.9,37.75,38.77,30885
160,2012-02-22,38.76,39.0,38.3,38.91,39577
161,2012-02-23,38.89,39.1,37.52,38.0,134494
162,2012-02-24,37.7,38.0,36.75,37.45,169770
163,2012-02-27,36.16,37.99,35.7701,37.35,32034
164,2012-02-28,37.5899,38.0399,36.5,36.75,24000
165,2012-02-29,38.69,39.33,37.02,37.02,257795
166,2012-03-01,38.03,38.03,34.95,35.27,257307
167,2012-03-02,35.16,37.43,34.88,35.34,26707
168,2012-03-05,35.19,35.3,34.24,34.39,17510
169,2012-03-06,34.11,34.37,33.06,33.59,35326
170,2012-03-07,31.53,33.32,31.53,33.32,20600
171,2012-03-08,33.49,33.49,32.9,33.15,46645
172,2012-03-09,33.35,33.5,33.02,33.1,39813
173,2012-03-12,33.178,33.19,32.95,33.07,19905
174,2012-03-13,32.0,32.78,32.0,32.76,36929
175,2012-03-14,32.66,33.18,32.4814,32.86,68828
176,2012-03-15,32.79,33.31,32.48,32.91,60066
177,2012-03-16,33.03,34.25,32.565,33.04,115702
178,2012-03-19,33.39,33.49,32.36,33.12,36979
179,2012-03-20,33.0,34.43,32.68,34.13,53940
180,2012-03-21,33.31,34.48,33.31,34.41,42113
181,2012-03-22,34.41,34.41,33.47,34.04,24254
182,2012-03-23,33.96,33.96,33.36,33.65,97019
183,2012-03-26,33.84,36.8,33.54,36.2,138307
184,2012-03-27,36.5,37.03,36.041,36.63,68015
185,2012-03-28,36.56,36.96,34.85,34.95,38668
186,2012-03-29,34.7,35.405,34.51,35.39,27394
187,2012-03-30,35.4,35.99,34.79,35.84,26482
188,2012-04-02,34.71,35.115,33.7901,34.5,180322
189,2012-04-03,34.45,34.45,33.41,33.56,23161
190,2012-04-04,33.44,33.4692,32.7,33.23,40286
191,2012-04-05,33.39,34.0,33.13,33.73,78448
192,2012-04-09,33.52,33.52,33.0,33.5,48722
193,2012-04-10,33.56,33.59,33.18,33.54,181251
194,2012-04-11,33.53,34.215,33.37,34.02,73780
195,2012-04-12,33.65,34.13,33.6,33.77,22992
196,2012-04-13,33.81,34.31,33.43,33.77,40275
197,2012-04-16,33.62,33.75,33.25,33.7,45105
198,2012-04-17,33.67,33.69,33.24,33.58,85944
199,2012-04-18,33.43,34.39,33.34,34.3,41290
200,2012-04-19,34.3,35.06,34.035,34.86,72606
201,2012-04-20,38.53,40.0,37.25,40.0,156799
202,2012-04-23,39.97,40.38,38.27,38.49,90207
203,2012-04-24,38.43,39.21,37.36,38.39,87882
204,2012-04-25,38.5,38.895,37.57,37.7,111294
205,2012-04-26,37.67,38.26,36.851,37.79,89779
206,2012-04-27,37.6,38.01,37.06,37.47,118672
207,2012-04-30,37.41,38.15,36.85,37.65,164768
208,2012-05-01,37.78,38.0,36.99,36.99,43300
209,2012-05-02,36.99,37.0,36.051,36.72,63991
210,2012-05-03,37.15,37.2425,35.83,36.39,58045
211,2012-05-04,36.31,36.68,35.93,35.93,70714
212,2012-05-07,35.86,36.155,35.76,35.95,28408
213,2012-05-08,36.57,36.73,35.19,35.87,54406
214,2012-05-09,35.72,36.31,35.02,35.86,61244
215,2012-05-10,36.03,36.99,35.51,36.62,115892
216,2012-05-11,36.41,37.0,35.74,37.0,45701
217,2012-05-14,36.6,38.84,36.4,38.36,96004
218,2012-05-15,38.51,39.11,37.82,38.95,56673
219,2012-05-16,38.53,39.5,37.52,38.38,127141
220,2012-05-17,38.465,38.88,36.69,37.3201,103733
221,2012-05-18,37.57,39.16,37.09,38.68,90511
222,2012-05-21,38.68,39.66,37.78,39.29,107506
223,2012-05-22,39.42,39.83,38.51,39.15,65842
224,2012-05-23,38.96,38.96,37.94,38.56,51128
225,2012-05-24,38.7,38.77,36.03,38.06,92672
226,2012-05-25,38.18,38.18,37.07,37.75,21381
227,2012-05-29,38.21,38.71,37.44,38.23,88628
228,2012-05-30,38.03,38.43,37.14,38.31,74165
229,2012-05-31,38.31,39.5,38.04,38.89,540808
230,2012-06-01,38.54,38.54,34.59,35.06,140215
231,2012-06-04,34.81,35.26,34.01,35.1,84901
232,2012-06-05,34.86,36.57,34.74,36.22,44051
233,2012-06-06,36.33,36.45,34.79,35.05,43871
234,2012-06-07,35.37,35.81,34.89,35.17,29862
235,2012-06-08,35.24,37.64,34.12,37.57,82281
236,2012-06-11,37.59,38.27,36.31,36.68,85974
237,2012-06-12,36.57,36.92,35.01,35.63,100332
238,2012-06-13,35.63,37.81,35.26,37.79,87159
239,2012-06-14,37.59,38.1,37.03,37.47,203784
240,2012-06-15,37.67,38.38,35.69,38.06,112882
241,2012-06-18,38.47,38.47,36.35,37.51,104030
242,2012-06-19,36.45,38.05,36.45,37.93,77115
243,2012-06-20,37.64,38.97,37.09,38.88,64772
244,2012-06-21,38.13,38.97,37.54,37.69,120901
245,2012-06-22,38.25,39.14,38.0,38.66,1244828
246,2012-06-25,38.66,41.27,38.65,40.58,360141
247,2012-06-26,40.94,41.22,39.6901,39.8,194868
248,2012-06-27,40.0,41.196,39.56,40.64,522438
249,2012-06-28,40.67,41.36,39.02,39.79,144292
250,2012-06-29,40.72,42.38,40.33,40.55,141268
251,2012-07-02,40.14,41.51,39.8901,41.21,132155
252,2012-07-03,41.53,41.91,40.3,41.5,63865
253,2012-07-05,41.44,41.86,41.13,41.5,88460
254,2012-07-06,41.2,41.99,40.01,41.36,47467
255,2012-07-09,41.47,41.49,40.81,41.2,22013
256,2012-07-10,43.44,45.61,43.03,45.34,718803
257,2012-07-11,45.2,45.98,43.9201,45.86,162789
258,2012-07-12,45.25,47.45,45.23,47.09,152847
259,2012-07-13,46.96,47.41,45.8501,47.19,64466
260,2012-07-16,47.5,49.23,47.32,49.1,182978
261,2012-07-17,49.16,49.93,48.4,49.04,277543
262,2012-07-18,49.16,49.5,48.476,48.63,141589
263,2012-07-19,48.9,50.0,48.64,49.98,219643
264,2012-07-20,50.0,50.04,49.42,49.71,147118
265,2012-07-23,48.97,49.81,48.69,49.31,61621
266,2012-07-24,49.46,49.74,48.92,49.036,50943
267,2012-07-25,49.3,49.48,48.34,49.01,74943
268,2012-07-26,49.15,50.03,49.12,50.0,64534
269,2012-07-27,49.84,50.6,49.64,50.19,76277
270,2012-07-30,50.51,50.5599,49.4301,50.1399,37569
271,2012-07-31,50.01,50.85,49.3,50.0,187256
272,2012-08-01,50.27,50.74,48.74,48.8,83936
273,2012-08-02,47.42,47.42,44.54,46.26,280522
274,2012-08-03,46.34,48.64,45.8,48.374,163852
275,2012-08-06,48.32,50.12,48.17,49.99,77677
276,2012-08-07,49.94,50.5578,49.66,49.88,80792
277,2012-08-08,49.94,49.94,49.12,49.59,49854
278,2012-08-09,49.71,49.96,48.92,49.41,194698
279,2012-08-10,48.4,49.835,48.14,49.21,192960
280,2012-08-13,49.01,49.5,48.4,48.96,165314
281,2012-08-14,49.25,49.32,48.53,49.19,118607
282,2012-08-15,48.9,49.84,48.36,49.46,59881
283,2012-08-16,49.2,49.51,48.5,49.26,41843
284,2012-08-17,49.17,50.08,48.67,49.74,50102
285,2012-08-20,49.43,49.74,48.34,48.39,104264
286,2012-08-21,48.53,49.2499,48.03,49.04,69545
287,2012-08-22,47.42,49.55,47.42,49.5,39578
288,2012-08-23,49.21,49.2156,48.49,49.14,60983
289,2012-08-24,49.0,49.265,48.62,48.91,63967
290,2012-08-27,48.9,50.1,48.83,50.01,120235
291,2012-08-28,50.04,50.5,49.65,50.16,141425
292,2012-08-29,50.37,50.49,49.75,50.32,73600
293,2012-08-30,50.07,50.55,49.91,50.13,48488
294,2012-08-31,50.23,50.36,49.28,49.84,64245
295,2012-09-04,49.68,49.9894,47.35,49.79,122875
296,2012-09-05,49.62,49.62,48.51,48.85,84012
297,2012-09-06,49.8,50.8,49.271,50.73,181766
298,2012-09-07,50.74,52.5206,50.64,52.48,139292
299,2012-09-10,50.16,51.87,50.16,50.75,119450
300,2012-09-11,51.02,52.3183,49.52,52.22,77320
301,2012-09-12,52.0,52.64,51.57,52.49,51069
302,2012-09-13,52.35,56.885,52.35,54.7,236909
303,2012-09-14,54.95,54.9799,52.68,52.98,79616
304,2012-09-17,53.14,53.61,52.3,53.25,85917
305,2012-09-18,53.4,54.47,53.4,54.05,69816
306,2012-09-19,54.09,54.4599,53.42,53.57,52913
307,2012-09-20,53.47,53.47,51.83,52.05,45343
308,2012-09-21,52.31,55.33,50.37,53.73,210835
309,2012-09-24,53.48,54.55,53.36,54.48,72226
310,2012-09-25,54.55,55.66,54.04,54.5,87510
311,2012-09-26,54.59,54.59,52.97,53.14,63433
312,2012-09-27,53.59,53.69,52.64,53.36,40863
313,2012-09-28,53.11,53.59,52.58,53.42,85521
314,2012-10-01,53.78,55.26,52.69,54.11,57547
315,2012-10-02,54.36,56.23,53.8,55.93,42996
316,2012-10-03,56.15,56.81,55.21,56.79,61400
317,2012-10-04,57.0,57.55,56.11,57.55,57373
318,2012-10-05,57.55,58.0,57.5,57.85,67231
319,2012-10-08,57.7,58.0,56.08,56.46,67793
320,2012-10-09,56.36,56.3699,55.53,55.84,121474
321,2012-10-10,55.75,56.0,55.22,55.37,44403
322,2012-10-11,55.5,55.5,51.5,52.16,286380
323,2012-10-12,52.29,52.5083,49.24,50.96,141249
324,2012-10-15,50.48,52.27,50.24,51.3176,78654
325,2012-10-16,51.63,51.63,49.5,50.32,183636
326,2012-10-17,50.08,51.03,49.3,50.9769,97154
327,2012-10-18,50.97,52.0,50.64,51.25,112309
328,2012-10-19,50.92,51.13,47.93,48.39,136289
329,2012-10-22,48.29,48.68,45.84,46.3,109893
330,2012-10-23,45.88,46.21,44.18,46.2,69857
331,2012-10-24,46.47,46.93,45.75,45.8584,34505
332,2012-10-25,46.27,46.8,45.0,45.45,57210
333,2012-10-26,45.22,45.52,43.34,43.82,31198
334,2012-10-31,44.28,44.33,41.49,42.35,83076
335,2012-11-01,42.95,43.6354,42.5117,43.3,91456
336,2012-11-02,43.48,43.48,41.94,42.52,46396
337,2012-11-05,42.55,43.49,42.45,42.47,31339
338,2012-11-06,42.72,43.58,42.68,42.85,68678
339,2012-11-07,42.54,43.1094,42.45,42.9,71087
340,2012-11-08,42.81,42.91,42.45,42.65,51996
341,2012-11-09,42.83,45.73,42.46,44.7,95665
342,2012-11-12,44.99,47.32,44.89,47.03,137312
343,2012-11-13,46.92,47.66,45.2,47.01,61198
344,2012-11-14,47.27,48.0,46.94,47.76,109182
345,2012-11-15,47.7,47.94,43.33,46.51,231276
346,2012-11-16,46.25,49.51,45.7715,48.4,474594
347,2012-11-19,48.94,50.88,48.19,50.0,210797
348,2012-11-20,49.98,52.75,49.98,51.9,169542
349,2012-11-21,51.88,52.66,50.29,50.5,48049
350,2012-11-23,50.67,50.67,49.5,49.73,21029
351,2012-11-26,49.68,49.68,48.32,49.25,118258
352,2012-11-27,49.36,49.36,47.71,47.71,98844
353,2012-11-28,47.76,48.49,47.07,48.49,57017
354,2012-11-29,48.88,50.3,48.7,49.94,52272
355,2012-11-30,50.14,50.14,48.42,48.89,67621
356,2012-12-03,49.06,50.0,48.2,49.78,133113
357,2012-12-04,49.69,49.69,48.5,49.61,126334
358,2012-12-05,49.67,49.67,47.24,47.54,72271
359,2012-12-06,47.46,48.25,46.02,47.32,107639
360,2012-12-07,47.21,48.865,46.986,48.77,73999
361,2012-12-10,48.93,49.2,48.545,49.0,49298
362,2012-12-11,49.41,49.42,47.84,48.34,169071
363,2012-12-12,48.66,48.66,46.57,47.03,68602
364,2012-12-13,47.32,47.41,44.62,44.69,98690
365,2012-12-14,44.44,45.83,43.76,45.28,79699
366,2012-12-17,45.47,47.7,45.15,47.15,230561
367,2012-12-18,47.25,47.53,46.345,46.65,562582
368,2012-12-19,46.88,46.88,45.5,45.98,84354
369,2012-12-20,45.88,46.495,45.88,46.25,79802
370,2012-12-21,45.87,47.34,44.48,46.78,429547
371,2012-12-24,46.67,47.49,46.67,47.46,21253
372,2012-12-26,47.42,48.16,45.3,45.75,92652
373,2012-12-27,46.08,46.92,45.27,46.38,38969
374,2012-12-28,46.2,46.72,46.0,46.3,34992
375,2012-12-31,46.2,46.5995,45.21,46.29,76242
376,2013-01-02,47.46,48.0,46.8,48.0,94761
377,2013-01-03,46.47,47.77,45.49,47.52,186967
378,2013-01-04,50.08,51.9,47.53,47.53,1217402
379,2013-01-07,47.53,49.115,47.53,48.37,150841
380,2013-01-08,48.69,49.8,47.46,48.32,90902
381,2013-01-09,48.71,50.0,48.52,49.18,157973
382,2013-01-10,49.43,49.55,48.15,48.73,120768
383,2013-01-11,48.69,49.72,48.4521,48.89,87605
384,2013-01-14,48.94,49.6,48.5,49.08,63733
385,2013-01-15,49.0,50.49,48.74,50.21,113363
386,2013-01-16,49.12,50.38,49.1,49.87,86894
387,2013-01-17,50.0,50.0,49.5,49.84,106987
388,2013-01-18,49.9,50.92,49.23,50.86,146787
389,2013-01-22,51.14,51.14,50.42,50.89,128699
390,2013-01-23,51.0,51.17,50.61,51.12,102738
391,2013-01-24,51.19,51.49,49.54,50.5,247666
392,2013-01-25,50.65,51.61,50.29,51.56,121100
393,2013-01-28,51.46,52.48,50.98,51.0,151483
394,2013-01-29,51.0,51.0,47.14,47.71,146592
395,2013-01-30,47.63,48.11,46.52,46.68,168972
396,2013-01-31,46.67,47.11,45.52,46.3,212953
397,2013-02-01,46.9,48.64,46.3546,47.97,172693
398,2013-02-04,47.86,49.2,46.91,48.33,100776
399,2013-02-05,48.56,48.95,48.08,48.56,62486
400,2013-02-06,48.52,48.8,48.14,48.75,25030
401,2013-02-07,48.59,48.59,47.441,48.13,35916
402,2013-02-08,48.17,48.97,47.72,48.2,119779
403,2013-02-11,48.18,49.32,48.18,48.74,21834
404,2013-02-12,49.05,49.8,49.05,49.565,52953
405,2013-02-13,49.77,50.06,49.27,49.93,38597
406,2013-02-14,49.96,50.24,49.6,50.06,113005
407,2013-02-15,50.36,51.59,49.935,51.36,78795
408,2013-02-19,51.37,51.37,49.28,49.69,121561
409,2013-02-20,49.71,50.4225,48.82,49.425,133061
410,2013-02-21,49.35,49.44,48.7,48.94,223192
411,2013-02-22,49.14,49.59,47.76,49.3,180442
412,2013-02-25,49.47,49.97,47.92,48.05,180206
413,2013-02-26,48.31,48.91,47.59,48.6,181600
414,2013-02-27,48.76,50.74,48.68,50.04,136753
415,2013-02-28,50.04,50.39,49.1,49.92,61259
416,2013-03-01,49.54,51.97,49.54,51.7,113740
417,2013-03-04,51.84,52.5,51.16,52.44,44717
418,2013-03-05,52.5,53.73,52.315,52.95,83448
