Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2002-05-13,2.7588,2.7588,2.6062,2.6875,1929600
1.0,2002-05-14,2.75,2.8,2.6,2.6,3958400
2.0,2002-05-15,2.5875,2.625,2.4812,2.4812,5829600
3.0,2002-05-16,2.4812,2.5875,2.4812,2.575,5286400
4.0,2002-05-17,2.5938,2.6875,2.5938,2.6538,4351200
5.0,2002-05-20,2.6538,2.6875,2.6375,2.6725,2336000
6.0,2002-05-21,2.825,2.8312,2.5562,2.5625,3872000
7.0,2002-05-22,2.5575,2.6875,2.5375,2.6562,1847200
8.0,2002-05-23,2.6562,2.8375,2.6562,2.8012,2157600
9.0,2002-05-24,2.7925,2.9625,2.7925,2.9325,2212000
10.0,2002-05-28,2.9438,3.0362,2.9125,3.0262,2082400
11.0,2002-05-29,3.0262,3.0262,2.9375,2.95,4728000
12.0,2002-05-30,2.95,2.95,2.8938,2.9075,3941600
13.0,2002-05-31,2.9075,3.0375,2.9075,3.0238,2708000
14.0,2002-06-03,3.0238,3.0238,2.8925,2.9062,1817600
15.0,2002-06-04,2.9012,2.9875,2.8625,2.9288,1933600
16.0,2002-06-05,2.9375,2.96,2.8888,2.9062,1752000
17.0,2002-06-06,2.9062,2.9562,2.8988,2.9062,1403200
18.0,2002-06-07,2.875,2.905,2.82,2.8688,1752000
19.0,2002-06-10,2.8688,2.9125,2.7875,2.8125,854400
20.0,2002-06-11,2.8275,2.8438,2.815,2.8438,323200
21.0,2002-06-12,2.8138,2.815,2.7275,2.8,532000
22.0,2002-06-13,2.8,2.8875,2.7625,2.87,1297600
23.0,2002-06-14,2.8675,2.8675,2.6688,2.8138,718400
24.0,2002-06-17,2.825,2.9312,2.825,2.8775,936800
25.0,2002-06-18,2.8775,2.8938,2.7875,2.815,260000
26.0,2002-06-19,2.8125,2.8938,2.8125,2.875,905600
27.0,2002-06-20,2.8575,2.8575,2.7238,2.7375,509600
28.0,2002-06-21,2.7188,2.7188,2.6125,2.625,1016000
29.0,2002-06-24,2.625,2.625,2.4875,2.565,1092800
30.0,2002-06-25,2.565,2.5988,2.4975,2.4975,829600
31.0,2002-06-26,2.4688,2.4688,2.295,2.3688,2882400
32.0,2002-06-27,2.3875,2.5,2.3638,2.5,1632000
33.0,2002-06-28,2.4938,2.665,2.4787,2.6237,3480000
34.0,2002-07-01,2.6125,2.6237,2.4562,2.4675,1088000
35.0,2002-07-02,2.4662,2.4662,2.2338,2.345,1637600
36.0,2002-07-03,2.3375,2.3875,2.1562,2.3125,2226400
37.0,2002-07-05,2.325,2.4325,2.325,2.3763,455200
38.0,2002-07-08,2.3875,2.5438,2.3712,2.4762,1433600
39.0,2002-07-09,2.4625,2.5538,2.405,2.4375,2162400
40.0,2002-07-10,2.4375,2.5125,2.3688,2.4,2144000
41.0,2002-07-11,2.3812,2.3862,2.2188,2.3038,2443200
42.0,2002-07-12,2.3038,2.3038,2.1962,2.2112,1052800
43.0,2002-07-15,2.2088,2.2088,1.975,2.0875,1300000
44.0,2002-07-16,2.0562,2.1088,2.0112,2.0238,1246400
45.0,2002-07-17,2.03,2.0812,1.7875,2.0112,6398400
46.0,2002-07-18,2.0112,2.05,1.995,2.005,1261600
47.0,2002-07-19,1.9938,2.0013,1.9562,1.9725,1353600
48.0,2002-07-22,1.965,2.0588,1.95,1.975,999200
49.0,2002-07-23,1.9875,2.05,1.9062,2.0,2536000
50.0,2002-07-24,1.975,2.2025,1.8738,2.1988,1784800
51.0,2002-07-25,2.2,2.2,2.075,2.1225,560800
52.0,2002-07-26,2.1237,2.2125,2.1237,2.1925,668800
53.0,2002-07-29,2.195,2.2938,2.195,2.2875,936000
54.0,2002-07-30,2.2875,2.3,2.2062,2.2438,716800
55.0,2002-07-31,2.2188,2.22,2.1538,2.1875,777600
