,DateTime,Open,High,Low,Close,Volume
0,2012-02-03,0.18,0.19,0.17,0.17,19900
1,2012-02-07,0.18,0.18,0.18,0.18,5000
2,2012-02-08,0.21,0.21,0.18,0.18,63350
3,2012-02-09,0.19,0.24,0.18,0.18,77698
4,2012-02-10,0.21,0.25,0.2,0.2,53550
5,2012-02-13,0.24,0.24,0.24,0.24,5200
6,2012-02-14,0.24,0.24,0.24,0.24,8000
7,2012-02-15,0.24,0.25,0.24,0.25,30000
8,2012-02-16,0.23,0.23,0.2,0.2,18800
9,2012-02-17,0.22,0.22,0.2,0.2,30300
10,2012-02-21,0.205,0.205,0.205,0.205,5000
11,2012-02-22,0.21,0.23,0.2,0.21,45250
12,2012-02-23,0.2,0.2,0.172,0.172,155600
13,2012-02-24,0.19,0.19,0.18,0.18,10750
14,2012-02-27,0.19,0.19,0.19,0.19,5200
15,2012-02-28,0.18,0.18,0.18,0.18,7900
16,2012-02-29,0.18,0.18,0.18,0.18,2750
17,2012-03-01,0.17,0.18,0.17,0.18,26900
18,2012-03-02,0.18,0.19,0.18,0.19,9300
19,2012-03-05,0.19,0.19,0.16,0.16,28300
20,2012-03-06,0.19,0.19,0.15,0.15,16700
21,2012-03-07,0.22,0.22,0.22,0.22,2450
22,2012-03-08,0.22,0.22,0.22,0.22,600
23,2012-03-09,0.22,0.22,0.17,0.19,23500
24,2012-03-12,0.17,0.17,0.17,0.17,6000
25,2012-03-13,0.17,0.2,0.17,0.2,52500
26,2012-03-14,0.22,0.22,0.22,0.22,5000
27,2012-03-15,0.18,0.18,0.18,0.18,10000
28,2012-03-16,0.22,0.24,0.2,0.23,120500
29,2012-03-19,0.23,0.25,0.23,0.25,26000
30,2012-03-20,0.25,0.29,0.25,0.26,73200
31,2012-03-21,0.26,0.26,0.26,0.26,21100
32,2012-03-22,0.26,0.28,0.23,0.26,78900
33,2012-03-23,0.27,0.29,0.26,0.29,80900
34,2012-03-26,0.28,0.285,0.235,0.26,143926
35,2012-03-27,0.27,0.27,0.24,0.24,40126
36,2012-03-28,0.24,0.24,0.236,0.24,15500
37,2012-03-29,0.24,0.24,0.24,0.24,275
38,2012-03-30,0.24,0.24,0.24,0.24,5250
39,2012-04-03,0.24,0.255,0.24,0.255,27000
40,2012-04-04,0.25,0.25,0.24,0.24,20000
41,2012-04-05,0.24,0.25,0.24,0.25,3500
42,2012-04-09,0.236,0.236,0.236,0.236,5000
43,2012-04-10,0.236,0.236,0.235,0.235,10000
44,2012-04-11,0.23,0.23,0.22,0.22,62000
45,2012-04-13,0.225,0.225,0.225,0.225,15000
46,2012-04-16,0.225,0.225,0.221,0.223,30000
47,2012-04-17,0.221,0.221,0.19,0.195,263000
48,2012-04-18,0.2,0.2,0.2,0.2,11500
49,2012-04-19,0.2,0.22,0.2,0.205,35000
50,2012-04-20,0.19,0.22,0.19,0.19,44040
51,2012-04-24,0.18,0.18,0.17,0.17,18500
52,2012-04-30,0.195,0.21,0.195,0.21,19000
53,2012-05-01,0.195,0.195,0.195,0.195,1500
54,2012-05-02,0.195,0.195,0.18,0.18,8000
55,2012-05-04,0.19,0.19,0.17,0.185,38000
56,2012-05-07,0.172,0.185,0.17,0.185,15000
57,2012-05-08,0.17,0.17,0.17,0.17,10000
58,2012-05-09,0.185,0.19,0.166,0.19,40495
59,2012-05-10,0.17,0.17,0.166,0.166,17500
60,2012-05-14,0.166,0.166,0.165,0.165,8000
61,2012-05-16,0.166,0.17,0.165,0.165,16700
62,2012-05-17,0.17,0.17,0.165,0.165,6500
63,2012-05-18,0.166,0.2,0.165,0.2,83250
64,2012-05-21,0.195,0.195,0.182,0.182,28000
65,2012-05-22,0.18,0.18,0.18,0.18,16800
66,2012-05-23,0.182,0.19,0.16,0.185,70100
67,2012-05-24,0.185,0.185,0.185,0.185,7500
68,2012-05-25,0.18,0.18,0.18,0.18,25000
69,2012-05-29,0.175,0.175,0.17,0.17,10150
70,2012-05-30,0.175,0.19,0.15,0.15,71800
71,2012-05-31,0.18,0.18,0.165,0.165,31000
72,2012-06-01,0.17,0.18,0.15,0.17,60500
73,2012-06-04,0.18,0.18,0.151,0.151,20000
74,2012-06-05,0.165,0.18,0.161,0.161,22000
75,2012-06-06,0.2,0.21,0.185,0.187,446158
76,2012-06-07,0.195,0.205,0.18,0.205,163400
77,2012-06-08,0.2,0.207,0.2,0.201,46760
78,2012-06-11,0.207,0.207,0.195,0.195,36950
79,2012-06-12,0.182,0.183,0.182,0.183,2000
80,2012-06-13,0.197,0.199,0.19,0.19,52750
81,2012-06-14,0.19,0.19,0.19,0.19,20650
82,2012-06-15,0.195,0.2,0.17,0.182,30800
83,2012-06-18,0.19,0.19,0.185,0.185,19100
84,2012-06-19,0.19,0.202,0.19,0.19,99560
85,2012-06-21,0.195,0.195,0.19,0.19,16000
86,2012-06-22,0.189,0.189,0.17,0.17,36000
87,2012-06-25,0.165,0.166,0.165,0.166,20000
88,2012-06-26,0.17,0.19,0.17,0.185,27750
89,2012-06-27,0.185,0.205,0.185,0.19,59500
90,2012-06-28,0.185,0.2,0.185,0.19,36100
91,2012-06-29,0.185,0.185,0.185,0.185,25000
92,2012-07-02,0.18,0.19,0.18,0.19,15510
93,2012-07-03,0.19,0.19,0.19,0.19,740
94,2012-07-05,0.2,0.2,0.19,0.19,36000
95,2012-07-06,0.18,0.2,0.18,0.2,61000
96,2012-07-09,0.22,0.26,0.205,0.235,495293
97,2012-07-10,0.24,0.24,0.18,0.205,274083
98,2012-07-11,0.195,0.24,0.185,0.24,215163
99,2012-07-12,0.24,0.24,0.205,0.22,108701
100,2012-07-13,0.21,0.235,0.205,0.205,100292
101,2012-07-16,0.24,0.25,0.204,0.204,1420479
102,2012-07-17,0.21,0.225,0.17,0.215,690827
103,2012-07-18,0.21,0.24,0.191,0.191,891100
104,2012-07-19,0.21,0.21,0.191,0.203,64438
105,2012-07-20,0.202,0.202,0.185,0.191,193445
106,2012-07-23,0.186,0.191,0.18,0.19,139176
107,2012-07-24,0.18,0.195,0.18,0.19,62304
108,2012-07-25,0.19,0.2,0.19,0.19,79715
109,2012-07-26,0.195,0.21,0.18,0.181,67860
110,2012-07-27,0.181,0.191,0.176,0.18,34038
111,2012-07-30,0.205,0.205,0.18,0.18,19201
112,2012-07-31,0.18,0.203,0.176,0.176,1850
113,2012-08-01,0.18,0.195,0.18,0.194,25302
114,2012-08-02,0.194,0.194,0.18,0.18,15101
115,2012-08-03,0.18,0.18,0.16,0.16,52733
116,2012-08-06,0.16,0.175,0.157,0.17,23775
117,2012-08-07,0.175,0.175,0.165,0.166,20000
